Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-2491.538	-2498.079	6.540436	1	0.4101925	0.088289	0.0453954	0.00189819	0.0494368	0.00374543	0.112277	0.175993	0.118253	0.0162872	0.0934905	0.0274938	0.121401	0.0657957	0.500316	0.00663767	0.0807605	0.0137881	0.0462416	0.0271381	0.0723684	0.0584717	0.0500636	0.131533	0.145312	0.132126	0.00203756	0.126597	0.246086	0.200842	0.00397671	0.0992522	0.0601762	0.0241646	0.0974323	0.00634821	0.0866616	0.439905	0.0521881	0.121925	0.0926564	0.0690638	0.0734997	0.0607624	0.0724656	0.235528	0.00319725	0.476526	0.228838	0.133362	0.219063	0.0137883	0.0641912	0.0852635	0.0620559	0.0011875	0.0802879	0.188453	0.0130177	0.081241	0.383458	0.0675894	0.0182119	0.189328	0.742078	3.05038	3	6.457601
1000	-1285.645	-1327.093	41.44828	10	2.254876	0.0206598	0.00440612	0.0343921	0.0029595	0.0333801	0.0703105	0.0297805	0.0359082	0.125092	0.0455184	0.00278019	0.0887211	0.0279762	0.0398566	0.0387751	0.0715048	0.121991	0.0118621	0.0100672	0.0130718	0.241191	0.101174	0.0373912	0.0348434	0.260658	0.028615	0.0628229	0.0265182	0.0504143	0.0248135	0.0489869	0.0329262	0.119404	0.351445	0.0758608	0.0667576	0.0330747	0.0158021	0.122037	0.0570105	0.0597139	0.119421	0.0456769	0.2297	0.0517989	0.253426	0.00172015	0.562193	0.15432	0.0298376	0.0430624	0.0378594	0.00631381	0.444047	0.196323	0.0160251	0.00758472	0.0104253	0.199275	0.0486977	0.0425041	0.321912	0.679641	1.07523	1.92322	5	5.180685
2000	-1297.585	-1335.672	38.08644	10	1.737061	0.0115411	0.0132297	0.0971903	0.0145075	0.0212194	0.0449074	0.00802691	0.0894825	0.251487	0.0398982	0.00477153	0.133002	0.0397948	0.0390478	0.0490794	0.0621958	0.00413048	0.0120206	0.0490834	0.0547399	0.121315	0.0690557	0.0158687	0.219533	0.123707	0.0329131	0.0526714	0.0641384	0.0381091	0.0357919	0.118768	0.0378355	0.0601849	0.123765	0.203799	0.267342	0.182706	0.126111	0.119481	0.0322029	0.121945	0.160044	0.0363655	0.0465378	0.0605458	0.0255252	0.0277268	0.429388	0.0510505	0.0140081	0.129908	0.0270243	0.101996	0.307505	0.150702	0.101611	0.0585422	0.0564076	0.0109563	0.00216913	0.0410815	0.259732	0.623784	1.06177	2.05472	5	5.045695
3000	-1292.914	-1336.136	43.22246	10	1.192781	0.00195737	0.0230381	0.139603	0.00257861	0.00861105	0.0192895	0.00498648	0.0319481	0.170557	0.0330263	0.0136447	0.160075	0.0168664	0.0215777	0.0407339	0.07619	0.0603865	0.0591923	0.00936234	0.00590073	0.175047	0.0250781	0.0280388	0.0445336	0.182995	0.0604475	0.00864035	0.0919696	0.0931539	0.105263	0.116192	0.0136819	0.182797	0.122986	0.0138417	0.157816	0.16679	0.0450371	0.224712	0.0160969	0.201703	0.0464492	0.191491	0.0668784	0.110348	0.157652	0.0524892	0.421341	0.0247449	0.0536204	0.0860981	0.0587342	0.0605629	0.344252	0.161636	0.046131	0.0393746	0.0598263	0.00265884	0.0194073	0.0166884	0.173742	0.527909	1.02582	2.27253	5	4.996731
4000	-1308.354	-1344.221	35.86703	10	2.327115	0.017671	0.0295523	0.123727	0.00483127	0.0261595	0.025171	0.0315815	0.0434189	0.187444	0.0456617	0.0244043	0.137832	0.0454894	0.0451704	0.0580874	0.0743044	0.0970394	0.0481059	0.0270842	0.198458	0.052969	0.0488811	0.0672534	0.147825	0.208585	0.2068	0.056165	0.0162303	0.0983949	0.00329954	0.111724	0.00743361	0.0295212	0.0624246	0.318786	0.155514	0.090348	0.0527367	0.135546	0.0191289	0.203042	0.0537267	0.103104	0.0332565	0.17104	0.0160602	0.0720561	0.207447	0.254507	0.0874623	0.0696513	0.0806674	0.188397	0.592377	0.146761	0.051957	0.0184193	0.0881827	0.0387674	0.0729261	0.011476	0.329428	0.685828	1.07637	1.90837	5	5.742045
5000	-1319.087	-1344.416	25.32875	10	2.282164	0.0324208	0.0383594	0.0555531	0.00108757	0.0237385	0.058613	0.00337065	0.134138	0.202187	0.0582734	0.00134352	0.172935	0.0610711	0.0463614	0.00952598	0.103205	0.0826341	0.0998321	0.00146523	0.00442313	0.0502646	0.121037	0.0198266	0.232148	0.0234613	0.0548771	0.0619716	0.163065	0.0363564	0.073162	0.155534	0.0796869	0.227677	0.33034	0.0955383	0.14925	0.158321	0.0535437	0.171553	0.0475278	0.263569	0.0750491	0.094804	0.0948156	0.106111	0.164009	0.00511748	0.293569	0.116759	0.109968	0.0370702	0.0357236	0.112125	0.500207	0.257598	0.297244	0.0792293	0.0196135	0.0449711	0.00919302	0.00554274	0.324781	0.682015	1.07568	1.91753	5	6.21797
6000	-1298.963	-1336.928	37.9653	10	2.220095	0.00208113	0.0147695	0.0629512	0.00274317	0.0946736	0.112705	0.0268437	0.0504391	0.161396	0.0311966	0.0454759	0.167065	0.0072237	0.0382392	0.0480957	0.0349467	0.194681	0.0441881	0.0196647	0.0259275	0.0622687	0.060372	0.0470156	0.262822	0.131107	0.100604	0.0479221	0.0756312	0.0168667	0.0261438	0.0620029	0.0383537	0.0838853	0.204848	0.14493	0.314081	0.152386	0.0348552	0.159862	0.0660922	0.123974	0.0289013	0.0244119	0.0813037	0.114455	0.120338	0.040994	0.410861	0.0922031	0.0462774	0.117766	0.107966	0.0169513	0.531098	0.170695	0.00435322	0.0515339	0.00961506	0.0114181	0.0753352	0.0167713	0.318204	0.676548	1.07463	1.93061	5	5.47458
7000	-1299.91	-1344.252	44.34143	10	2.29778	0.00452248	0.00357387	0.0657952	0.00624714	0.011752	0.0433884	0.0796451	0.0447892	0.129207	0.00901576	0.0745342	0.121343	0.030272	0.0108298	0.0377298	0.0664343	0.0471799	0.0826825	0.00236484	0.0740873	0.00241455	0.0658136	0.0811892	0.148249	0.0300372	0.143259	0.026111	0.0281846	0.024618	0.0203568	0.057812	0.127993	0.0595864	0.219871	0.0891358	0.0359287	0.00325766	0.111623	0.409611	0.0178586	0.0876827	0.0555204	0.135937	0.115325	0.150195	0.0446952	0.151914	0.474292	0.237392	0.0448357	0.0176794	0.0422648	0.0158041	0.324131	0.0897276	0.172227	0.127107	0.00180853	0.12739	0.127385	0.039238	0.326406	0.683353	1.07592	1.91432	5	5.230855
8000	-1292.714	-1338.991	46.27715	10	2.521953	0.021011	0.00304826	0.208117	0.00244824	0.0358821	0.00946888	0.0215247	0.0731618	0.300446	0.0104038	0.0036214	0.106832	0.0357348	0.0298542	0.00161134	0.0705943	0.16122	0.029143	0.0356445	0.035104	0.0102683	0.0822324	0.0658441	0.101416	0.082166	0.23718	0.0740972	0.00263843	0.0427032	0.0761243	0.150338	0.015504	0.117995	0.135885	0.0689701	0.110627	0.0646348	0.147479	0.111938	0.0124142	0.105593	0.069156	0.128505	0.0611699	0.0865869	0.073964	0.0366373	0.279492	0.0470314	0.053411	0.107006	0.0953364	0.0256629	0.278596	0.136928	0.0225575	0.249884	0.0043839	0.0421411	0.0141317	0.084153	0.348528	0.701077	1.07887	1.87152	5	4.907654
9000	-1290.784	-1337.799	47.01448	10	2.2387	0.0150087	0.0265126	0.109445	0.0103144	0.0141242	0.0442886	0.0569336	0.0355435	0.124597	0.0124546	0.0463871	0.0953103	0.0143651	0.00662261	0.0230112	0.0385602	0.0373785	0.0757974	0.0107945	0.0492733	0.0311197	0.177373	0.0353292	0.0163186	0.109363	0.140731	0.0146701	0.00567793	0.113039	0.00217477	0.0729198	0.0290384	0.0679147	0.100602	0.102376	0.0731328	0.0150338	0.0612788	0.155966	0.0484515	0.0952993	0.0388046	0.110856	0.146178	0.0392963	0.051241	0.0506061	0.510515	0.269146	0.0930113	0.118576	0.0614374	0.0132716	0.493875	0.12302	0.0930139	0.0905246	0.00344766	0.00545851	0.0198779	0.0490422	0.320195	0.678212	1.07496	1.92664	5	4.695732
