Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-86.22008	-138.6852	52.46507	10	0.5654463	0.117259	0.0564222	0.0520823	0.0582281	0.255896	0.0376298	0.0310705	0.00327007	0.00292459	0.0873935	0.012168	0.214403	0.138416	0.000773112	0.0351366	0.130973	0.080858	0.0460689	0.292511	0.862612	2.79881	5	1.314904
1000	-28.97326	-82.29075	53.3175	10	0.5535666	0.11402	0.00299905	0.204558	0.0587735	0.0311378	0.0150198	0.0509428	0.0177573	0.0648566	0.0762837	0.200842	0.0107403	0.364894	0.282826	0.0391582	0.0913629	0.111922	0.0436956	0.285455	0.855646	2.8152	5	1.738095
2000	-12.9767	-72.90046	59.92376	10	2.066208	0.0504513	0.0282666	0.053674	0.119561	0.0055926	0.0045776	0.0121492	0.0215391	0.0321084	0.0277673	0.0107474	0.42421	0.00218894	0.0870164	0.054557	0.0274491	0.130862	0.301052	0.661874	1.07156	1.96551	5	1.092717
3000	-39.51562	-77.2251	37.70949	2	1.220608	0.0227666	0.106692	0.0362856	0.0842958	0.00102306	0.00193409	0.04093	0.0259244	0.0712685	0.0377281	0.197453	0.340453	0.0308306	0.0859411	0.00335345	0.0487356	0.168508	0.178768	0.534319	1.02872	2.25819	4	1.304123
4000	-18.91692	-75.80447	56.88755	10	4.996447	0.0629403	0.0552803	0.0580341	0.0473073	0.0170346	0.0206049	0.0468029	0.0138083	0.00775595	0.00362125	0.0634222	0.0326294	0.00310661	0.192705	0.0348636	0.0178929	0.0268724	0.50193	0.803875	1.08331	1.61089	5	0.7046823
5000	-34.76222	-81.14441	46.38219	10	0.9705375	0.272848	0.0430323	0.0533515	0.0356032	0.00486623	0.00190109	0.0473226	0.0428623	0.0843903	0.0142777	0.142013	0.537597	0.0706126	1.95545e-05	0.0110264	0.172408	0.0354934	0.131038	0.467713	0.994941	2.40631	5	1.569626
6000	-23.2261	-79.26344	56.03734	10	1.316825	0.0202396	0.0442761	0.164586	0.0334516	0.0644567	0.0285125	0.0193802	0.0311821	0.0505546	0.173099	0.0328556	0.173511	0.106103	0.0377791	0.0615843	0.270772	0.0316643	0.195589	0.554927	1.03757	2.21191	5	1.344007
7000	-49.98756	-77.79497	27.80741	1	3.457938	0.0830861	0.214363	0.10059	0.0119429	0.0683859	0.00391424	0.0288399	0.0855371	0.0952388	0.00581548	0.434542	0.0206407	0.18854	0.0405715	0.142032	0.112903	0.0149771	0.421854	0.754097	1.084	1.74005	3	1.651918
8000	-40.70113	-76.13514	35.43401	2	1.03674	0.0384645	0.1365	0.0655844	0.114452	0.0100786	0.0553976	0.0129089	0.00164249	0.0179869	0.00491783	0.503664	0.136049	0.000884997	0.0378475	0.311281	0.0678495	0.00377405	0.144226	0.487523	1.00583	2.36242	4	1.519284
9000	-33.69804	-76.38321	42.68518	10	3.603361	0.0791777	0.0662063	0.200895	0.16873	0.00291143	0.0028137	0.00105059	0.0356519	0.00425695	0.0721711	0.0810447	0.0141464	0.215952	0.531653	0.15311	0.0353107	0.0161032	0.43115	0.76027	1.08422	1.72436	5	1.681184
10000	-42.54939	-80.81861	38.26921	2	1.241659	0.161411	0.0753359	0.0746453	0.0280307	0.137225	0.0180651	0.0404997	0.00382384	0.0102058	0.00797316	0.0380768	0.266334	0.0282437	0.0019629	0.345727	0.00654057	0.0846285	0.182521	0.539028	1.03081	2.24764	4	1.328729
11000	-39.8076	-79.24195	39.43435	2	0.6952054	0.0764963	0.020677	0.044645	0.200914	0.02359	0.0138609	0.0320602	0.017827	0.0500093	0.0758514	0.119033	0.0811304	0.00734326	0.26996	0.0102124	0.154638	0.0993166	0.0731644	0.361259	0.923079	2.6425	4	1.297565
12000	-41.25437	-77.7096	36.45523	2	1.52664	0.105464	0.0136314	0.0833307	0.0871944	0.0105969	0.0359109	0.0181782	0.0162074	0.0084402	0.0231722	0.00493883	0.0163667	0.0706557	0.40158	0.0413664	0.239705	0.0963643	0.229409	0.592931	1.05195	2.12571	4	1.273103
13000	-41.54528	-80.11236	38.56709	2	0.8947994	0.145584	0.00633842	0.0452536	0.124073	0.0346295	0.0746324	0.0755875	0.0664735	0.049056	0.034589	0.0725683	0.279206	0.0472782	0.00204666	0.0443651	0.130394	0.0598203	0.115515	0.442676	0.980119	2.46169	4	1.291895
14000	-37.9761	-75.6894	37.7133	2	0.7821711	0.0619532	0.0274332	0.212868	0.00352926	0.0385018	0.00040427	0.0240944	0.0166886	0.0347931	0.00345178	0.012225	0.334653	0.0832304	0.0269537	0.0280351	0.142896	0.100539	0.0917596	0.399856	0.95189	2.5565	4	1.15225
15000	-40.85637	-79.25059	38.39421	2	1.299551	0.0104368	0.0236978	0.0589214	0.0129006	0.0380813	0.0099406	0.011636	0.0220932	0.18404	0.0785373	0.0328011	0.0726392	0.0121723	0.230751	0.119071	0.0708395	0.047095	0.192632	0.551394	1.03611	2.21987	4	1.035653
16000	-21.88772	-81.03961	59.15189	10	0.5357901	0.0149976	0.0499288	0.102268	0.0794603	0.103682	0.0524895	0.00352343	0.0159782	0.017243	0.00735021	0.0678357	0.0978693	0.0149795	0.120165	0.150881	0.0578345	0.0287103	0.0401979	0.27464	0.844659	2.8405	5	0.9851968
17000	-36.76314	-78.67789	41.91475	2	1.418663	0.143435	0.015685	0.0686556	0.0458595	0.0225019	0.0109908	0.0220642	0.0089637	0.0383436	0.0397733	0.0991878	0.178788	0.092747	0.018897	0.0312824	0.0803915	0.0164739	0.21248	0.574433	1.04527	2.16782	4	0.9340401
18000	-52.63939	-84.27655	31.63716	1	1.161369	0.11414	0.0349937	0.0784643	0.115494	0.00478379	0.0318126	0.0072164	0.129349	0.160925	0.0977714	0.113834	0.0890628	0.0114405	0.277581	0.15748	0.0374563	0.0367968	0.167983	0.520408	1.02233	2.28928	3	1.498601
19000	-21.11974	-76.36607	55.24633	10	2.232757	0.0961927	0.0607615	0.0980948	0.0179912	0.00198673	0.0078501	0.105603	0.033119	0.0546182	0.00294684	0.075302	0.0239271	0.0730276	0.344564	0.107198	0.0722845	0.0355225	0.319561	0.677683	1.07485	1.9279	5	1.21099
20000	-33.32031	-79.37916	46.05885	10	1.377975	0.0139926	0.0217482	0.165562	0.129637	0.035502	0.0266484	0.056277	0.0178628	0.0592498	0.0607601	0.0750371	0.125435	0.428027	0.00927688	0.0773989	0.0532299	0.130375	0.205842	0.566899	1.04237	2.18489	5	1.48602
21000	-52.91538	-84.86956	31.95418	2	0.9786521	0.130278	0.0062086	0.161339	0.0777219	0.0334951	0.00145801	0.050104	0.0508247	0.0542284	0.020282	0.709471	0.134442	0.0794509	0.229554	0.041211	0.0405468	0.107543	0.132675	0.47024	0.996371	2.40071	4	1.92816
22000	-48.71944	-84.85992	36.14048	2	1.184133	0.159921	0.0433936	0.0717052	0.020935	0.0484458	0.0213308	0.0420611	0.0374856	0.00706948	0.0138371	0.0508232	0.027291	0.102795	0.123498	0.229158	0.019674	0.116957	0.172166	0.525873	1.02488	2.27708	4	1.13638
23000	-32.94567	-78.36472	45.41904	10	2.202843	0.0123079	0.0455823	0.118421	0.0725283	0.0954763	0.0543411	0.0125724	0.0592315	0.0154885	0.0523341	0.183668	0.0932583	0.632589	0.0113995	0.24682	0.0241116	0.00381791	0.316343	0.674984	1.07433	1.93435	5	1.733946
24000	-55.33009	-83.75417	28.42408	1	0.7306097	0.0293886	0.07866	0.0331312	0.120253	0.0463228	0.143355	0.102959	0.166107	0.0287798	0.0702896	0.0591545	0.410935	0.201092	0.0483143	0.190106	0.0563429	0.0777933	0.0807348	0.377622	0.935704	2.60594	3	1.862984
25000	-39.24624	-79.91087	40.66463	2	0.8693989	0.0987233	0.0942391	0.120746	0.0550018	0.0429473	0.0856023	0.0257883	0.0175175	0.0306201	0.000435994	0.126924	0.197499	0.074039	0.00503035	0.0356221	0.0412743	0.136509	0.110218	0.433643	0.974474	2.48167	4	1.188518
26000	-21.58754	-76.96847	55.38092	10	2.365757	0.111155	0.110882	0.0196363	0.0426205	0.0205358	0.00599566	0.0278039	0.080302	0.0370639	0.0174505	0.0365313	0.220835	0.0667627	0.00889713	0.0165019	0.145034	0.0442783	0.333348	0.689012	1.07693	1.90071	5	1.012286
27000	-49.77662	-79.80738	30.03076	1	0.5913574	0.0662552	0.0158096	0.0850006	0.190437	0.0861297	0.0929733	0.0182074	0.0988363	0.105577	0.0149873	0.0142556	0.570551	0.0302453	0.144138	0.0100959	0.0699775	0.102764	0.0513305	0.307434	0.876845	2.76439	3	1.716241
28000	-37.95413	-80.58579	42.63165	10	1.476099	0.145919	0.16275	0.0433305	0.0831842	0.131002	0.0297271	0.0070855	0.00269818	0.0706561	0.0495243	0.128041	0.103889	0.837622	0.0766223	0.0268445	0.0547371	0.70564	0.221607	0.584529	1.04899	2.14488	5	2.659272
29000	-21.72058	-77.11029	55.38971	10	0.9282486	0.129133	0.0404931	0.0162718	0.0113376	0.0509972	0.00264247	0.0536916	0.000720094	0.00266398	0.00464604	0.00586104	0.136006	0.0283713	0.455609	0.0239857	0.0910405	0.0464381	0.122424	0.454069	0.987013	2.43649	5	1.099908
30000	-15.28345	-77.28936	62.00592	10	1.040307	0.0509311	0.167763	0.0213351	0.00736662	0.00639369	0.0084491	0.00443329	0.00650577	0.0342824	0.0463542	0.013059	0.0674925	0.0150248	0.176039	0.0891301	0.107511	0.162445	0.144925	0.48854	1.00637	2.36016	5	0.9845151
31000	-19.55458	-77.19398	57.6394	10	1.13471	0.115634	0.0250021	0.187861	0.00425307	0.0153197	0.0596813	0.0167229	0.0749301	0.149804	0.00710144	0.0893786	0.0929555	0.0895373	0.364503	0.138584	0.0446692	0.000359228	0.163022	0.513808	1.01917	2.304	5	1.476297
32000	-49.13013	-84.63095	35.50082	1	0.6511563	0.0745069	0.00865895	0.0111249	0.115158	0.00815794	0.0351063	0.0275404	0.0206443	0.0227586	0.0206553	0.272776	0.171978	0.020896	0.0859604	0.211481	0.0341771	0.0216754	0.063802	0.339543	0.905331	2.69132	3	1.163255
33000	-24.7988	-79.53897	54.74017	10	0.7601896	0.0184555	0.139696	0.171824	0.0120235	0.0361087	0.0604153	0.0560241	0.150747	0.0413232	0.0125595	0.0983	0.00323715	0.0109238	0.505117	0.00586104	0.0468544	0.131454	0.0870641	0.390598	0.945283	2.57706	5	1.500923
34000	-21.03938	-75.85029	54.81091	10	2.640459	0.0903348	0.0947255	0.0500632	0.12938	0.00430176	0.0326611	0.0181714	0.00529879	0.0505463	0.0441272	0.481655	0.289093	0.0105829	0.0388739	0.0343864	0.0221411	0.0386308	0.359381	0.709454	1.08006	1.85111	5	1.434973
35000	-44.48212	-78.27621	33.79409	2	1.494698	0.0366615	0.0481694	0.0659374	0.0833699	0.0310354	0.00134714	0.0222088	0.041007	0.0597158	0.0298851	0.159253	0.180337	0.132051	0.553556	0.126099	0.176115	0.0452418	0.224502	0.587672	1.05011	2.13772	4	1.79199
36000	-22.86327	-77.38605	54.52278	10	2.267692	0.0278447	0.0189111	0.131959	0.00664782	0.00446835	0.00544687	0.0432534	0.155648	0.091949	0.0140162	0.228675	0.155854	0.00538026	0.231337	0.0749663	0.113463	0.151245	0.323264	0.680762	1.07544	1.92053	5	1.461066
37000	-47.66106	-79.68775	32.0267	2	2.585955	0.0658748	0.0138092	0.131708	0.0441189	0.0173033	0.00484391	0.0170555	0.0432303	0.216937	0.000915604	0.239145	0.0904207	0.0459065	0.595337	0.00592289	0.156918	0.0989393	0.354457	0.705678	1.07954	1.86032	4	1.788386
38000	-14.84163	-75.79349	60.95186	10	1.595274	0.0282306	0.0230148	0.129666	0.0191897	0.0506577	0.00460252	0.0459678	0.0196995	0.0409195	0.00558791	0.0504608	0.0207834	0.157594	0.129486	0.00045641	0.0298247	0.0977478	0.239672	0.603683	1.05556	2.10109	5	0.8538889
39000	-47.02977	-77.06963	30.03986	2	0.6254666	0.0254344	0.011855	0.194392	0.0306365	0.0248936	0.00806219	0.040588	0.0375006	0.164883	0.0314819	0.0098312	0.0779852	0.0639444	0.735753	0.255498	0.503151	0.0908747	0.0583994	0.326135	0.893775	2.72169	4	2.306765
40000	-31.44361	-80.75767	49.31406	10	1.230149	0.103932	0.078278	0.209428	0.304625	0.00732396	0.034048	0.0646959	0.0140526	0.0560618	0.00544726	0.0403757	0.563888	0.0199919	0.0524638	0.0174633	0.0763255	0.0330604	0.180474	0.536468	1.02968	2.25338	5	1.681461
41000	-23.47983	-75.85787	52.37803	10	1.983081	0.0881055	0.00714137	0.128088	0.0406691	0.0321967	0.0350286	0.0820443	0.0493408	0.0546349	0.00362835	0.0630029	0.129874	0.3666	0.0246974	0.203487	0.0480664	0.0321491	0.291247	0.653202	1.06956	1.98599	5	1.388755
42000	-24.30091	-76.81184	52.51093	10	0.9394018	0.023728	0.066744	0.190757	0.122599	0.0244036	0.0135061	0.0113785	0.0467249	0.0137651	0.0367571	0.00850736	0.28458	0.00486194	0.19876	0.0393698	0.0328527	0.051567	0.12471	0.457748	0.989186	2.42836	5	1.170861
43000	-23.31022	-75.05784	51.74762	10	3.320071	0.130831	0.0699487	0.0545951	0.0147815	0.0283358	0.0670622	0.0390407	0.0377355	0.0401061	0.00350463	0.0329904	0.402495	0.0117173	0.0679637	0.138198	0.0263805	0.122552	0.412601	0.747839	1.0837	1.75586	5	1.288238
44000	-39.37178	-85.02607	45.65429	10	0.7245118	0.144483	0.00206858	0.0415577	0.296356	0.0291724	0.0892116	0.00233511	0.123305	0.0730836	0.00650852	0.277201	0.275034	0.100689	0.0252888	0.127632	0.151083	0.0538971	0.0794298	0.374869	0.933624	2.61208	5	1.818906
45000	-20.61256	-75.92562	55.31305	10	1.066419	0.0331198	0.0819144	0.312309	0.00267519	0.0110785	0.0066864	0.0497139	0.0547534	0.179001	0.0051644	0.382754	0.289716	0.031553	0.03368	0.117887	0.138688	0.0145044	0.150013	0.495844	1.01019	2.34395	5	1.745199
46000	-20.56297	-74.25568	53.69271	10	1.056879	0.0377078	0.0468193	0.077458	0.0430436	0.0827078	0.0450493	0.015759	0.0299445	0.00393491	0.0461764	0.486091	0.00186044	0.212396	0.00562279	0.176908	0.0196497	0.0621567	0.148161	0.493205	1.00882	2.34981	5	1.393286
47000	-17.71379	-75.64911	57.93532	10	0.388734	0.0542668	0.00867925	0.0352341	0.0570861	0.0047608	0.0184149	0.0178772	0.00654037	0.0284472	3.87403e-05	0.0287932	0.0887509	0.00726717	0.173466	0.440018	0.0571365	0.107153	0.0151232	0.173291	0.718796	3.09279	5	1.133931
48000	-45.50523	-79.2146	33.70937	2	1.098663	0.075925	0.0450392	0.0428597	0.0839363	0.0774357	0.160819	0.0268635	0.0525532	0.0273451	0.00523657	0.0440734	0.390575	0.196566	0.06055	0.189949	0.0406563	0.123998	0.156209	0.504523	1.0146	2.32467	4	1.644381
49000	-55.65395	-87.72214	32.06819	2	2.532655	0.0945034	0.0902091	0.104751	0.226295	0.0744946	0.0126154	0.216569	0.0155134	0.0144685	0.00117176	0.00236436	0.0612679	0.164433	0.239621	0.0412332	0.00450575	0.072893	0.349531	0.701859	1.07899	1.86962	4	1.436909
50000	-29.14757	-77.53235	48.38478	10	1.145011	0.316706	0.0102965	0.129022	0.0998994	0.0253373	0.062937	0.0217965	0.0311891	0.0158521	0.0149861	0.405859	0.179358	0.0567359	0.0289943	0.0991724	0.0979722	0.0224334	0.164946	0.516384	1.02041	2.29826	5	1.618548
51000	-25.21454	-77.13658	51.92204	10	2.471338	0.062638	0.0382484	0.20168	0.00117316	0.0647208	0.0068217	0.0363175	0.104465	0.10452	0.13789	0.357537	0.177002	0.090528	0.047541	0.0166543	0.0507749	0.0177166	0.343722	0.697302	1.07829	1.88068	5	1.516229
52000	-26.56695	-75.17289	48.60594	10	0.5811566	0.0224227	0.0100371	0.0775991	0.0237796	0.0185313	0.0581431	0.040092	0.042843	0.0200363	0.00688333	0.0280979	0.0524103	0.195764	0.0746459	0.0675776	0.0901023	0.417748	0.0492463	0.301634	0.871392	2.77773	5	1.246714
53000	-18.99653	-73.25523	54.2587	10	1.477589	0.131811	0.00309081	0.0507295	0.0877176	0.00477683	0.0512179	0.00729154	0.00626127	0.0299878	0.00259875	0.0101296	0.0240285	0.0599803	0.00422806	0.03334	0.156759	0.247333	0.22184	0.584783	1.04908	2.1443	5	0.911282
