Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	brlens[92]	brlens[93]	brlens[94]	brlens[95]	brlens[96]	brlens[97]	brlens[98]	brlens[99]	brlens[100]	brlens[101]	brlens[102]	brlens[103]	brlens[104]	brlens[105]	brlens[106]	brlens[107]	brlens[108]	brlens[109]	brlens[110]	brlens[111]	brlens[112]	brlens[113]	brlens[114]	brlens[115]	brlens[116]	brlens[117]	brlens[118]	brlens[119]	brlens[120]	brlens[121]	brlens[122]	brlens[123]	brlens[124]	brlens[125]	brlens[126]	brlens[127]	brlens[128]	brlens[129]	brlens[130]	brlens[131]	brlens[132]	brlens[133]	brlens[134]	brlens[135]	brlens[136]	brlens[137]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-5005.383	-5007.47	2.087281	10	0.1372147	0.0343487	0.328851	0.0593078	0.0182234	0.0382363	0.0111295	0.0622984	0.104181	0.126906	0.0101623	0.122663	0.31945	0.134388	0.028936	0.00346408	0.00416989	0.465873	0.129988	0.157818	0.137586	0.101529	0.219864	0.0730076	0.203414	0.0434059	0.279172	0.0776102	0.129412	0.171483	0.265286	0.0800996	0.124643	0.143443	0.275934	0.0472546	0.0145935	0.113039	0.0664811	0.150343	0.0564746	0.0756695	0.00122939	0.26715	0.0110768	0.0108251	0.0290794	0.0222156	0.167295	0.0985571	0.0134983	0.0508322	0.207195	0.000313576	0.193055	0.0717025	0.0102437	0.141933	0.0322402	0.134929	0.192012	0.0826417	0.0683355	0.187625	0.0555545	0.00032738	0.193185	0.0250317	0.0259529	0.10143	0.0658659	0.315772	0.0015723	0.174739	0.0320012	0.0145818	0.0773686	0.0494643	0.0636126	0.00685856	0.0241036	0.122994	0.0245513	0.0478023	0.0723964	0.0069869	0.0615426	0.0809228	0.0174345	0.0152376	0.00252248	0.016676	0.0672729	0.0170585	0.167611	0.0463777	0.183039	0.0624086	0.0481819	0.0252565	0.150039	0.0508845	0.206673	0.00769084	0.205041	0.078956	0.116959	0.010765	0.00634243	0.0510749	0.170287	0.114936	0.336185	0.236803	0.0227905	0.0501256	0.0381914	0.167329	0.050595	0.0673765	0.15119	0.0473397	0.00948788	0.0290932	0.226047	0.00611291	0.0309708	0.0455589	0.0866787	0.204181	0.0622829	0.0208237	0.133467	0.0351609	0.119831	0.00887337	0.0164074	0.0104541	2.24787e-05	0.00701585	0.203015	3.78995	5	12.70082
1000	-2179.247	-2183.298	4.051121	2	0.6559292	0.094168	0.129555	0.0924226	0.0216009	0.0019829	0.0229071	0.00100198	0.0553979	0.0643332	0.0399846	0.0375118	0.000897783	0.044749	0.166042	0.0499342	0.0372149	0.00293015	0.127946	0.0584076	0.122327	0.0316369	0.00228761	0.0248757	0.0652638	0.0464616	0.0347702	0.000170719	0.064291	0.112009	0.0471647	0.0222086	0.0212886	0.0173081	0.0465789	0.0427234	0.112502	0.272174	0.0735819	0.133013	0.0137549	0.0127627	0.0190036	0.0437605	0.0190749	0.00163235	0.00703485	0.027694	0.153897	0.157957	0.00296885	0.0232989	0.0183128	0.108268	0.0327746	0.0501136	0.0613309	0.0368675	0.111941	0.112437	0.00578044	0.0145535	0.0464583	0.0681938	0.00820344	0.00770487	0.0161661	0.00477053	0.047975	0.00142365	0.0971105	0.0127377	0.15157	0.0639433	0.00902954	0.010949	0.199856	0.0756323	0.0480699	0.11728	0.0509024	0.0187132	0.0227317	0.0347037	0.00971297	0.006198	0.0329369	0.0101312	0.0398057	8.72765e-05	0.00701103	0.050831	0.0716531	0.0443649	0.419897	0.0848806	0.031063	0.0479616	0.0665816	0.0928931	0.243149	0.490663	0.141412	0.00260065	0.0400931	0.0109249	0.0967675	0.0610281	0.0898686	0.00900171	0.218483	0.100907	0.0729313	0.0109906	0.014471	0.0397296	0.255192	0.0873686	0.0549618	0.206663	0.0120613	0.175295	0.290685	0.0392721	0.0145788	0.0473666	0.053905	0.0526084	0.0316789	0.14262	0.109996	0.0455652	0.075173	0.00246334	0.121987	0.301722	0.0260561	0.00900007	0.0648114	0.341972	0.907374	2.68584	4	9.306221
2000	-2152.68	-2168.73	16.04967	2	1.120566	0.0878719	0.149896	0.0353782	0.0141227	0.000819225	0.0124845	0.159738	0.0720776	0.0413387	0.0826571	0.0442086	0.016452	0.00976439	0.114161	0.0127755	0.0242047	0.0337042	0.0300426	0.0116227	0.0394109	0.0189594	0.000496589	0.0592838	0.00686627	0.0642032	0.0281148	0.00433993	0.0397608	0.0367089	0.0452974	0.0217688	0.00253691	0.0167839	0.0698746	0.0313483	0.0273026	0.264818	0.078486	0.133696	0.0248157	0.000595467	0.0102862	0.00773439	0.026292	0.00950616	0.0496937	0.020564	0.190883	0.0534909	0.0132299	0.0627416	0.0604749	0.069164	0.0697911	0.015071	0.0954732	0.10076	0.140412	0.0612303	0.0164239	0.036942	0.0671621	0.0687789	0.0173422	0.0377094	0.00584426	0.00601479	0.0614842	0.00161309	0.0619646	0.051996	0.0196583	0.0545006	0.151837	0.0342879	0.0220731	0.0428514	0.055666	0.0322224	0.0664927	0.0428272	0.215234	0.0835776	0.104745	0.0390221	0.0202024	0.176854	0.00443072	0.0763005	0.028785	0.0201183	0.136244	0.128165	0.2401	0.096202	0.00830936	0.0269868	0.277027	0.0368204	0.142603	0.241621	0.0157928	0.00412948	0.161389	0.035676	0.0560906	0.0226457	0.0923753	0.0310213	0.132759	0.0137462	0.0429454	0.0135815	0.0416266	0.0026794	0.00912727	0.0755966	0.0236135	0.0679846	0.342692	0.0192853	0.0764808	0.0310241	0.0274343	0.00832956	0.0649079	0.0145006	0.016325	0.0310844	0.0196111	0.0760179	0.0411799	0.00278223	0.0370163	0.315626	0.181373	0.0117269	0.160363	0.510216	1.01742	2.312	4	8.244802
3000	-2156.655	-2179.292	22.63737	2	0.9087843	0.118752	0.0960599	0.029971	0.00354864	0.0452495	0.0127346	0.0252319	0.0239018	0.0202484	0.075761	0.0511475	0.0346566	0.0536863	0.0472076	0.0519366	0.0349702	0.0133814	0.0346276	0.0237307	0.0517117	0.0327795	0.0109097	0.0320461	0.0407276	0.0512612	0.080274	0.0018403	0.0773622	0.0334419	0.0104934	0.00378741	0.00677819	0.0487909	0.0355387	0.0293062	0.0235437	0.373559	0.039846	0.11131	0.013329	0.00809254	0.00585861	0.108662	0.121724	0.00384504	0.002709	0.045295	0.285688	0.0278763	0.000798396	0.0421726	0.0165566	0.0725206	0.0210023	0.146585	0.00986135	0.0748682	0.12414	0.0423623	0.0550418	0.148349	0.049267	0.0367426	0.00724713	0.00278083	0.0101387	0.0209346	0.00361056	0.0233138	0.0341638	0.0338772	0.0166974	0.0312233	0.237325	0.132084	0.130489	0.00202028	0.0160111	0.0243221	0.110951	0.118991	0.176944	0.0218014	0.111079	0.0161025	0.00339356	0.11616	0.0330146	0.0948275	0.00808421	0.00924888	0.0721207	0.0319069	0.0154662	0.0485847	0.0136211	0.0432948	0.0926423	0.0901457	0.165009	0.226204	0.041932	0.0664619	0.0287733	0.0131021	0.0166748	0.0543585	0.0448031	8.16208e-05	0.105616	0.0749453	0.0432859	0.0140886	0.00204295	0.0150809	0.0306869	0.0664463	0.0576617	0.0206114	0.224251	0.116343	0.143218	0.0382031	0.00483292	0.196626	0.0355685	0.022627	0.0050441	0.0974679	0.070443	0.0145559	0.161778	0.219411	0.0227953	0.00961278	0.0195249	0.0454786	0.118414	0.447507	0.983073	2.45101	4	7.845727
4000	-2174.794	-2176.371	1.577447	2	0.5630507	0.16384	0.0564254	0.0756129	0.00726312	0.0479755	0.0318997	0.0669129	0.068441	0.00198651	0.106436	0.0268554	0.0298048	0.00836947	0.0232445	0.0155999	0.061917	0.00531495	0.0145076	0.0235766	0.0373384	0.103285	0.00399066	0.0394241	0.0301525	0.0751304	0.0540546	0.0217392	0.046374	0.0102058	0.0234168	0.0426529	0.00664929	0.00127096	0.0233055	0.0496321	0.0145507	0.472847	0.0676145	0.152842	0.00120382	0.00467131	0.00993606	0.0100419	0.00593398	0.00486139	0.00974125	0.0102013	0.319198	0.0454058	0.01701	0.00932203	0.013911	0.0990219	0.0454995	0.0367761	0.0304233	0.0301706	0.350734	0.201703	0.00043334	0.0919138	0.0350039	0.0161512	0.0472331	0.0143388	0.0756614	0.0100704	0.0273124	0.0361037	0.0450057	0.0110202	0.0398956	0.00206324	0.00309798	0.18746	0.1019	0.0362577	0.075224	0.315701	0.0533443	0.00327196	0.109465	0.073703	0.0259382	0.0558951	0.104137	0.235512	0.061153	0.0601887	0.213582	0.0152066	0.0815511	0.0491088	0.421312	0.0368155	0.00591627	0.11	0.314534	0.0586203	0.00922815	0.023225	0.0660001	0.055313	0.19356	0.00357658	0.0416307	0.0289919	0.0884017	0.00656485	0.178839	0.297798	0.0610239	0.114063	0.273466	0.0741476	0.0113734	0.139311	0.0362666	0.341047	0.00488541	0.00577846	0.222456	0.0970146	0.00948311	0.00935989	0.0528319	0.0262875	0.15118	0.00547743	0.0361697	0.0561959	0.034298	0.0490996	0.0261989	0.000842073	0.0683661	0.0577375	0.0455882	0.291099	0.861231	2.80208	4	9.586813
5000	-2196.136	-2196.629	0.4927153	2	0.5095718	0.120456	0.122176	0.243277	0.0122962	0.00362107	0.0150989	0.0649874	0.0238989	0.0183284	0.189439	0.0488666	0.0485306	0.00337989	0.0930438	0.0104478	0.113582	0.00251604	0.0698223	0.0613674	0.0145145	0.152432	0.061784	0.020777	0.0136876	0.0457439	0.0326311	0.0166082	0.0352781	0.124128	0.00802953	0.00176804	0.0118811	0.0562068	0.0117674	0.00815007	0.0598718	0.511563	0.0255796	0.116548	0.00285195	0.0161038	0.00698101	0.0307195	0.0766279	0.00970726	0.0147828	0.00574716	0.306626	0.0179629	0.00248152	0.0164644	0.0322824	0.0238471	0.0839296	0.065854	0.00924788	0.0364898	0.278047	0.114861	0.0139867	0.0448577	0.109321	0.0577461	0.149072	0.0552503	0.0379848	0.0223491	0.0121139	0.0452969	0.0711558	0.00303689	0.273681	0.0140396	0.415075	0.00958073	0.129374	0.111214	0.0148696	0.143987	0.0484437	0.0623503	0.0751471	0.164213	0.0889787	0.128785	0.121792	0.0889595	0.0102804	0.0993985	0.0472463	0.0782609	0.229081	0.0229506	0.277293	0.109012	0.0691787	0.0480976	0.0427343	0.0407803	0.0257815	0.00852656	0.0749499	0.0414495	0.083963	0.043827	0.0406961	0.0247874	0.0233808	0.00163263	0.24827	0.0523923	0.10684	0.0165913	0.44779	0.119992	0.44713	0.00392563	0.0827799	0.13999	0.0255052	0.0486308	0.0400017	0.0121892	0.165346	0.0359266	0.0343182	0.000862807	0.0961681	0.0922083	0.0640624	0.0924773	0.0306853	0.0236718	0.0508946	0.0228908	0.0229043	0.0391383	0.0351753	0.258119	0.82711	2.8796	4	10.26525
6000	-2160.335	-2157.193	-3.141327	2	0.78096	0.126081	0.144575	0.104003	0.00672453	0.00669394	0.0459778	0.0251194	0.0446859	0.231254	0.0392398	0.0541058	0.0116745	0.0115033	0.124448	0.0190398	0.0661761	0.0041308	0.0457312	0.0591804	0.0612066	0.0578052	0.0226714	0.0251209	0.00389825	0.0120153	0.0167789	0.0072379	0.0276991	0.0185805	0.0451152	0.0142887	0.00294219	0.0115048	0.0195493	0.00181864	0.0707069	0.308301	0.238956	0.0422726	0.00600911	0.000618287	0.0458554	0.0482346	0.00139341	0.00392615	0.00208193	0.0105207	0.179533	0.0233301	0.00178092	0.0264973	0.0290832	0.0225616	0.0981131	0.0371997	0.0205455	0.132912	0.15984	0.0694222	0.0225683	0.0388151	0.0596122	0.0881502	0.00111872	0.0138219	0.0110066	0.00208604	0.10912	0.0357445	0.017961	0.0128803	0.162677	0.120347	0.365227	0.0204093	0.496645	0.0912079	0.0274295	0.0413744	0.0256184	0.0860001	0.162006	0.010266	0.0172484	0.0209879	0.0174585	0.379768	0.0261439	0.043995	0.083578	0.136387	0.138285	0.311273	0.672929	0.0138369	0.00797579	0.0326651	0.0326219	0.00997641	0.0223673	0.0253297	0.0439244	0.00448667	0.165765	0.0680884	0.140148	0.00921618	0.0364001	0.258692	0.0960198	0.0556224	0.0179654	0.0363865	0.157638	0.00671761	0.118561	0.0565718	0.0595769	0.123564	0.0652205	0.0248182	0.0264534	0.152255	0.02314	0.0233075	0.0764429	0.00323522	0.0339171	0.00338672	0.0230462	0.0314105	0.258906	0.0491837	0.121217	0.000852247	0.0435439	0.0358957	0.0915012	0.399354	0.951536	2.55761	4	9.564765
7000	-2184.904	-2176.875	-8.029224	2	1.114559	0.31755	0.0480917	0.0952337	0.00182106	0.0113617	0.0437781	0.00587171	0.0798523	0.0474488	0.0784538	0.0405126	0.0333583	0.00615943	0.309154	0.0129929	0.052836	0.0162132	0.0453063	0.0761045	0.0290679	0.0172118	0.011322	0.0756402	0.0407708	0.151185	0.0189911	0.000538447	0.0008818	0.000138554	0.0190725	0.0148097	0.00506588	0.0442036	0.0241878	0.0325642	0.175027	0.348005	0.0570319	0.0332524	0.00167576	0.015165	0.00641635	0.001147	0.0218252	0.0146087	0.00396874	0.00501763	0.359581	0.106987	0.016935	0.0558706	0.035147	0.0532756	0.0877664	0.0673686	0.0184192	0.0467799	0.146895	0.0946999	0.059465	0.0283745	0.204113	0.000468501	0.00267234	0.0100021	0.0743485	0.00370009	0.0963238	0.112496	0.0897467	0.0612884	0.126737	0.216301	0.0702383	0.02976	0.117715	0.0368995	0.00940621	0.351076	0.0373168	0.0842456	0.0577443	0.0404049	0.0300131	0.0117646	0.0971298	0.261132	0.0252997	0.0906295	0.00741652	0.0110247	0.0152513	0.187566	0.093	0.175853	0.001891	0.00191354	0.0493693	0.356102	0.18391	0.00113837	0.221705	0.0468835	0.0755468	0.0048383	0.0140531	0.00595025	0.105985	0.00705507	0.172573	0.363211	0.000265118	0.0348611	0.295934	0.215466	0.00888977	0.00604317	0.0837171	0.0255504	0.304459	0.0660815	0.0354907	0.0171233	0.0446968	0.00273205	0.126255	0.0762042	0.0414353	0.0285251	0.121108	0.0171482	0.0811323	0.118056	0.0195131	0.457683	0.31219	0.0282981	0.159228	0.50867	1.01666	2.31544	4	10.68852
8000	-2163.825	-2179.691	15.86609	2	0.8362121	0.0768146	0.0334408	0.122593	0.0262892	0.0213544	0.00319535	0.00806823	0.00568604	0.0760425	0.0480265	0.0479431	0.00147337	0.0131621	0.00372268	0.019072	0.0490587	0.00147824	0.00603851	0.0246004	0.0446223	0.0685759	0.00827496	0.0144613	0.00458803	0.0573509	0.0263388	0.00300364	0.00507084	0.00781068	0.000948844	0.00369925	0.0062205	0.00910606	0.0610481	0.0316703	0.0867792	0.647407	0.0245214	0.0375053	0.00712246	0.00959791	0.0303613	0.181548	0.0255519	0.00694398	0.0104047	0.0115596	0.187523	0.0882426	0.0161531	0.0353813	0.0331411	0.0365631	0.12465	0.0129182	0.00230268	0.0348159	0.181559	0.0660637	0.0235147	0.0743546	0.066708	0.000438634	0.0656832	0.00344724	0.00969302	0.0170681	0.0544562	0.0668404	0.0381502	0.054272	0.0179615	0.0126679	0.145179	0.0373491	0.285718	0.0534719	0.121682	0.0966323	0.0224716	0.0397579	0.101458	0.0203193	0.100266	0.0382764	0.0146299	0.0799849	0.0360077	0.0414004	0.0451509	0.241421	0.174365	0.0458098	0.051367	0.00248103	0.105307	0.00443272	0.0785436	0.18482	0.0235467	0.0599198	0.0804475	0.0880842	0.033567	0.113858	0.0825877	0.0119025	0.0516266	0.0185679	0.125374	0.208515	0.0589538	0.0552149	0.248463	0.0764135	0.219563	0.020403	0.0610428	0.0210727	0.222471	0.0480656	0.00659771	0.0669432	0.0492906	0.0212484	0.039758	0.012432	0.0203014	0.000861557	0.0922354	0.00844732	0.32733	0.00471377	0.0821168	0.0133304	0.0559103	0.012287	0.103238	0.421315	0.966505	2.50894	4	8.256487
9000	-2180.938	-2183.595	2.657123	2	0.6830431	0.192079	0.294055	0.0290713	0.0109517	0.0187057	0.00543483	0.0211209	0.128113	0.0522539	0.0680242	0.0279436	0.0171795	0.0110589	0.0209495	0.045839	0.0426209	0.0147088	0.0754939	0.0142181	0.0186419	0.043006	0.0123155	0.0209496	0.0159028	0.156338	0.00547297	0.034619	0.0127121	0.0076295	0.0853396	0.0040376	0.00459518	0.0681118	0.0127429	0.0515946	0.0963801	0.234267	0.111261	0.252474	0.00818223	0.00965725	0.0229399	0.0693792	0.0195954	0.0114977	0.0105994	0.00150751	0.336743	0.01442	0.00237695	0.0299749	0.0271575	0.0572701	0.0543646	0.0654857	0.0169001	0.0643005	0.404483	0.101088	0.0183136	0.130797	0.02272	0.0490789	0.042802	0.0122895	0.0152751	0.0323788	0.030391	0.0260174	0.0402649	0.0613122	0.311668	0.0136319	0.249823	0.0469361	0.249029	0.168009	0.0768323	0.34936	0.00786548	0.0366794	0.0130483	0.00345049	0.091649	0.00805004	0.0398005	0.0182441	0.0303813	0.00466838	0.0350657	0.0602874	0.170106	0.0341617	0.0481373	0.0698619	0.0133272	0.00396254	0.121573	0.23017	0.111497	0.0379237	0.0302698	0.00397858	0.0237504	0.100576	0.0616667	0.0289297	0.00318932	0.0405298	0.315844	0.144649	0.464205	0.138336	0.141803	0.00844203	0.0509159	0.0194684	0.0562422	0.137158	0.0543593	0.147485	0.070463	0.0789724	0.0220271	0.0375169	0.108421	0.0930422	0.0696645	0.0338577	0.0353078	0.0540712	0.0828554	0.00277078	0.00629856	0.143519	0.0495795	0.0246919	0.0705705	0.355418	0.918419	2.65559	4	9.687835
