Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	brlens[92]	brlens[93]	brlens[94]	brlens[95]	brlens[96]	brlens[97]	brlens[98]	brlens[99]	brlens[100]	brlens[101]	brlens[102]	brlens[103]	brlens[104]	brlens[105]	brlens[106]	brlens[107]	brlens[108]	brlens[109]	brlens[110]	brlens[111]	brlens[112]	brlens[113]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-5180.186	-5293.919	113.7329	10	2.707046	0.0536343	0.0331957	0.180608	0.0829511	0.239935	0.156053	0.165199	0.00412814	0.0589262	0.323591	0.188776	0.0761863	0.110867	0.00546073	0.0313347	0.0678468	0.0622384	0.00257629	0.535524	0.0653366	0.0900318	0.177822	0.103257	0.0516296	0.00853009	0.187192	0.0535524	0.060448	0.0764613	0.701492	0.0609195	0.476193	0.0716762	0.0396255	0.0904008	0.174699	0.0679566	0.221513	0.0201454	0.0578061	0.0510082	0.0136788	0.344683	0.204417	0.0532143	0.0521722	0.159212	0.00312765	0.161925	0.00334494	0.155522	0.106021	0.415035	0.121135	0.0583608	0.0475587	0.121576	0.0790751	0.0164509	0.0492454	0.218882	0.135314	0.134373	0.0166957	0.167945	0.116426	0.121308	0.0675418	0.153205	0.0537861	0.0976127	0.100966	0.0529965	0.00428993	0.106759	0.0134679	0.0291645	0.00160432	0.0301459	0.231464	0.0225707	0.00918119	0.0989224	0.00327549	0.395366	0.027583	0.0160535	0.019824	0.157865	0.265993	0.275871	0.0573509	0.0933205	0.0396828	0.135802	0.400959	0.026767	0.0339791	0.0816123	0.324731	0.166015	0.0785705	0.092412	0.178904	0.025794	0.115097	0.0895308	0.0303188	0.0270264	0.180836	0.0370904	0.0329151	0.231644	0.365247	0.713899	1.08063	1.84022	5	13.07929
1000	-2442.907	-2607.68	164.7729	10	0.9861948	0.0635904	0.120801	0.00327929	0.100307	0.236144	0.00638789	0.011201	0.0391876	0.017427	0.0161835	0.00647818	0.0301061	0.00508193	0.0449683	0.028585	0.0424327	0.00876037	0.00683752	0.225089	0.0057569	0.0235723	0.257809	0.181571	0.146294	0.00322266	0.010486	0.0100582	0.00711039	0.0305627	0.0100618	0.0153137	0.0336336	0.040327	0.00630766	0.0188162	0.000887999	0.026733	0.0638504	0.0260317	0.0710701	0.107235	0.0302049	0.0223631	0.062879	0.0984356	0.124602	0.0122552	0.0039647	0.00208854	0.0169054	0.0807558	0.0259696	0.0394188	0.0192395	0.0170204	0.0764844	0.0325866	0.0340782	0.0179602	0.0616287	0.115654	0.175449	0.0375302	0.0111349	0.090347	0.123896	0.748735	0.000314002	0.016174	0.0237179	0.0715589	0.154025	0.037691	0.0527219	0.00432956	6.32413e-05	0.0226128	0.00290284	0.0912991	0.413567	0.124888	0.118217	0.0200458	0.00554885	0.138332	0.0277169	0.0807717	0.271532	0.0192574	8.88573e-05	0.0118378	0.0598623	0.0516345	0.0312724	0.102598	0.124201	0.00107792	0.328491	0.0213015	0.0746557	0.0973536	0.0120039	0.0482838	8.63975e-05	0.0288558	0.00197182	0.200763	0.00823776	0.0093094	0.0585249	0.00110235	0.000645787	0.285768	0.134191	0.472563	0.997674	2.39557	5	7.448361
2000	-2462.526	-2627.207	164.6812	10	1.034279	0.126235	0.0837753	0.0238254	0.0972759	0.207923	0.00449274	0.000960871	0.0444223	0.00897113	0.0527619	0.00191401	0.0203352	0.00943243	0.0603459	0.0138041	0.0521768	0.0775157	0.123996	0.0133149	0.0057286	0.0114533	0.0602915	0.0410649	0.086299	0.000315408	0.00554407	0.00894785	0.000440161	0.00927888	0.0206221	0.0137865	0.0192344	0.0159862	0.0105521	0.119145	0.0245698	0.0693555	0.0567194	0.0342785	3.54282e-05	0.1985	0.0798941	0.00600222	0.00427987	0.00862958	0.0278718	0.025194	0.0116175	0.0104117	0.00474596	0.0544377	0.0229651	0.00609785	0.00702841	0.0288311	0.0293877	0.0556013	0.0651977	0.0106823	0.00270471	0.0341608	0.111213	0.0214972	0.0120025	0.0285022	0.0807374	0.627241	0.00855378	0.0663608	0.0705697	0.0744469	0.00817198	0.0111044	0.250433	0.227628	0.0573083	0.055223	0.00503722	0.281602	0.283211	0.040783	0.000703585	0.0118865	0.139017	0.385698	0.1236	0.00180778	0.0176368	0.034834	0.031764	0.137748	0.125398	0.00973479	0.0795171	0.0327533	0.22471	0.000132322	0.119017	0.0299778	0.0314488	0.07198	0.0153772	0.0183911	0.00871621	0.073153	0.0271327	0.0857114	0.228929	0.0190612	0.0474245	0.0509639	0.0138351	0.338487	0.143742	0.486818	1.00546	2.36398	5	7.189541
3000	-2440.942	-2603.739	162.7976	10	0.7668365	0.0630583	0.0909115	0.0208154	0.132776	0.215581	0.00300505	0.00917433	0.0302024	0.0215293	0.00162642	0.0105478	0.0293665	0.00137206	0.0360926	0.00115133	0.0325194	0.0237645	0.042273	0.0847018	0.00482649	0.010183	0.096384	0.0123715	0.0528521	0.0178501	0.00676093	0.00335218	0.000114063	0.0128339	0.0123974	0.0279151	0.0447147	0.080649	0.0388447	0.00471099	0.0517015	0.0697669	0.0623754	0.0557646	0.0574517	0.136626	0.00414932	0.00406274	0.0427082	0.0129155	0.022161	0.0312504	0.00769524	0.000335488	0.0456873	0.0650981	0.0723334	0.0312702	0.101924	0.00241272	0.00961065	0.040454	0.0987507	0.0750643	0.00948438	0.191323	0.0015718	0.0697878	0.00120718	0.0272868	0.117828	0.828154	0.00509134	0.00778853	0.0154446	0.119072	0.0355098	0.147099	0.00789485	0.130678	0.0464895	0.0269621	0.00816772	0.0884458	0.620476	0.0179391	0.0108997	0.143122	0.101237	0.00425137	0.310469	0.0673999	0.0129205	0.21466	0.0850822	0.153201	0.046489	0.0341189	0.00667352	0.116925	0.0675542	0.0125185	0.0586475	0.0359715	0.0159919	0.0694564	0.015994	0.0119347	0.00714996	0.014502	0.00371174	0.0652244	0.172715	0.0712921	0.0114058	0.142345	0.0561035	0.296633	0.088485	0.393431	0.947324	2.57076	5	7.339099
4000	-2460.353	-2611.022	150.6693	10	1.229057	0.0739483	0.197213	0.106352	0.173414	0.130048	0.00823125	0.0163211	0.0851909	0.0703425	0.0702349	0.00819753	0.0185112	0.0140431	0.0638348	0.0283277	0.0146074	0.00502863	0.0144233	0.0896001	0.0186618	0.0111179	0.217769	0.230721	0.0580154	0.00549348	0.000161365	0.00156881	0.00175796	0.0142868	0.0137538	0.00688224	0.0549272	0.0516123	0.00198325	0.0431405	0.136304	0.261262	0.0333841	0.0702332	0.0613986	0.100219	0.0426433	0.00804459	0.0453917	0.0186471	0.0241643	0.0444689	0.0125282	0.0333404	0.0210681	0.0311454	0.0559862	0.0227365	0.0309928	0.0102472	0.0111723	0.0630851	0.0023319	0.00851139	0.000325013	0.334936	0.00281364	0.09395	0.00399832	0.130442	0.149225	0.394053	0.22153	0.132442	0.00335471	0.00249695	0.103987	0.0143672	0.0194666	0.00593597	0.188965	0.160941	0.0028396	0.0136485	0.507843	0.0240154	0.0159029	0.0348682	0.160078	0.0130779	0.00560864	0.0172868	0.0568936	0.0204943	0.0164962	0.0114548	0.0121937	0.0779645	0.0302648	0.0246593	0.0113403	0.158306	0.0521276	0.110126	0.00341675	0.0755284	0.0139952	0.00850442	0.141206	0.305828	0.00977754	0.0572561	0.238979	0.0263118	0.01256	0.080945	0.1129	0.25734	0.180279	0.536223	1.02957	2.25393	5	7.754295
5000	-2480.583	-2626.155	145.5713	10	1.040959	0.0674762	0.194936	0.00225526	0.111115	0.251438	0.0183547	0.0379147	0.0775637	0.0230705	0.0074344	0.0351179	0.0350313	0.0107299	0.0161034	0.00912237	0.0203738	0.0172079	0.0210708	0.00157182	0.0101641	0.0224266	0.151601	0.139347	0.0572065	0.00689155	0.0197091	0.00668393	0.0151826	0.0456853	0.0143252	0.0296857	0.0510768	0.00314892	0.0407455	0.0233163	0.00136798	0.070913	0.012925	0.167962	0.0949274	0.222804	0.0449831	0.007272	0.035193	0.0464657	0.0269541	0.0153482	0.0659912	0.0261861	0.0082265	0.107709	0.0392142	0.0670045	0.0569103	0.0143351	0.0336892	0.015388	0.42961	0.0279213	0.0178466	0.198568	0.0198526	0.0299193	0.00208747	0.0661621	0.218113	0.447061	0.0646328	0.000391287	0.037918	0.340364	0.0333966	0.192313	0.0263119	0.21621	0.00627658	0.193236	0.00378483	0.0900087	0.437256	0.00768938	0.00881978	0.0805514	0.167869	0.143611	0.00337825	0.0959491	0.0300018	0.00999609	0.00288421	0.000145775	0.0733603	0.0139162	0.206579	0.0146145	0.0269221	0.0241012	0.294336	0.226512	0.0117993	0.0845197	0.157489	0.373427	0.157772	0.141647	0.0187278	0.284664	0.247048	0.1624	0.12464	0.0915191	0.000312123	0.401621	0.145053	0.488726	1.00647	2.35975	5	9.564916
6000	-2448.979	-2618.42	169.4414	10	0.8735667	0.0933651	0.104697	0.0404824	0.0562819	0.22875	0.00339111	0.00553209	0.0643471	0.0636547	0.0328517	0.00665146	0.0170708	0.0304562	0.0233615	0.0100378	0.040311	0.0336718	0.00917894	0.0528937	0.00760323	0.0191175	0.0311752	0.0695814	0.0872179	0.00294134	0.00904431	0.00816688	0.0208237	0.0380427	0.0199161	0.0340154	0.0447088	0.0261301	0.00847399	0.0151384	0.00563142	0.17479	0.00266727	0.0292762	0.0711745	0.146689	0.0209732	0.00760295	0.0603118	0.0337349	0.0147283	0.00299964	0.00529486	0.0262772	0.000756452	0.122273	0.0469492	0.00668181	0.0869554	0.169213	0.0584112	0.0391696	0.0570245	0.0953513	0.196942	0.00280875	0.162889	0.00575998	0.0176095	0.0221123	0.233593	0.268295	0.129954	0.0919559	0.143076	0.14926	0.112846	0.133967	0.0708529	0.0855448	0.0471176	0.00464211	0.00315206	0.0448867	0.582064	0.0166895	0.00425825	0.00106514	0.1582	0.194556	0.00937649	0.142839	0.0121814	0.00430921	0.00349485	0.012438	0.215145	0.0263261	0.0922022	0.314806	0.0879207	0.0126963	0.082307	0.00110184	0.0517533	0.0573841	0.115097	0.0584298	0.16428	0.0299345	0.0295499	0.0211863	0.0105393	0.0356289	0.03693	0.0027724	0.01306	0.35269	0.11109	0.435149	0.975426	2.47834	5	7.524498
7000	-2461.504	-2618.012	156.5077	10	0.9316757	0.0209972	0.155101	0.0266281	0.124997	0.079081	0.00480159	0.0201311	0.010821	0.0614946	0.0391541	0.01763	0.0466626	0.000416827	0.0341386	0.0071276	0.0383274	0.0072518	0.0221277	0.000178011	0.00775057	0.0348417	0.0140193	0.15664	0.0439331	0.0125673	0.00336646	0.00245778	0.0100902	0.0457045	0.0204663	0.00568567	0.0169005	0.0891371	0.044002	0.0293917	0.0285371	0.00686008	0.0139236	0.0728899	0.0382443	0.120478	0.0126335	0.00775911	0.0363539	0.085641	0.0101978	0.118537	0.00622185	0.00670226	0.0305742	0.149814	0.0370868	0.0111494	0.00144486	0.0163501	0.0130727	0.0786172	0.0513207	0.0110972	0.203229	0.0320636	0.0767106	0.236574	0.0138154	0.0791941	0.0187938	0.390311	0.21599	0.00654534	0.113444	0.115643	0.0227512	0.0185089	0.226971	0.00933443	0.0494628	0.140049	0.043793	0.0290488	0.666198	0.0154054	0.00721952	0.0575893	0.149922	0.0944824	0.00038106	0.15671	0.00653585	0.0885819	0.0028588	0.00116553	0.195822	0.0854676	0.0159692	0.0684828	0.0134721	0.0348846	0.565431	0.0695889	0.0395621	0.0468867	0.0191962	0.395505	0.33944	0.0232315	0.204014	0.0773986	0.0134642	0.227661	0.169506	0.384017	0.00890697	0.338594	0.123128	0.455206	0.987687	2.43398	5	8.845309
8000	-2442.688	-2608.616	165.9275	10	0.8636776	0.198785	0.0998103	0.0797477	0.303812	0.13531	0.00483676	0.0050272	0.0307909	0.010136	0.023717	0.0193386	0.002209	0.0213486	0.0593129	0.0054824	0.0228463	0.00717139	0.0779452	0.0235857	0.000602263	0.00381845	0.0948309	0.215922	0.0415164	0.00359338	0.00776015	0.0385547	0.0136674	0.00538809	0.0191757	0.030871	0.0168857	0.0305363	0.028203	0.0032728	0.000660631	0.0428717	0.024277	0.0239801	0.01902	0.138954	0.0292493	0.00711493	0.0584396	0.00357679	0.0164844	0.0732383	0.0226603	0.0329962	0.00516571	0.0227749	0.00681564	0.00295259	0.0233052	0.0425509	0.0516397	0.0322716	0.0112319	0.0092944	0.178178	0.182566	0.0115667	0.00281443	0.00685355	0.0031424	0.00060336	0.317521	0.0140723	0.183073	0.143317	0.0327718	0.0585012	0.101995	0.125554	0.0160238	0.260155	0.034955	0.0318445	0.150935	0.592739	0.025481	0.0237427	0.0407236	0.102754	0.0605653	0.027244	0.298596	0.314433	0.0201059	0.232059	0.0178116	0.0694259	0.0932743	0.0314142	0.0432496	0.0336216	0.141021	0.230583	0.0560728	0.00990544	0.034236	0.0854193	0.167904	0.0189576	0.24467	0.108687	0.0953149	0.0153845	0.0285557	0.0147525	0.270533	0.0942006	0.34499	0.109019	0.431561	0.973149	2.48627	5	8.232206
9000	-2463.566	-2625.854	162.2882	10	0.632488	0.0592908	0.132723	0.0377784	0.124096	0.0587289	0.0396525	0.0064787	0.0302305	0.0179051	0.0101261	0.000420482	0.00875582	0.0506506	0.0618586	0.0183247	0.00911856	0.00422651	0.00376735	0.178608	0.011313	0.0318145	0.0188973	0.10612	0.0168352	0.0039875	0.00150458	0.00499589	0.00825735	0.0491594	0.0290114	0.0299122	0.00977244	0.0556153	0.0271476	0.0228599	0.0143606	0.0124121	0.0431693	0.0290397	0.156657	0.0396549	0.0234064	0.0162453	0.0766469	0.0335967	0.0523547	0.0426683	0.00158773	0.013743	0.0110928	0.129091	0.0845553	0.059164	0.00305729	0.0149741	0.00961304	0.0466837	0.0419545	0.0221213	0.00588286	0.100969	0.126352	0.0800802	0.0242209	0.0774856	0.000108802	0.479296	0.118323	0.01583	0.0552872	0.0159081	0.0889825	0.00326292	0.0449302	0.0647506	0.056619	0.126092	0.0131921	0.193472	0.509128	0.018818	0.0166804	0.00190714	0.0834764	0.297315	0.179847	0.152104	0.28469	0.239293	0.022096	0.0235903	0.0170119	0.0907448	0.0177416	0.2071	0.0291043	0.00166053	0.174451	0.0529259	0.00806163	0.112245	0.0218898	0.29287	0.0380406	0.0293653	0.0363551	0.109935	0.0397856	0.0118233	0.0258954	0.154464	0.0591978	0.31922	0.0598704	0.329856	0.897029	2.71324	5	7.627671
