Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-230.9728	-250.417	19.4442	10	0.4316661	0.260022	0.0338971	0.522687	0.217277	0.328903	0.0466104	0.149717	0.0410795	0.0443972	0.128622	0.0219866	0.0222188	0.103393	0.192152	0.235452	0.0215352	0.20499	0.763393	3.01008	5	2.348414
1000	-174.016	-204.3976	30.38168	10	0.3428335	0.365241	0.0344501	0.0747236	0.138481	0.0291012	0.0699406	0.173715	0.175404	0.00357567	0.122642	0.0260846	0.0519364	0.0640769	0.0397168	0.0752584	0.00940318	0.137974	0.6612	3.19142	5	1.444347
2000	-188.3873	-209.4265	21.03922	2	0.3470162	0.313571	0.022535	0.0501584	0.0340807	0.12578	0.155242	0.159635	0.0129814	0.00608174	0.220044	0.0709943	0.0913295	0.0701269	0.113244	0.019939	0.00987034	0.141233	0.666939	3.18196	4	1.465743
3000	-182.3147	-205.839	23.52437	10	0.2248941	0.517584	0.0704594	0.0706253	0.183879	0.371552	0.268009	0.0533598	0.135549	0.0377434	0.0778343	0.133311	0.024439	0.00594025	0.0202602	0.0918936	0.00114046	0.0492575	0.445471	3.50413	5	2.062439
4000	-190.0028	-209.9688	19.966	2	0.7438024	0.26143	0.0413306	0.00969785	0.0950821	0.138956	0.0442759	0.0460294	0.205814	0.06169	0.0692071	0.137826	0.105743	0.136981	0.0416843	0.124838	0.0835584	0.383485	0.940078	2.59288	4	1.520585
5000	-177.5739	-208.0299	30.45599	10	1.096946	0.142075	0.120526	0.0649294	0.00863822	0.245113	0.0540672	0.0099316	0.0709133	0.044972	0.0729163	0.0566145	0.147304	0.283529	0.172864	0.149256	0.155881	0.50407	1.01437	2.32567	5	1.64365
6000	-174.4789	-205.7727	31.29378	10	0.7736605	0.231359	0.0602842	0.166168	0.0289604	0.142968	0.0171226	0.0843222	0.125344	0.0315573	0.0249607	0.181994	0.0487356	0.100312	0.112068	0.0713634	0.0899429	0.396309	0.949381	2.56437	5	1.427519
7000	-178.6675	-205.453	26.78549	10	0.1559453	0.191179	0.0700045	0.0550341	0.063322	0.212803	0.11107	0.0547052	0.17489	0.0277178	0.143907	0.484732	0.0513152	0.102651	0.0871024	0.0745307	7.54319e-05	0.0128197	0.259677	3.72743	5	1.904965
8000	-191.0111	-207.0342	16.02301	2	0.2647702	0.33987	0.028592	0.0622117	0.0301134	0.0104116	0.0957002	0.166186	0.0833618	0.105136	0.000281654	0.174409	0.274028	0.16072	0.0457026	0.353724	0.00287276	0.0775451	0.531616	3.38797	4	1.930447
9000	-191.5886	-207.9027	16.31411	2	0.4263533	0.501218	0.268231	0.00620765	0.0220832	0.181254	0.111836	0.108825	0.236447	0.0428907	0.0398173	0.149365	0.129459	0.0522478	0.11282	0.159143	0.0206926	0.201153	0.758292	3.01986	4	2.121844
10000	-195.9371	-206.1182	10.18112	1	0.1569067	0.271216	0.000442073	0.0556542	0.276491	0.221819	0.0148852	0.0721885	0.00383204	0.0991384	0.0619919	0.323353	0.108805	0.436647	0.262351	0.0893629	7.96434e-05	0.0131709	0.262546	3.7242	3	2.298176
11000	-179.9721	-209.8763	29.90423	10	0.2204953	0.28226	0.172067	0.0485883	0.00565933	0.0850021	0.0205335	0.147603	0.0929148	0.0690493	0.160087	0.0113351	0.321377	0.0598047	0.0266218	0.0446512	0.00100905	0.0463724	0.435009	3.51761	5	1.547555
12000	-190.0177	-205.6191	15.60132	1	0.5409891	0.212261	0.0826006	0.0153046	0.0732968	0.00380288	0.466173	0.03712	0.088492	0.0244429	0.117136	0.0626251	0.141728	0.162777	0.0444494	0.185538	0.0412137	0.277835	0.847945	2.83301	3	1.717747
13000	-195.0779	-209.4585	14.38052	2	0.8656106	0.509163	0.0637809	0.0428355	0.163548	0.0181996	0.0216546	0.15174	0.168174	0.016257	0.0379649	0.192027	0.228181	0.10912	0.130656	0.112019	0.109424	0.432267	0.973599	2.48471	4	1.965322
14000	-170.9034	-207.633	36.72966	10	0.1201577	0.269009	0.0529923	0.0541726	0.104261	0.0547032	0.0601017	0.161828	0.026789	0.046696	0.0405159	0.01604	0.101979	0.0138874	0.117643	0.0499708	5.37096e-06	0.00343628	0.151386	3.84517	5	1.17059
15000	-176.6128	-203.3473	26.73452	10	0.943513	0.309253	0.140779	0.0101195	0.0531777	0.140457	0.159275	0.101821	0.135778	0.00856375	0.057778	0.447173	0.0588342	0.102981	0.0813472	0.0616371	0.12555	0.459089	0.989971	2.42539	5	1.868973
16000	-185.1591	-209.4303	24.27117	2	0.2161693	0.217187	0.071109	0.0205563	0.245438	0.134687	0.102266	0.0288566	0.0378601	0.0176515	0.172194	0.0168585	0.0235295	0.0757657	0.131037	0.0121479	0.000890241	0.0435932	0.424528	3.53099	4	1.307144
17000	-178.4813	-212.5953	34.11395	10	0.3161578	0.189586	0.134771	0.0505688	0.0938834	0.0111996	0.0443231	0.0206769	0.0524543	0.0120017	0.143852	0.0181197	0.271071	0.0780088	0.166074	0.0301745	0.00669721	0.117109	0.621966	3.25423	5	1.316766
18000	-188.8721	-206.3751	17.50306	1	0.5200397	0.157125	0.00553014	0.0430711	0.0823904	0.0485722	0.14741	0.0125486	0.176453	0.0339001	0.0603492	0.138109	0.139815	0.21865	0.0963233	0.169422	0.0371594	0.264797	0.834319	2.86372	3	1.529669
19000	-183.6965	-206.8684	23.17198	2	0.1075044	0.187849	0.0221061	0.176442	0.0781464	0.0480371	0.0720338	0.036861	0.0654629	0.00634261	0.147586	0.179648	0.074329	0.312954	0.041067	0.0114284	1.3841e-06	0.00174669	0.11448	3.88377	4	1.460294
20000	-171.0589	-202.0474	30.9885	10	0.1467841	0.230369	0.0075562	0.0299732	0.0329803	0.12541	0.0734222	0.0427372	0.070905	0.0306578	0.176962	0.145544	0.0497329	0.156331	0.141614	0.0115724	4.33703e-05	0.00973309	0.232105	3.75812	5	1.325767
21000	-183.3119	-207.7083	24.39642	2	0.2059312	0.131173	0.0309473	0.0871482	0.000364781	0.13627	0.0515633	0.0361537	0.121521	0.0233615	0.0631545	0.0705228	0.0585148	0.107661	0.258825	0.00519417	0.000648062	0.0372658	0.39896	3.56313	4	1.182375
22000	-195.0986	-209.0496	13.95102	2	0.4122871	0.403478	0.0964238	0.0995313	0.107103	0.254114	0.02708	0.255853	0.0463095	0.00617909	0.0163616	0.0843242	0.093931	0.168883	0.157984	0.0295785	0.0185262	0.190874	0.744241	3.04636	4	1.847134
23000	-176.7623	-206.6025	29.84019	10	0.2545941	0.336707	0.0459038	0.0306508	0.0776837	0.0960695	0.0710686	0.092702	0.117823	0.118792	0.234344	0.212222	0.0609501	0.00587565	0.0365371	0.0811155	0.00233282	0.0700272	0.511074	3.41657	5	1.618445
24000	-181.5952	-205.7796	24.18443	10	0.6643644	0.128354	0.0416549	0.0606838	0.159161	0.119534	0.179886	0.156596	0.296271	0.0154458	0.122512	0.0127243	0.0880788	0.281372	0.124112	0.0180837	0.0665988	0.34622	0.910912	2.67627	5	1.804468
25000	-189.8233	-207.6099	17.7866	10	0.8380532	0.637914	0.0300662	0.154201	0.354923	0.126864	0.140377	0.228629	0.251571	0.0316463	0.146259	0.147793	0.335966	0.133289	0.0980025	0.0615891	0.103626	0.422015	0.966966	2.50739	5	2.87909
26000	-177.0243	-206.1873	29.16303	10	0.1742457	0.38481	0.0896212	0.0352981	0.0448115	0.0442339	0.06949	0.187494	0.103861	0.00597152	0.0280784	0.16444	0.150456	0.115011	0.0984805	0.0340972	0.00019137	0.0203623	0.313208	3.66624	5	1.556154
27000	-189.1258	-211.7296	22.6038	10	0.3520689	0.264927	0.0323469	0.0240339	0.181247	0.0183162	0.0829427	0.31274	0.155864	0.205851	0.0633312	0.180804	0.161651	0.147408	0.0999267	0.100958	0.0104497	0.145163	0.673733	3.17065	5	2.032348
28000	-184.8763	-208.7773	23.90094	10	1.805895	0.130816	0.193901	0.0290791	0.402129	0.180777	0.167934	0.0815307	0.109963	0.00991673	0.0433844	0.131599	0.275701	0.103501	0.13018	0.186535	0.268949	0.632647	1.06428	2.03413	5	2.176947
29000	-191.2013	-210.7288	19.52744	10	0.3494195	0.432716	0.00722358	0.0999738	0.13258	0.385849	0.129075	0.0498392	0.157096	0.0068879	0.0157373	0.0737911	0.346986	0.22412	0.0153728	0.144487	0.0101439	0.143104	0.67019	3.17656	5	2.221735
30000	-182.5636	-208.3805	25.81688	10	0.3072852	0.29605	0.184781	0.118278	0.0114762	0.10676	0.00911969	0.0333022	0.0305702	0.052725	0.176151	0.186861	0.0590885	0.0791082	0.107472	0.158786	0.00590486	0.110173	0.607837	3.27608	5	1.61053
31000	-180.1448	-209.3567	29.21194	10	0.1576602	0.366861	0.0892005	0.0384551	0.18317	0.0586511	0.0942625	0.0372573	0.0464583	0.0282628	0.0053011	0.0865058	0.121803	0.0475392	0.0737313	0.15479	8.30689e-05	0.0134497	0.264791	3.72168	5	1.432249
32000	-184.0573	-206.8027	22.74537	10	0.6385674	0.439521	0.181118	0.0420675	0.0888467	0.119969	0.0273923	0.0846147	0.298889	0.0300597	0.0589049	0.1473	0.186257	0.230378	0.0688133	0.0668204	0.0611476	0.333043	0.899788	2.70602	5	2.070951
33000	-186.0334	-215.9568	29.92339	10	0.2441356	0.212927	0.0471267	0.0103518	0.121995	0.0927754	0.220067	0.193385	0.0692618	0.000251626	0.0870282	0.0381027	0.0399516	0.062357	0.0992172	0.0358866	0.00184962	0.0624887	0.488954	3.44671	5	1.330684
34000	-195.6358	-211.7274	16.09159	10	0.1997117	0.41031	0.0036349	0.102045	0.430473	0.12556	0.20951	0.0419279	0.431635	0.0455674	0.0370408	0.410044	0.0158889	0.0271343	0.283507	0.396185	0.00052593	0.0336093	0.382905	3.58296	5	2.970463
35000	-184.7328	-206.8649	22.13211	10	2.70567	0.355015	0.191706	0.0428792	0.279394	0.0415063	0.0340293	0.0544185	0.228491	0.016717	0.030604	0.00653401	0.178758	0.24098	0.254937	0.263906	0.365128	0.713809	1.08062	1.84044	5	2.219876
36000	-173.5841	-204.4939	30.90986	10	0.2301855	0.211193	0.000622462	0.0447244	0.00828306	0.0535568	0.0913066	0.010492	0.0798607	0.0176324	0.0480444	0.0681521	0.0780829	0.0461529	0.196554	0.0758159	0.00131323	0.0528019	0.457797	3.48809	5	1.030473
37000	-182.8415	-209.385	26.54355	10	3.395128	0.263514	0.0733644	0.0473079	0.0897022	0.128662	0.114208	0.267552	0.0729368	0.0918463	0.111178	0.0925592	0.101946	0.0438664	0.119692	0.106634	0.417694	0.751298	1.08388	1.74713	5	1.72497
38000	-194.2797	-212.3358	18.05614	10	0.3513246	0.475558	0.211108	0.0808316	0.0101125	0.185101	0.0429086	0.217301	0.0844756	0.0492375	0.024864	0.103448	0.0466021	0.311883	0.20675	0.167414	0.0103634	0.144585	0.672742	3.17231	5	2.217593
