Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1221.2	-1242.591	21.39132	10	0.3721601	0.170736	0.0191463	0.153156	0.204269	0.0274123	0.00365492	0.016719	0.0426718	0.029854	0.0918265	0.096787	0.157293	0.0508951	0.336203	0.159878	0.117648	0.00342815	0.313283	0.0389239	0.179262	0.108982	0.120402	0.0896832	0.010511	0.0118927	0.292891	0.107282	0.522726	0.116905	0.0630172	0.0669639	0.0329032	0.0737459	0.00581637	0.0470523	0.0129115	0.160674	0.699307	3.12711	5	3.883819
1000	-726.8218	-757.6499	30.82811	10	3.119803	0.00663061	0.0430391	0.121437	0.0423495	0.00816164	0.0530936	0.100285	0.0637231	0.000869541	0.100591	0.0254047	0.146662	0.0019015	0.0533541	0.0094335	0.155153	0.00672197	0.0445786	0.0455926	0.178141	0.0649741	0.0306656	0.0906905	0.0624424	0.190462	0.0716155	0.0616198	0.114388	0.0518404	0.0054153	0.110886	0.160108	0.0629278	0.156316	0.220265	0.398323	0.737953	1.08305	1.78068	5	2.661739
2000	-731.3851	-762.5465	31.16138	10	3.782235	0.0539957	0.0475722	0.0523416	0.0143866	0.0238282	0.010812	0.00629239	0.0171306	0.0153055	0.0193806	0.037679	0.12574	0.00967464	0.0413907	0.0885822	0.114421	0.0273041	0.0417623	0.0294345	0.243748	0.0514989	0.273341	0.0151149	0.0832544	0.161206	0.143564	0.106294	0.00946179	0.0436902	0.282545	0.0385252	0.204414	0.183736	0.102981	0.0912084	0.441984	0.767325	1.08437	1.70632	5	2.811616
3000	-735.5919	-758.3634	22.77151	2	3.07345	0.00798954	0.0586836	0.110391	0.0342236	0.0177439	0.0438657	0.0311636	0.0858557	0.00341141	0.0619371	0.020683	0.113322	0.00917186	0.0227977	0.0408658	0.115283	0.0160061	0.00733033	0.164473	0.333289	0.0582566	0.0793519	0.182743	0.0533653	0.0743646	0.159444	0.0345375	0.0220084	0.244884	0.0835809	0.0789989	0.105194	0.156639	0.077069	0.0272554	0.394865	0.735515	1.08286	1.78676	4	2.73618
4000	-719.6099	-752.5152	32.90527	10	2.739695	0.0146032	0.11314	0.0018399	0.0103701	0.0069236	0.100999	0.0548701	0.0370157	0.00541422	0.0447009	0.00450367	0.0521485	0.0541437	0.0465724	0.016698	0.0892975	0.0137397	0.086143	0.037934	0.295014	0.0726787	0.147968	0.0472048	0.183906	0.189516	0.020412	0.118758	0.0496003	0.179822	0.0511514	0.0450844	0.134352	0.0446335	0.0941083	0.0669307	0.368065	0.716015	1.08089	1.83503	5	2.532197
5000	-728.4222	-754.3636	25.94139	10	3.829064	0.00835065	0.144509	0.00716877	0.00518345	0.00230094	0.128676	0.000362739	0.0325989	0.0117372	0.081978	0.0268424	0.137014	0.00654381	0.0431763	0.0235284	0.150155	0.000945833	0.0606319	0.00177975	0.394551	0.0855184	0.00817392	0.119044	0.108304	0.204599	0.0428198	0.121375	0.195245	0.181573	0.10493	0.15458	0.130262	0.147862	0.0405257	0.00315545	0.444718	0.769083	1.08439	1.70181	5	2.916001
6000	-739.804	-761.1305	21.32649	2	1.983125	0.00507843	0.118951	0.0234791	0.0376965	0.0145313	0.0303996	0.181191	0.0579358	0.0223217	0.0626623	0.0149854	0.136238	0.0247768	0.0240893	0.0112337	0.0792817	0.0118661	0.0644302	0.0590507	0.186555	0.0446176	0.0247816	0.0936513	0.106442	0.189611	0.193783	0.0559974	0.108624	0.163907	0.0316462	0.0239832	0.148145	0.145001	0.0810183	0.12729	0.291252	0.653207	1.06956	1.98598	4	2.705251
7000	-748.2328	-770.2318	21.99898	2	1.51704	0.00896167	0.0525681	0.0662547	0.0635604	0.0470482	0.0553056	0.0148204	0.0367034	0.034464	0.084724	0.00211284	0.180211	0.021381	0.0617381	0.0858048	0.132816	0.00159203	0.118404	0.0556545	0.194139	0.0571127	0.0429717	0.175141	0.00806552	0.188558	0.0130275	0.0953836	0.0611959	0.214294	0.0383489	0.283956	0.10494	0.0150164	0.0860222	0.076114	0.227943	0.591368	1.05141	2.12928	4	2.77841
8000	-732.236	-758.4553	26.21934	2	1.233667	0.0182283	0.0965425	0.112813	0.00198484	0.00617094	0.0577619	0.0599333	0.0028726	0.0456584	0.028107	0.0175336	0.0251521	0.00218163	7.01702e-07	0.0123341	0.154031	0.00429859	0.0586909	0.0283434	0.233033	0.0366031	0.00308544	0.122671	0.0467133	0.0733785	0.0689418	0.112773	0.208851	0.038256	0.0404081	0.131627	0.195998	0.0631236	0.0249087	0.169127	0.181101	0.537254	1.03003	2.25162	4	2.302137
9000	-737.5684	-761.2759	23.7075	10	1.100795	0.00497125	0.0864226	0.0501679	0.0506558	0.0169832	0.0688757	0.00743772	0.0449233	0.00148387	0.0667932	0.0112044	0.0144807	0.0469492	0.00814318	0.0448577	0.0944138	0.0077573	0.0356999	0.0448077	0.416112	0.0790202	0.0328792	0.181771	0.0152632	0.120812	0.174033	0.0307759	0.0643963	0.311299	0.0439597	0.215494	0.087277	0.0535093	0.186257	0.1153	0.156615	0.505084	1.01488	2.32342	5	2.835187
10000	-724.0525	-750.026	25.97353	10	4.47668	0.00465753	0.00552119	0.0623618	0.0932393	0.00461531	0.0267527	0.00910797	0.0673283	0.0169746	0.0407355	0.00173304	0.0392895	0.0162776	0.0390541	0.0284414	0.162707	0.011094	0.0567896	0.0659831	0.0229024	0.113159	0.0989846	0.00441999	0.193424	0.052489	0.0945527	0.256844	0.161904	0.112665	0.107432	0.034606	0.110081	0.080931	0.13861	0.168363	0.478774	0.790232	1.08407	1.64692	5	2.504031
11000	-721.6651	-752.2799	30.61475	10	1.549144	0.0217571	0.134912	0.00199477	0.00277945	0.00440519	0.0264964	0.012279	0.0121353	0.0196334	0.0718574	0.0639286	0.0686379	0.0094276	0.0246232	0.0136944	0.144692	0.0365396	0.0533556	0.0591902	0.0473159	0.0832595	0.238169	0.0699563	0.0206848	0.235658	0.163081	0.236554	0.0876326	0.265078	0.00444749	0.0279931	0.133432	0.0993913	0.105789	0.174224	0.232815	0.596537	1.05318	2.11747	5	2.775005
12000	-726.4033	-758.8919	32.48857	10	1.769328	0.0119071	0.152472	0.0816277	0.0168293	0.0260581	0.040573	0.00877825	0.110718	0.0845939	0.0611589	0.00355889	0.0725952	0.0307164	0.0617795	0.0602622	0.158096	0.00724432	0.0594909	0.0495805	0.0765321	0.111274	0.0961317	0.059917	0.00783305	0.0500091	0.0684764	0.143147	0.0660721	0.0459138	0.202701	0.256837	0.169814	0.0737499	0.149515	0.0956387	0.264093	0.628006	1.06298	2.04492	5	2.771603
13000	-720.2911	-758.2812	37.99012	10	1.236796	0.00504106	0.0223094	0.0712365	0.0266257	0.0275391	0.0311972	0.0598921	0.0438222	0.0730117	0.0615115	0.0184301	0.0410571	0.00265368	0.0597825	0.0640289	0.189414	0.0109802	0.0600672	0.0216389	0.359358	0.0814255	0.00787784	0.0757549	0.0718949	0.124788	0.0451188	0.077615	0.0900573	0.0449395	0.0961283	0.0410707	0.0916728	0.0844049	4.78255e-05	0.131538	0.181658	0.53795	1.03034	2.25006	5	2.313931
14000	-738.905	-765.0306	26.12565	10	1.391398	0.0281565	0.0130037	0.0971647	0.0427359	0.0155051	0.0473715	0.175291	0.00612352	0.0202885	0.0169023	0.0202329	0.146544	0.0126227	0.088268	0.0027824	0.180421	0.0563001	0.07023	0.0349545	0.383808	0.267289	0.113883	0.307775	0.0373895	0.0265333	0.0842157	0.050285	0.0598169	0.177763	0.0773937	0.0633371	0.222224	0.0939935	0.284284	0.0458607	0.208048	0.569422	1.04335	2.17918	5	3.37075
15000	-740.5182	-763.7116	23.19335	2	1.574838	0.0158256	0.0392699	0.0729711	0.0339217	0.0136524	0.0756033	0.00692939	0.009447	0.0407581	0.0240429	0.00628484	0.0396555	0.00446865	0.0269522	0.00113694	0.284909	0.0584337	0.0339312	0.0214207	0.160581	0.0542081	0.0158787	0.100548	0.062136	0.0630419	0.102049	0.0576333	0.023202	0.187544	0.371872	0.141091	0.173473	0.0366859	0.0926217	0.0665298	0.236655	0.600557	1.05453	2.10826	4	2.518709
16000	-737.9236	-762.665	24.74148	10	1.750965	0.0071834	0.218568	0.0187029	0.0177634	0.0115066	0.083971	0.0307926	0.00322459	0.0229527	0.131261	0.00510863	0.0210664	0.0397217	0.0265257	0.0375377	0.0754953	0.0238375	0.0668453	0.0276999	0.339672	0.0713295	0.135594	0.16636	0.0202058	0.195202	0.184435	0.0651567	0.0604643	0.0294099	0.0503926	0.0743446	0.141913	0.0364437	0.187111	0.220362	0.26162	0.625618	1.0623	2.05046	5	2.848162
