Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1704.17	-1685.755	-18.41552	10	0.183646	0.174535	0.0310916	0.0102605	0.0580136	0.00985849	0.00292641	0.246967	0.023225	0.133348	0.419497	0.139721	0.0982391	0.00821599	0.152457	0.117225	0.0541018	0.0637842	0.203118	0.105732	0.170224	0.0906835	0.00209427	0.276569	0.551456	0.0479406	0.0161799	0.0327235	0.15451	0.278074	0.130776	0.0652923	0.00467216	0.064268	0.0635967	0.0839053	0.199315	0.0856796	0.505375	0.0152387	0.362885	0.229484	0.0529037	0.10117	0.161507	0.00508376	0.0167296	0.137063	0.612506	0.00655524	0.0182256	0.281843	0.0134242	0.0505587	0.123395	0.0744561	0.00600549	0.00495241	0.0764667	0.0837013	0.0941529	0.0785686	0.179605	0.0205652	0.158134	0.028961	0.0472507	0.491662	0.0152061	0.210726	0.0728632	0.04664	0.000287183	0.0249055	0.33965	3.63516	5	8.754142
1000	-942.1981	-958.832	16.63382	10	3.80712	0.0162006	0.100737	0.0539046	0.094482	0.0210615	0.052073	0.125153	0.0467026	0.0457733	0.157843	0.00309658	0.0399081	0.00475712	0.00656583	0.00393989	0.00796633	0.136481	0.000637934	0.128802	0.00932929	0.0243534	0.0291559	0.0183618	0.0319834	0.00575385	0.0136645	0.00287895	0.00916124	0.00995604	0.0344319	0.0216036	0.0199519	0.0439531	0.2346	0.126608	0.019567	0.240053	0.0103384	0.0151865	0.0921218	0.0814911	0.160129	0.106272	0.159941	0.00489457	0.258951	0.119458	0.192583	0.0127891	0.0417372	0.202602	0.119376	0.0622918	0.000651151	0.331163	0.0823996	0.230564	0.186205	0.127999	0.0192918	0.026014	0.183464	0.0513428	0.105993	0.018642	0.0613809	0.0136947	0.0686659	0.00784518	0.025712	0.0211982	0.443442	0.768263	1.08438	1.70392	5	5.143839
2000	-936.1338	-951.1639	15.03003	10	2.675642	0.0902892	0.0531727	0.0255409	0.133468	0.0784399	0.0256801	0.0176389	0.00313397	0.0771965	0.0943909	0.0046181	0.0546009	0.000492724	0.105348	0.0287939	0.0447125	0.0653176	0.0167177	0.0830774	0.0475603	0.0452386	0.0226916	0.0171091	0.00389942	0.0192345	0.0141379	0.00768334	0.00967468	0.0250648	0.100995	0.0211679	0.012058	0.0165841	0.0880258	0.566788	0.00903993	0.147247	0.0308555	0.0288207	0.0564968	0.222186	0.0221611	0.00694006	0.00833003	0.0492191	0.0850941	0.0215978	0.250294	0.0466461	0.000779882	0.104013	0.0350719	0.17324	0.134855	0.404926	0.174387	0.075601	0.0955286	0.194019	0.122331	0.0131194	0.133988	0.178968	0.0221539	0.101759	0.149732	0.280502	0.0501146	0.0348769	0.181877	0.00901244	0.362501	0.711825	1.08037	1.84531	5	5.676327
3000	-925.6889	-946.7352	21.04625	10	3.116547	0.0406514	0.0759008	0.0513098	0.0235123	0.0179014	0.00863076	0.00874799	0.055383	0.0292737	0.202045	0.022224	0.0125692	0.00880695	0.176718	0.01662	0.0161814	0.107247	0.050217	0.083787	0.0282871	0.00629169	0.0778898	0.0559334	0.0300246	0.00885712	0.00159949	0.0105794	0.0017423	0.00653768	0.0184428	0.0123459	0.0950987	0.164821	0.0264384	0.00882341	0.0444634	0.0408707	0.155006	0.143793	0.0671831	0.131825	0.0542713	0.0113472	0.132514	0.0410057	0.260406	0.0134137	0.0689754	0.00367207	0.0556863	0.159137	0.020405	0.0350174	0.0054552	0.0020686	0.171917	0.00475578	0.00186315	0.0652068	0.109767	0.0526451	0.0548577	0.106911	0.0519938	0.361894	0.142696	0.288166	0.150929	0.0585793	0.0159815	0.0132781	0.398082	0.737783	1.08303	1.7811	5	4.659395
4000	-933.2677	-956.8405	23.57288	10	4.293922	0.0577212	0.0225924	0.0775548	0.0775513	0.0679941	0.0956501	0.0430478	0.0778692	0.0584389	0.182216	0.012588	0.0207558	0.0079194	0.0110058	0.0465915	0.0172646	0.0155836	0.0304007	0.0846618	0.160583	0.00299909	0.124873	0.00803585	0.0300287	0.00711081	0.0363474	0.00537175	0.0426538	0.00959052	0.0361001	0.00719324	0.0376609	0.113423	0.0797099	0.058169	0.019596	0.0783685	0.0257621	0.0194029	0.24912	0.020281	0.0810531	0.121979	0.0169399	0.0380409	0.0141266	0.0445921	0.121415	0.00684476	0.0349128	0.12808	0.133349	0.0932428	0.0497172	0.0369995	0.189502	0.0107002	0.186076	0.081119	0.0155565	0.0621397	0.0281322	0.0803041	0.0902362	0.108398	0.0321756	0.509328	0.0271642	0.174406	0.135725	0.00452819	0.469814	0.784797	1.08425	1.66114	5	4.836572
5000	-928.2111	-952.7204	24.50929	10	2.214068	0.0472236	0.06015	0.0523082	0.0115105	0.0297635	0.0461784	0.00107973	0.0305387	0.0253833	0.0139463	0.0346203	0.0225391	0.00952143	0.0452649	0.0205854	0.0215013	0.0342546	0.00862871	0.0700945	0.0356891	0.00457571	0.0133769	0.0457206	0.0105492	0.00277443	0.00243653	0.00597794	0.0169178	0.114371	0.0241593	0.038302	0.0172196	0.00565954	0.135674	0.0587581	0.0527237	0.290638	0.0810774	0.0204972	0.0377861	0.00555141	0.0456428	0.0124371	0.171757	0.145546	0.134441	0.248676	0.0665246	0.163021	0.211382	0.22899	0.0602414	0.138712	0.0427706	0.0751686	0.217685	0.0234004	0.0786003	0.0175792	0.0762347	0.0879009	0.00843844	0.0751917	0.0170732	0.444394	0.0311777	0.191679	0.0917075	0.0243115	0.00520518	0.0732972	0.317555	0.676004	1.07453	1.93191	5	4.814715
6000	-943.5418	-957.4272	13.88537	2	3.040843	0.0446972	0.0863231	0.0301322	0.0327738	0.0238642	0.00381953	0.086064	0.0283047	0.129815	0.0652032	0.0404233	0.0250374	0.0247748	0.085038	0.0114412	0.0672518	0.0279587	0.073625	0.0134295	0.00351432	0.0435455	0.0121385	0.00488362	0.0214192	0.000163575	0.0284746	0.0637619	0.0477672	0.0431044	0.0784691	0.0211743	0.00514772	0.042232	0.0583239	0.0293924	0.139947	0.0101489	0.0883212	0.076283	0.026935	0.0451889	0.165128	0.0834326	0.150326	0.0755755	0.120133	0.168897	0.080366	0.22932	0.0154455	0.0316621	0.0019625	0.00736072	0.13453	0.00261725	0.0684733	0.0708986	0.00780454	0.207505	0.0558268	0.0110213	0.3142	0.117117	0.112405	0.168398	0.0351634	0.1284	0.0488293	0.0693156	0.106023	0.163344	0.392397	0.733765	1.08271	1.79113	4	4.741794
7000	-944.4582	-962.6874	18.22924	10	5.267175	0.0271983	0.098698	0.141714	0.0191586	0.0150713	0.0322094	0.0269735	0.12258	0.100302	0.021786	0.0425632	0.0458956	0.0073722	0.0127574	0.15055	0.0368026	0.0262512	0.0532954	0.0675778	0.132825	0.0138116	0.0622755	0.0352505	0.0353961	0.0137792	0.013391	0.00485006	0.0558543	0.016243	0.0149122	0.0432944	0.0132516	0.0566483	0.113278	0.0308411	0.119373	0.127253	0.0494103	0.199607	0.0569385	0.0234343	0.00155801	0.0543411	0.0415452	0.0655009	0.288185	0.208752	0.0195215	0.0679926	0.0113193	0.22884	0.0889344	0.0230872	0.0195929	0.111255	0.0683283	0.0263664	0.0583288	0.156486	0.0436793	0.00543309	0.0147994	0.00819352	0.119324	0.615878	0.0790718	0.170688	0.0116722	0.173687	0.124467	0.0362483	0.512809	0.810092	1.08281	1.59429	5	5.223749
8000	-937.7874	-953.6036	15.81621	10	3.951554	0.114984	0.0154917	0.0975934	0.0361179	0.0494136	0.148711	0.0383561	0.0901835	0.0238051	0.183884	0.0644242	0.050974	0.00404435	0.158896	0.0326054	0.0851802	0.0537722	0.0112945	0.0816742	0.0881867	0.00594269	0.00387475	0.0427776	0.0359211	0.0363846	0.00201015	0.00114308	0.00403673	0.0307448	0.0683926	0.0072423	0.053153	0.0701225	0.0373938	0.00710151	0.048412	0.186431	0.0159878	0.155022	0.0584995	0.203667	0.0829585	0.0491402	0.356632	0.00698599	0.109975	0.364035	0.419318	0.0453833	0.136157	0.020017	0.0490358	0.00499624	0.125511	0.0176498	0.0910484	0.00920971	0.0380247	0.021591	0.211688	0.044867	0.0449161	0.0102305	0.074487	0.00644857	0.0821262	0.0628182	0.277351	0.139207	0.0634916	0.0892778	0.451681	0.773517	1.08441	1.6904	5	5.55843
9000	-934.9505	-953.6349	18.68435	10	2.751518	0.0432596	0.0754028	0.0693253	0.0191289	0.0251891	0.00462732	0.0969859	0.0156825	0.0092421	0.104878	0.0132035	0.0436947	0.0296723	0.0861842	0.118238	0.00657464	0.0936317	0.00509032	0.0343308	0.0252187	0.00332193	0.0189064	0.00792289	0.0254753	0.0593801	0.00186511	0.00235961	0.0165064	0.0462403	0.0338424	0.0135122	0.0129772	0.0259887	0.0328083	0.134004	0.153055	0.436973	0.0393814	0.282687	0.0950338	0.0859691	0.0482414	0.0281017	0.133541	0.0293648	0.073576	0.10066	0.00749139	0.00482683	0.00910939	0.120891	0.0107124	0.00696783	0.113067	0.0794279	0.0762429	0.024393	0.105271	0.217742	0.03618	0.175438	0.0804049	0.250666	0.118611	0.0257871	0.134975	0.0442665	0.0593921	0.241267	0.0519934	0.277467	0.369076	0.716771	1.08098	1.83317	5	5.133846
