Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-716.8202	-764.7982	47.97793	10	1.423098	0.182066	0.0183529	0.139932	0.117584	0.0630314	0.00698855	0.00402444	0.0747486	0.390503	0.0724555	0.299446	0.0146068	0.111221	0.398763	0.0170717	0.141436	0.0636527	0.0345679	0.0570059	0.0550506	0.332198	0.0544789	0.179543	0.334021	0.0814231	0.0507959	0.181711	0.00998162	0.0804234	0.00493418	0.00742358	0.213195	0.575235	1.04557	2.166	5	3.579442
1000	-448.1788	-491.5301	43.35122	10	3.617301	0.0204332	0.0104984	0.0204727	0.156123	0.00579439	0.0387867	0.138815	0.0240763	0.0447517	0.0407349	0.0479234	0.183654	0.189664	0.00406947	0.277711	0.0631119	0.170459	0.0107842	0.10819	0.370955	0.154095	0.193109	0.0287823	0.0274642	0.391435	0.338334	0.155312	0.181421	0.0403764	0.0922608	0.0857854	0.432018	0.76084	1.08424	1.72291	5	3.615383
2000	-423.6128	-484.159	60.54619	10	0.1616641	0.0151772	0.00061492	0.0369769	0.203228	0.0225476	0.0096092	0.170549	0.0273731	0.0139591	0.0522475	0.00739454	0.0203933	0.0746437	0.0404877	0.0680116	0.133924	0.00925181	0.0267634	0.0820872	0.214216	0.117055	0.0643978	0.0659255	0.00660987	0.294747	0.181238	0.0945399	0.263609	0.00174911	0.000379669	0.0587758	0.000103219	0.0149836	0.27666	3.70825	5	2.378483
3000	-445.2668	-485.346	40.07921	10	0.7335827	0.0331013	0.0114154	0.0362459	0.0858824	0.0925356	0.0748571	0.0496319	0.0431508	0.0517307	0.0770623	0.0126248	0.0288822	0.0928587	0.113435	0.1906	0.0782727	0.0687885	0.0599913	0.12748	0.251088	0.186363	0.0903066	0.106031	0.372142	0.0501311	0.0089902	0.104048	0.407892	0.395962	0.0524689	0.0832084	0.0813711	0.378954	0.936705	2.60297	5	3.437179
4000	-435.2096	-493.2967	58.08716	10	0.1738561	0.00417689	0.00231009	0.00378458	0.170488	0.142682	0.0202224	0.0881761	0.109451	0.0136745	0.0259117	0.00261388	0.00164333	0.092763	0.00544231	0.0536136	0.0363274	0.141052	0.0807893	0.128056	0.0273485	0.0551314	0.348388	0.0116296	0.00962917	0.104166	0.0475474	0.0668825	0.311103	0.0255043	0.0129421	0.0972126	0.000187998	0.0201834	0.312095	3.66753	5	2.240663
5000	-449.212	-489.6846	40.47262	10	0.9369187	0.0070687	0.0551931	0.0817848	0.0194187	0.0342874	0.0653981	0.0783896	0.149826	0.00193312	0.095946	0.0130565	0.0701362	0.0838336	0.0393919	0.122306	0.0949536	0.0559181	0.235843	0.396101	0.232846	0.0958025	0.345029	0.110773	0.00629856	0.14082	0.305762	0.158172	0.0772135	0.172341	0.0189108	0.0386869	0.124202	0.456934	0.988707	2.43016	5	3.40344
6000	-445.9572	-495.1565	49.1993	10	0.8866487	0.00142544	0.077472	0.0807243	0.313592	0.0467893	0.126998	0.00172379	0.0929521	0.0467569	0.0627464	0.0212198	0.0576121	0.0711611	0.0711746	0.0664637	0.130384	0.0340532	0.0250397	0.140649	0.0719585	0.0908936	0.459455	0.471078	0.0343552	0.0869829	0.289227	0.141395	0.0613614	0.0327154	0.252906	0.00052712	0.11382	0.439814	0.978348	2.46802	5	3.461793
7000	-452.5877	-488.7636	36.17589	10	2.050536	0.00461991	0.0073049	0.10946	0.12748	0.0224252	0.239385	0.0120805	0.119538	0.0564474	0.0680103	0.0105273	0.0864183	0.0717076	0.122799	0.221263	0.141872	0.184295	0.452861	0.00303946	0.0279591	0.448647	0.0916028	0.317579	0.0922495	0.49762	0.548757	0.0782469	0.165175	0.106796	0.0510786	0.0413687	0.299234	0.660282	1.0712	1.96928	5	4.528612
8000	-445.0383	-492.0763	47.03796	10	0.944587	0.0148444	0.00018311	0.018931	0.104961	0.054633	0.0480062	0.0184157	0.0972255	0.0279463	0.0500056	0.00101567	0.0162861	0.0454719	0.0080127	0.101344	0.185009	0.0751859	0.069898	0.105363	0.32587	0.266061	0.0280934	0.00263199	0.112116	0.0466042	0.161488	0.121029	0.0732949	0.31949	0.329039	0.0511188	0.125769	0.459438	0.990175	2.42462	5	2.879575
9000	-435.5016	-491.8631	56.36143	10	1.628602	0.00533462	0.0369115	0.00832745	0.105442	0.0318828	0.173148	0.0109971	0.082506	0.0550319	0.0311468	0.0180596	0.030255	0.0715722	0.0932915	0.0895696	0.0255759	0.110845	0.215983	0.0349454	0.352419	0.100312	0.0356542	0.0597854	0.260722	0.220938	0.178997	0.0390977	0.0558378	0.0333303	0.134449	0.196938	0.244523	0.608651	1.05716	2.08967	5	2.899306
