Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-198.9017	-264.5471	65.64534	10	1.497883	0.040182	0.0399579	0.0276463	0.0258606	0.0755822	0.083675	0.0239453	0.000646058	0.00408442	0.0200302	0.0202147	0.121669	0.000594121	0.0122576	0.0239866	0.0919133	0.206423	0.119628	0.218841	0.0353024	0.0284775	0.0480956	0.0190605	0.224995	0.588204	1.0503	2.1365	5	1.288073
1000	-98.5086	-146.708	48.19935	10	2.387972	0.0162759	0.124589	0.0398294	0.0423164	0.0991251	0.0478595	0.166202	0.133879	0.00263579	0.0545641	0.141399	0.0681777	0.109801	0.410911	0.103454	0.00053225	0.143103	0.08668	0.0571175	0.0531292	0.0884265	0.0408772	0.0333753	0.335571	0.690805	1.07724	1.89639	5	2.064261
2000	-85.54675	-147.49	61.94325	10	0.576972	0.000925948	0.0126094	0.0386777	0.0095918	0.0157075	0.00981096	0.0636621	0.122109	0.0443674	0.0184204	0.0688325	0.0308518	0.0444184	0.141895	0.0195541	0.0395305	0.0605076	0.0738921	0.24948	0.0993679	0.0344522	0.227328	0.157851	0.0483959	0.299227	0.8691	2.78328	5	1.583843
3000	-96.32323	-140.1923	43.86908	10	1.465914	0.00282504	0.0200238	0.065796	0.16898	0.0533614	0.184568	0.330258	0.0913739	0.0499332	0.00315781	0.0771438	0.00217636	0.111811	0.258096	0.000521791	0.0488939	0.0172712	0.0416878	0.0856956	0.519333	0.00433881	0.7785	0.0217768	0.220009	0.582783	1.04836	2.14885	5	2.937522
4000	-113.4151	-145.9241	32.50901	2	3.266489	0.0199771	0.107241	0.139801	0.0456712	0.100804	0.058619	0.112601	0.155488	0.115988	0.00562875	0.0135982	0.0389238	0.260083	0.19308	0.0105584	0.040794	0.269606	0.0622418	0.444997	0.0660909	0.00281205	0.00176795	0.0149664	0.408882	0.745291	1.08355	1.76228	4	2.281338
5000	-110.2025	-146.9684	36.76594	10	1.072543	0.0521796	0.00967094	0.0169107	0.173742	0.114498	0.0656445	0.195013	0.115472	0.0334326	0.0169772	0.0551501	0.0302159	0.115199	0.432041	0.0387137	0.445431	0.0760635	0.0948737	0.0786419	0.218931	0.0338241	0.0328404	0.169364	0.151197	0.497521	1.01105	2.34023	5	2.614829
6000	-87.56246	-142.887	55.32455	10	0.5567719	0.0217893	0.0618239	0.0415328	0.0141736	0.12019	0.0439333	0.130648	0.0686014	0.0132824	0.0612103	0.0294307	0.0194603	0.0815617	0.00694693	0.131426	0.0155338	0.00648755	0.344422	0.29835	0.0386712	0.0719192	0.306648	0.256599	0.0443333	0.287372	0.857554	2.81074	5	2.184641
7000	-128.0912	-155.8667	27.77546	2	2.894843	0.0245681	0.0532905	0.041426	0.109301	0.231061	0.121238	0.1605	0.12129	0.00146806	0.0150796	0.224457	0.0210258	0.100546	0.0435297	0.190508	0.0551399	0.192781	0.679049	0.00532148	0.00251256	0.0776189	0.0782913	0.116835	0.38096	0.725534	1.08194	1.81156	4	2.666837
8000	-119.5329	-150.4673	30.93431	2	0.8094004	0.0275175	0.0576529	0.131553	0.0639322	0.0226719	0.0853003	0.26811	0.129438	0.0266765	0.0269848	0.0161244	0.00593263	0.0604979	0.125137	0.0324252	0.0274194	0.168076	0.13926	0.248481	0.202676	0.111895	0.353472	0.182008	0.0975575	0.410891	0.959526	2.53203	4	2.51324
9000	-84.18451	-144.9967	60.81224	10	0.4352212	0.00421213	0.00380718	0.0417964	0.217585	0.0604268	0.11152	0.15316	0.0663565	0.0289253	0.00880394	0.0261949	0.0535646	0.0837378	0.113512	0.101074	0.105327	0.0552902	0.0607372	0.0363309	0.129903	0.14759	0.0873098	0.0526753	0.0221061	0.207542	0.766745	3.00361	5	1.74984
