Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-144.3598	-204.9936	60.63382	10	0.01605538	0.0467927	0.0132203	0.488793	0.0701087	0.116041	0.0647597	0.187103	0.0115085	0.0416715	0.188697	0.10093	0.0300258	0.0424508	0.0520955	0.0225616	0.0724882	0.0432955	0.0508237	0.0272524	0.0321928	0.0596785	0.0836652	0.00311221	1.77472e-38	1.99361e-19	2.77636e-08	4	5	1.849267
1000	-95.32787	-142.2082	46.88032	10	0.7854272	0.0435072	0.0967529	0.0341904	0.178536	0.0216627	0.000840505	0.156076	0.118676	0.0446492	0.017237	0.0198366	0.0351644	0.0447987	0.363432	0.278594	0.26607	0.118009	0.0944736	0.1635	0.360873	0.218046	0.0289101	0.0143981	0.0924542	0.4012	0.952834	2.55351	5	2.718231
2000	-93.89597	-148.7976	54.90159	10	2.041466	0.00964668	0.00217298	0.0406221	0.0630212	0.0252938	0.0574865	0.0467902	0.0358745	0.0445264	0.0433413	0.313768	0.0290301	0.0835996	0.176122	0.034743	0.0504343	0.205232	0.0856477	0.425484	0.0808605	0.103715	0.193332	0.105429	0.298175	0.659352	1.07099	1.97148	5	2.256173
3000	-113.8127	-154.594	40.78134	10	0.281594	0.00967801	0.0270777	0.0253505	0.280493	0.0371343	0.217938	0.486927	0.0245182	0.0143971	0.00223603	0.0526893	0.00825698	0.135135	0.0256429	0.0685667	0.00717668	0.0763201	0.234136	0.194497	0.180486	0.0463546	0.228285	0.0077311	0.00392129	0.0902764	0.563557	3.34224	5	2.391026
4000	-95.99636	-150.9549	54.95856	10	1.108672	0.0283936	0.0903221	0.0122067	0.130429	0.0497197	0.175707	0.180358	0.171174	0.00778814	0.0845915	0.00570372	0.00776503	0.177875	0.235804	0.358751	0.0243569	0.0740076	0.101835	0.0357809	0.133057	0.01569	0.0829442	0.223943	0.158113	0.507144	1.01591	2.31884	5	2.408203
5000	-93.61589	-142.1649	48.54903	10	2.675832	0.0539039	0.0289862	0.036369	0.186855	0.172601	0.0125387	0.0158976	0.327571	0.000117028	0.0216299	0.0183377	0.00805425	0.00899157	0.00092909	0.0151826	0.0837563	0.0695656	0.10549	0.0459904	0.297758	0.477641	0.107036	0.0316268	0.362518	0.711838	1.08037	1.84528	5	2.126829
6000	-94.36425	-141.3318	46.96752	10	0.8788561	0.00504665	0.0291762	0.0312191	0.080618	0.179697	0.0484174	0.231685	0.139746	0.0295438	0.0250047	0.0287202	0.00682617	0.125114	0.0694384	0.157542	0.185673	0.0145579	0.0110424	0.087949	0.107184	0.0438101	0.531312	0.209917	0.112195	0.437046	0.976619	2.47414	5	2.379241
7000	-92.27486	-142.9177	50.64281	10	1.858132	0.0136495	0.0150459	0.074409	0.271385	0.116866	0.0629794	0.187746	0.0628155	0.0548092	0.0200524	0.0216758	0.00420393	0.129068	0.0173857	0.160334	0.125633	0.0994722	0.0393894	0.0476273	0.0570164	0.419223	0.0534591	0.27685	0.275731	0.639027	1.066	2.01924	5	2.331096
8000	-91.99281	-138.6615	46.66867	10	1.358521	0.0232566	0.0826592	0.00532491	0.0340245	0.104222	0.136408	0.0946795	0.0690686	0.0316037	0.0134359	0.00778406	0.0219483	0.0957079	0.156198	0.0733585	0.402343	0.553355	0.0776614	0.0528252	0.0766842	0.160519	0.318122	0.102283	0.202617	0.563178	1.04091	2.1933	5	2.693474
9000	-99.88025	-151.2891	51.40888	10	1.938117	0.0392904	0.0361485	0.00632501	0.191545	0.054766	0.0388658	0.0934774	0.0759463	0.0384093	0.11568	0.115607	0.00980182	0.340331	0.00356759	0.0261937	0.127778	0.678608	0.0854266	0.192949	0.00021699	0.228243	0.124138	0.0386334	0.285774	0.648268	1.06836	1.9976	5	2.661948
10000	-94.74413	-146.1968	51.45263	10	2.350507	0.0183811	0.0343833	0.0211453	0.0486682	0.060634	0.107011	0.17842	0.0706347	0.0444241	0.0105548	0.0635871	0.0143528	0.126782	0.0237903	0.0024757	0.481468	0.18612	0.229045	0.0208094	0.0986217	0.011762	0.0229818	0.00755038	0.331809	0.687766	1.07671	1.90371	5	1.883602
11000	-95.64999	-145.1983	49.54836	10	1.846962	0.135994	0.0605417	0.0979397	0.153126	0.231072	0.102596	0.0953706	0.187995	0.0905028	0.0616119	0.0213338	0.0115839	0.0365217	0.0245257	0.00447549	0.40013	0.113224	0.0710099	0.0617141	0.321211	0.219299	0.036994	0.172916	0.274296	0.637686	1.06564	2.02238	5	2.711688
