Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-179.5561	-229.61	50.05398	10	0.6846045	0.0309399	0.105753	0.1962	0.0126546	0.218568	0.176551	0.0207163	0.0666902	0.0916607	0.0486077	0.207923	0.00939179	0.153324	0.323153	0.0421836	0.315348	0.0603645	0.0236884	0.0524071	0.00379929	0.00674618	0.0542121	0.0756331	0.0709033	0.356175	0.919027	2.6539	5	2.296516
1000	-82.75798	-143.6089	60.8509	10	0.06552683	0.000552585	0.0249666	0.00484194	0.0184909	0.0338839	0.0296641	0.29739	0.08069	0.00912046	0.00179368	0.0175144	0.00977032	0.025907	0.0417364	0.133594	0.076353	0.0191792	0.241988	0.0400241	0.188717	0.0189186	0.144608	0.0528974	3.60124e-10	2.82797e-05	0.0206938	3.97928	5	1.512601
2000	-94.75312	-142.1183	47.36514	10	1.257905	0.0154229	0.039206	0.037732	0.226913	0.0615558	0.041131	0.073548	0.176775	0.101694	0.00166869	0.00957543	0.0458225	0.0878062	0.0573511	0.555169	0.211608	0.294332	0.00369141	0.107997	0.104074	0.0532333	0.170014	0.0792457	0.18539	0.542583	1.03236	2.23967	5	2.555565
3000	-96.31446	-143.804	47.48953	10	0.5625375	0.0267834	0.017541	0.00690541	0.0741839	0.350519	0.0106789	0.113836	0.116488	0.0132892	0.000349623	0.00212056	0.0924371	0.028068	0.0857792	0.129269	0.149921	0.294161	0.0861647	0.24617	0.00334204	0.0611055	0.307182	0.0522717	0.0454853	0.290795	0.860933	2.80279	5	2.268566
4000	-97.72079	-143.8145	46.09373	10	0.3716045	0.00487859	0.024513	0.00814236	0.136903	0.110815	0.0549771	0.200568	0.130592	0.0249029	0.00867154	0.188251	0.00980967	0.0664384	0.181003	0.0871556	0.156097	0.0326705	0.0580334	0.0352386	0.0556201	0.00122012	0.37751	0.20938	0.0128401	0.160248	0.69863	3.12828	5	2.163392
5000	-109.3893	-148.978	39.58871	10	2.40879	0.0266272	0.0694849	0.11979	0.0152436	0.173103	0.0521343	0.113451	0.0958971	0.12534	0.00997053	0.0897209	0.00673775	0.0624848	0.195942	0.44681	0.0754305	0.512529	0.602756	0.0699906	0.0160847	0.207936	0.0657062	0.109861	0.337635	0.692462	1.07751	1.89239	5	3.26303
6000	-83.03536	-142.7571	59.72175	10	0.3450944	0.0137087	0.0497726	0.015241	0.0771766	0.0238126	0.0122766	0.0727809	0.127439	0.0199741	0.00967247	0.0608075	0.0147282	0.0384947	0.448146	0.0408841	0.283228	0.15136	0.0541099	0.0695985	0.220726	0.0749306	0.0312205	0.0613847	0.00965429	0.139736	0.664316	3.18629	5	1.971473
7000	-109.6155	-145.7634	36.14794	2	0.2130007	0.00240789	0.0238894	0.0310664	0.00582873	0.0112368	0.201067	0.140738	0.0771095	0.0223325	0.0333572	0.142948	0.0313786	0.270087	0.259724	0.0399354	0.137034	0.0397463	0.00505316	0.373395	0.0803583	0.0225304	0.070265	0.0565548	0.000809566	0.0415961	0.416729	3.54086	4	2.078042
8000	-108.596	-147.7532	39.15714	2	0.0784959	0.00356461	0.128924	0.0150943	0.00675954	0.125231	0.0233923	0.0434077	0.04569	0.0309083	0.00536988	0.0343485	0.0120307	0.0314037	0.329822	0.127699	0.0517133	0.0621289	0.00464867	0.0936841	0.207253	0.150272	0.0147294	0.0124484	1.18458e-08	0.000162016	0.0427131	3.95712	4	1.560523
9000	-86.90889	-139.8561	52.94725	10	1.160456	0.00948293	0.00108257	0.0540148	0.246372	0.297516	0.115134	0.194419	0.0523015	0.010923	0.00416436	0.00271018	0.0123126	0.242112	0.0294817	0.0995988	0.319476	0.0914822	0.0856659	0.188449	0.0804271	0.128873	0.00542909	0.0787827	0.167814	0.520185	1.02222	2.28978	5	2.35021
