Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-674.2294	-753.204	78.97464	10	2.381073	0.0946707	0.0347228	0.144949	0.157397	0.117127	0.111575	0.205372	0.0592764	0.173583	0.0882899	0.068066	0.017925	0.222107	0.0296592	0.011024	0.170983	0.0661124	0.0248412	0.0667147	0.151331	0.00444125	0.27407	0.0426085	0.347211	0.570719	0.0595039	0.10338	0.0975665	0.0381827	0.334883	0.690251	1.07714	1.89772	5	3.553409
1000	-365.854	-459.8515	93.99751	10	1.096018	0.0495306	0.0119039	0.0165377	0.00685247	0.00132802	0.055884	0.0188277	0.0246848	0.0776906	0.00598962	0.0537316	0.0032101	0.137793	0.0437616	0.0776161	0.029229	0.0140236	0.126522	0.126773	0.173761	0.108063	0.109416	0.0709294	0.0286228	0.169807	0.678703	0.246819	0.419272	0.112448	0.155704	0.503825	1.01425	2.32622	5	2.999731
2000	-383.3423	-470.3812	87.03885	10	2.089373	0.00688736	0.0137073	0.0330167	0.05878	0.2562	0.0249598	0.139922	0.0153955	0.142092	0.00325333	0.0528483	0.142178	0.0254662	0.0245599	0.0411269	0.00662579	0.0515814	0.323775	0.0180085	0.0895065	0.436508	0.150394	0.0976575	0.0999773	0.0976738	0.0243643	0.147693	0.189605	0.231494	0.303715	0.664193	1.07207	1.96002	5	2.945258
3000	-376.3178	-458.5664	82.24854	10	1.382169	0.0507259	0.0412504	0.00846704	0.00434004	0.116325	0.0479553	0.00870969	0.060335	0.0632527	0.0625789	0.00914941	0.114107	0.0281418	0.00482363	0.0504574	0.0546251	0.0188387	0.401739	0.0406247	0.0826288	0.305771	0.418323	0.039332	0.0549459	0.0395259	0.0343547	0.0251221	0.305794	0.117751	0.206533	0.567691	1.04268	2.18309	5	2.609994
4000	-380.3967	-465.782	85.38525	10	1.77017	0.0863549	0.0148767	0.0182188	0.0345927	0.0285741	0.0457694	0.00656798	0.0236902	0.252054	0.0366257	0.0514601	0.0294271	0.0626328	0.0440588	0.090366	0.0895418	0.0913152	0.0159207	0.287148	0.200402	0.0355157	0.0062602	0.240908	0.284756	0.310756	0.222489	0.349958	0.0262442	0.0458042	0.264206	0.628114	1.06301	2.04467	5	3.032288
5000	-387.9368	-470.6376	82.70083	10	1.181503	0.0670607	0.0356655	0.0161403	0.080169	0.00723169	0.00483576	0.00328004	0.0804802	0.170378	0.0496399	0.0444187	0.0312879	0.0304788	0.0592192	0.360056	0.024043	0.113695	0.00895542	0.0675068	0.00289817	0.0377272	0.180901	0.37698	0.0103563	0.363603	0.176896	0.121974	0.0292687	0.128759	0.171685	0.525249	1.02459	2.27848	5	2.683905
6000	-371.7386	-459.9992	88.26057	10	1.490379	0.015233	0.0555385	0.0325162	0.0643186	0.045262	0.00717679	0.0458921	0.0305777	0.152622	0.00687611	0.0199478	0.0768855	0.0619948	0.142816	0.00478992	0.0556039	0.250295	0.206181	0.352389	0.0127821	0.0453698	0.000729491	0.393783	0.00535592	0.0543483	0.582141	0.000696703	0.0268846	0.184566	0.223832	0.586947	1.04985	2.13937	5	2.933572
7000	-392.8868	-476.7485	83.86169	10	0.5389863	0.0378022	0.0970402	0.029989	0.0152549	0.00471659	0.01982	0.261422	0.0275209	0.0333542	0.007753	0.0698875	0.125403	0.0995997	0.00569783	0.0162224	0.232648	0.304934	0.0235668	0.0886202	0.140213	0.187063	0.047034	0.0283749	0.0633205	0.148507	0.139402	0.528402	0.0189972	0.115552	0.0408217	0.276607	0.846686	2.83588	5	2.918119
8000	-380.0184	-462.7217	82.70329	10	0.7853495	0.053745	0.0344711	0.011656	0.0186693	0.098052	0.0380943	0.0674734	0.0160613	0.0906763	0.0150703	0.0297697	0.135778	0.095537	0.101452	0.0761613	0.0166091	0.240728	0.0503119	0.0467356	0.0118434	0.210515	0.0639401	0.0290662	0.0278421	0.00710847	0.458801	0.0100128	0.659541	0.0578825	0.0924376	0.401168	0.952811	2.55358	5	2.773603
9000	-383.7002	-468.8839	85.18369	10	2.342962	0.0403849	0.00799321	0.020743	0.0326023	0.0401676	0.0446444	0.020383	0.114774	0.0232123	0.0294807	0.0236342	0.113905	0.0677605	0.188783	0.251715	0.0677833	0.0466435	0.293096	0.276391	0.0195636	0.176984	0.0640038	0.466624	0.0678078	0.0184693	0.145238	0.0284537	0.191649	0.0563439	0.331044	0.687144	1.0766	1.90521	5	2.939235
10000	-379.2844	-458.2798	78.9954	10	3.982045	0.0587726	0.0582748	0.0512354	0.0207331	0.0718869	0.0176076	0.0713037	0.0157463	0.0556107	0.000485558	0.00924731	0.011162	0.0977832	0.00230934	0.128549	0.0587914	0.0542461	0.720176	0.0331157	0.323489	0.0298807	0.0680664	0.318247	0.14721	0.551782	0.00994994	0.0615487	0.0123552	0.149692	0.453373	0.774586	1.0844	1.68764	5	3.209257
11000	-388.6971	-472.2068	83.50971	10	2.760105	0.0994812	0.0166313	0.0159711	0.0164437	0.20592	0.0118404	0.0361565	0.00265615	0.15063	0.0321667	0.0114292	0.0618354	0.0977566	0.108899	0.0247255	0.0721377	0.0203406	0.0102097	0.136427	0.223713	0.00321358	0.102749	0.520931	0.0820762	0.466359	0.072724	0.0786138	0.261586	0.098321	0.369808	0.717317	1.08104	1.83183	5	3.041943
12000	-373.1541	-465.7549	92.60083	10	0.4873111	0.0317143	0.0353801	0.0351083	0.0386482	0.0469133	0.0112672	0.0290743	0.0422064	0.0602878	0.0451063	0.0136849	0.00924966	0.0132728	0.134849	0.316336	0.0500426	0.145275	0.13941	0.566604	0.122736	0.014406	0.078176	0.0330132	0.0149028	0.0369387	0.0359461	0.0702901	0.219583	0.25532	0.0310607	0.243552	0.810811	2.91458	5	2.645743
13000	-382.2569	-468.1571	85.90013	10	0.8141371	0.00634994	0.0475018	0.00107292	0.0287872	0.136832	0.0322152	0.100668	0.0212211	0.217461	0.0894034	0.013766	0.0522265	0.120558	0.0308656	0.110825	0.148577	0.234593	0.619206	0.00844887	0.000647866	0.0612808	0.0517213	0.149451	0.045118	0.0261321	0.185956	0.000536625	0.411821	0.0233947	0.0985633	0.412764	0.960796	2.52788	5	2.976639
14000	-381.0837	-460.8103	79.72665	10	1.674317	0.0618867	0.0631537	0.018937	0.017392	0.0463218	0.0446598	0.0853576	0.0341436	0.0216652	0.0263865	0.0561015	0.000446438	0.0936235	0.112921	0.00568836	0.110067	0.0213569	0.101412	0.572753	0.442383	0.13068	0.147292	0.317022	0.0796423	0.198942	0.0456069	0.107915	0.0236361	0.0447493	0.251039	0.615215	1.05921	2.07454	5	3.032142
15000	-365.9262	-465.446	99.51983	10	0.7255375	0.0200202	0.0503941	0.0130166	0.0108265	0.114639	0.0573926	0.0137507	0.025406	0.100224	0.0287815	0.0205616	0.0409952	0.142791	0.064214	0.0154107	0.161951	0.0563358	0.34078	0.013383	0.0816963	0.0524989	0.175951	0.00579908	0.00473142	0.0671491	0.118048	0.157155	0.290439	0.00844738	0.0796493	0.375334	0.933976	2.61104	5	2.252788
16000	-377.3729	-463.5327	86.15988	10	1.135223	0.0825196	0.0148985	0.0257873	0.0303369	0.111463	0.00658868	0.0259114	0.0327819	0.0957641	0.0872011	0.0348243	0.0546671	0.172625	0.0416066	0.136874	0.164369	0.0226792	0.0818977	0.368959	0.218229	0.0274015	0.121228	0.26957	0.256278	0.000154351	0.0653823	0.23465	0.0274818	0.183751	0.163118	0.513937	1.01923	2.30371	5	2.995878
