Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-58.25464	-69.07856	10.82391	10	2.549822	0.0606788	0.180774	0.0586198	0.0892021	0.0397048	0.220641	0.0134047	0.35113	0.703103	1.07917	1.8666	5	0.6630257
1000	-14.64865	-40.12838	25.47973	1000	1.558432	0.00428462	0.235373	0.00806239	0.00433605	0.0340414	0.00264879	0.0390961	0.234209	0.598002	1.05368	2.11411	6	0.3278425
2000	-22.86739	-42.25414	19.38676	1000	6.674635	0.0061669	0.463362	0.0315289	0.0290785	0.0165267	0.0970237	0.00239119	0.559595	0.835525	1.07971	1.52517	6	0.6460782
3000	-12.45981	-39.08768	26.62787	1000	1.079408	0.00611187	0.27072	0.000538533	0.00400866	0.0193176	0.0770696	0.000113461	0.15252	0.499384	1.01201	2.33609	6	0.3778792
4000	-17.31208	-41.23309	23.92101	1000	4.33282	0.0342535	0.272881	0.00241346	0.00640496	0.0234543	0.0379039	0.00177764	0.471761	0.785985	1.08422	1.65804	6	0.3790884
5000	-25.55937	-50.54598	24.98661	1000	0.441438	0.017771	0.465283	0.0298918	0.00187814	0.253951	0.0119611	0.0393845	0.023118	0.211978	0.772493	2.99241	6	0.8201202
6000	-17.9573	-45.64053	27.68323	1000	1.537792	0.0199441	0.0717346	0.00133776	0.00894173	0.0110827	0.000974759	0.0383193	0.231102	0.594728	1.05257	2.1216	6	0.1523349
7000	-15.36645	-40.233	24.86655	1000	1.450483	0.00715409	0.463245	0.00113432	0.0128092	0.0439759	0.0859076	0.00490142	0.217571	0.580101	1.04738	2.15495	6	0.6191274
8000	-22.66747	-46.26471	23.59724	1000	0.5153803	0.00118274	0.641054	0.0212405	0.0456915	0.00485152	0.0934402	0.0704866	0.0362726	0.261838	0.831145	2.87074	6	0.8779472
9000	-20.01048	-41.95398	21.9435	1000	3.77663	0.00323864	0.271091	0.0294265	0.00375385	0.0255945	0.016129	0.0620543	0.441654	0.767112	1.08436	1.70687	6	0.4112875
10000	-20.94587	-42.22799	21.28212	1000	3.327012	0.0106745	0.487084	0.0187477	0.0176598	0.0454728	0.137398	0.0145471	0.413078	0.748165	1.08371	1.75504	6	0.7315834
11000	-24.13336	-39.64906	15.5157	10	0.5529433	0.00622647	0.208371	0.00202955	0.00216396	0.00240062	0.00575367	0.0345412	0.0435718	0.285081	0.855272	2.81608	5	0.2614864
12000	-37.12747	-51.94654	14.81908	10	1.23804	0.0963576	0.274326	0.0416574	0.0120643	0.00148021	0.0429249	0.121838	0.181879	0.538227	1.03046	2.24944	5	0.5906481
13000	-34.06007	-45.17076	11.11069	2	1.651621	0.00320134	0.333223	0.00790164	0.0375938	0.00883516	0.0370833	0.0503529	0.247823	0.611991	1.05821	2.08197	4	0.4781916
14000	-21.71364	-41.24757	19.53393	1000	3.108694	0.00204383	0.517328	0.0167606	0.022498	0.0280728	0.00466265	0.124076	0.3975	0.737374	1.083	1.78212	6	0.7154416
15000	-28.18253	-43.26904	15.08651	10	0.28708	0.013381	0.4222	0.00503275	0.00171531	0.0536547	0.0542041	0.0380096	0.00430591	0.0944897	0.573453	3.32775	5	0.5881976
16000	-26.3796	-39.89065	13.51105	2	0.7434434	0.0122105	0.278119	0.00025086	0.00242455	0.00215069	0.0290702	0.000823756	0.0834815	0.383327	0.939962	2.59323	4	0.3250492
17000	-39.0851	-41.87451	2.789406	1	1.742449	0.0372676	1.04188	0.0210709	0.0018183	0.0191526	0.0474876	0.0187138	0.260465	0.624498	1.06197	2.05306	3	1.187392
18000	-23.66856	-40.16738	16.49882	10	1.076683	0.00187609	0.246218	0.00638139	0.000836951	0.0334318	0.00115949	0.0246337	0.151995	0.498647	1.01163	2.33773	5	0.314537
19000	-30.72575	-46.40825	15.6825	10	2.614664	0.0216214	0.184461	0.0197508	0.0003389	0.00597011	0.0607531	0.039313	0.357065	0.707683	1.07982	1.85543	5	0.3322088
20000	-25.83434	-43.1766	17.34226	10	1.631591	0.00194576	0.192862	0.019508	0.0118932	0.0279976	0.0732859	0.0047289	0.244954	0.609089	1.0573	2.08866	5	0.3322218
21000	-21.63389	-44.77481	23.14092	1000	3.569574	0.00481327	0.196632	0.0119596	0.019544	0.0164062	0.0287726	0.0723753	0.429031	0.758873	1.08418	1.72792	6	0.3505029
22000	-39.21124	-46.46245	7.251208	1	1.765975	0.0133921	0.579271	0.000882424	0.0461313	0.0263414	0.03651	0.0363311	0.263644	0.627573	1.06286	2.04593	3	0.7388595
23000	-16.91455	-40.67349	23.75894	1000	1.626529	0.0109132	0.249795	0.0167	0.00354377	0.00873206	0.0417801	0.00148869	0.244223	0.608346	1.05706	2.09037	6	0.3329527
24000	-31.10506	-43.08538	11.98033	1	1.9811	0.00387814	0.160145	0.0025968	0.0108346	0.0113959	0.0383891	0.0171961	0.291008	0.652989	1.06951	1.98649	3	0.2444352
25000	-26.33072	-47.84743	21.51672	1000	2.900151	0.0433319	0.49224	0.0149382	0.00111279	0.232453	0.0441278	0.0696258	0.381387	0.725845	1.08198	1.81079	6	0.897829
26000	-16.80476	-45.39567	28.5909	1000	0.35529	0.0203204	0.187953	0.00519285	0.00998741	0.0432746	0.0155531	0.0533411	0.0108276	0.147663	0.677986	3.16352	6	0.3356224
27000	-12.5457	-40.19319	27.64749	1000	0.2863145	0.00205993	0.243106	0.0114704	0.000151419	0.0141904	0.00207979	0.0320112	0.00425098	0.0939004	0.572087	3.32976	6	0.3050695
28000	-16.347	-43.29776	26.95076	1000	1.232634	0.00299588	0.311111	0.00239219	0.0219425	0.0472394	0.0182625	0.00184117	0.180917	0.537023	1.02993	2.25213	6	0.4057849
29000	-9.870418	-41.46641	31.59599	1000	0.01737899	0.000390351	0.142325	0.000897951	0.00891248	0.00650302	0.00564538	0.0232982	1.27356e-35	5.33993e-18	1.08654e-07	4	6	0.1879728
30000	-31.79158	-41.38209	9.590507	2	2.480975	0.0118585	0.341231	0.00860259	0.00902423	0.0220844	0.0492578	0.00652138	0.344645	0.69803	1.07841	1.87892	4	0.4485803
31000	-34.22921	-43.64702	9.417811	2	0.6915581	0.0250621	0.515076	0.00557461	0.00980747	0.000513005	0.00301937	0.067617	0.072386	0.35952	0.921699	2.64639	4	0.6266695
32000	-39.93683	-43.57388	3.637052	1	1.034267	0.0138678	0.938732	0.0133903	0.0177371	0.0163833	0.10022	0.0731147	0.14374	0.486815	1.00545	2.36399	3	1.173446
33000	-18.27991	-45.31684	27.03693	1000	2.121141	0.0116765	0.211063	0.030416	0.0143152	0.027344	0.00382241	0.108755	0.307319	0.667307	1.07275	1.95263	6	0.4073927
34000	-23.19791	-45.48453	22.28661	1000	2.356043	0.011636	0.571188	0.0365844	0.0163562	0.0236141	0.0848006	0.0646003	0.332369	0.68822	1.07679	1.90262	6	0.8087793
35000	-24.73858	-42.41586	17.67728	10	0.7562838	0.0229453	0.209763	0.00309611	0.00780466	0.0158124	0.0160634	0.0422754	0.0862288	0.388919	0.944065	2.58079	5	0.3177605
36000	-35.72699	-45.60471	9.87772	1	1.444186	0.00680473	0.328664	0.010556	0.0290125	0.0387076	0.0281081	0.0665341	0.21657	0.578995	1.04697	2.15747	3	0.5083871
37000	-35.06835	-43.51421	8.445855	2	2.436304	0.00873683	0.452207	0.026961	0.00358371	0.0862407	0.143237	0.00507123	0.340333	0.694615	1.07787	1.88718	4	0.7260372
38000	-21.15295	-44.75015	23.5972	1000	3.661588	0.0811487	0.277996	0.0116693	0.00191675	0.0193003	0.00566938	0.0754919	0.434747	0.762629	1.08428	1.71834	6	0.4731928
39000	-12.38221	-41.57508	29.19287	1000	0.2664505	0.00151875	0.149127	0.012614	0.00091863	0.00937011	0.0149708	0.00690102	0.00296868	0.0788013	0.534918	3.38331	6	0.1954203
40000	-30.00073	-42.50349	12.50277	10	0.7399036	0.00940778	0.34496	0.000429498	0.00523892	0.0640114	0.0441828	0.0163855	0.082724	0.381765	0.938803	2.59671	5	0.4846158
41000	-34.7626	-43.2207	8.458094	1	1.812414	0.00448902	0.490126	0.0241145	0.000811526	0.0366283	0.00108125	0.0562767	0.269806	0.633459	1.0645	2.03224	3	0.6135271
42000	-31.84962	-44.36634	12.51672	10	0.5305153	0.0100154	0.464591	0.0322494	0.0165127	0.0445562	0.0621107	0.0101667	0.0391736	0.271371	0.841262	2.84819	5	0.6402024
43000	-36.35352	-46.37001	10.01649	2	0.7405378	0.00680508	0.426695	0.025723	0.0032302	0.0486243	0.00867453	0.0927263	0.0828597	0.382045	0.939012	2.59608	4	0.6124785
44000	-32.58585	-41.53408	8.948227	10	2.253734	0.0325567	0.907273	0.00989936	0.00279549	0.013602	0.0407601	0.0974618	0.321792	0.679541	1.07521	1.92346	5	1.104348
45000	-18.5508	-39.23786	20.68705	1000	3.33064	0.00786773	0.470662	0.00592318	0.000269571	0.0417509	0.00471643	0.073501	0.413327	0.748334	1.08372	1.75462	6	0.6046907
46000	-17.4118	-43.43393	26.02214	1000	2.060857	0.0142069	0.214479	0.00145271	0.0246463	0.0189943	0.0171287	0.0805357	0.300433	0.661333	1.07144	1.96679	6	0.3714434
47000	-29.57459	-41.24894	11.67435	1	1.202503	0.00230502	0.232702	0.007207	0.00829259	0.0360184	0.0626982	0.00366891	0.175506	0.530173	1.02685	2.26747	3	0.3528925
48000	-19.22961	-43.36358	24.13397	1000	0.5663458	0.0182236	0.310742	0.00048372	0.0138291	0.0143895	0.153064	0.000891738	0.0462497	0.293039	0.863128	2.79758	6	0.511623
49000	-31.19593	-46.01148	14.81555	10	2.155244	0.059225	0.19225	0.0102518	0.0140476	0.0276496	0.00298535	0.0557532	0.311128	0.670568	1.07343	1.94487	5	0.3621622
50000	-35.95475	-43.7234	7.768652	10	1.042757	0.0163706	0.815857	0.0280359	0.033165	0.0124264	0.06123	0.0326164	0.145405	0.489237	1.00674	2.35862	5	0.9997013
51000	-37.30735	-46.01598	8.708632	2	2.898824	0.00413624	0.2022	0.0249417	0.00180095	0.0494767	0.0719479	0.0217351	0.38128	0.725768	1.08197	1.81098	4	0.3762386
52000	-23.46031	-41.40418	17.94386	10	0.5171106	0.00126992	0.183649	0.00861269	9.75562e-05	0.0100149	0.0077523	0.077001	0.0366013	0.262939	0.83233	2.86813	5	0.2883977
53000	-24.98634	-39.72669	14.74035	10	1.37098	0.00152999	0.257423	0.00462922	0.00158497	0.0423329	0.00259255	0.0449928	0.204686	0.56557	1.04185	2.18789	5	0.3550855
54000	-31.0723	-40.686	9.613705	1	4.112269	0.0124761	0.212557	0.00593478	0.000601635	0.00272078	0.000822304	0.0328677	0.460425	0.779004	1.08437	1.6762	3	0.2679804
55000	-26.47211	-43.34101	16.8689	10	1.135718	0.00327922	0.292316	0.00721961	0.0451466	0.021569	0.0418311	0.00334594	0.163211	0.514061	1.01929	2.30343	5	0.4147073
56000	-36.41809	-44.82756	8.409465	2	2.170201	0.0180588	0.428366	0.0405619	0.00318773	0.116036	0.00284739	0.101348	0.312779	0.671972	1.07372	1.94153	4	0.7104063
57000	-26.68972	-43.03159	16.34187	10	0.2625851	0.00909648	0.347291	0.00262846	0.0168683	0.0422862	0.0351883	0.0101072	0.0027509	0.0759174	0.527285	3.39405	5	0.4634658
58000	-33.05775	-43.60973	10.55198	2	1.738218	0.0258433	0.302505	0.00808657	0.0142632	0.0320923	0.0402149	0.00657999	0.25989	0.623938	1.06181	2.05436	4	0.4295849
59000	-28.93315	-43.35352	14.42038	10	2.67165	0.0300557	0.224159	0.0106137	0.00906826	0.0251766	0.00512707	0.0316662	0.362149	0.711559	1.08033	1.84596	5	0.3358661
60000	-24.65016	-40.1903	15.54014	10	0.8299441	0.00616609	0.239492	0.0010941	0.0053491	0.00476501	0.00879088	0.0357236	0.101913	0.418916	0.964919	2.51425	5	0.3013808
61000	-31.70011	-44.65778	12.95767	10	0.8222183	0.00897637	0.704764	0.0577509	0.00149963	0.00857606	0.00252591	0.0563631	0.100277	0.415928	0.962926	2.52087	5	0.8404564
62000	-24.62502	-40.31039	15.68537	10	1.94965	0.0174824	0.270653	0.00128162	0.00271146	0.0251204	0.00757699	0.0474455	0.287189	0.649551	1.06868	1.99458	5	0.3722716
63000	-43.81387	-50.99821	7.184345	2	0.9759138	0.0380595	0.392376	0.0228206	0.0114846	0.208523	0.00838097	0.23423	0.132123	0.46939	0.995891	2.40259	4	0.9158751
64000	-33.60693	-44.217	10.61007	2	2.515983	0.0060224	0.206509	0.00258332	0.000494385	0.0234701	0.172099	0.0107426	0.347967	0.700638	1.07881	1.87259	4	0.4219209
65000	-15.69379	-40.37957	24.68578	1000	2.10018	0.000487462	0.27842	0.0220087	0.00445953	0.0143757	0.00276932	0.0598173	0.304947	0.665261	1.07231	1.95749	6	0.3823377
66000	-34.02054	-45.65507	11.63454	2	0.7306137	0.0326691	0.3161	0.0212987	0.00111849	0.0354991	0.00249311	0.0645327	0.0807357	0.377623	0.935705	2.60594	4	0.4737113
67000	-28.82263	-41.61175	12.78912	2	0.4232546	0.00170642	0.346364	0.0126386	0.00697582	0.0133291	0.0228354	0.0536908	0.0202072	0.198904	0.755266	3.02562	4	0.4575399
68000	-26.65561	-41.22332	14.5677	10	1.427656	0.0237513	0.454442	0.0217142	0.00230637	0.0104572	0.0697455	0.00202827	0.213927	0.576054	1.04587	2.16414	5	0.5844448
69000	-36.44712	-47.4983	11.05118	10	1.281061	0.0989421	0.571592	0.0095135	0.027263	0.0453549	0.0348397	0.0715787	0.189436	0.547534	1.03448	2.22855	5	0.8590836
70000	-17.67153	-42.67384	25.00231	1000	1.089797	0.00790818	0.405116	0.0406406	0.00683368	0.022121	0.105803	0.00125948	0.154515	0.502173	1.01342	2.32989	6	0.5896825
71000	-29.50932	-41.02898	11.51966	2	1.60963	0.0118396	0.234935	0.000851374	0.00184391	0.0522854	0.00323495	0.0594678	0.241772	0.605842	1.05626	2.09613	4	0.3644584
72000	-9.115258	-38.63779	29.52253	1000	0.7144667	0.0016206	0.148758	0.00266811	0.000302004	0.00622669	0.00291396	0.0361531	0.0772807	0.370277	0.930114	2.62233	6	0.1986425
