Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-634.8243	-720.4876	85.66324	10	1.650203	0.108294	0.179633	0.146827	0.0738395	0.100866	0.416093	0.13517	0.0228142	0.0873516	0.0097908	0.118813	0.0533407	0.131971	0.118799	0.0434542	0.056636	0.0867213	0.316414	0.0765211	0.163424	0.0249707	0.0492618	0.0213341	0.094391	0.0735955	0.0133121	0.0532887	0.0453345	0.0492089	0.247621	0.611787	1.05815	2.08244	5	2.871471
1000	-371.8912	-465.1827	93.29147	10	2.796853	0.047516	0.0147473	0.0186579	0.0312639	0.0696692	0.0286902	0.0160422	0.0167864	0.0371434	0.031733	0.0107168	0.224637	0.24772	0.034363	0.00508256	0.148956	0.189786	0.422825	0.476862	0.00684384	0.0168898	0.00600723	0.118988	0.00430797	0.236083	0.0400746	0.0907977	0.00971732	0.0303082	0.372909	0.719622	1.08131	1.82616	5	2.633216
2000	-378.2206	-461.7171	83.49654	10	1.402429	0.0638375	0.0289074	0.00215354	0.00265832	0.108746	0.0113666	0.0419702	0.0608544	0.0584128	0.00769536	0.0475704	0.0594402	0.00726518	0.064663	0.0161355	0.040671	0.179684	0.152587	0.113599	0.224105	0.0251488	0.271435	0.283995	0.0742121	0.0278489	0.583651	0.13502	0.032718	0.0367388	0.209849	0.571467	1.04414	2.17455	5	2.76309
3000	-381.8929	-467.5565	85.66361	10	1.198237	0.0285813	0.0323396	0.0495082	0.0141522	0.0245238	0.0482325	0.0423804	0.0582493	0.11135	0.0601487	0.0458998	1.41937e-05	0.101612	0.00955451	0.317513	0.208742	0.223147	0.100967	0.0469954	0.552298	0.0177002	0.0955859	0.0727866	0.0281567	0.587325	0.170777	0.0575875	0.0113207	0.0860961	0.174733	0.529183	1.0264	2.26968	5	3.203544
4000	-372.2036	-463.3458	91.1422	10	1.071313	0.0769711	0.0134569	0.0183674	0.0446216	0.198834	0.00734909	0.0127456	0.0163294	0.0615591	0.00286524	0.011104	0.00435221	0.143547	0.0471008	0.00223227	0.0118571	0.103742	0.178105	0.221173	0.228618	0.432372	0.225187	0.00272274	0.0130371	0.0313646	0.0079948	0.0397135	0.0514578	0.271666	0.150959	0.497185	1.01088	2.34098	5	2.480446
5000	-381.9098	-460.9552	79.04544	10	1.601224	0.00310483	0.0219053	0.00966793	0.0105076	0.146666	0.0593629	0.132416	0.0196046	0.00949049	0.00596293	0.0152584	0.0129194	0.126646	0.193405	0.160148	0.0469014	0.0619992	0.569233	0.127134	0.414281	0.0780354	0.0459963	0.0563543	0.353304	0.0248202	0.000508003	0.146946	0.0927645	0.0330257	0.240544	0.604582	1.05585	2.09902	5	2.97837
6000	-377.7653	-462.6079	84.84259	10	0.5695948	0.07546	0.0243742	0.0199261	0.0433251	0.252905	0.0043026	0.00058636	0.0358064	0.124956	0.0428012	0.0665578	0.0235973	0.160009	0.01268	0.00389482	0.0466747	0.00335678	0.0216929	0.03956	0.0467013	0.0542625	0.161491	0.316916	0.0485175	0.458716	0.0445035	0.35792	0.0461059	0.324321	0.0469038	0.294943	0.864977	2.79318	5	2.861922
7000	-378.7719	-463.9014	85.12942	10	1.443731	0.0719005	0.0210873	0.0174998	0.0183875	0.131639	0.0841686	0.00282717	0.0639588	0.043595	0.00437972	0.00276767	0.0345237	0.140081	0.0758252	0.27418	0.0552982	0.0179135	0.0232977	0.108217	0.214927	0.0129816	0.0174136	0.0170176	0.156044	0.37477	0.266673	0.0170803	0.000383614	0.24009	0.216498	0.578914	1.04694	2.15765	5	2.508928
8000	-371.8455	-460.4167	88.57117	10	3.597353	0.0632844	0.0424024	0.0164041	0.0201702	0.119312	0.0249597	0.0375062	0.0373581	0.0666432	0.0296667	0.0605804	0.00472069	0.151455	0.00857218	0.0465259	0.0828386	0.0190262	0.557205	0.0154713	0.184203	0.0847418	0.00949204	0.0634288	0.0229705	0.00215064	0.0489936	0.110146	0.336633	0.165249	0.430775	0.760023	1.08421	1.72499	5	2.432109
9000	-374.2916	-459.14	84.84844	10	0.8989558	0.102513	0.0248859	0.0401868	0.023362	0.158525	0.0220003	0.00890799	0.0506389	0.0261277	0.00874689	0.0785847	0.0985094	0.12196	0.0528388	0.0233132	0.0559508	0.340951	0.196025	0.000391571	0.00420704	0.0131018	0.0695523	0.354387	0.100321	0.0332007	0.0272709	0.472032	0.0392834	0.129304	0.116378	0.444122	0.981008	2.45849	5	2.677079
