Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	brlens[92]	brlens[93]	brlens[94]	brlens[95]	brlens[96]	brlens[97]	brlens[98]	brlens[99]	brlens[100]	brlens[101]	brlens[102]	brlens[103]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-3929.383	-3953.939	24.55617	10	0.7614993	0.210345	0.00549513	0.603432	0.0415724	0.0944334	0.116727	0.0951312	0.192437	0.0659017	0.0913741	0.212457	0.0538681	0.242491	0.0906247	0.106582	0.0531223	0.0349206	0.0239774	0.0459096	0.0930859	0.0928263	0.001368	0.194762	0.135628	0.247111	0.0245789	0.0565178	0.0158867	0.00411941	0.206073	0.0249541	0.075829	0.129918	0.0308804	0.142579	0.00219687	0.0685894	0.00431996	0.0768988	0.144199	0.159316	0.0386487	0.0714671	0.0323582	0.147476	0.0355879	0.406441	0.206882	0.114251	0.0184814	0.00713482	0.0275824	0.0231746	0.0220775	0.241482	0.0514264	0.0392048	0.110926	0.00290162	0.0533853	0.0964865	0.136536	0.0268748	0.294941	0.203094	0.105364	0.171601	0.0645896	0.102365	0.0236591	0.0720835	0.3341	0.00209859	0.0526683	0.224628	0.221361	0.00702584	0.0290219	0.0282266	0.0125943	0.0509616	0.091759	0.069921	0.100733	0.0116127	0.0938591	0.206912	0.312777	0.0185221	0.0224212	0.0510102	0.023408	0.0354168	0.0543716	0.0466678	0.00469475	0.237973	0.0643614	0.15477	0.243867	0.0476195	0.0173071	0.135227	0.0873441	0.391159	0.945688	2.57581	5	10.26882
1000	-1170.459	-1211.826	41.36722	2	1.719202	0.0451437	0.027382	0.0690908	0.00245144	0.00596834	0.00803484	0.0626255	0.0292553	0.0414495	0.074936	0.0107937	0.000805001	0.031634	0.00136424	0.0855576	0.0085155	0.0102472	0.0030392	0.00550204	0.185544	0.0281473	0.0754363	0.00908482	0.0259524	0.057309	0.104386	0.0018815	0.026715	0.0279668	0.0113901	0.0256738	0.0527581	0.0459381	0.0235663	0.0410461	0.00690419	0.131612	0.0125982	0.00188218	0.00350212	0.0188043	0.000895899	0.0035804	0.00594897	0.0349738	0.0554748	0.0023623	0.020966	0.0233059	0.0338892	0.00113318	0.025304	0.0132547	0.120316	0.0648461	0.0192576	0.00211608	0.0257054	0.0162272	0.219787	0.0575857	0.0357102	0.311938	0.0244344	0.0148616	0.117545	0.0751511	0.138478	0.381151	0.00680273	0.00120355	0.0610819	0.0578005	0.02681	0.0266712	0.218479	0.0599403	0.0195294	0.0136309	0.0618748	0.00565562	0.0837683	0.00429912	0.127763	0.0177711	0.0300552	0.164609	0.168301	0.0314028	0.264918	0.0170527	0.162777	0.0450615	0.00151656	0.0381326	0.0915528	0.00556793	0.00715259	0.090207	0.0479707	0.0107692	0.264664	0.0107622	0.257286	0.621395	1.06107	2.06025	4	5.533647
2000	-1145.88	-1194.916	49.03614	2	1.394372	0.00152476	0.0241096	0.0504636	0.00065601	0.011082	0.000689615	0.0398887	0.0208374	0.0140562	0.0103976	0.0119691	0.00383993	0.0723807	0.000582643	0.00851981	0.0507381	0.038041	0.0140017	0.0215228	0.202345	0.0129568	0.00807632	0.0170495	0.00798951	0.0276923	0.0370916	0.00891378	0.018444	0.0328767	0.0281397	0.0412279	0.0297224	0.0224862	0.0417291	0.0011374	0.0100699	0.111963	0.0442521	0.00252769	0.00470281	0.00194181	0.00401228	0.0468992	0.00627284	0.0412846	0.038778	0.0226046	0.0055623	0.0219656	0.00169781	0.000768835	0.00142418	0.00754793	0.00620656	0.0213896	0.0747081	0.0138994	0.00765466	0.00909121	0.251899	0.0426558	0.0216049	0.0513673	0.0753858	0.0165916	0.0226503	0.00202943	0.0774579	0.531282	0.000245569	0.186876	0.00961996	0.0338616	0.0541804	0.0491582	0.363484	0.0044245	0.0614777	0.0182457	0.0713568	0.00445604	0.00814865	0.0144339	0.0913431	0.111348	0.00884459	0.247957	0.199079	0.0142245	0.177992	0.0310545	0.00487107	0.062601	0.00812275	0.0237688	0.0472122	0.26122	0.01194	0.133936	0.0130932	0.00336484	0.196418	0.0074261	0.208534	0.569975	1.04357	2.17792	4	5.069115
3000	-1175.054	-1224.928	49.8741	2	1.499382	0.182407	0.246691	0.0540711	0.0265346	0.0123909	0.00702395	0.0185735	0.0420655	0.00774081	0.0349352	0.0139773	0.000380301	0.0461849	0.00131595	0.0310794	0.0880868	0.0207035	0.0031766	0.0108265	0.0860594	0.0069532	0.0109841	0.0416243	0.0151554	0.0194446	0.116185	0.0177923	0.0366224	0.0619648	0.00790479	0.00771927	0.0459264	0.00207874	0.0177738	0.00286835	0.00572637	0.117727	0.0390942	0.0526696	0.00871	0.0370594	0.0207783	0.0174984	0.00436722	0.00894572	0.0155823	0.0130719	0.00188978	0.0394084	0.00297729	0.00150627	0.00574287	0.0168406	0.0192672	0.0488424	0.00179364	0.00137233	0.136324	0.0355807	0.0871461	0.0290918	0.160297	0.0923257	0.0152405	0.00103827	0.0140984	0.0221269	0.238621	0.181704	0.0485447	0.147966	0.0264049	0.0582929	0.221586	0.00373726	0.172673	0.00315464	0.00280579	0.0364832	0.0172228	0.0530866	0.0612921	0.0086182	0.103283	0.0285708	0.0258415	0.208918	0.111166	0.0274679	0.173743	0.000740331	0.0204205	0.0849433	0.00357457	0.0643355	0.0149145	0.0122558	0.0756186	0.0338821	0.0373983	0.0676954	0.0208395	0.0225831	0.225227	0.588454	1.05039	2.13593	4	4.839748
4000	-1176.97	-1219.186	42.21624	2	0.9956428	0.0476904	0.0366215	0.0854374	0.00297139	0.0461938	0.0124978	0.0533019	0.0205949	0.0138867	0.150024	0.0293214	0.000814366	0.0457162	0.00249914	0.0344264	0.00996091	0.0117073	0.0114227	0.0381954	0.101816	0.0547545	0.0181078	0.00165774	0.0223306	0.0693582	0.0568583	0.0380821	0.000735797	0.0265187	0.0286313	0.0270756	0.026756	0.0130439	0.0129579	0.00105764	0.0361567	0.118498	0.010634	0.0216479	0.000650858	0.00456395	0.0188354	0.00780841	0.0226019	0.0676899	0.00636626	0.00362859	0.0307998	0.0136937	0.00903724	0.027917	0.0304692	0.0256731	0.0468914	0.191772	0.10517	0.00973838	0.0172154	0.00719086	0.0274703	0.0968945	0.00157186	0.392196	0.114179	0.0137969	0.0790132	0.000595682	0.184945	0.582606	0.00619416	0.155947	0.010885	0.0380438	0.0535767	0.0524093	0.101372	0.011519	0.0100915	0.0210214	0.104021	0.121423	0.00137268	0.00766311	0.141071	0.0181729	0.0200295	0.404835	0.369208	0.164766	0.265711	0.0268467	0.0269147	0.093967	0.0175413	0.11135	0.164765	0.00554257	0.00242496	0.0124888	0.0411767	0.0118587	0.0508364	0.013592	0.136084	0.475438	0.999274	2.3892	4	6.139582
5000	-1149.533	-1199.014	49.48072	2	1.660687	0.00607057	0.052631	0.0224991	0.0430691	0.0187685	0.0296233	0.0387479	0.0584966	0.00092629	0.0350406	0.0267199	0.0229413	0.0238322	0.00673299	0.0276337	0.00906313	0.00480907	0.00244939	0.00563833	0.420321	0.0419176	0.00338867	0.00325229	0.0368972	0.073677	0.0303431	0.00816267	0.00694489	0.0226743	0.000908293	0.0433349	0.0162728	0.0247756	0.0163699	0.0363597	0.0271887	0.0780571	0.0191022	0.0517373	0.00199841	0.037066	0.00680588	0.0427961	0.0117576	0.0027667	0.0209456	0.0012884	0.032308	0.00446187	0.0216417	0.000797796	0.00734493	0.0290227	0.0337845	0.11661	0.0270984	0.00127879	0.0277397	0.013193	0.0741488	0.00172253	0.0373296	0.148734	0.279224	0.000626043	0.0136725	0.0350563	0.0770749	0.26575	0.0322255	0.125866	0.0295521	0.0459933	0.0442741	0.00121971	0.185247	0.00869317	0.0119498	0.00824223	0.0779935	0.108131	0.0408309	0.00709345	0.111002	0.0574314	0.054046	0.243811	0.257316	0.00357443	0.234109	0.000380404	0.00452518	0.103792	0.317297	0.0199216	0.0319873	0.0448539	0.0172419	0.00950623	0.160223	0.026676	0.0666531	0.0201781	0.249112	0.613287	1.05861	2.07899	4	5.28326
6000	-1147.443	-1201.823	54.38023	2	2.096863	0.0846663	0.0688247	0.0102761	0.00291028	0.00397058	0.0302607	0.0393927	0.0133749	0.00428358	0.0211085	0.00676968	0.0330313	0.0446947	0.00240765	0.0719989	0.0118966	0.0131942	0.0301056	0.00765407	0.260152	0.0291148	0.00351217	0.00513391	0.00862173	0.0273599	0.0253681	0.047011	0.0286478	0.0225113	0.000373608	0.0310166	0.01545	0.000703125	0.0132733	0.00836882	0.00395037	0.0799463	0.00385739	0.0068663	0.0109235	0.0358117	0.00226703	0.0163149	0.00479805	0.0326614	0.00503403	0.00829492	0.0187087	0.0933483	0.010022	0.0208538	0.0296158	0.0276059	0.00668841	0.0829007	0.024942	0.00469971	0.0375648	0.003451	0.00933014	0.027169	0.0714266	0.197306	0.0733355	0.00862816	0.00558434	0.0215789	0.138041	0.322894	0.0249813	0.337305	0.0300188	0.0559827	0.0242514	0.0178927	0.10202	0.015466	0.0632243	0.0103369	0.0201516	0.0999568	0.0263415	0.0072545	0.105095	0.00948481	0.04364	0.0142149	0.303294	0.0238532	0.114667	0.104792	0.0673201	0.0776526	0.0185586	0.0313986	0.0422622	0.0122735	0.0176062	0.0365169	0.126201	7.3307e-05	0.0180131	0.0249361	0.304569	0.664934	1.07223	1.95826	4	4.500895
7000	-1145.25	-1203.521	58.27073	2	2.018175	0.0280425	0.00151133	0.0059232	0.00596217	0.0231661	0.00027789	0.0273036	0.054352	0.0189965	0.0171784	0.00220318	0.0085168	0.0606481	0.0268555	0.0318669	0.0095576	0.0208706	0.00575291	0.0120559	0.125368	0.0120026	0.00130881	0.00645283	0.00320849	0.0614784	0.0470366	0.00930409	0.00586276	0.0210535	0.0032869	0.0897274	0.0407817	0.0121772	0.017175	0.00152491	0.0170581	0.082504	0.000366896	0.0386756	0.00913481	0.00749939	0.00133906	0.0395104	0.00138792	0.0394774	0.0352059	0.00504622	0.0768097	0.0158883	0.0144829	0.005203	0.00573489	0.0056358	0.103605	0.016774	0.0145541	0.0103797	0.0349835	0.000222501	0.176813	0.022814	0.0415906	0.0967366	0.0896035	0.0385358	0.0582608	0.0781167	0.0419028	0.379468	0.00740631	0.152347	0.0218286	0.0929789	0.00684396	0.0191829	0.142475	0.0479251	0.0119153	0.0457481	0.00817792	0.0879122	0.0408007	0.0514389	0.084205	0.0958293	0.0210703	0.0172095	0.142694	0.0366974	0.121912	0.144367	0.0576135	0.0431683	0.00328387	0.0330024	0.106383	0.117462	0.191785	0.0350096	0.0250507	0.122472	0.0390254	0.0115361	0.295435	0.656933	1.07044	1.97719	4	4.61087
8000	-1161.031	-1209.991	48.96013	2	1.171865	0.0460822	0.0259804	0.00956974	0.00140861	0.0122083	0.0219238	0.0244915	0.00701712	0.0250141	0.0468677	0.0241329	0.00142906	0.091693	0.0246798	0.0148476	0.00219124	0.00415468	0.0036492	0.0256929	0.301205	0.0337924	0.00176534	0.0206482	0.0322787	0.0203736	0.0315171	0.0118941	0.020673	0.0188181	0.00525135	0.0361344	0.0451523	0.0121694	0.00303411	0.0105159	0.0468194	0.111204	0.0389881	0.0580395	0.020394	0.0262858	0.00120239	0.0283205	0.0294902	0.0120666	0.0116042	0.010306	0.0366497	0.0224795	0.0133002	0.00800078	0.0054084	0.0114021	0.0559744	0.0820189	0.00151934	0.0179372	0.00805533	0.00239995	0.143961	0.0251678	0.0205503	0.168615	0.190264	0.0382965	0.0250287	0.0852534	0.00733263	0.38948	0.00321287	0.284785	0.0157677	0.0153407	0.0378313	0.0152468	0.280179	0.00799622	0.00918698	0.00934462	0.0580366	0.0884215	0.0261049	0.0645449	0.0803114	0.0178461	0.0110343	0.0202425	0.162082	0.104897	0.16884	0.139154	0.109908	0.108158	0.00876061	0.0146421	0.0725935	0.0510135	0.131795	0.00983111	0.0187359	0.135339	0.0561991	0.00201297	0.169918	0.522947	1.02352	2.28362	4	5.111469
9000	-1150.145	-1204.97	54.82545	2	1.924158	0.00451677	0.0209715	0.112555	0.0332642	0.0114482	0.000952218	0.00963363	0.0159234	0.000819539	0.0185332	0.00225244	0.00359991	0.0214866	0.0212398	0.0209967	0.000248054	0.00415719	0.0340521	0.0459834	0.129124	0.00269247	0.0152258	0.000900704	0.0213552	0.0343752	0.0624789	0.00472207	0.00892817	0.0169351	0.000480883	0.0346567	0.0411909	0.0147565	0.0389364	0.010506	0.0143885	0.0823124	0.00332857	0.0389458	0.00805422	0.0152808	0.00298734	0.0251446	0.0203767	0.0139702	0.00440415	0.0392999	0.00805907	0.0322281	0.0010285	0.0141684	0.00769264	0.00152887	0.0024697	0.0943676	0.0365116	0.147427	0.0210118	0.0159635	0.132794	0.0242503	0.0155992	0.141503	0.200255	0.0200594	0.0750487	0.0560837	0.138679	0.437533	0.00375052	0.127312	0.0327352	0.0111997	0.0205101	0.0821858	0.222245	0.0124122	0.0120439	0.0148587	0.0271397	0.00563972	0.0102792	0.00949773	0.0512582	0.0442552	0.097147	0.0612823	0.139485	0.198632	0.154952	0.0785699	0.000894448	0.0467438	0.026119	0.00102534	0.0282835	0.00910815	0.106555	0.0321901	0.0193923	0.0520326	0.0802677	0.0228258	0.28405	0.646699	1.06797	2.00128	4	4.555484
