Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-417.8644	-438.9044	21.04002	10	1.20175	0.0184736	0.00131748	0.194245	0.0876384	0.0601418	0.0760444	0.0577719	0.0606231	0.0927441	0.0705267	0.175802	0.0849979	0.00514017	0.115064	0.134613	0.163521	0.226911	0.117705	0.296026	0.089834	0.101931	0.214868	0.214846	0.0967141	0.0635426	0.00998013	0.105416	0.0981773	0.0572327	0.0336616	0.0365252	0.0232569	0.146984	0.17537	0.529999	1.02677	2.26786	5	3.332276
1000	-187.5903	-209.6409	22.05057	10	6.816324	0.0718714	0.109502	0.00880306	0.00352174	0.00144683	0.0155189	0.0307816	0.0431907	0.01147	0.206373	0.0395636	0.0230146	0.142174	0.0309545	0.0752005	0.0198377	0.00144848	0.0186146	0.157052	0.00543638	0.450001	0.403857	0.0363975	0.0444574	0.0486653	0.461815	0.039394	0.0194909	0.0551317	0.134762	0.00167698	0.0281993	0.500858	0.56358	0.837598	1.07938	1.51944	5	3.240483
2000	-197.2607	-221.841	24.58023	10	3.534278	0.283639	0.0296436	0.0279998	0.0156957	0.0223055	0.000868132	0.0769946	0.0558392	0.0706456	0.299018	0.02486	0.128094	0.201467	0.0279876	0.0525414	0.0632263	0.0115108	0.00448856	0.00617019	0.132331	0.0200496	0.0202451	0.379402	0.0437747	0.0889237	0.0170347	0.487585	0.10657	0.0278551	0.220107	0.0523	0.198939	0.0964172	0.426791	0.757389	1.08413	1.73169	5	3.294528
3000	-179.7753	-210.2577	30.48234	10	3.724339	0.0934938	0.23425	0.0143926	0.000108939	0.0162317	0.0410089	0.0481493	0.00597048	0.0405279	0.110924	0.0672755	0.0770445	0.046246	0.0450049	0.0155623	0.0753632	0.0442313	0.0229954	0.27454	0.0104795	0.0450616	0.00382117	0.0500448	0.0450174	0.0500895	0.0963678	0.258047	0.0670801	0.0204981	0.456798	0.329446	0.00444636	0.00190735	0.438547	0.765102	1.08433	1.71202	5	2.712426
4000	-184.6595	-212.0566	27.39708	10	2.157304	0.0502001	0.11142	0.0364568	0.0158059	0.0306178	0.0123648	0.0534084	0.00109271	0.0214019	0.143718	0.0600514	0.0195097	0.00952699	0.109643	0.0377848	0.0213815	0.0707191	0.0013228	0.408999	0.551935	0.0194124	0.0191406	0.0603316	0.0324398	0.0394811	0.00389277	0.30849	0.0115649	0.0982985	0.0330636	0.0683338	0.18382	0.358655	0.311356	0.670762	1.07347	1.94441	5	3.004283
5000	-192.986	-220.2035	27.2175	10	2.463975	0.00779966	0.199617	0.0307448	0.0305684	0.0577107	0.000768511	0.0559841	0.0504772	0.0708488	0.202859	0.336516	0.0663795	0.00178017	0.00579051	0.0512973	0.0150888	0.00381828	0.073033	0.250881	0.0129166	0.203695	0.0515463	0.0130254	0.0731149	0.0509405	0.45585	0.0398394	0.00552986	0.0651417	0.010021	0.200317	0.484824	0.0277764	0.343014	0.696742	1.07821	1.88204	5	3.206501
6000	-191.8759	-215.3361	23.46019	10	3.13415	0.100736	0.084888	0.0480522	0.00509101	0.0106135	0.0359181	0.0189254	0.00577782	0.0451924	0.16839	0.113338	0.0731456	0.0485419	0.0404855	0.012327	0.0632572	0.0125178	0.0216865	0.0758148	0.419859	0.149536	0.0148139	0.0276351	0.195852	0.0278624	0.17312	0.774499	0.132816	0.0747884	0.00237654	0.108006	0.0427254	0.110475	0.399381	0.738695	1.0831	1.77882	5	3.239064
7000	-193.1075	-220.3385	27.231	10	1.361263	0.273281	0.130557	0.0213579	0.0119114	0.0175095	0.0578086	0.0211203	0.00214634	0.004282	0.0622346	0.0270696	0.0250761	0.0339535	0.0646483	0.117636	0.0548146	0.105723	0.00829242	0.0565146	0.03099	0.0576374	0.137981	0.0645544	0.131447	0.0225638	0.352791	0.352235	0.000608918	0.0291633	0.0727009	0.149484	0.127654	0.61561	0.203073	0.563707	1.04112	2.1921	5	3.241357
8000	-185.0768	-210.8177	25.74084	10	6.649799	0.420013	0.00792103	0.00100568	0.0180338	0.0181252	0.0567255	2.41456e-05	0.0192224	0.0274244	0.103555	0.0121318	0.0695573	0.0337223	0.0443962	0.0508881	0.00779977	0.000139974	0.029054	0.134505	0.019971	0.132617	0.00717398	0.129659	0.0446224	0.0213135	0.383328	0.147867	0.247068	0.286349	0.117622	0.0286585	0.055314	0.110105	0.558885	0.835154	1.07977	1.52619	5	2.785914
9000	-193.4832	-219.0714	25.58826	10	2.92066	0.695128	0.0833134	0.0104173	0.0353923	0.00856734	0.0103275	0.0343542	0.00774197	0.0366134	0.0602361	0.0457474	0.0757245	0.058695	0.00760101	0.0174132	0.0655248	0.00739199	0.0466266	0.287711	0.0867416	0.188433	0.0641671	0.0877688	0.0755975	0.228467	0.227495	0.0157138	0.0598232	0.00426107	0.0494768	0.30387	0.0452034	0.363282	0.383029	0.727038	1.0821	1.80784	5	3.394828
