Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-225.0474	-285.6465	60.59909	10	0.06849771	0.0458395	0.189795	0.0310873	0.0771707	0.0350605	0.0149047	0.0546637	0.0984211	0.0938983	0.0583288	0.0683736	0.176042	0.0121144	0.101662	0.117696	0.0761674	0.00744645	0.00809132	0.0557129	0.148383	0.138677	0.110913	0.0366316	0.0148781	0.118773	9.01032e-10	4.47211e-05	0.0250305	3.97492	5	1.89073
1000	-177.4519	-224.8208	47.36891	10	3.644821	0.0540017	0.0315747	0.00631107	0.344896	0.107059	0.0256263	0.00262054	0.147024	0.0233759	0.116135	0.0584679	0.122303	0.00665676	0.0908067	0.00583909	0.292796	0.00330685	0.120923	0.0980541	0.285383	0.1571	0.0717869	0.0430732	0.0240369	0.0627562	0.433718	0.761956	1.08427	1.72006	5	2.301914
2000	-175.2315	-222.7746	47.54311	10	1.6707	0.110654	0.290293	0.146232	0.0562809	0.0789146	0.0262991	0.0150516	0.164048	0.139391	0.162112	0.120998	0.143103	0.0291281	0.184054	0.0334153	0.00654915	0.136239	0.187474	0.0143658	0.00473165	0.0091814	0.221248	0.479704	0.33399	0.174595	0.250529	0.614706	1.05905	2.07571	5	3.268054
3000	-164.6416	-219.8861	55.24451	10	0.893779	0.0962752	0.118883	0.0228815	0.131437	0.0214188	0.0260524	0.0626596	0.238526	0.141698	0.128912	0.0136498	0.151074	0.00950792	0.159485	0.0273424	0.070315	0.0956962	0.110139	0.135192	0.0326795	0.112019	0.00352384	0.237725	0.141902	0.0337853	0.115303	0.442319	0.9799	2.46248	5	2.322779
4000	-175.9491	-222.4363	46.48718	10	1.363761	0.0397636	0.154531	0.0738891	0.215962	0.0566011	0.0661276	0.0220817	0.189074	0.0311433	0.0345894	0.0120979	0.162918	0.155403	0.328052	0.239128	0.00634657	0.0661597	0.407096	0.0112724	0.06447	0.0762318	0.0411244	0.105225	0.149942	0.0319666	0.203489	0.564188	1.04131	2.19102	5	2.741195
5000	-183.7206	-223.7407	40.02006	2	1.218134	0.0252131	0.134368	0.131992	0.0800251	0.0318274	0.0651015	0.0321362	0.0700813	0.0456611	0.0352803	0.00324718	0.317715	0.0165109	0.0212024	0.115815	0.00723064	0.153504	0.0690096	0.00380126	0.307809	0.245693	0.0726126	0.0568582	0.0160608	0.0303772	0.178324	0.533758	1.02847	2.25945	4	2.089133
6000	-186.2403	-217.1273	30.88699	2	2.010724	0.0379257	0.0841776	0.0768081	0.104018	0.0641959	0.0976305	0.114787	0.106581	0.0134086	0.0200457	0.0301833	0.282155	0.00400594	0.343796	0.33172	0.314638	0.0083852	0.0513345	0.0551477	0.281113	0.242954	0.0391382	0.0955747	0.0547535	0.0145203	0.294551	0.656149	1.07026	1.97904	4	2.868997
7000	-163.8021	-222.7802	58.97809	10	0.9718466	0.0963243	0.0815562	0.131318	0.175962	0.0578593	0.0911337	0.00242087	0.151656	0.0506653	0.063124	0.0872856	0.221957	0.0219471	0.0850282	0.0783612	0.0157226	0.0225288	0.0482795	0.119237	0.0703141	0.0941087	0.18883	0.0562697	0.118087	0.0805637	0.131303	0.468123	0.995174	2.4054	5	2.210541
8000	-179.71	-217.8993	38.18932	10	2.42445	0.0341024	0.163315	0.130116	0.186316	0.0222816	0.0463685	0.139068	0.123478	0.0611055	0.0404863	0.0336231	0.184239	0.162364	0.185864	0.0111414	0.0805411	0.276055	0.350185	0.5582	0.0545014	0.00991162	0.0923088	0.0238239	0.0565029	0.13373	0.339175	0.693692	1.07772	1.88942	5	3.159627
9000	-165.4175	-226.5565	61.13903	10	0.7988646	0.0932058	0.0455209	0.0226157	0.0078153	0.108274	0.0527124	0.0373962	0.150706	0.0797709	0.080678	0.0598423	0.311294	0.0399573	0.048215	0.0649445	0.0805742	0.100137	0.018839	0.0532285	0.10201	0.262133	0.0902077	0.235844	0.0276448	0.116767	0.0953171	0.406676	0.95664	2.54137	5	2.290333
10000	-172.6246	-221.8524	49.2278	10	4.079393	0.302622	0.0439455	0.0824143	0.12401	0.075884	0.101519	0.0398875	0.0883737	0.0854103	0.0533623	0.0116668	0.0331771	0.0224995	0.117562	0.32446	0.017414	0.211557	0.368986	0.0317366	0.212806	0.00595824	0.023377	0.170279	0.0244519	0.0947059	0.458671	0.777911	1.08438	1.67904	5	2.668065
11000	-168.5109	-224.1386	55.6277	10	2.91278	0.0307224	0.0855326	0.0380584	0.148912	0.0977798	0.064672	0.134973	0.31743	0.0159273	0.0271398	0.056232	0.073804	0.0160756	0.191089	0.25724	0.170735	0.0765324	0.0304396	0.275153	0.0524013	0.0699391	0.0769158	0.064686	0.0768372	0.0535177	0.3824	0.726582	1.08205	1.80897	5	2.502745
12000	-177.3081	-221.65	44.3419	10	1.758729	0.00324753	0.185735	0.0709664	0.0364487	0.00945327	0.0763867	0.0255224	0.214161	0.0297127	0.0527508	0.0865523	0.0918104	0.00706437	0.136972	0.436387	0.183113	0.00316887	0.253202	0.0608101	0.0257711	0.103588	0.0114832	0.0372586	0.0254706	0.018744	0.262669	0.626632	1.06259	2.04811	5	2.185779
13000	-179.704	-229.5498	49.84571	10	0.2982027	0.000194837	0.0659597	0.0311413	0.200543	0.172272	0.0536613	0.00076848	0.151976	0.0194573	0.0541372	0.0642188	0.483138	0.0170886	0.139019	0.640965	0.0270313	0.00554895	0.067739	0.0530104	0.0240359	0.0177022	0.0315311	0.0616342	0.00265087	0.0678398	0.00515065	0.103098	0.592772	3.29898	5	2.453265
14000	-171.9517	-217.8301	45.87837	10	3.020173	0.0131706	0.0611939	0.0396644	0.0622703	0.118111	0.126442	0.0129579	0.185937	0.0134685	0.0712237	0.0117492	0.11092	0.0476126	0.123327	0.119158	0.170109	0.169181	0.0478061	0.143075	0.0150967	0.233908	0.0678391	0.400179	0.289936	0.0727407	0.390817	0.732639	1.08261	1.79393	5	2.727075
15000	-171.4524	-221.6423	50.18989	10	1.486675	0.167011	0.101695	0.0889641	0.329056	0.240563	0.172096	0.117679	0.137812	0.0186656	0.0562237	0.0129911	0.088608	0.155229	0.102721	0.0848271	0.131092	0.0727883	0.0211397	0.0599321	0.0464636	0.0203826	0.0918151	0.202917	0.259014	0.280936	0.223257	0.586323	1.04963	2.14079	5	3.060621
16000	-171.2068	-221.4227	50.21591	10	4.390557	0.090013	0.0683417	0.0553093	0.108083	0.039467	0.0785397	0.0354025	0.014177	0.129937	0.0786427	0.148951	0.303684	0.0648262	0.0771116	0.00716557	0.0461583	0.319238	0.278204	0.0253137	0.0459588	0.00595032	0.130989	0.108467	0.105131	0.169934	0.47461	0.787717	1.08416	1.65351	5	2.534994
17000	-172.6897	-222.8655	50.17576	10	0.5858284	0.0451855	0.0593001	0.0853837	0.144804	0.0219298	0.0580216	0.00740248	0.0388624	0.0641894	0.150844	0.0135254	0.1547	0.0352679	0.0473315	0.055573	0.204845	0.158936	0.0235874	0.0164846	0.0458921	0.156323	0.0950652	0.0765077	0.0384248	0.465606	0.0501989	0.304303	0.873913	2.77159	5	2.263992
18000	-167.0977	-218.9281	51.83042	10	2.140801	0.0366912	0.0278377	0.0542839	0.155331	0.0650749	0.102126	0.0250747	0.0841874	0.0112093	0.0559404	0.0186146	0.31618	0.176025	0.326365	0.147616	0.0142432	0.0933126	0.0526944	0.0352781	0.452292	0.191328	0.232494	0.193078	0.0278661	0.0669602	0.309522	0.669197	1.07314	1.94814	5	2.962105
19000	-167.9824	-220.7606	52.77815	10	2.44164	0.113746	0.170833	0.158916	0.169279	0.276619	0.0462766	0.00217976	0.085012	0.00527826	0.0375939	0.0119077	0.0686249	0.00212792	0.115233	0.0722249	0.108667	0.408109	0.0582147	0.226591	0.0121068	0.00909712	0.0699224	0.142588	0.205351	0.0661659	0.340853	0.695029	1.07793	1.88618	5	2.642666
20000	-172.0558	-220.2692	48.2134	10	2.276449	0.0923055	0.100721	0.0397503	0.340866	0.0837424	0.0364384	0.100039	0.160779	0.0387521	0.0388387	0.00658087	0.100189	0.06144	0.102719	0.20409	0.29369	0.096813	0.128799	0.209467	0.165278	0.0605659	0.216558	0.00229607	0.116337	0.00514213	0.324183	0.681522	1.07558	1.91871	5	2.802199
21000	-169.3412	-220.7425	51.40132	10	1.307717	0.0268303	0.150335	0.0518302	0.179137	0.0433084	0.0559435	0.00152208	0.165527	0.101214	0.0791951	0.0175337	0.114767	0.100724	0.560228	0.0560936	0.0731714	0.239752	0.107974	0.0296403	0.21145	0.0357886	0.136266	0.0941562	0.240539	0.0513363	0.194033	0.553073	1.03681	2.21609	5	2.92426
22000	-189.099	-227.4154	38.31633	10	4.042655	0.0945858	0.1797	0.134523	0.0110391	0.0615828	0.143873	0.0984702	0.0613043	0.0551063	0.102494	0.00364072	0.275028	0.0108924	0.206146	0.0307931	0.103381	0.074231	0.0723294	0.38978	0.0630383	0.0420735	0.00302165	0.619842	0.0340417	0.0576867	0.45669	0.776671	1.08439	1.68225	5	2.928603
23000	-185.4369	-228.7955	43.35866	10	0.3960668	0.0566043	0.0186639	0.155049	0.238265	0.0136953	0.032273	0.0674771	0.111074	0.0141421	0.0645395	0.0126345	0.0907468	0.0378684	0.17084	0.0645285	0.162059	0.231813	0.113002	0.272303	0.19483	0.138667	0.228033	0.0434953	0.00380796	0.243853	0.0161511	0.178812	0.726989	3.07805	5	2.780264
24000	-173.8946	-227.025	53.13041	10	2.162281	0.0711852	0.0312799	0.170017	0.0616113	0.0494553	0.201873	0.0763138	0.141559	0.00481584	0.044977	0.0420307	0.0902153	0.0456418	0.0514155	0.0266909	0.293099	0.282421	0.102488	0.135297	0.10653	0.103828	0.00473941	0.285412	0.0298506	0.038569	0.311906	0.671231	1.07357	1.9433	5	2.491317
25000	-161.031	-217.1304	56.09942	10	2.177577	0.0466589	0.144799	0.143915	0.110924	0.0554256	0.0123951	0.01675	0.102054	0.0335726	0.0252812	0.00786542	0.105926	0.021029	0.214092	0.331033	0.127521	0.0337337	0.0534568	0.0286083	0.0602768	0.144605	0.0781426	0.0758419	0.0970468	0.241415	0.313589	0.672659	1.07386	1.93989	5	2.312369
26000	-177.2025	-230.2192	53.01671	10	1.887203	0.118912	0.103292	0.117136	0.126565	0.0458223	0.225677	0.0510121	0.0284612	0.0340735	0.0303869	0.0167541	0.106525	0.0021285	0.103744	0.521109	0.0628617	0.176424	0.00334446	0.140112	0.00503242	0.180568	0.0192947	0.103313	0.135627	0.306212	0.279428	0.642457	1.06689	2.01122	5	2.764389
27000	-171.6007	-224.5403	52.93963	10	2.476307	0.055682	0.102181	0.0343582	0.140345	0.147425	0.142072	0.0413156	0.204039	0.000762306	0.0130676	0.00978439	0.164292	0.050964	0.0468791	0.306874	0.0207658	0.107362	0.0370363	0.0932838	0.0490685	0.0799415	0.00203264	0.00183174	0.0475766	0.10071	0.344199	0.697678	1.07835	1.87977	5	1.99965
28000	-171.6438	-221.8427	50.19888	10	1.632732	0.0489971	0.02551	0.0363329	0.0839652	0.123793	0.333635	0.0131057	0.121108	0.0551001	0.134635	0.0105176	0.0791003	0.087874	0.2851	0.00867711	0.00530332	0.0133719	0.124584	0.0866807	0.25978	6.2481e-05	0.14961	0.241246	0.225934	0.0876839	0.245118	0.609256	1.05735	2.08828	5	2.641708
29000	-164.9285	-217.4888	52.56025	10	1.883862	0.104829	0.0384991	0.108631	0.223016	0.0525354	0.0148389	0.0490733	0.0921945	0.106124	0.13175	0.00308437	0.128687	0.0760704	0.186029	0.0848946	0.123514	0.0722916	0.321045	0.110198	0.0277553	0.0441022	0.0794368	0.00660336	0.0299547	0.139657	0.279006	0.642067	1.06679	2.01214	5	2.354814
30000	-169.4468	-222.3979	52.95113	10	0.7439162	0.0422155	0.15493	0.015754	0.0397655	0.0699003	0.0215323	0.129662	0.0630855	0.0346491	0.0550871	0.00893235	0.129541	0.00324923	0.124326	0.174908	0.109418	0.0519509	0.121141	0.0173131	0.16474	0.0821204	0.0331336	0.00429134	0.21008	0.0169942	0.0835827	0.383535	0.940115	2.59277	5	1.87872
31000	-169.1329	-222.3951	53.26224	10	0.9371735	0.0783744	0.0037542	0.0938375	0.291156	0.0771432	0.153408	0.113187	0.150479	0.00828386	0.0141862	0.0147559	0.230756	0.0325959	0.152531	0.0104479	0.0967029	0.0705685	0.161407	0.0701168	0.0611624	0.0834769	0.0957909	0.0808973	0.0695674	0.207212	0.124254	0.457018	0.988756	2.42997	5	2.421799
32000	-164.8577	-216.852	51.99428	10	0.6734146	0.0852467	0.177106	0.0373852	0.0838948	0.0447088	0.0221915	0.00556198	0.126742	0.0248129	0.0967409	0.00280193	0.278641	0.0219301	0.169846	0.0457855	0.11758	0.0240911	0.315125	0.113234	0.0091385	0.0732445	0.0940108	0.155511	0.108953	0.172855	0.0685211	0.350712	0.914604	2.66616	5	2.407138
33000	-167.8374	-221.2943	53.4569	10	0.5857697	0.0276134	0.0660049	0.0755407	0.0927838	0.0769996	0.059836	0.0706313	0.0932659	0.0510343	0.0176642	0.0125869	0.0479213	0.0121483	0.19623	0.0133069	0.037415	0.0500411	0.211706	0.0019333	0.137895	0.0435323	0.141751	0.225574	0.029074	0.0856333	0.0501869	0.304269	0.873882	2.77166	5	1.878121
34000	-169.5454	-220.6427	51.09728	10	1.850959	0.327303	0.145708	0.108627	0.234728	0.0422558	0.00537124	0.00250553	0.0769182	0.0176374	0.031499	0.00712213	0.0619484	0.0304862	0.168418	0.0513268	0.241366	0.0609676	0.0794262	0.0162725	0.398593	0.048824	0.187251	0.104784	0.0115951	0.130575	0.27481	0.638168	1.06577	2.02125	5	2.591508
35000	-167.6065	-226.8399	59.23339	10	0.6303859	0.00781088	0.0765556	0.0873852	0.116986	0.0893087	0.0614226	0.0256736	0.136832	0.0253364	0.0334637	0.0366513	0.0792815	0.0216283	0.0476038	0.0608931	0.0126781	0.0497853	0.335164	0.0906886	0.127895	0.0393726	0.0322337	0.0519762	0.0504256	0.018821	0.0594295	0.328747	0.896063	2.71576	5	1.715872
36000	-185.8553	-216.4671	30.6118	2	3.412942	0.0529938	0.210135	0.139548	0.0146449	0.0458564	0.0396197	0.0286582	0.159967	0.0143553	0.0706497	0.017487	0.0748809	0.0754115	0.165919	0.221188	0.0188545	0.317971	0.0593455	0.052431	0.120541	0.0292879	0.440604	0.0398392	0.119556	0.0421224	0.418883	0.7521	1.08391	1.7451	4	2.571866
37000	-160.1411	-223.0513	62.91024	10	0.7772793	0.0126225	0.0254213	0.0421007	0.385219	0.0294997	0.225438	0.00772794	0.0828755	0.0472069	0.091793	0.0151631	0.131776	0.0384939	0.146552	0.00365354	0.156115	0.181313	0.033773	0.0040916	0.0621536	0.0100388	0.00815427	0.0567602	0.0129968	0.0780046	0.0907156	0.397823	0.950455	2.56101	5	1.888945
38000	-172.4026	-217.2451	44.84248	10	1.140364	0.0304215	0.141225	0.126515	0.17595	0.076688	0.0926952	0.00622055	0.124427	0.0394937	0.142206	0.0783223	0.217801	0.0451013	0.0717607	0.267187	0.0727155	0.049573	0.466409	0.161027	0.0255598	0.1239	0.0711292	0.374305	0.141085	0.0870696	0.164079	0.515226	1.01986	2.30084	5	3.208788
39000	-197.6608	-232.8213	35.16048	10	1.547668	0.0420041	0.0641079	0.132566	0.0354152	0.0671098	0.0756871	0.0529271	0.0249536	0.216926	0.416547	0.0606009	0.19875	0.00664836	0.0677357	0.0303705	0.023713	0.181523	0.202449	0.340188	0.279861	0.0602684	0.1876	0.0520865	0.0954657	0.0511493	0.232593	0.596303	1.0531	2.118	5	2.966653
40000	-177.5832	-225.3331	47.74996	10	2.967747	0.11282	0.105895	0.00269627	0.206479	0.0875355	0.104507	0.0345666	0.210867	0.0230963	0.143991	0.0558048	0.237485	0.165101	0.292175	0.00445004	0.0181021	0.0138709	0.0623986	0.231681	0.0952436	0.307097	0.116853	0.0831246	0.345297	0.0360998	0.386751	0.729726	1.08235	1.80117	5	3.097237
