Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-416.5436	-449.7014	33.15785	10	0.2259814	0.164937	0.00792069	0.000185102	0.0700304	0.13893	0.0925082	0.0540067	0.083729	0.153419	0.0156242	0.0960872	0.0973828	0.0421894	0.0251287	0.0121607	0.318732	0.111211	0.0806276	0.0824753	0.0665102	0.103397	0.0597755	0.0118353	0.00117464	0.0499794	0.448027	3.50082	5	1.888802
1000	-238.5803	-277.909	39.32868	10	1.080865	0.390898	0.0334835	0.167522	0.034176	0.00355188	0.0279219	0.0275459	0.0384631	0.00442073	0.00130438	0.0472693	0.114859	0.0117288	0.0195671	0.0233435	0.00675379	0.0696922	0.014669	0.0226724	0.250072	0.224939	0.0383569	0.0907613	0.1528	0.499778	1.01221	2.33522	5	1.663971
2000	-249.0323	-282.0666	33.03435	10	1.862557	0.199544	0.0209284	0.158305	0.0495647	0.0315267	0.0384754	0.0413685	0.00174676	0.0203074	0.0175538	0.0541691	0.0981992	0.0270954	0.0276138	0.0635017	0.0614998	0.046603	0.00258994	0.000842664	0.359019	0.171522	0.198048	0.00295517	0.276297	0.639554	1.06614	2.01801	5	1.692979
3000	-263.4988	-290.5764	27.07761	10	0.6764009	0.505354	0.0436285	0.12519	0.0923947	0.0317442	0.0767775	0.0596322	0.0299924	0.0246911	0.0127862	0.0148882	0.195209	0.0257567	0.0141572	0.0452531	0.00198966	0.000893239	0.0798052	0.053539	0.0522076	0.418132	0.0893619	0.424118	0.0691563	0.352179	0.915799	2.66287	5	2.417501
4000	-244.6917	-277.1227	32.431	10	0.6791037	0.628584	0.0185418	0.143354	0.111588	0.0148577	0.0903734	0.0391264	0.00250579	0.0564246	0.017994	0.0229326	0.113118	0.0595939	0.0315184	0.00630891	0.0501174	0.402776	0.0101234	0.0129575	0.0135247	0.315644	0.00868261	0.000300673	0.0697316	0.353502	0.916872	2.6599	5	2.170947
5000	-265.9994	-295.1638	29.16435	10	2.521994	0.152029	0.116221	0.00241827	0.112134	0.0334056	0.079117	0.00997839	0.00149473	0.0492197	0.0274942	0.0268501	0.231505	0.046584	0.0121788	0.00922037	0.00185449	0.053129	0.0347536	0.0211749	0.0202127	0.123461	0.387993	0.0603708	0.348532	0.70108	1.07887	1.87152	5	1.612799
6000	-247.8595	-287.3253	39.46577	10	1.469705	0.116033	0.113887	0.0681062	0.144594	0.0543374	0.106317	0.0284637	0.00850144	0.013374	0.0123723	0.00920257	0.096507	0.0255985	0.054724	0.0239825	0.0212588	0.00912557	0.0299187	0.0315417	0.00369774	0.197483	0.149996	0.0573498	0.220604	0.583435	1.04859	2.14737	5	1.376373
7000	-239.6607	-277.8024	38.14176	10	1.198376	0.148885	0.0828382	0.00366232	0.053152	0.0342165	0.0251772	0.00599438	0.00337754	0.0111544	0.00417895	0.0312974	0.115581	0.0407284	0.0179279	0.0435567	0.00955466	0.0150986	0.251878	0.0584826	0.00207154	0.235166	0.0236598	0.0250353	0.174759	0.529215	1.02641	2.26961	5	1.242675
8000	-243.5952	-280.702	37.1068	10	0.7941421	0.229534	0.0257816	0.0020065	0.0304249	0.00987143	0.0160015	0.00355393	0.0135431	0.00363333	0.00181934	0.012091	0.141725	0.10453	0.0458911	0.0010887	0.00421761	0.0843269	0.250019	0.0830957	0.0500865	0.267323	0.0366542	0.0106875	0.0943116	0.404765	0.955318	2.54561	5	1.427906
9000	-244.6798	-284.157	39.47718	10	2.442837	0.143995	0.0642546	0.007494	0.093857	0.0259305	0.0361711	0.0265964	0.02261	0.00272333	0.0704643	0.0156493	0.0869424	0.0458706	0.0264465	0.0936575	0.00380318	0.00733275	0.241611	0.0169411	0.0550188	0.157633	0.00257605	0.0111503	0.340969	0.695121	1.07795	1.88596	5	1.258728
10000	-251.6799	-276.5108	24.83088	2	1.48861	0.390767	0.0127634	0.0118738	0.0319568	0.00652526	0.0467143	0.0269814	0.00976134	0.0245946	6.7482e-05	0.00978044	0.0134562	0.0162261	0.0256266	0.00604355	0.0473584	0.0837524	0.304095	0.00694568	0.0204065	0.545586	0.0180738	0.0979682	0.223558	0.586649	1.04975	2.14005	4	1.757325
11000	-249.8536	-281.2945	31.44088	10	1.201818	0.361461	0.0116086	0.0574103	0.0738915	0.00677587	0.0421905	0.0011751	0.00591655	0.063769	0.0487119	0.0439561	0.0794998	0.0245163	0.000646998	0.0251852	0.00469934	0.0265675	0.362363	0.0653096	0.0221809	0.185632	0.034893	0.0407637	0.175382	0.530014	1.02678	2.26782	5	1.589124
12000	-248.6259	-285.3432	36.71731	10	2.61849	0.13479	0.0451302	0.0262312	0.0451898	0.00834211	0.050024	0.0418954	0.0216098	0.0124637	0.0109256	0.0166758	0.0990134	0.0370854	0.0260898	0.00872097	0.0473905	0.0191139	0.195188	0.0760756	0.0575113	0.258876	0.00690215	0.0298344	0.35741	0.707947	1.07985	1.85479	5	1.275079
13000	-247.1639	-281.6634	34.49952	10	0.9064715	0.213966	0.0477365	0.0704002	0.0420338	0.0168298	0.124386	0.0398385	0.0326279	0.00515305	0.0153032	0.0726735	0.0954143	0.000832751	0.0325853	0.0108099	0.00920594	0.00143398	0.156342	0.0467853	0.0322166	0.180141	0.00552084	0.015693	0.117935	0.446715	0.982592	2.45276	5	1.267929
14000	-263.8135	-287.9911	24.17766	2	1.83637	0.497508	0.0585082	0.0584932	0.099679	0.0294565	0.0452778	0.0410942	0.0206111	0.0454958	0.0119847	0.0372611	0.112225	0.0140487	0.0255543	0.0215702	0.0436036	0.0152693	0.264023	0.0141495	0.00591632	0.193094	0.109524	0.0118215	0.272927	0.636403	1.0653	2.02537	4	1.776169
15000	-240.5979	-278.3883	37.79046	10	2.317523	0.198521	0.0401353	0.0481946	0.0264083	0.0179942	0.0621797	0.0173638	0.00420346	0.00172872	0.00694478	0.032072	0.141177	0.0346354	0.0151811	0.0230477	0.031529	0.00796174	0.205631	0.0079456	0.0248508	0.229053	0.133448	0.0215062	0.328444	0.685024	1.07623	1.9103	5	1.331712
