Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-72.67853	-84.18924	11.51071	10	0.7183066	0.145443	0.203239	0.00842072	0.0253093	0.00863672	0.168721	0.292635	0.260344	0.00886551	0.0460215	0.158063	0.244238	0.0446601	0.0781021	0.372041	0.931468	2.61839	5	1.614597
1000	-44.68862	-53.51838	8.829763	10	1.146092	0.192536	0.154745	0.0247228	0.0955855	0.0906017	0.0211009	0.0359477	0.0560194	0.152773	0.00890281	0.225263	0.706255	0.00763909	0.165148	0.516653	1.02054	2.29766	5	1.772092
2000	-51.24599	-58.47361	7.227613	1	1.669075	0.146596	0.00404446	0.0202212	0.0953068	0.115856	0.0268283	0.101629	0.0759269	0.0348016	0.00128977	0.308683	0.33857	0.28745	0.250299	0.614476	1.05898	2.07624	3	1.557203
3000	-44.76949	-53.27006	8.500568	10	2.78284	0.0235752	0.148566	0.0817162	0.042349	0.0959701	0.158533	0.0470086	0.0105451	0.00366313	0.160931	0.0474023	0.13177	0.846136	0.371732	0.718748	1.08121	1.82831	5	1.798166
4000	-38.48751	-60.82838	22.34087	1000	0.372556	0.22431	0.0567185	0.131358	0.0948454	0.0522451	0.0366907	0.204786	0.0321714	0.285869	0.104169	0.0560342	0.00760911	0.113532	0.0129624	0.160977	0.699789	3.12627	6	1.400339
5000	-35.59893	-60.15385	24.55492	1000	2.528838	0.0828699	0.0228404	0.117832	0.0409703	0.0578875	0.0624632	0.0760409	0.261486	0.0150782	0.0571492	0.00795906	0.288184	0.324107	0.349174	0.701581	1.07895	1.8703	6	1.414869
6000	-17.48643	-49.40589	31.91946	1000	3.253082	0.0352671	0.0820293	0.0231292	0.0250041	0.0114654	0.0240725	0.004239	0.0058708	0.0542529	0.030652	0.195141	0.0111167	0.134409	0.40794	0.744643	1.08351	1.76391	6	0.6366488
7000	-23.83795	-50.00339	26.16544	1000	2.206277	0.117282	0.0455968	0.116862	0.0520633	0.014126	0.0664581	0.00314432	0.0104585	0.130571	0.0212295	0.189357	0.465596	0.0255852	0.316714	0.675297	1.07439	1.9336	6	1.258329
8000	-30.12344	-53.78986	23.66642	1000	0.7236134	0.0883549	0.0192569	0.0228654	0.0273848	0.050109	0.0115339	0.0766017	0.0830492	0.0555108	0.0492042	0.0528802	0.618361	0.00405629	0.0792375	0.374462	0.933314	2.61299	6	1.159169
9000	-48.31233	-56.21058	7.898249	1	1.261498	0.12619	0.047282	0.00972125	0.039384	0.0144376	0.179062	0.00229278	0.0616813	0.00141138	0.000166386	0.596726	0.220676	0.231867	0.186021	0.54336	1.0327	2.23792	3	1.530897
10000	-38.15248	-53.67552	15.52304	1	1.201164	0.0600946	0.0198962	0.0254309	0.0584502	0.0127001	0.00653474	0.000969823	0.104192	0.0987829	0.0952232	0.233015	0.0230729	0.036089	0.175264	0.529863	1.02671	2.26816	3	0.7744512
11000	-21.62546	-48.60293	26.97747	1000	0.3226612	0.0927046	0.0198842	0.0223964	0.0141945	0.0297741	0.0106509	0.00602269	0.0090698	0.0858804	0.669872	0.00563666	0.0784774	0.0585371	0.00731253	0.1222	0.631968	3.23852	6	1.103101
12000	-31.97735	-54.64573	22.66838	1000	0.9565931	0.175141	0.0173537	0.0380474	0.0497891	0.186324	0.0180142	0.133364	0.0166615	0.0581456	0.591715	0.0815648	0.0752618	0.0116401	0.128214	0.463304	0.992418	2.41606	6	1.453022
13000	-38.26266	-55.46783	17.20517	10	0.4219682	0.00730085	0.0932087	0.179714	0.0061459	0.0171859	0.0141249	0.0464333	0.00508036	0.0106695	0.00357058	0.0792901	0.262786	0.244053	0.0200071	0.197967	0.753999	3.02803	5	0.9695622
14000	-31.86626	-51.51024	19.64398	2	0.8733035	0.0539736	0.0209004	0.00493972	0.0543136	0.00570341	0.000123326	0.0170648	0.0267901	0.0502895	0.114624	0.0947229	0.00831633	0.00227263	0.111035	0.435054	0.975366	2.47855	4	0.454034
15000	-36.33802	-52.0166	15.67858	10	0.8450276	0.121144	0.0449112	0.0128453	0.0512068	0.076366	0.0356472	0.0158774	0.0176515	0.496638	0.00109924	0.0374322	0.276362	0.114687	0.105098	0.42465	0.968691	2.50156	5	1.301867
