Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-86.23527	-101.5165	15.28121	10	0.02870555	0.263693	0.00714659	0.229683	0.0150654	0.0662407	0.091811	0.0263816	0.0220284	0.00241682	0.0112508	0.0790768	5.93604e-22	3.64207e-11	7.44462e-05	3.99993	5	0.8147936
1000	-56.1078	-71.37997	15.27217	10	0.7789178	0.0142999	0.0117955	0.00507469	0.032208	0.0140933	0.0457166	0.0354299	0.336691	0.191179	0.23463	0.0514179	0.0910654	0.398506	0.950938	2.55949	5	0.9725361
2000	-60.47352	-74.54121	14.06769	2	0.7981925	0.0495002	0.0366732	0.0378286	0.103341	0.0588366	0.0205356	0.080939	0.153232	0.0823347	0.00810168	0.249346	0.0951741	0.406405	0.956453	2.54197	4	0.880668
3000	-61.51405	-74.28465	12.7706	10	1.148949	0.184153	0.0295493	0.0642531	0.0481129	0.0694163	0.158807	0.122579	0.234991	0.41333	0.0332878	0.050747	0.16568	0.51736	1.02088	2.29608	5	1.409226
4000	-56.76885	-71.55379	14.78494	1	0.4827068	0.0111837	0.0241555	0.0119963	0.0372557	0.0124183	0.0702516	0.0149521	0.0834915	0.208276	0.159438	0.0458939	0.030229	0.240476	0.807266	2.92203	3	0.6793122
5000	-70.45854	-78.13653	7.677986	10	1.009953	0.0121488	0.01927	0.0567544	0.298164	0.0837344	0.127288	0.383561	0.532686	0.0590955	0.0812229	0.184033	0.138935	0.479723	1.00163	2.37971	5	1.837957
6000	-44.13776	-74.41857	30.28081	1000	0.1647555	0.0325309	0.0424563	0.00832862	0.293787	0.0228142	0.0482724	0.0356668	0.0640322	0.0651342	0.108515	0.0412451	0.000121183	0.0162276	0.285751	3.6979	6	0.7627832
7000	-55.56731	-69.22596	13.65865	10	2.429576	0.0196182	0.0434907	0.00644817	0.174977	0.00183167	0.042578	0.00130458	0.244956	0.0562796	0.170104	0.113258	0.339677	0.694092	1.07778	1.88845	5	0.8748459
8000	-45.27469	-74.13514	28.86046	1000	0.5335611	0.0418056	0.0528594	0.00400053	0.0734862	0.0802243	0.0762259	0.00826077	0.0657343	0.101899	0.165652	0.162671	0.0397642	0.273262	0.843232	2.84374	6	0.8328189
9000	-45.32197	-73.0034	27.68144	1000	1.102129	0.0725223	0.0752974	0.00949332	0.0455425	0.0287839	0.220534	0.0995747	0.186986	0.0252004	0.0301105	0.250559	0.156869	0.505435	1.01506	2.32264	6	1.044603
10000	-48.80175	-71.4909	22.68915	1000	0.8433945	0.0393847	0.0882437	0.00592794	0.109641	0.102467	0.012262	0.0297476	0.219487	0.241933	0.0529531	0.510166	0.104753	0.424035	0.96829	2.50292	6	1.412213
11000	-55.3588	-76.95263	21.59384	1000	0.7458749	0.244621	0.0490553	0.0267375	0.210896	0.0431454	0.00109349	0.0887021	0.093205	0.0847126	0.376046	0.135049	0.0840019	0.384395	0.94075	2.59085	6	1.353263
12000	-57.40378	-74.29199	16.88822	10	0.3488875	0.126021	0.064774	0.0040396	0.12003	0.0933353	0.039189	0.12042	0.118091	0.0586628	0.036402	0.223026	0.010083	0.14269	0.669473	3.17775	5	1.003991
13000	-63.70149	-75.31274	11.61125	1	0.5147597	0.0205522	0.0541251	0.0492608	0.141819	0.0984286	0.0883135	0.220256	0.224398	2.77519e-05	0.0205563	0.0757388	0.0361549	0.261442	0.830718	2.87169	3	0.9934757
14000	-50.22713	-71.68258	21.45545	1000	0.9196805	0.0644284	0.161437	0.0139744	0.177448	0.0771069	0.0464282	0.0522017	0.292821	0.000646822	0.480364	0.0966675	0.120662	0.451203	0.985303	2.44283	6	1.463524
15000	-43.53748	-71.56155	28.02407	1000	0.5527324	0.0478033	0.0414998	0.0410629	0.0365237	0.153365	0.0415642	0.0164098	0.251036	0.309293	0.0116017	0.148963	0.04353	0.284954	0.855146	2.81637	6	1.099123
16000	-53.43494	-73.80205	20.36711	1000	1.466715	0.0526156	0.0440703	0.0223401	0.142675	0.0730789	0.125112	0.0663317	0.117735	0.178924	0.159582	0.499397	0.220135	0.582921	1.04841	2.14854	6	1.481861
17000	-45.50741	-71.61589	26.10848	1000	0.77132	0.0295052	0.00524365	0.0767794	0.102261	0.0318688	0.00638623	0.0157452	0.0345285	0.178173	0.42376	0.0720164	0.089443	0.395326	0.94868	2.56655	6	0.9762671
18000	-60.6586	-71.84409	11.1855	2	0.7375385	0.00964561	0.0604215	0.0277423	0.0434584	0.0313532	0.0884623	0.0575726	0.28596	0.0605308	0.387151	0.0651735	0.0822178	0.380716	0.938023	2.59904	4	1.117471
19000	-52.00347	-79.59333	27.58985	1000	2.826713	0.172156	0.0407809	0.0250814	0.101599	0.0888789	0.0226047	0.00744814	0.172119	0.0416893	0.0782212	0.0481316	0.375395	0.721459	1.08152	1.82163	6	0.7987102
20000	-45.8972	-73.6379	27.7407	1000	1.085896	0.0104911	0.0848323	0.00970588	0.219515	0.0859505	0.0743184	0.14164	0.180955	0.0760792	0.105218	0.0582547	0.153767	0.50113	1.01289	2.33221	6	1.046961
21000	-46.47159	-76.446	29.97441	1000	0.7449068	0.000300242	0.0207694	0.0536681	0.02291	0.111506	0.0316742	0.138815	0.120853	0.0320046	0.0910714	0.229113	0.0837947	0.38397	0.940437	2.5918	6	0.8526841
22000	-43.5602	-70.67299	27.11278	1000	1.336792	0.106491	0.105514	0.024967	0.0659665	0.00741923	0.0227893	0.0082426	0.297421	0.103777	0.191367	0.00539511	0.198974	0.558926	1.0392	2.2029	6	0.9393499
23000	-59.36006	-73.02569	13.66563	2	0.2337705	0.0102691	0.0648613	0.00449607	0.0788102	0.00137048	0.0371409	0.0198395	0.104468	0.112765	0.440685	0.107038	0.00143967	0.055246	0.465988	3.47733	4	0.9817437
24000	-45.41796	-71.55772	26.13976	1000	0.5123578	0.089832	0.0351706	0.0479077	0.05625	0.0861995	0.0033315	0.00310395	0.285112	0.040641	0.202325	0.0113652	0.0357004	0.259907	0.829056	2.87534	6	0.8612378
25000	-47.26809	-70.94947	23.68138	1000	1.282767	0.00521022	0.0877631	0.0150836	0.136353	0.0314611	0.0117976	0.0949712	0.145224	0.0878744	0.242111	0.318359	0.189732	0.547894	1.03464	2.22774	6	1.176208
26000	-62.78325	-77.39449	14.61124	2	1.105864	0.0405005	0.0212317	0.0696991	0.0884053	0.0055248	0.0756223	0.087053	0.0437658	0.134585	0.0307852	0.188151	0.157579	0.506412	1.01554	2.32046	4	0.7853233
27000	-48.20206	-71.96766	23.7656	1000	4.386512	0.0139247	0.0524178	0.0476802	0.124521	0.0796456	0.152923	0.0165323	0.0289461	0.269206	0.00684506	0.298477	0.474412	0.787597	1.08417	1.65382	6	1.091119
28000	-45.50217	-72.11332	26.61115	1000	2.212962	0.0213961	0.0412826	0.00638472	0.071782	0.0717444	0.136885	0.0253842	0.195294	0.317854	0.010974	0.0532675	0.317436	0.675904	1.07451	1.93215	6	0.9522485
29000	-45.64558	-72.20684	26.56126	1000	0.2932539	0.0578626	0.00613532	0.0272737	0.1498	0.0641192	0.074916	0.035902	0.379313	0.126958	0.0255943	0.028328	0.00476406	0.0992583	0.584298	3.31168	6	0.9762024
30000	-49.12397	-74.1243	25.00033	1000	1.510478	0.0598703	0.0248281	0.0547287	0.123562	0.135005	0.0530367	0.23762	0.339104	0.0798645	0.0580832	0.0591367	0.226937	0.590291	1.05103	2.13174	6	1.224838
31000	-54.13733	-76.01557	21.87824	1000	1.023803	0.220799	0.0158959	0.0713225	0.037104	0.163151	0.0500932	0.0636237	0.0232214	0.0861501	0.433729	0.339069	0.141679	0.483791	1.00383	2.3707	6	1.504159
32000	-54.86414	-72.59788	17.73373	10	1.032049	0.00726621	0.0597964	0.0024484	0.168639	0.029189	0.093458	0.0787955	0.0254572	0.0302746	0.124506	0.181559	0.143304	0.486177	1.00511	2.36541	5	0.8013891
33000	-63.21091	-79.5912	16.3803	10	0.9699048	0.0587445	0.0597518	0.146219	0.0326237	0.0280191	0.0798649	0.0220366	0.00850021	0.0517758	0.045693	0.295252	0.130911	0.467515	0.994829	2.40675	5	0.8284811
34000	-56.4593	-73.29508	16.83578	10	2.523403	0.0338859	0.0794803	0.00797102	0.0438892	0.0349882	0.0882298	0.0728591	0.0193915	0.0924745	0.133363	0.0272832	0.348664	0.701183	1.07889	1.87126	5	0.6338155
35000	-63.44386	-77.21398	13.77011	1	0.1626524	0.0217405	0.0184466	0.00558161	0.0767809	0.0726286	0.0106219	0.0958546	0.0555903	0.0474622	0.27168	0.136413	0.000108724	0.0153757	0.279574	3.70494	3	0.8128004
36000	-44.90196	-70.74162	25.83965	1000	0.3946534	0.048464	0.0776099	0.0153323	0.0434303	0.0641793	0.0458305	0.00547165	0.180485	0.0364927	0.43755	0.00544278	0.0159507	0.177751	0.72543	3.08087	6	0.9602879
37000	-43.39346	-74.72227	31.3288	1000	0.1736635	0.0116299	0.0182979	0.0331479	0.0174123	0.02983	0.12203	0.0353879	0.151203	0.180071	0.036873	0.0126966	0.000186349	0.0200952	0.311544	3.66817	6	0.6485793
38000	-44.85792	-73.05807	28.20015	1000	0.0997911	0.0211649	0.0607786	0.0192357	0.084952	0.0619835	0.0246349	0.0460339	0.403849	0.262293	0.0151643	0.00822248	5.11476e-07	0.0010626	0.093193	3.90574	6	1.008312
39000	-63.47787	-76.54738	13.06951	10	0.8700498	0.0491935	0.150991	0.152138	0.0155221	0.0147361	0.181874	0.140632	0.176169	0.104843	0.0166633	0.378174	0.110354	0.433879	0.974623	2.48114	5	1.380935
40000	-65.43721	-76.08379	10.64658	1	0.6041634	0.023933	0.114927	0.0199426	0.172496	0.0356384	0.0840075	0.0212487	0.133314	0.0261041	0.163476	0.285916	0.0539679	0.314579	0.883428	2.74803	3	1.081003
41000	-43.40481	-71.07851	27.6737	1000	1.044082	0.0352591	0.0277743	0.0235267	0.0871281	0.0305086	0.0104055	0.0589854	0.0177596	0.101334	0.166994	0.0983848	0.145665	0.489612	1.00694	2.35779	6	0.6580605
42000	-57.89081	-73.53388	15.64307	10	1.459584	0.120816	0.00566914	0.0606705	0.0538595	0.0297035	0.0514162	0.120747	0.0331352	0.0564292	0.219708	0.178561	0.219011	0.581688	1.04796	2.15134	5	0.9307161
43000	-63.92344	-75.8935	11.97006	1	0.6044606	0.014921	0.0654854	0.0391273	0.171969	0.0418507	0.0755073	0.00297257	0.00844338	0.112349	0.06673	0.349269	0.0540294	0.314743	0.883578	2.74765	3	0.9486249
44000	-48.83388	-76.18024	27.34636	1000	0.4050305	0.00938916	0.193661	0.0858421	0.261734	0.0369123	0.0684671	0.0356669	0.00112804	0.0586002	0.211789	0.120466	0.0174468	0.185504	0.736667	3.06038	6	1.083657
45000	-44.89982	-72.54321	27.64339	1000	0.5290997	0.0692258	0.0124363	0.0472055	0.12075	0.0403719	0.0464097	0.0720573	0.00149133	0.00711603	0.260061	0.19148	0.0388998	0.270489	0.840339	2.85027	6	0.8686047
46000	-42.7906	-69.77204	26.98144	1000	0.5494661	0.0620328	0.0633573	0.00404381	0.0439625	0.0407697	0.0251747	0.0499744	0.0391198	0.245543	0.199853	0.0733985	0.0428828	0.282987	0.853173	2.82096	6	0.8472297
47000	-43.82656	-71.11319	27.28663	1000	1.595466	0.0752161	0.017455	0.0160642	0.176807	0.0548101	0.0542703	0.022558	0.000480217	0.197082	0.282361	0.0295806	0.2397	0.603712	1.05557	2.10102	6	0.9266843
48000	-51.63249	-74.36149	22.729	1000	0.4419884	0.083512	0.0416815	0.107388	0.0279312	0.0512978	0.125483	0.0350669	0.082059	0.291642	0.313447	0.0406431	0.0232084	0.212369	0.772995	2.99143	6	1.200151
49000	-56.09572	-73.68971	17.59399	1000	0.4560404	0.100557	0.0282289	0.0583994	0.143562	0.161751	0.0239752	0.15527	0.00673686	0.463002	0.0306901	0.221511	0.025559	0.222252	0.785445	2.96674	6	1.393683
50000	-47.27226	-70.59179	23.31953	1000	1.973181	0.0338448	0.0686733	0.0348972	0.0473232	0.0948455	0.0482299	0.0235712	0.000662213	0.20293	0.539033	0.136566	0.290052	0.652131	1.0693	1.98851	6	1.230577
51000	-43.48411	-70.84477	27.36066	1000	1.017868	0.00351627	0.0379688	0.00232695	0.0662275	0.158112	0.00188168	0.0041554	0.0740776	0.26406	0.338206	0.0652018	0.140505	0.482057	1.0029	2.37454	6	1.015734
52000	-52.52569	-74.79965	22.27396	1000	1.270284	0.00589048	0.117553	0.091111	0.0238372	0.0352267	0.182437	0.110978	0.133666	0.506492	0.0448447	0.256632	0.187559	0.545246	1.03351	2.23369	6	1.508668
53000	-56.47395	-75.03793	18.56398	1000	1.216939	0.006036	0.127393	0.0328094	0.162855	0.0463373	0.0465079	0.17033	0.0125874	0.746687	0.124551	0.00271359	0.178109	0.533486	1.02835	2.26006	6	1.478809
54000	-58.39342	-72.79529	14.40188	10	0.9014907	0.049058	0.0506598	0.0334239	0.0219051	0.0318962	0.04596	0.0529433	0.200902	0.320165	0.00851683	0.266042	0.116904	0.445	0.981546	2.45655	5	1.081472
55000	-62.23123	-73.74916	11.51794	10	0.7561879	0.0941213	0.233843	0.0420215	0.0265717	0.0269863	0.000883475	0.0969781	0.145226	0.317267	0.22649	0.0935083	0.0862083	0.388878	0.944035	2.58088	5	1.303896
56000	-64.05324	-74.78545	10.73221	2	1.3317	0.0137824	0.0455254	0.0237881	0.169841	0.291043	0.0129641	0.0311089	0.0783219	0.2305	0.0353976	0.15293	0.198114	0.557915	1.03879	2.20518	4	1.085203
57000	-47.79362	-72.9958	25.20218	1000	0.7165042	0.0573752	0.0379987	0.0186993	0.34595	0.00293835	0.0860148	0.0769565	0.0222653	0.257258	0.307668	0.0310047	0.0777165	0.371214	0.930834	2.62024	6	1.244129
58000	-42.79086	-70.82273	28.03187	1000	1.544961	0.100519	0.0862075	0.00962594	0.11771	0.0569997	0.020384	0.00581516	0.0379226	0.172391	0.265919	0.0660621	0.232185	0.595873	1.05296	2.11899	6	0.9395558
59000	-53.86911	-72.33091	18.4618	10	1.25872	0.0533934	0.0724986	0.0214747	0.0359613	0.0357344	0.016862	0.00686195	0.0100004	0.0894293	0.164669	0.263218	0.185533	0.542759	1.03244	2.23927	5	0.7701026
60000	-49.32905	-76.19097	26.86192	1000	0.08675059	0.0163453	0.0341506	0.01132	0.0190773	0.0863387	0.0761879	0.272959	0.0390282	0.0706247	0.417703	0.0113565	6.35056e-08	0.000374864	0.0605015	3.93912	6	1.055091
61000	-57.57956	-74.33618	16.75663	0.2	0.2356927	0.00973189	0.0322707	0.0313363	0.0323349	0.074085	0.016577	0.0844084	0.0716746	0.474544	0.104494	0.0230806	0.00151067	0.05657	0.470327	3.47159	2	0.9545369
