Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-447.9225	-501.5135	53.591	10	0.1228467	0.24088	0.0199584	0.00921028	0.133455	0.00961181	0.327603	0.0326142	0.0449503	0.112875	0.131407	0.0399596	0.147043	0.0467318	0.130936	0.0896092	0.00607133	0.101158	0.106856	0.00963548	0.163881	0.054351	0.163102	0.00567835	6.91111e-06	0.00389679	0.159438	3.83666	5	2.127577
1000	-253.6887	-308.3151	54.62643	10	2.2872	0.198299	0.156498	0.0154954	0.0359799	0.0565225	0.0467757	0.101962	0.06772	0.029722	0.00613006	0.0408426	0.00168747	0.0860297	0.0130163	0.487175	0.0228212	0.267476	0.0685568	0.0882001	0.0627895	0.131286	0.0408765	0.0765012	0.325306	0.682448	1.07576	1.91649	5	2.102362
2000	-246.48	-305.6191	59.13918	10	1.46742	0.0899392	0.111566	0.022452	0.0136039	0.059062	0.0214445	0.109904	0.000425161	0.0356913	0.0926363	0.0207015	0.00924637	0.0452653	0.0205439	0.0283615	0.05652	0.117118	0.19987	0.127778	0.0836365	0.242797	0.00631967	0.0188666	0.220245	0.583042	1.04845	2.14826	5	1.533749
3000	-257.9942	-314.7828	56.78859	10	0.7920173	0.0907373	0.372684	0.0150868	0.0273175	0.0850805	0.0230338	0.0504569	0.0218534	0.00395	0.0548341	0.0141776	0.0077802	0.0263141	0.00718103	0.0898366	0.0119758	0.0537685	0.0618258	0.0495442	0.27172	0.0946712	0.0269111	0.0550012	0.093859	0.4039	0.954718	2.54752	5	1.515742
4000	-249.1448	-305.1717	56.02698	10	0.6055273	0.182971	0.0534988	0.00380887	0.0281239	0.0287271	0.000981785	0.105097	0.00576826	0.00230991	0.0540412	0.00665437	0.0154432	0.0611453	0.0596697	0.00899696	0.329174	0.0660126	0.00624803	0.118624	0.0308231	0.183287	0.151042	0.0316901	0.05425	0.315331	0.884113	2.74631	5	1.534139
5000	-248.2237	-309.7648	61.54108	10	1.924941	0.0607435	0.219196	0.000623488	0.00284208	0.071634	0.0384019	0.0996082	0.0371826	0.010519	0.0654618	0.0273657	0.0365502	0.0545668	0.0713701	0.227463	0.0916415	0.161719	0.00238484	0.0743707	0.016311	0.0991399	0.0189324	0.00163339	0.284147	0.646787	1.06799	2.00107	5	1.489661
6000	-253.1674	-307.136	53.96866	10	1.733621	0.123528	0.207543	0.0020654	0.0296229	0.00917057	0.0675352	0.165718	0.00843892	0.0357352	0.019902	0.00289557	0.0369062	0.15487	0.29325	0.00163547	0.0437162	0.0608913	0.203947	0.036048	0.0092439	0.114944	0.10794	0.0892015	0.259263	0.623327	1.06163	2.05578	5	1.824749
7000	-247.6133	-307.203	59.58966	10	2.099639	0.169518	0.219211	0.0279242	0.0317855	0.0104869	0.00309894	0.106537	0.00797785	0.0173104	0.00427767	0.0203705	0.0362845	0.030033	0.0348061	0.0461148	0.00428817	0.0104035	0.156988	0.1048	0.157946	0.0330832	0.0565063	0.152081	0.304885	0.665207	1.07229	1.95761	5	1.441834
8000	-239.4225	-300.6983	61.27583	10	1.259827	0.0821054	0.158556	0.000597338	0.00171687	0.0344011	0.0288865	0.04905	0.0134155	0.010724	0.0120714	0.0104632	0.008542	0.0230557	0.0352323	0.00756134	0.0916554	0.033977	0.0373011	0.0698042	0.190256	0.205459	0.322032	0.0597486	0.185728	0.542999	1.03254	2.23873	5	1.486612
9000	-261.0214	-317.541	56.51959	10	2.372114	0.0609468	0.0174539	0.0277311	0.030846	0.0192517	0.00555151	0.121843	0.0279317	0.0156379	0.0726951	0.128018	0.0165211	0.0651892	0.117195	0.0194418	0.0865621	0.0722767	0.404315	0.0154871	0.107968	0.119476	0.145225	0.159231	0.333987	0.689528	1.07702	1.89947	5	1.856795
