Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-815.0669	-889.1509	74.08396	10	1.17734	0.0250636	0.381558	0.0107639	0.0312392	0.000963681	0.16728	0.156118	0.319718	0.0435689	0.0966005	0.0479436	0.0621342	0.0213002	0.0515925	0.0397399	0.112018	0.00165104	0.0243231	0.160259	0.271621	0.0015767	0.0383217	0.301772	0.118242	0.0606796	0.0447168	0.147834	0.022121	0.396124	0.0696949	0.0199305	0.189683	0.0175991	0.0627602	0.152937	0.0599179	0.165235	0.170923	0.524258	1.02413	2.28069	5	3.894603
1000	-410.3545	-497.7559	87.40134	10	2.301776	0.236566	0.0428183	0.000590998	0.0138966	0.0285033	0.229072	0.00693616	0.0245383	0.0436414	0.0322089	0.0239373	0.0066574	0.0158033	0.0307057	1.56004e-05	0.0288571	0.0253066	0.113105	0.0126289	0.266227	0.0847717	0.101378	0.00319509	0.0162451	0.011495	0.0701374	0.132997	0.0341389	0.177485	0.233316	0.0672445	0.264401	0.35724	0.0261143	0.046131	0.0857087	0.017573	0.32682	0.683693	1.07599	1.9135	5	2.911588
2000	-446.6259	-505.0353	58.40942	2	2.841515	0.0872222	0.0158857	0.00518305	0.0488736	0.00193774	0.203028	0.00351749	0.0377379	0.101008	0.101993	0.00701658	0.0103608	0.021526	0.00848206	0.00073814	0.0121244	0.0193338	0.0478051	0.010832	0.170968	0.0696696	0.121189	0.0214201	0.0764078	0.0139439	0.0245146	0.265027	0.0924971	0.117981	0.243793	0.0637624	0.179938	0.154937	0.098272	0.0219642	0.18349	0.133984	0.376617	0.722358	1.08161	1.81941	4	2.798366
3000	-450.2094	-502.5546	52.34513	2	3.670141	0.0156786	0.0106519	0.026831	0.0119649	0.0234232	0.371274	0.018266	0.00244236	0.0304211	0.0460463	0.00378229	0.0254447	0.00793039	0.00937884	0.0126306	0.0183856	0.0210545	0.146452	0.00584505	0.0754286	0.203821	0.0234444	0.00754666	0.390749	0.0263424	0.0309256	0.155244	0.0014923	0.0816726	0.30394	0.0587371	0.232423	0.0937126	0.0525744	0.0151862	0.13039	0.175441	0.435269	0.76297	1.08429	1.71747	4	2.866975
4000	-456.6421	-504.0116	47.36946	2	1.073356	0.23601	0.0287847	0.0684386	0.0191958	0.023126	0.284593	0.0373581	2.27768e-06	0.0169116	0.0462394	0.0115935	0.00620979	0.0401468	0.0375403	0.000908429	0.00328015	0.0445341	0.0532522	0.00796847	0.120914	0.0482502	0.045579	0.253535	0.022238	0.137013	0.0422842	0.166217	0.0341538	0.292358	0.684303	0.0601356	0.430409	0.0109334	0.00147045	0.156179	0.0760066	0.256697	0.151354	0.497742	1.01117	2.33974	4	3.804769
5000	-462.3711	-511.6142	49.24304	2	3.040382	0.0258668	0.114176	0.00339476	0.088693	0.00263475	0.100894	0.0385116	0.0172244	0.0307268	0.0126511	0.0454251	0.0889242	0.052769	0.0254876	0.00629253	0.0256256	0.0137861	0.067382	0.0378556	0.141964	0.514067	0.00288382	0.111487	0.00487972	0.0790249	0.0200673	0.382378	0.0610776	0.12236	0.135441	0.00728385	0.121885	0.308513	0.134066	0.237677	0.0955678	0.0264813	0.392362	0.73374	1.08271	1.79119	4	3.305424
6000	-443.8643	-501.5645	57.70019	2	2.049148	0.0183365	0.0890509	0.0333115	0.014798	0.00167935	0.0404706	0.0213329	0.0170823	0.0141886	0.0450141	0.00229358	0.0105937	0.0131365	0.0142757	0.0174752	0.0609689	0.0779236	0.0684459	0.020386	0.151309	0.0661016	0.0291856	0.0688281	0.0289722	0.0204279	0.00270532	0.437472	0.091063	0.275473	0.0374152	0.0431504	0.217816	0.376632	0.0197166	0.14935	0.0277039	0.182995	0.299072	0.66014	1.07117	1.96962	4	2.807081
7000	-445.3305	-500.3731	55.04256	2	2.926434	0.181056	0.0727963	0.00997375	0.0399012	0.00138863	0.0780913	0.0491415	0.0212582	0.00549197	0.147212	0.0111383	0.0137956	0.00964377	0.0255895	0.00409159	0.00599854	0.0185425	0.027614	0.0485115	0.132638	0.103532	0.153804	0.197366	0.00543382	0.0433935	0.02457	0.0427094	0.0291126	0.195688	0.0446473	0.161387	0.166282	0.265853	0.00850099	0.21711	0.0773037	0.163597	0.383489	0.727372	1.08213	1.80701	4	2.804165
8000	-457.998	-514.2758	56.27779	2	2.325758	0.185103	0.00340393	0.0375799	0.0180233	0.0338271	0.186621	0.0113881	0.0165047	0.0235996	0.0353897	0.0143985	0.042228	0.0510273	0.0233557	0.00328926	0.0300905	0.0299521	0.00324734	0.0809997	0.048005	0.117142	0.00624222	0.158447	0.0241006	0.0197	0.0606928	0.0336384	0.0445017	0.21564	0.0905021	0.0564051	0.301371	0.198506	0.0652719	0.321345	0.112322	0.104014	0.329289	0.685714	1.07635	1.90865	4	2.807876
9000	-436.4197	-494.8348	58.4151	2	2.116679	0.394404	0.182931	0.00157834	0.0114396	0.00458861	0.178245	0.00450228	0.0140679	0.0105955	0.0810643	0.00104588	0.0116083	0.0144466	0.0347867	0.0151233	0.0338505	0.049071	0.0565404	0.0665284	0.0608233	0.0689489	0.00502634	0.231483	0.0148262	0.085961	0.00660672	0.0262041	0.0423496	0.142429	0.0136808	0.00495204	0.361317	0.356222	0.00572842	0.194137	0.0363637	0.00956876	0.306816	0.666874	1.07265	1.95366	4	2.833046
