Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-2850.685	-2888.523	37.83806	10	0.09644648	0.00389971	0.0035357	0.104804	0.0696899	0.0858966	0.0392535	0.042942	0.139447	0.0250596	0.305979	0.165313	0.0337151	0.0149726	0.0058131	0.0125765	0.0364092	0.215813	0.156186	0.0658918	0.13176	0.109196	0.0824427	0.0246673	0.148582	0.0441271	0.0446246	0.0896077	0.00908944	0.0295644	0.0174202	0.0614292	0.00928896	0.0707397	0.237396	0.120656	0.109584	0.0924989	0.0866466	0.0116394	0.101124	0.0424404	0.155285	0.0212323	0.0114686	0.171342	0.131664	0.121252	0.149102	0.0282207	0.075141	0.0922284	0.00710906	0.0844979	0.016832	0.13234	0.0182293	0.00510585	0.0873893	0.145882	0.17354	0.206812	0.0173568	0.169851	0.0120884	0.0205451	0.00773534	0.0215611	0.0845858	0.133304	0.0585784	0.0440629	0.0414461	0.0624651	0.00921807	0.0613322	0.253423	0.00594009	0.0344548	0.0390896	3.16107e-07	0.000835619	0.0843611	3.9148	5	6.113433
1000	-2046.682	-2063.158	16.47571	10	1.120629	0.0731954	0.151158	0.141641	0.187914	0.0867069	0.0451285	0.0118394	0.0168598	0.0907618	0.0398472	0.0326122	0.0253012	0.0194218	0.0667809	0.176872	0.0112865	0.00816911	0.0480219	0.055613	0.0314541	0.0225263	0.0891718	0.0238658	0.122548	0.0803264	0.0173854	0.118516	0.0420187	0.188334	0.040266	0.0822365	0.0384803	0.0512403	0.0345833	0.195425	0.106736	0.0469363	0.0320811	0.0192985	0.101368	0.0506219	0.0797037	0.065017	0.34751	0.0818419	0.00209205	0.391528	0.0428887	0.00190179	0.0110791	0.0916415	0.012192	0.185789	0.661912	0.220566	0.069566	0.617387	0.239531	0.200559	0.167482	0.0257567	0.194818	0.181365	0.0968353	0.0431935	0.0590743	0.137516	0.170229	0.0630627	0.0322131	0.0217136	0.0755326	0.153568	0.0714581	0.0218973	0.241158	0.203718	0.0849608	0.0530436	0.160375	0.510232	1.01743	2.31196	5	8.245851
2000	-2067.678	-2083.309	15.63121	10	1.554965	0.147564	0.0422258	0.0767809	0.138872	0.0215408	0.0433108	0.0120805	0.0643691	0.0824003	0.00546219	0.0624632	0.193376	0.0115764	0.017323	0.0530887	0.0156516	0.00334289	0.0506164	0.0788047	0.00544556	0.0188776	0.14725	0.135369	0.142509	0.0738512	0.127483	0.0939099	0.0467889	0.0336192	0.034507	0.148658	0.101073	0.00640886	0.0318256	0.15737	0.00399439	0.166921	0.127805	0.383604	0.0700502	0.0327194	0.0215227	0.0206675	0.351525	0.014723	0.0269033	0.218276	0.670454	0.15087	0.110823	0.13955	0.123567	0.00600331	0.0140292	0.0346569	0.0310781	0.0818917	0.135293	0.147217	0.0917013	0.914735	0.0120493	0.278652	0.0304448	0.0422462	0.192307	0.0882527	0.178824	0.0177211	0.0420658	0.00701715	0.0693603	0.127962	0.0585078	0.0314097	0.0516673	0.0819397	0.0304464	0.0630529	0.23369	0.597457	1.05349	2.11536	5	7.9203
3000	-2056.484	-2062.845	6.361407	2	1.332083	0.0664581	0.179454	0.031947	0.13605	0.0169469	0.147304	0.00884596	0.0247477	0.237139	0.0354774	0.0319106	0.014976	0.0377221	0.0235399	0.0503195	0.00671985	3.30839e-05	0.124812	0.0217174	0.00312951	0.00474354	0.0722018	0.0320015	0.24888	0.100129	0.0361398	0.1072	0.0580895	0.027517	0.0331545	0.0535025	0.142364	0.197499	0.0117299	0.178543	0.0309336	0.000297837	0.0205607	0.188266	0.0689069	0.0740252	0.144733	0.0841258	0.136264	0.0889907	0.158865	0.0927872	0.0164577	0.0116059	0.0975197	0.53682	0.114665	0.0802507	0.0579411	0.197728	0.158714	0.00286678	0.042674	0.106771	0.0951663	0.148878	0.0309981	0.00310395	0.00146141	0.00748427	0.128756	0.00460137	0.0309622	0.270265	0.0189402	0.231235	0.0833918	1.06537	0.0516703	0.0787227	0.11757	0.00999973	0.00460106	0.194874	0.198179	0.557991	1.03882	2.20501	4	7.593764
4000	-2048.089	-2068.697	20.60862	10	1.563624	0.144816	0.152452	0.118441	0.107282	0.0591904	0.0376884	0.0435443	0.0140881	0.0249485	0.0592926	0.015079	0.0342254	0.0727935	0.100218	0.0832974	0.0170842	0.00595858	0.0646884	0.00774401	0.0125618	0.0308247	0.149255	0.0194691	0.0623917	0.082668	0.00921836	0.0337366	0.0532013	0.00774756	0.0470028	0.0819626	0.00691643	0.0466932	0.0139473	0.124562	0.0262277	0.0856113	0.0682109	0.0375727	0.00088331	0.0714072	0.0463323	0.022365	0.340579	0.0444882	0.0183264	0.0492804	0.00981673	0.0247286	0.0870566	0.102243	0.0765775	0.112907	0.0951296	0.0585115	0.254072	0.0315583	0.401128	0.112553	0.100252	0.00450423	0.0607736	0.0640839	0.0242317	0.0302377	0.0203701	0.293729	0.0323168	0.171346	0.260133	0.489856	0.0839663	0.581229	0.222345	0.106603	0.0332867	0.025184	0.00617618	0.0814261	0.234986	0.598815	1.05395	2.11225	5	6.814607
5000	-2047.194	-2071.808	24.61455	10	1.517102	0.0793915	0.16589	0.0575518	0.152286	0.0141897	0.0100373	0.0235322	0.00603916	0.126672	0.045116	0.0516612	0.226149	0.0748337	0.0284635	0.0739761	0.00410721	0.00215608	0.0706731	0.0159696	0.0142824	0.00309857	0.123395	0.00401897	0.168783	0.129597	0.153721	0.0358349	0.00754223	0.012491	0.0222571	0.0927529	0.00077362	0.0708166	0.0324356	0.137948	0.0777193	0.112143	0.137645	0.0606232	0.00346809	0.0944427	0.216297	0.0298176	0.225775	0.000654327	0.0326382	0.14691	0.0604207	0.0122306	0.0178713	0.062594	0.188012	0.00290235	0.0175901	0.261566	0.00644148	0.599687	0.130222	0.0319367	0.123969	0.0853789	0.128439	0.248074	0.0336422	0.0364957	0.124063	0.133123	0.22008	0.021649	0.426927	0.0641637	0.00694397	0.222098	0.07384	0.0459096	0.370561	0.0323465	0.0224306	0.0910348	0.227952	0.591378	1.05141	2.12926	5	7.279218
6000	-2061.347	-2082.14	20.79311	10	1.348581	0.121385	0.0990961	0.0884242	0.161131	0.0997873	0.0838597	0.0193112	0.0435122	0.244838	0.0205993	0.0398963	0.0713684	0.00126071	0.0477191	0.1319	0.00887161	0.000433442	0.0471674	0.0280212	0.0296945	0.168869	0.169354	0.0228893	0.028826	0.0538443	0.0727359	0.0841872	0.0384516	0.0839657	0.0239978	0.11643	0.0503224	0.0202638	0.0227646	0.173176	0.0278199	0.0129564	0.0395759	0.00874825	0.117622	0.10425	0.119024	0.0073996	0.495364	0.119576	0.123003	0.0185768	0.0191951	0.0496512	0.109087	0.146323	0.0466749	0.0418436	0.00865317	0.060926	0.0801477	0.846572	0.154854	0.165756	0.0128998	0.0624983	0.0764926	0.104632	0.0610854	0.00914782	0.148827	0.0555264	0.100632	0.02968	0.673719	0.0973497	0.0120811	0.0678935	0.15451	0.0326216	0.368971	0.126292	0.040221	0.0356343	0.200955	0.561246	1.04014	2.19766	5	7.712669
7000	-2038.598	-2061.936	23.33821	10	1.120261	0.115149	0.134481	0.0283062	0.2402	0.0632746	0.030747	0.0165734	0.00874996	0.0859035	0.0223464	0.057838	0.16933	0.00232405	0.078461	0.0939846	0.00548152	0.00349453	0.0428137	0.0641857	0.00654545	0.0212598	0.143267	0.00314233	0.0623759	0.0605245	0.00957507	0.0971555	0.0643848	0.00703966	0.120127	0.100834	0.0413693	0.00660434	0.0280641	0.158945	0.0412834	0.0670025	0.166624	0.0248907	0.0808665	0.112134	0.0213181	0.000135414	0.0584139	0.268125	0.0494177	0.677439	0.0735268	0.0325243	0.09115	0.32432	0.013138	0.392839	0.0204461	0.162125	0.00237925	0.0108524	0.20989	0.0946868	0.0920811	0.259867	0.149108	0.154386	0.0969015	0.00414998	0.053904	0.000539889	0.136921	0.0668934	0.0586988	0.0618415	0.0946354	0.0619521	0.00530817	0.0303109	0.0183482	0.807947	0.0263719	0.191624	0.160305	0.510137	1.01738	2.31217	5	7.562175
8000	-2055.169	-2064.474	9.304488	10	1.118485	0.100053	0.0157134	0.0883728	0.136004	0.0389987	0.0115241	0.123167	0.00425689	0.0183086	0.0468546	0.0896221	0.0207343	0.0876856	0.136885	0.0726564	0.00203805	0.0237951	0.0525588	0.0189012	0.0343786	0.00670775	0.0341714	0.0722946	0.118252	0.0668081	0.0972906	0.117518	0.0211967	0.00524338	0.0692585	0.0320339	0.0417322	0.124159	0.0409442	0.0862304	0.0593939	0.00428342	0.105332	0.0844433	0.0599753	0.0857818	0.0235659	0.0121343	0.344211	0.150186	0.0976792	0.200191	0.821514	0.0102996	0.156911	0.423773	0.0140494	0.106193	0.0468915	0.150455	0.0269381	0.0312074	0.092674	0.0549106	0.0741834	0.0801635	0.0884566	0.151391	0.144536	0.12183	0.054563	0.0242366	0.0668596	0.106729	0.0904894	0.162774	0.072622	0.848959	0.193084	0.107358	0.353607	0.0910355	0.0246961	0.127356	0.15997	0.509682	1.01716	2.31319	5	8.20427
9000	-2058.524	-2074.168	15.6436	10	1.057252	0.13616	0.259843	0.159794	0.109487	0.0570197	0.01083	0.00156983	0.00679024	0.0917775	0.0357272	0.040697	0.00292529	0.108365	0.0172113	0.0552584	0.00628696	0.0282567	0.0504698	0.0555071	0.0105527	0.0326923	0.133643	0.0295705	0.0154668	0.0236878	0.0534094	0.0772108	0.0281923	0.0111074	0.0480098	0.043251	0.0440545	0.165295	0.00878615	0.115641	0.00887186	0.176971	0.22513	0.250958	0.0075715	0.0582399	0.0201578	0.00479279	0.353387	0.18419	0.0217362	0.0101736	0.743451	0.125707	0.160116	0.034793	0.104127	0.523653	0.0443691	0.0160193	0.0467509	0.0572762	0.0537355	0.0747344	0.191608	0.306208	0.115788	0.0062964	0.0851676	0.155747	0.0793491	0.006119	0.1321	0.0507394	0.296517	0.0487189	0.0646092	0.291304	0.843314	0.0329906	0.0122921	0.0585684	0.0215293	0.0152886	0.148234	0.493309	1.00887	2.34958	5	8.195713
10000	-2046.495	-2070.058	23.56294	10	1.101783	0.0826318	0.217921	0.12627	0.149217	0.0233665	0.0118417	0.0450349	0.0398765	0.24498	0.0832806	0.0233602	0.0048224	0.0396252	0.0448727	0.0684462	0.00170085	0.0250407	0.0114488	0.00986765	0.052897	0.0211725	0.0710135	0.0255898	0.146102	0.0527457	0.187947	0.15811	0.0463134	0.128783	0.051451	0.0468824	0.0515076	0.0627123	0.0181887	0.14953	0.0136973	0.130751	0.213009	0.0055978	0.0640527	0.0452063	0.00506081	0.0908324	0.18465	0.0902626	0.0188931	0.039458	0.0298509	0.0462321	0.0367055	0.127041	0.13106	0.0533489	0.0210197	0.0868125	0.010439	0.020504	0.156469	0.0473797	0.0608031	0.0274407	0.0407994	0.0872427	0.0286497	0.0196394	0.05082	0.0322923	0.00475672	0.142205	0.0507362	0.00987638	0.413382	0.0787507	0.122153	0.158868	0.358148	0.170527	0.0874995	0.740009	0.156803	0.505344	1.01501	2.32284	5	6.877485
11000	-2062.071	-2064.807	2.73589	10	1.283152	0.211932	0.272661	0.101578	0.0593717	0.00615976	0.0420745	0.0254095	0.01668	0.014804	0.104732	0.0639349	0.130884	0.0843691	0.044224	0.0872764	0.00295497	0.00310853	0.0159099	0.0974468	0.0149952	0.0353101	0.0623981	0.0262642	0.0366683	0.0168298	0.00427472	0.0251459	0.0142249	0.220052	0.0940635	0.0287776	0.178522	0.0457019	0.0183825	0.0877535	0.152338	0.148254	0.164885	0.186056	0.097104	0.0926088	0.0085393	0.198807	0.00285882	0.171698	0.00884678	0.0526459	0.793834	0.132192	0.0368487	0.0420019	0.0837905	0.0330274	0.0433525	0.0943401	0.00537843	0.0366348	0.0333549	0.121894	0.0537133	0.207985	0.00903105	0.326176	0.00963933	0.120689	0.0286418	0.119639	0.0230052	0.0818454	0.370735	0.238681	0.875175	0.0202995	0.0201474	0.223741	0.539025	0.0718781	0.070437	0.0986037	0.189799	0.547975	1.03467	2.22756	5	8.545252
12000	-2042.57	-2054.634	12.06487	10	1.657796	0.211359	0.0908278	0.311111	0.0669889	0.00294757	0.0909549	0.0378601	0.0133531	0.0813607	0.19463	0.0676567	0.0770983	0.04558	0.0530174	0.0790247	0.00357136	2.5453e-05	0.0254913	0.029449	0.0494419	0.0586577	0.00496144	0.0412801	0.13836	0.0596085	0.0724417	0.116814	0.0469017	0.0410798	0.0444017	0.11974	0.111377	0.12815	0.0126496	0.210335	0.0234711	0.0325255	0.099303	0.0355366	0.0641442	0.129274	0.0590141	0.0661815	0.361344	0.0461424	0.130493	0.00623258	0.00565229	0.142191	0.344142	0.14363	0.0459599	0.0726008	0.105758	0.242247	0.00219453	0.0918635	0.00551177	0.0537309	0.0238	0.109834	0.203426	0.282654	0.00305411	0.514796	0.114425	0.256015	0.138538	0.0683374	0.103648	0.0193359	0.594426	0.376083	0.0819891	0.0413151	0.0971843	0.117904	0.0962532	0.039386	0.248702	0.612875	1.05849	2.07994	5	8.330057
13000	-2039.986	-2059.499	19.51352	10	1.063119	0.0824698	0.185153	0.158516	0.280793	0.000276412	0.0150825	0.0564731	0.0255594	0.057253	0.00885354	0.0846225	0.043722	0.0149671	0.0107837	0.078189	0.00290589	0.00735044	0.0442447	0.154881	0.0346842	0.0751446	0.162603	0.0140026	0.0152855	0.132249	0.133787	0.0432822	0.00757173	0.0226332	0.137774	0.00318755	0.00726489	0.0739163	0.00700551	0.195541	0.018424	0.0331208	0.314467	0.0763722	0.0382505	0.0908687	0.183768	0.0403624	0.0202859	0.014001	0.136259	0.123313	0.0314677	0.089589	0.134747	0.0285674	0.0269219	0.138651	0.35706	0.00737193	0.147367	0.0994685	0.12866	0.103644	0.0884475	0.0740226	0.054928	0.0745003	0.0625383	0.287782	0.139524	0.0283901	0.0163678	0.0592629	0.653361	0.0219475	0.498857	0.0532435	0.124986	0.524667	0.0413029	0.00356119	0.00167746	0.162996	0.149373	0.494935	1.00972	2.34597	5	7.733401
14000	-2053.351	-2059.543	6.191956	2	0.8353891	0.127809	0.265419	0.0580367	0.199463	0.0453609	0.024898	0.082876	0.00443721	0.079511	0.0575029	0.03971	0.0442297	0.0730706	0.0846475	0.0857609	0.00275859	0.00493089	0.0385259	0.031182	0.0258224	0.00469868	0.0432595	0.0538065	0.0626229	0.121469	0.00425091	0.0851308	0.0167127	0.020871	0.151239	0.0793231	0.00643759	0.0914062	0.0281339	0.183202	0.00229197	0.0130116	0.373098	0.324727	0.0640928	0.120696	0.283213	0.0962296	0.401164	0.0168439	0.53621	0.166786	0.0256258	0.024836	0.00561671	0.114859	0.115162	0.136655	0.0260407	0.0959043	0.103347	0.0260074	0.133069	0.0567901	0.142526	0.0172888	0.0338365	0.40314	0.172104	0.0184123	0.0647137	0.11011	0.0011275	0.164049	0.157811	0.0378131	0.0692963	0.00549905	0.127857	0.0519009	0.0575671	0.0151729	0.0239308	0.247192	0.103064	0.421001	0.966298	2.50964	4	7.512141
15000	-2045.748	-2071.411	25.6635	10	2.800671	0.142857	0.133901	0.0764955	0.0204842	0.053744	0.0620468	0.0614206	0.016566	0.0115855	0.0733229	0.0268354	0.0444906	0.00546939	0.0623751	0.0931639	0.0131249	0.00111577	0.0722281	0.0951489	0.0168158	0.027222	0.225383	0.000834392	0.0427939	0.00751608	0.0321116	0.0546457	0.019379	0.078024	0.00994759	0.0836611	0.112479	0.00816837	0.0337618	0.225281	0.00260261	0.19957	0.252102	0.0807718	0.0711183	0.0608716	0.0146183	0.0554044	0.0871366	0.318142	0.989685	0.3901	0.114342	0.0478591	0.0986827	0.238001	0.20633	0.064186	0.01677	0.0486993	0.074085	0.0104578	0.00927118	0.0505709	0.00771899	0.000648835	0.0552373	0.0580552	0.15284	0.0614569	0.0957721	0.0494954	0.00327102	0.0159533	0.378683	0.0615268	0.0264006	0.0540104	0.00332045	0.022361	0.07757	0.142309	0.00137942	0.0811315	0.373229	0.719858	1.08134	1.82558	5	6.89492
16000	-2062.829	-2066.072	3.242593	2	1.068625	0.143654	0.0348451	0.0432177	0.133292	0.00511243	0.00401779	0.0236886	0.0209416	0.0114327	0.0586777	0.110253	0.126655	0.0938562	0.0248039	0.0371606	0.00297747	0.0167424	0.0241732	0.101366	0.0821524	0.0570756	0.0797048	0.0878772	0.0235047	0.0609227	0.0386813	0.0691456	0.0127676	0.253605	0.0834019	0.11056	0.0889171	0.0205831	0.00283237	0.324866	0.0868297	0.0183664	0.219067	0.191725	0.027431	0.0877107	0.0487132	0.0310766	0.412587	0.100908	0.0127271	0.336149	0.0131354	0.0230195	0.202272	0.0529157	0.0279055	0.18941	0.0681577	0.122974	0.0831721	0.0129707	0.191131	0.0123721	0.102559	0.153686	0.00813912	0.00357558	0.0575832	0.244168	0.175003	0.106959	0.0550954	0.0382234	0.0646132	0.0158994	0.180216	0.0483571	0.0110518	0.0142201	0.380019	0.630116	0.332586	0.0209381	0.15044	0.496449	1.0105	2.34261	4	7.6292
17000	-2056.486	-2064.182	7.695335	10	1.22022	0.113866	0.0345692	0.0633054	0.0990003	0.00952239	0.025406	0.0424766	0.00436146	0.0951318	0.0544054	0.0352958	0.0283025	0.181725	0.20206	0.110977	0.0116811	0.0104175	0.00750952	0.110784	0.108757	0.0679043	0.00609062	0.0668407	0.216337	0.0113584	0.210127	0.0708089	0.00163489	0.0129488	0.119886	0.0113704	0.0268594	0.0278984	0.00248974	0.0166276	0.039098	0.0451136	0.13317	0.103545	0.0356132	0.20344	0.08966	0.0431598	0.418286	0.016522	0.0494383	0.00977658	0.0678885	0.0599434	0.138265	0.000877273	0.0387397	0.122334	0.145421	0.103647	0.153802	0.152533	0.00533525	0.0354181	0.0807627	0.0162709	0.284245	0.383423	0.0689471	0.122355	0.0409417	0.105975	0.0044815	0.0411692	0.662621	0.723091	0.120504	0.0185854	0.0806187	0.121691	0.246868	0.0948838	0.107473	0.0725394	0.178698	0.534231	1.02868	2.25839	5	7.827206
18000	-2073.555	-2072.603	-0.9518822	10	1.471548	0.183044	0.0244401	0.0259924	0.157531	0.0328232	0.0123349	0.00455814	0.00276219	0.00488317	0.0122613	0.101796	0.0890618	0.0212927	0.232631	0.107307	0.0172744	0.00734508	0.0681495	0.00962727	0.00576203	0.103482	0.146033	0.0305675	0.0477841	0.185123	0.0575102	0.156365	0.112117	0.107214	0.0863436	0.0804019	0.127948	0.0511601	0.0398582	0.223994	0.031068	0.113517	0.198781	0.0263705	0.0757973	0.114347	0.00825972	0.299927	0.222943	0.117302	0.0311523	0.129032	0.0387819	0.00533601	0.00253892	0.0424084	0.140161	0.133615	0.388918	0.105411	0.0442083	0.0622952	0.00156064	0.163377	0.640748	0.141686	1.23622	0.153497	0.151787	0.473239	0.201548	0.0674942	0.128576	0.0173013	0.0393171	0.0103156	0.262887	0.214287	0.0995904	0.0312624	0.167877	0.015414	0.0479558	0.124293	0.220894	0.583751	1.04871	2.14665	5	9.399182
