Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1722.719	-1723.802	1.082859	10	1.01749	0.0382267	0.242942	0.273521	0.024778	0.130145	0.108004	0.0682179	0.142578	0.0837149	0.0630041	0.164595	0.26428	0.00649345	0.209526	0.143758	0.0506573	0.00853501	0.115006	0.0710921	0.187469	0.00139777	0.0212101	0.0799242	0.0468548	0.126877	0.0406617	0.200856	0.0774501	0.00253038	0.0465618	0.224551	0.0614365	0.0160709	0.116107	0.0338016	0.179337	0.285913	0.392689	0.115925	0.14043	0.481947	1.00284	2.37478	5	4.466699
1000	-886.418	-910.3868	23.9688	2	2.555094	0.00102704	0.00179701	0.00566795	0.00208592	0.00315382	0.00634893	0.00139638	0.00482682	0.0148573	0.0455644	0.0804408	0.052802	0.0276396	0.0019193	0.00851462	0.00218734	0.0400873	0.0872809	0.0298372	0.00435297	0.0341861	0.0417632	0.0154714	0.121149	0.0451714	0.0436992	0.0162653	0.00298093	0.0751171	0.103685	0.154557	0.0420308	0.0924014	0.054027	0.156998	0.133077	0.247797	0.047029	0.0311655	0.351619	0.703483	1.07923	1.86567	4	1.880359
2000	-878.7615	-907.4231	28.66159	10	1.915547	0.00205418	7.20041e-05	0.0341825	0.00348206	0.00529026	0.031531	0.0300353	0.0211397	0.00926063	0.00597175	0.0555012	0.0416981	0.0162452	0.00181277	0.00536546	0.000806536	0.0046411	0.0731935	0.0257853	0.00216716	0.064825	0.0311113	0.00352257	0.0321113	0.00990598	0.0229343	0.06753	0.0576615	0.0407551	0.0985942	0.249879	0.0684703	0.127736	0.0605689	0.173906	0.0630032	0.12391	0.111972	0.0289396	0.282981	0.645722	1.06773	2.00357	5	1.807572
3000	-886.6335	-910.6459	24.01234	10	2.528518	0.0159817	0.00268724	0.0693265	0.0047774	0.0117133	0.000486491	0.0617983	0.00852255	0.00736994	0.00316309	0.166321	0.049971	0.0484002	0.00201192	0.00207885	0.00963512	0.00971086	0.107193	0.0823169	6.0923e-05	0.113808	0.0641535	0.0137182	0.0223591	0.0551522	0.0878786	0.0266656	0.0274945	0.00275681	0.111892	0.224368	0.0703638	0.0904156	0.135273	0.134053	0.0639053	0.145525	0.0160358	0.0307738	0.349144	0.701557	1.07894	1.87035	5	2.100118
4000	-888.0232	-912.2361	24.21299	10	2.597598	0.0160567	0.00198099	0.0423172	0.00223968	0.00406728	2.37762e-05	0.0249075	0.000405535	0.00997245	0.0117446	0.0625427	0.0184788	0.020845	0.00367368	0.0120388	0.0261066	0.000115711	0.104731	0.00845927	0.00231915	0.0503207	0.0343539	0.00318417	0.0800878	0.154198	0.0912503	0.0967043	0.0400478	0.0279008	0.105486	0.290541	0.103991	0.0185136	0.0852836	0.172766	0.107499	0.163236	0.12212	0.124019	0.355519	0.706496	1.07965	1.85833	5	2.24453
5000	-897.1172	-917.4762	20.35902	2	3.397282	0.0271298	0.0104385	0.0286647	0.0110764	0.00543404	0.00486926	0.0242932	0.00593971	0.0105194	0.00365903	0.150486	0.0238531	0.0163887	0.0198642	0.00324268	0.00689863	0.0871868	0.0979383	0.0300838	0.000422686	0.0333483	0.0252505	0.00120828	0.0448279	0.0471891	0.0301444	0.0880403	0.0439215	0.0423141	0.144272	0.410314	0.138381	0.0660032	0.185861	0.144152	0.0115941	0.0867173	0.0303455	0.0267246	0.417838	0.751395	1.08388	1.74689	4	2.168997
6000	-902.2744	-923.3415	21.06713	2	2.699809	0.0166851	0.0316213	0.0284943	0.00923228	0.00167858	0.0205418	0.0356317	0.0384327	0.0675815	0.000654604	0.0821847	0.02692	0.0494098	0.0167035	0.00697815	0.00165898	0.0333109	0.0776338	0.0442607	0.019757	0.0776307	0.0404462	0.0100236	0.0198083	0.0983603	0.0186491	0.117678	0.063502	0.0120769	0.095891	0.342683	0.0643418	0.0495822	0.106023	0.101969	0.0225116	0.120868	0.0353865	0.0364605	0.364617	0.713425	1.08057	1.84139	4	2.043264
7000	-896.7437	-920.5568	23.8131	10	2.752566	0.0431944	0.00940726	0.0148076	0.00998515	0.0172635	0.0249428	0.046019	0.0298172	0.0363481	0.0103064	0.0558015	0.0637633	0.00242982	0.00408635	0.0187225	0.0458361	0.0189831	0.168314	0.0202501	0.0106231	0.106385	0.06807	0.00553108	0.0120823	0.0805496	0.07993	0.0656647	0.0737688	0.0118502	0.0831196	0.26423	0.0739792	0.0841236	0.12178	0.101893	0.0117064	0.142244	0.0737774	0.0486475	0.369165	0.716838	1.08099	1.83301	5	2.160234
8000	-889.9973	-915.4292	25.4319	2	2.667708	0.0124613	0.00178714	0.0286208	0.00640324	0.0104743	0.03905	0.0377351	0.0287755	0.00800125	0.00934724	0.13175	0.0300962	0.000785795	0.00618927	0.00919452	0.0212359	0.0609606	0.106145	0.0187777	0.01522	0.0561313	0.0474364	0.0141985	0.0595699	0.0425381	0.00454892	0.0798639	0.0459433	0.00448505	0.0976644	0.0931713	0.0641987	0.0981973	0.111424	0.107153	0.0148897	0.0777553	0.0628617	0.0275963	0.361801	0.711295	1.0803	1.8466	4	1.692638
9000	-878.9199	-912.6728	33.75287	1000	3.327421	0.0149481	0.000903869	0.0332167	0.00119477	0.00459688	0.005099	0.0151633	0.00651859	0.0238442	0.00713564	0.0710922	0.0795966	0.0120741	0.00164988	0.00100248	0.0127933	0.119119	0.088063	0.0205418	0.00845591	0.04442	0.0493084	0.0142987	0.0049635	0.0152405	0.0410713	0.0693451	0.00620236	0.0594517	0.0836367	0.314666	0.082517	0.0785761	0.0991606	0.122896	0.0436213	0.153205	0.0417125	0.0315528	0.413106	0.748184	1.08372	1.75499	6	1.882855
