Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-262.1925	-389.9562	127.7637	10	0.5184459	0.0929654	0.00325431	0.0101954	0.0959349	0.1719	0.114288	0.0844909	0.0270341	0.00748184	0.0371033	0.0557347	0.0459574	0.0758859	0.0205876	0.306355	0.146169	0.27317	0.27768	0.0461359	0.0153179	0.135429	0.0944748	0.0397182	0.072954	0.000417166	0.0368554	0.263787	0.83324	2.86612	5	2.250636
1000	-92.84025	-229.1946	136.3543	10	0.938827	0.113651	0.0399279	0.0416574	0.0638993	0.119506	0.000765226	0.0169593	0.0471644	0.2258	0.0348842	0.117498	0.00506986	0.0156844	0.0466906	0.0560226	0.206952	0.729959	0.0489117	0.122547	0.136541	0.0608956	0.00224641	0.108278	0.318153	0.0231443	0.124592	0.45756	0.989075	2.42877	5	2.702808
2000	-108.3375	-236.6853	128.3477	10	1.877929	0.027083	0.226892	0.0352874	0.121614	0.0202162	0.0348716	0.0544897	0.0139249	0.162308	0.0526378	0.200729	0.00888826	0.0466292	0.0321759	0.0562944	0.214343	0.0689216	0.363838	0.0457009	0.460713	0.0112891	0.218865	0.0652805	0.0385058	0.195129	0.278254	0.641372	1.06661	2.01376	5	2.776628
3000	-102.5406	-234.9877	132.4471	10	1.139188	0.109296	0.0434833	0.0279378	0.00493215	0.0331039	0.00601437	0.110734	0.0597465	0.242407	0.0707121	0.341704	0.0552954	0.0358673	0.0240423	0.00708929	0.0472727	0.142443	0.359535	0.273224	0.144253	0.00991674	0.0105413	0.109752	0.068688	0.141278	0.16386	0.514932	1.01971	2.30149	5	2.479269
4000	-105.5655	-236.3526	130.7871	10	2.970764	0.212082	0.0353155	0.107324	0.0276287	0.00696657	0.0110379	0.00341237	0.0172689	0.0986855	0.0486456	0.143284	0.0396197	0.0154762	0.0240806	0.0824569	0.135698	0.00792005	0.0254092	0.00140509	0.241007	0.0143355	0.36444	0.235378	0.099367	0.6185	0.386987	0.729896	1.08237	1.80075	5	2.616746
5000	-96.40416	-233.1181	136.714	10	1.573958	0.234987	0.00914109	0.0753034	0.00254276	0.0551795	0.0417109	0.0429366	0.118018	0.0098832	0.059523	0.0488671	0.0224555	0.00296663	0.0233822	0.030341	0.327759	0.220758	0.105578	0.038624	0.0755999	0.0153843	0.0533793	0.0385994	0.401766	0.0593278	0.236525	0.600421	1.05448	2.10857	5	2.114014
6000	-79.52542	-226.9003	147.3749	10	0.802191	0.161408	0.0180987	0.0561444	0.000105501	0.055728	0.00709458	0.0385211	0.00635073	0.0787111	0.0755286	0.0689687	0.0161868	0.0202343	0.0178721	0.0415956	0.138902	0.0136765	0.0645871	0.375649	0.00333831	0.0338102	0.314201	0.00747877	0.0306537	0.0065679	0.0960249	0.408015	0.95756	2.5384	5	1.651413
7000	-103.2551	-236.5674	133.3122	10	1.606608	0.0786824	0.158941	0.0664604	0.00235094	0.0453977	0.0306634	0.0825508	0.0187626	0.0642641	0.0905145	0.0841713	0.00661829	0.0151278	0.020835	0.0218274	0.00736796	0.15167	0.067988	0.122816	0.291544	0.0583319	0.0458423	0.172469	0.617558	0.0512478	0.241331	0.60539	1.05611	2.09716	5	2.374004
8000	-107.405	-230.9989	123.5939	10	1.361716	0.0813697	0.0489554	0.0764922	0.00789244	0.00785856	0.0191901	0.0135823	0.0257769	0.0545156	0.0508238	0.00218281	0.0328929	0.0367815	0.00912918	0.0116921	0.00520184	0.163181	0.0670221	0.72329	0.0537933	0.147131	0.0693208	0.0612652	0.0863951	0.269602	0.203149	0.563795	1.04115	2.19191	5	2.125337
9000	-111.8763	-240.15	128.2737	10	1.982059	0.108168	0.136436	0.0482344	0.00553445	0.115691	0.0808553	0.00575298	0.113314	0.200081	0.0377533	0.0535648	0.00882424	0.0381619	0.0272553	0.34601	0.14981	0.133986	0.0305944	0.103968	0.0842831	0.218937	0.0460614	0.0647735	0.407767	0.00713093	0.291124	0.653092	1.06953	1.98625	5	2.572947
