Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-113.0115	-156.4635	43.45198	10	0.4025277	0.000360953	0.0734719	0.093516	0.0696292	0.0251433	0.0786347	0.0519676	0.04097	0.00669873	0.0923597	0.0800643	0.271711	0.0808525	0.0796792	0.145161	0.0680517	0.0718051	0.0170808	0.183642	0.734001	3.06528	5	1.330077
1000	-55.58374	-93.89723	38.31349	10	0.2160534	0.411467	0.298726	0.0133163	0.016769	0.0490713	0.403102	0.0616333	0.00228695	0.011198	0.0145144	0.286076	0.119004	0.0480191	0.00940131	0.0577955	0.0308931	0.142762	0.000887196	0.0435195	0.424244	3.53135	5	1.976036
2000	-67.51447	-92.42749	24.91302	2	1.508184	0.304866	0.221463	0.00350325	0.0769191	0.0727665	0.0795825	0.0485612	0.00583103	0.0823802	0.0516339	0.194394	0.233287	0.0356389	0.2661	0.0447361	0.080988	0.0460952	0.226584	0.589913	1.0509	2.1326	4	1.848746
3000	-46.65896	-90.23426	43.5753	10	1.381867	0.193979	0.346401	0.0360109	0.0243004	0.0138866	0.0271935	0.00143259	0.0180932	0.0447445	0.00459908	0.102248	0.119351	0.00832044	0.0101246	0.0318012	0.0332503	0.0654807	0.206483	0.567635	1.04266	2.18322	5	1.081216
4000	-62.30794	-88.44034	26.13239	2	0.9078348	0.568363	0.325361	0.0149594	0.0758344	0.0300415	0.00885191	0.0175491	0.0438353	0.0298639	0.0326382	0.0364333	0.106348	0.120279	0.0275419	0.00691356	0.184247	0.000726655	0.118217	0.447182	0.982876	2.45172	4	1.629787
5000	-49.23726	-91.21182	41.97456	10	3.053196	0.17914	0.262507	0.0600795	0.0232319	0.00651433	0.0426592	0.0155709	0.018385	0.0322546	0.0245459	0.0194758	0.0393704	0.108564	0.0941232	0.00957268	0.0718356	0.0212901	0.393336	0.734431	1.08277	1.78947	5	1.029121
6000	-39.08693	-85.95699	46.87006	10	1.765456	0.146371	0.177387	0.0152506	0.025469	0.0333798	0.0854357	0.00970309	0.0034964	0.0251303	0.0254065	0.0987125	0.00635218	0.0277781	0.0219501	0.122795	0.0971281	0.00120577	0.263574	0.627506	1.06284	2.04608	5	0.9229506
7000	-56.04372	-84.0606	28.01688	1	0.681222	0.185948	0.262947	0.000238094	0.140136	0.00280869	0.003742	0.00142873	0.010538	0.00891274	0.00773443	0.0852314	0.0907072	0.0924253	0.0248886	0.0992777	0.196928	0.00160428	0.0701826	0.354534	0.917706	2.65758	3	1.215496
8000	-39.23439	-84.23368	44.9993	10	0.5733328	0.269925	0.216206	0.0234584	0.0621548	0.0661974	0.0185813	0.0138675	0.0125557	0.00777876	0.00776216	0.025259	0.0277823	0.131224	0.00878285	0.0286126	0.0620099	0.0832542	0.0476587	0.29712	0.867079	2.78814	5	1.065412
9000	-57.68405	-86.40308	28.71904	2	0.6262683	0.140283	0.711453	0.0456599	0.0360835	0.0262741	0.0497898	0.0235294	0.00505756	0.0112224	0.0177901	0.0204776	0.0831766	0.373128	0.092659	0.0279447	0.0322699	0.0180097	0.0585671	0.326562	0.89415	2.72072	4	1.714808
10000	-51.07182	-93.97061	42.89878	10	0.9635015	0.186738	0.153472	0.0389269	0.0658365	0.088112	0.0913063	0.00174591	0.0544613	0.0247484	0.0197997	0.0673311	0.134871	0.134058	0.142527	0.0937407	0.130419	0.0488585	0.129615	0.4655	0.993679	2.41121	5	1.476951
11000	-62.51212	-86.09292	23.5808	1	1.223239	0.0958141	0.396665	0.0370927	0.0312688	0.125359	0.0427006	2.91041e-05	0.00561848	0.0189023	0.00365656	0.0293339	0.242077	0.0385416	0.0275399	0.212276	0.130747	0.16728	0.179239	0.534914	1.02899	2.25686	3	1.604902
12000	-62.77109	-88.19537	25.42428	2	1.549467	0.688783	0.417744	0.0125938	0.0128326	0.00688123	0.0796327	0.0126133	0.00475905	0.0323022	0.0203916	0.06129	0.0102752	0.0527879	0.023227	0.0154551	0.0232117	0.182269	0.232864	0.596588	1.0532	2.11735	4	1.65705
13000	-66.88667	-90.63505	23.74837	2	1.413118	0.205036	0.292524	0.0522259	0.0108799	0.0176612	0.0910205	0.0159574	0.0125542	0.00271635	0.0187193	0.0356644	0.0809847	0.104079	0.284634	0.299998	0.161983	0.0231135	0.211584	0.573426	1.04488	2.17011	4	1.709751
14000	-36.80342	-84.71623	47.91281	10	1.925534	0.211492	0.104929	0.00584344	0.0791429	0.030639	0.00634497	0.0115473	0.0176258	0.0295679	0.011522	0.0364353	0.00307271	0.0406011	0.0287805	0.12893	0.0943289	0.0927652	0.284221	0.646854	1.06801	2.00092	5	0.9335683
15000	-48.73322	-82.02108	33.28786	2	2.809729	0.283997	0.268613	0.0385714	0.0314924	0.0277249	0.0178314	0.00136095	0.0408195	0.0118677	0.0023085	0.0620233	0.0188052	0.0482944	0.0680487	0.0286331	0.0166049	0.0566513	0.373985	0.720418	1.0814	1.8242	4	1.023648
