Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-740.8653	-784.1517	43.28641	10	0.7704035	0.00689306	0.0202847	0.034068	0.00361492	0.0939975	0.190625	0.0155867	0.0216617	0.29912	0.244706	0.0984859	0.0753342	0.200974	0.205921	0.117604	0.0244708	0.199569	0.0227007	0.271252	0.0820593	0.0342548	0.0225369	0.158382	0.00766361	0.647714	0.243757	0.0751617	0.06063	0.0966613	0.155801	0.0565969	0.205119	0.134621	0.0892472	0.39494	0.948404	2.56741	5	4.127829
1000	-411.3965	-470.0621	58.66559	10	4.960217	0.20784	0.00270156	0.0462722	0.0479261	0.0663491	0.0354715	0.141672	0.185912	0.0959251	0.00408911	0.0281343	0.0835897	0.0323072	0.00229219	0.0347345	0.00744055	0.247314	0.0586261	0.103792	0.0304576	0.0240019	0.0151261	0.100432	0.0276542	0.0659177	0.0143449	0.18436	0.371587	0.0511764	0.146671	0.00424799	0.144377	0.047349	0.500417	0.803001	1.08337	1.61321	5	2.660091
2000	-421.3635	-465.8239	44.46045	10	0.8610407	0.248528	0.0289649	0.0558554	0.00726711	0.125644	0.00718494	0.122309	0.260012	0.0994255	0.0075016	0.0267191	0.00775932	0.236249	0.00684103	0.00315767	0.0277914	0.103488	0.074398	0.0133001	0.165449	0.0479056	0.0345049	0.143575	0.0452595	0.838542	0.0119574	0.228329	0.107207	0.142287	0.0250543	0.132804	0.0361904	0.0262532	0.108466	0.430596	0.972532	2.48841	5	3.447714
3000	-407.2632	-465.3126	58.04941	10	2.662915	0.200869	0.0146832	0.0261486	0.0446245	0.0283471	0.0146565	0.0342806	0.167737	0.0147339	0.0130165	0.00481779	0.0986535	0.19142	0.00209072	0.000453712	0.0790587	0.115505	0.0957758	0.0176257	0.124377	0.0239767	0.036107	0.111209	0.0618307	0.166324	0.0131693	0.14749	0.301485	0.0945236	0.0487803	0.0323119	0.0236773	0.0231543	0.361378	0.710973	1.08026	1.84739	5	2.372914
4000	-404.9772	-460.6876	55.71034	10	2.713243	0.111679	0.0148139	0.00395209	0.000667969	0.0199276	0.00774446	0.105093	0.153364	0.0613206	0.116413	0.00594403	0.0275189	0.110432	0.0313482	0.0263967	0.0286871	0.140936	0.0572931	0.047667	0.318925	0.0501104	0.0378559	0.152667	0.0355064	0.17284	0.101764	0.0678772	0.250797	0.0348984	0.0680796	0.0527472	0.00378608	0.202726	0.365785	0.714304	1.08068	1.83923	5	2.62178
5000	-407.7338	-457.9079	50.17416	10	2.369131	0.105919	0.0110879	0.0200711	0.0297894	0.0563012	0.00950449	0.0513067	0.194014	0.226862	0.00967244	0.0390148	0.0695868	0.085254	0.00334216	0.00811357	0.048707	0.19681	0.0539499	0.167729	0.0747933	0.041387	0.117075	0.112933	0.0381486	0.032671	0.036219	0.102671	0.481378	0.00423823	0.0286231	0.141427	0.0532942	0.153879	0.333687	0.689286	1.07698	1.90005	5	2.805774
6000	-399.5195	-460.5046	60.98508	10	1.497828	0.0906536	0.0261959	0.00145783	0.00298685	0.0553835	0.00275164	0.0580612	0.120681	0.173549	0.00211378	0.019971	0.0209561	0.0906884	0.00685083	0.00246534	0.0834492	0.143905	0.018058	0.0513927	0.0184974	0.00438733	0.00992434	0.132396	0.149224	0.0315262	0.0893106	0.0974201	0.0895895	0.283188	0.0696387	0.017362	0.0993803	0.0357796	0.224987	0.588194	1.05029	2.13652	5	2.099195
7000	-407.3006	-464.6825	57.38196	10	0.449067	0.155526	0.00190001	0.00411669	0.0204239	0.0148375	0.0129385	0.0544995	0.0757639	0.00398851	0.00863341	0.0755588	0.0297129	0.222622	0.00886258	0.0149263	0.0219461	0.260286	0.00855113	0.091676	0.226221	0.0608709	0.130452	0.10301	0.0277818	0.0317001	0.022851	0.00914632	0.340856	0.0496502	0.109676	0.0920285	0.00346674	0.00490624	0.0243823	0.217371	0.779353	2.97889	5	2.299387
8000	-407.0579	-465.6804	58.62246	10	1.149082	0.119499	0.0178455	0.0118966	0.0876124	0.0872693	0.0301159	0.0390707	0.297343	0.0974176	0.00988748	0.00356148	0.0360735	0.0861172	0.0287635	0.00287604	0.0167066	0.249558	0.0996576	0.0418724	0.486977	0.000103335	0.114931	0.0600884	0.133885	0.0223788	0.0403769	0.135494	0.034377	0.0672603	0.045543	0.0145509	0.0505023	0.00576049	0.165704	0.517393	1.02089	2.29601	5	2.575372
9000	-430.2571	-471.7076	41.45054	10	4.682298	0.188077	0.0159323	0.000544125	0.0981577	0.150322	0.00124594	0.0725716	0.269217	0.147694	0.0454665	0.01384	0.000154969	0.0563778	0.0182703	0.0430747	0.0711287	0.303226	0.0992917	0.0631242	0.0938432	0.0967883	0.162387	0.232579	0.0303791	0.0317365	0.013915	0.00881051	0.0476622	0.122162	0.0393331	0.0529202	0.539877	0.318004	0.488322	0.795927	1.08381	1.63194	5	3.448114
