Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-2061.946	-2097.015	35.06856	10	4.392482	0.0661836	0.0274596	0.111159	0.0785219	0.280467	0.10562	0.13943	0.0175563	0.0437474	0.081324	0.211395	0.00153971	0.0641075	0.199649	0.428674	0.014881	0.120982	0.0129504	0.160899	0.115065	0.0255791	0.0122627	0.0288495	0.000817579	0.0193344	0.0496171	0.279386	0.0660999	0.0116994	0.0110561	0.197258	0.0236869	0.0797786	0.0999512	0.119138	0.176949	0.190665	0.0557798	0.0300738	0.207758	0.195114	0.314045	0.172249	0.0176299	0.107255	0.0685882	0.00370251	0.069554	0.104539	0.0590772	0.0461188	0.114872	0.11461	0.474704	0.787774	1.08416	1.65336	5	5.354707
1000	-831.0136	-881.0849	50.07125	2	2.092372	0.0137858	0.00827011	0.0429521	0.00922519	0.011447	0.0186517	0.000338104	0.00696771	0.00845119	0.0181563	0.0533122	0.00242703	0.00577337	0.0159296	0.000345569	0.0198756	0.0467618	0.036551	0.00941112	0.00698863	0.0697648	0.0294338	0.0183795	0.0246828	0.023529	0.0720091	0.0522795	0.0214891	0.0494576	0.0838279	0.0319527	0.00403231	0.088188	0.201866	0.11944	0.0147429	0.000213719	0.0860982	0.0642351	0.0339712	0.0765926	0.15886	0.0273407	0.00858885	0.0950789	0.0502184	0.0176364	0.057906	0.0537393	0.0390598	0.0935116	0.120933	0.0025097	0.304057	0.66449	1.07214	1.95931	4	2.227191
2000	-843.6107	-892.384	48.77336	2	3.538363	0.0188511	0.0402667	0.0127863	0.0795071	0.00203448	0.0203716	0.00802998	0.00214262	0.01274	0.0422103	0.00590045	0.00639736	0.000691913	0.0381335	0.000563996	0.0109207	0.0610461	0.0078893	0.00936823	0.00566022	0.0810039	0.045582	0.0485718	0.00352818	0.0173458	0.0509156	0.03098	0.0492847	0.0433009	0.0777429	0.0556289	0.00154199	0.108779	0.198504	0.205379	0.056994	0.0419014	0.0634613	0.00287428	0.00344435	0.0754631	0.112581	0.0227171	0.0386908	0.0549979	0.0263756	0.0377467	0.0514634	0.00826003	0.0315045	0.0959529	0.132103	0.00721227	0.427052	0.757562	1.08413	1.73125	4	2.267344
3000	-843.7036	-890.2745	46.57096	2	2.070268	0.00375033	0.0147723	0.0028416	0.00656389	0.0399581	0.000715404	0.0974441	0.000959524	0.00125258	0.00220773	0.0854172	0.00352271	3.40405e-05	0.0307819	0.00428674	0.0465912	0.0439208	0.0438589	0.00671031	0.0125937	0.0452839	0.0349707	0.00339767	0.00440781	0.0428029	0.000515756	0.0523969	0.05061	0.0511007	0.0660271	0.0401446	0.00122483	0.223419	0.218952	0.1175	0.0575946	0.0144444	0.0707076	0.0405779	0.0038025	0.101305	0.0587088	0.0449705	0.0272008	0.133359	0.0878337	0.0903535	0.0807688	0.0838442	0.0442251	0.072812	0.0699279	0.0238406	0.301521	0.662284	1.07165	1.96454	4	2.507213
4000	-840.0817	-884.1231	44.04147	2	1.736146	0.00531232	0.0103663	0.0434762	0.0335426	0.00663868	0.00793935	0.0116836	0.00572341	0.00739152	0.00735761	0.0364228	0.00792871	0.0133439	0.0240342	0.00851852	0.00682245	0.00162306	0.0137046	0.0152537	0.00283261	0.0994783	0.00473579	0.00413309	0.0103779	0.00906026	0.0133142	0.0201182	0.0222	0.103178	0.163542	0.0431368	0.0109443	0.000682949	0.270006	0.150354	0.0286651	0.00969047	0.111198	0.462714	0.036389	0.0482663	0.0279055	0.0345127	0.0115692	0.0775399	0.00795144	0.102547	0.0993574	0.016927	0.059408	0.0705334	0.125491	0.00867231	0.259607	0.623663	1.06173	2.055	4	2.534517
5000	-847.0679	-893.2295	46.16163	2	2.010837	0.0102302	0.0166261	0.0594682	0.0602686	0.0267816	0.0414758	0.00792092	0.0118073	0.00920732	0.00306209	0.0449827	0.00584498	0.00629601	0.0264826	0.000298583	0.0282655	0.0179833	0.0183218	0.0256198	0.019951	0.0106249	0.0212458	0.0228545	0.00998476	0.0757809	0.0232414	0.00625986	0.0262153	0.047448	0.0450924	0.0413282	0.000182126	0.0296993	0.238377	0.148422	0.111246	0.0044629	0.0566296	0.0328172	0.00587855	0.115273	0.328234	0.00842901	0.0225443	0.0849257	0.00153837	0.0374724	0.0326217	0.147729	0.0419429	0.140697	0.0022092	0.0186	0.294565	0.656161	1.07026	1.97902	4	2.380901
6000	-834.6276	-878.4732	43.84554	1	2.895262	0.0341463	0.0192037	0.00997277	0.0184707	0.00931442	0.0201901	0.00371142	0.00959065	0.007269	0.011167	0.0637646	0.00660231	0.00198548	0.0147234	0.0121999	0.00935029	0.0261013	0.0110122	0.0109648	0.0140068	0.0295704	0.022942	0.0162626	0.0173358	0.00493107	0.0214016	0.00568603	0.00719766	0.0853466	0.0492998	0.0454623	0.000787367	0.240159	0.279785	0.152986	0.0669305	0.0025857	0.0778556	0.0556378	0.0388578	0.0634546	0.0220284	0.0898155	0.00166984	0.0986709	0.0329582	0.00292636	0.0440998	0.0482248	0.0434427	0.113356	0.133211	0.00314017	0.380993	0.725559	1.08195	1.8115	3	2.231766
7000	-846.9871	-890.8981	43.91096	2	1.85916	0.0245029	0.0178793	0.031757	0.00848443	0.0114701	0.0217562	0.00860713	0.00354761	0.00548177	0.0351512	0.0401915	0.00710403	0.00325095	0.0206189	0.0135897	0.0438504	0.0298191	0.0291634	0.0416955	0.00760608	0.049565	0.095108	0.0197427	0.0205999	0.00481482	0.0347338	0.0294878	0.0141378	0.00565212	0.0430809	0.0499118	0.01145	0.220974	0.179212	0.214322	0.0508285	0.0203241	0.0543188	0.0394798	0.000537158	0.100416	0.0298971	0.096322	0.0856593	0.0515947	0.00273943	0.0225892	0.0568861	0.0571439	0.0488119	0.107268	0.149925	0.00326725	0.275863	0.63915	1.06603	2.01896	4	2.376328
8000	-855.7778	-891.2263	35.44851	2	1.796813	0.00860752	0.000500395	0.0206888	0.00758409	0.0180002	0.00195081	0.00115336	0.00100643	0.0230171	0.00185933	0.0495487	0.0100277	0.0200059	0.0788796	0.000679709	0.034306	0.00552146	0.0264573	0.0345916	0.00384034	0.0607242	0.0198242	0.0461757	0.0297413	0.0183761	0.0158953	0.0366891	0.0234092	0.0148564	0.11934	0.0723667	0.00992901	0.388343	0.611255	0.00449047	0.110053	0.0324902	0.0618858	0.0397892	0.000207149	0.0521807	0.12799	0.0308713	0.0674004	0.167479	0.0838417	0.0991006	0.116376	0.0375083	0.00717271	0.100811	0.0816029	0.00322157	0.267752	0.631508	1.06396	2.03678	4	3.039624
9000	-836.9386	-886.2833	49.34473	2	2.837155	0.0138192	0.00644577	0.0167708	0.0125467	0.000416208	0.0157595	0.00270943	0.00300799	0.0135385	0.00874072	0.067937	0.0123039	0.0154093	0.022313	0.00164539	0.0114264	0.0287429	0.0299522	0.00421791	0.00974433	0.0345388	0.029956	0.00608509	0.00178688	0.0201098	0.00563721	0.0773075	0.00387707	0.0124389	0.0523759	0.0495763	0.0188869	0.150226	0.283043	0.0551407	0.0371779	0.0407152	0.0771088	0.0561536	0.000483204	0.053364	0.0399821	0.0739266	0.0599893	0.091165	0.118757	0.00676059	0.0272649	0.0844494	0.0289208	0.153144	0.168017	0.0318079	0.376258	0.722094	1.08158	1.82006	4	2.24762
