Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-2214.14	-2185.468	-28.67153	10	0.7826803	0.179457	0.0381256	0.0644432	0.160706	0.108392	0.0215146	0.254235	0.112333	0.00597554	0.4282	0.285793	0.00864507	0.0381362	0.455385	0.137563	0.000461814	0.163169	0.0904475	0.0433191	0.0661725	0.0476268	0.203769	0.0779156	0.494907	0.13554	0.60403	0.0942854	0.0100467	0.073932	0.101888	0.00316288	0.0681133	0.233601	0.00945302	0.171492	0.0885341	0.030831	0.142932	0.0699703	0.137121	0.018926	0.219957	0.284362	0.0243323	0.122215	0.0297991	0.101826	0.0437375	0.316433	0.0746297	0.0683635	0.00782981	0.0199558	0.0228359	0.134398	0.0494285	0.0111956	0.0528045	0.124343	0.047302	0.134725	0.14514	0.349916	0.0274461	0.150783	0.0742979	0.105101	0.0293425	0.0119943	0.214529	0.00222107	0.110846	0.198542	0.0524319	0.150778	0.031433	0.244421	0.259032	0.135623	0.0357449	0.0930127	0.0399359	0.0830883	0.0136616	0.0170563	0.0428518	0.0688734	0.0182208	0.0643345	0.130375	0.0847996	0.0918683	0.400066	0.952038	2.55603	5	10.35686
1000	-1223.429	-1229.162	5.733118	10	1.657473	0.199529	0.0761327	0.0128932	0.0579535	0.0557455	0.0542378	0.0113341	0.0643646	0.0506466	0.00162301	0.0015567	0.0232397	0.0421348	0.000851418	0.0293329	0.0337879	0.161958	0.259334	0.0684026	0.0864209	0.040058	0.037834	0.0242431	0.137625	0.0538289	0.0170836	0.0185974	0.00568733	0.119297	0.0436907	0.0029686	0.038405	0.0408639	0.0379793	0.0169835	0.0928394	0.0520157	0.0072188	0.101537	0.0280852	0.0688781	0.0109211	0.0625446	0.0954682	0.0331106	0.000121361	0.187583	0.110361	0.0407336	0.123969	0.0324074	0.00309562	0.0661051	0.0129709	0.0614472	0.0586465	0.0597257	0.803537	0.0532481	0.170153	0.00795205	0.0685278	0.241607	0.0105817	0.0706348	0.0247083	0.0914575	0.0447314	0.0091158	0.0143379	0.182249	0.0492202	0.0919977	0.316759	0.026509	0.03443	0.123237	0.00577783	0.110423	0.0376149	0.00870653	0.14014	0.191642	0.00600565	0.0266931	0.549705	0.0818596	0.0242619	0.0802255	0.190806	0.00352481	0.248656	0.612829	1.05847	2.08004	5	7.128789
2000	-1243.817	-1247.813	3.996138	10	1.309622	0.0694247	0.173118	0.0131285	0.0699093	0.0264233	0.00363221	0.00298711	0.0345261	0.00347809	0.126171	0.00348299	0.00855546	0.0412523	0.0548813	0.0588546	0.0424618	0.0523061	0.0539252	0.096868	0.0620904	0.0184503	0.0373247	0.0937902	0.0592617	0.0462606	0.0136171	0.00104051	0.00144744	0.0769319	0.116173	0.0106146	0.0489537	0.000261677	0.0119849	0.0239706	0.0995214	0.0275925	0.0172837	0.0407035	0.0375533	0.0766722	0.032984	0.106481	0.281671	0.162044	0.0110233	0.251849	0.052835	0.0824363	0.0330322	0.180624	0.184223	0.0504509	0.0355874	0.0768972	0.0833891	0.0393127	0.581615	0.037053	0.00185107	0.0380788	0.0262437	0.0162901	0.118212	0.00501068	0.30867	0.00770269	0.155242	0.0108508	0.00454296	0.00853903	0.0493729	0.0780362	0.0224054	0.1195	0.00809826	0.00601491	0.00465	0.0198379	0.0196128	0.173609	0.18576	0.272077	0.064344	0.214307	0.438393	0.332711	0.00294373	0.00687639	0.238143	0.107944	0.19436	0.553462	1.03697	2.21521	5	7.206265
3000	-1224.655	-1230.213	5.557633	10	1.18922	0.0788373	0.0898487	0.00677072	0.0869142	0.0483201	0.014551	0.00116447	0.00703988	0.030494	0.073726	0.023324	0.00783376	0.0147196	0.00597494	0.00262983	0.0562503	0.0370045	0.0865293	0.109598	0.0600369	0.211778	0.0798697	0.0157665	0.0465688	0.0258506	0.00352085	0.00686636	0.00264063	0.130534	0.0115516	0.03551	0.00105729	0.00742019	0.11211	0.0558129	0.01558	0.0107914	0.00940171	0.0918502	0.142914	0.0351306	0.0147652	0.0604221	0.0304347	0.0985883	0.0575287	0.189444	0.0222451	0.0254102	0.0436173	0.0144258	0.154069	0.00175366	0.0265997	0.152224	0.110134	0.0596703	0.400659	0.0322911	0.077276	0.00128021	0.488378	0.00891685	0.128772	0.0213928	0.245708	0.0428273	0.0958048	0.0904036	0.0687592	0.103097	0.0159029	0.158107	0.260726	0.0296532	0.0568707	0.00789746	0.00262517	0.0144762	0.0663193	0.135629	0.0228149	0.119576	0.0264735	0.0718349	0.380375	0.03824	0.0176339	0.0274427	0.30499	0.0559681	0.173094	0.527073	1.02543	2.2744	5	6.574546
4000	-1241.454	-1238.476	-2.977909	2	2.003418	0.0542309	0.285269	0.0299926	0.0570451	0.00421302	0.0224438	0.0144293	0.0365778	0.0164203	0.0187588	0.0268433	0.0512163	0.123241	0.0160829	0.0148979	0.0256955	0.133374	0.000776008	0.0657254	0.00556289	0.279818	0.005335	0.00811282	0.020848	0.0730701	0.0355388	0.0127231	0.0219215	0.0277073	0.0878433	0.0376937	0.0178841	0.00148401	0.0628376	0.0415824	0.137093	0.0817718	0.0106166	0.0876872	0.0801193	0.0484985	0.057125	0.00687713	0.123173	0.134686	0.00178454	0.155067	0.102875	0.0842429	0.0358959	0.0368484	0.395057	0.0653055	0.357932	0.10912	0.00820244	0.0759754	0.168031	0.122134	0.0181947	0.0722949	0.188081	0.00766429	0.0785138	0.100578	0.220653	0.149485	0.0202826	0.0450524	0.055954	0.0769409	0.0894438	0.00334548	0.0721244	0.0539836	0.00748106	0.115408	0.0320992	0.132518	0.00841399	0.0124264	0.00450701	0.297488	0.0280092	0.185784	0.0309357	0.0916041	0.0195397	0.0727362	0.0915756	0.0886788	0.293682	0.655377	1.07007	1.98087	4	6.69511
5000	-1232.469	-1234.309	1.839926	10	1.355767	0.104511	0.0785014	0.00197781	0.147592	0.0430415	0.0972312	0.00071639	0.0253061	0.0370336	0.00463138	0.00130866	0.0538459	0.0990305	0.0184558	0.0414069	0.02572	0.0166525	0.0524551	0.141826	0.0171308	0.129688	0.0569395	0.0346458	0.0264708	0.169128	0.00239717	0.0167193	0.00729754	0.0331896	0.11552	0.0492482	0.0308717	0.055685	0.00332051	0.018927	0.0545578	0.060421	0.0363431	0.0733582	0.0602732	0.15754	0.0224661	0.00178453	0.0487902	0.0580199	0.00186234	0.202011	0.0244209	0.326444	0.0298322	0.0480082	0.870199	0.00361278	0.651457	0.0187256	0.0471638	0.0735511	0.0358771	0.0204456	0.0164332	0.0205385	0.0700385	0.0522925	0.0828364	0.0620883	0.0379849	0.225945	0.0402792	0.00094878	0.0575501	0.0174487	0.0537957	0.210373	0.0195998	0.01107	0.0467984	0.0263003	0.103214	0.00890235	0.201504	0.093713	0.0281104	0.0203072	0.0170979	0.166587	0.0197819	0.0148613	0.0940489	0.261504	0.0744356	0.0330401	0.202157	0.562645	1.0407	2.1945	5	6.875015
6000	-1226.058	-1227.362	1.304837	2	1.956786	0.208121	0.0678656	0.00501513	0.0862107	0.0718737	0.0406738	0.0110058	0.0260172	0.00355934	0.0138032	0.00747722	0.00202925	0.045902	0.0123466	0.0424224	0.00358723	0.0740176	0.00859906	0.152297	0.129301	0.163906	0.0694555	0.00332017	0.0640407	0.0895255	0.00164166	0.00866169	0.00972233	0.0476057	0.0436969	0.0406536	0.0352637	0.00676563	0.0129063	0.0186139	0.0510543	0.00977116	0.00258894	0.0854526	0.0205011	0.131304	0.0300379	0.0353799	0.0387317	0.113897	0.0474418	0.0766368	0.0051615	0.102823	0.0306655	0.00012377	0.692535	0.0100838	0.192067	0.0775495	0.0492449	0.2594	0.0564425	0.0507516	0.051903	0.0225973	0.274487	0.0494967	0.200204	0.121906	0.0380745	0.188963	0.0159756	0.0802037	0.0872479	0.381126	0.0154963	0.173342	0.0232766	0.104903	0.0586508	0.00824864	0.108111	0.163914	0.0208353	0.0984353	0.0454013	0.010113	0.0954583	0.0117286	0.0237829	0.0500447	0.00607214	0.000145545	0.0234763	0.0639521	0.288061	0.650338	1.06887	1.99273	4	6.415123
7000	-1254.132	-1241.048	-13.08359	10	1.499036	0.169995	0.23697	0.0460037	0.0942672	0.0549427	0.016619	0.0255786	0.0338627	0.0522966	0.0442815	0.0193876	0.00108031	0.10913	0.00722609	0.036942	0.0227656	0.0498392	0.191139	0.0684249	0.0625596	0.252755	0.096767	0.0433621	0.139809	0.0404328	0.0210951	0.00814883	0.00641544	0.42561	0.0858084	0.0178338	0.0147684	0.00424229	0.154498	0.0156669	0.0306236	0.0555119	0.043318	0.101216	0.119899	0.174348	0.00999582	0.011298	0.527692	0.189453	0.0255085	0.250476	0.0888395	0.0228342	0.0849761	0.0248573	0.645034	0.23814	0.0363515	0.0079451	0.142072	0.331474	0.024445	0.0986788	0.0914336	0.00522216	0.078991	0.108357	0.0120387	0.143301	0.010503	0.0110792	0.00257622	0.023878	0.0125151	0.0333909	0.22451	0.114639	0.0844124	0.0110558	0.0765174	0.126585	0.0755003	0.0704024	0.0560108	0.0593238	0.732734	0.275641	0.0102313	0.000561701	0.0204271	0.0239158	0.00375544	0.0221621	0.00392603	0.284448	0.225174	0.588396	1.05037	2.13607	5	8.765558
8000	-1229.839	-1235.173	5.334582	2	1.775252	0.142569	0.13252	0.0113984	0.0717514	0.0693512	0.0302901	0.0183901	0.00031864	0.0156862	0.0506017	0.0577979	0.0242025	0.0314124	0.0211878	0.055644	0.0323103	0.0266202	0.0558831	0.116553	0.0243623	0.0806515	0.0677344	0.0316436	0.0690163	0.0656083	0.00451292	0.0010075	0.0285453	0.0017191	0.0575656	0.0716745	0.0182766	0.0198388	0.0467144	0.063724	0.127875	0.0240804	0.00212914	0.0387047	0.106753	0.00583804	0.00124475	0.0740726	0.158355	0.0933772	0.0226943	0.24653	0.065349	0.172484	0.153418	0.0258858	0.258876	0.034474	0.00693294	0.0223888	0.00965762	0.121572	0.229194	0.0421835	0.0243578	0.0615223	0.0881409	0.122842	0.014434	0.0121524	0.0209657	0.0763497	0.00277037	0.114842	0.023473	0.0793955	0.0326	0.0926229	0.19545	0.0115502	0.0707366	0.00022411	0.208951	0.0364942	0.0145012	0.0706843	0.0254052	0.109786	0.0664355	0.00376804	0.0712434	0.025149	0.329566	0.00590075	0.0121541	0.333976	0.264886	0.628768	1.06319	2.04315	4	6.019595
9000	-1247.201	-1239.892	-7.308578	10	1.714821	0.136017	0.0191512	0.0564808	0.114826	0.0672488	0.00588413	0.0541039	0.117139	0.00389805	0.0192631	0.137842	0.00114998	0.0948762	0.0140878	0.0317263	0.0173577	0.0238134	0.172762	0.181323	0.11647	0.141232	0.0208559	0.0304659	0.0860578	0.109255	0.014229	0.0200832	0.0150941	0.0734803	0.00520915	0.10011	0.0306461	0.0262673	0.131503	0.030216	0.0330983	0.0766519	0.0239692	0.129679	0.0150462	0.0942403	0.0732421	0.0515819	0.103786	0.130743	0.000303843	0.0235608	0.0733158	0.00449708	0.0117794	0.0423897	0.835359	0.0391991	0.0772193	0.0532444	0.0143618	0.141266	0.251099	0.255982	0.113846	0.0324219	0.291593	0.0992049	0.0902987	0.0768733	0.154182	0.174368	0.110479	0.0170109	0.0492061	0.0400417	0.0425425	0.0873376	0.0527665	0.0674445	0.0742807	0.143366	0.0582477	0.029651	0.0345848	0.085209	0.0353443	0.0270743	0.00852136	0.237262	0.14613	0.204433	0.252948	0.0779191	0.0759946	0.0770041	0.256683	0.620803	1.06089	2.06162	5	7.843328
