Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-532.6512	-559.6258	26.97462	1	0.3177259	0.0837091	0.0889944	0.118082	0.0729742	0.0145294	0.635731	0.114304	0.0229272	0.01811	0.0351512	0.127283	0.0302345	0.00882096	0.0278706	0.234336	0.086964	0.0206308	0.00921556	0.00806002	0.042541	0.106822	0.0482105	0.0260016	0.628533	0.0468824	0.0528948	0.00221034	0.0829308	0.100058	0.0939364	0.0995327	0.157056	0.00427675	0.00684292	0.118336	0.624405	3.25042	3	3.249815
1000	-319.6413	-381.595	61.9537	10	1.333542	0.0738676	0.0314187	0.0375593	0.212132	0.0421629	0.17531	0.0543173	0.000694176	0.0438347	0.0239478	0.0108849	0.0472542	0.0820874	0.0871928	0.0349668	0.0120254	0.0079637	0.00370332	0.191324	0.29951	0.106794	0.0232052	0.0664805	0.0123083	0.0827736	0.0494982	0.0226705	0.0221406	0.0131802	0.0826263	0.0315694	0.0211842	0.0176151	0.198426	0.558281	1.03894	2.20435	5	2.024204
2000	-341.0213	-392.274	51.25271	10	2.503243	0.123774	0.13004	0.111102	0.147056	0.0103996	0.0676006	0.0160938	0.0109428	0.0708305	0.0263443	0.0457005	0.0310496	0.0256373	0.0995676	0.0469124	0.0127996	0.0314025	0.0177279	0.0207512	0.380213	0.180823	0.0133962	0.173139	0.0801398	0.159676	0.0239677	0.0114344	0.123717	0.116445	0.0426261	0.0450215	0.268798	0.0215362	0.346764	0.699696	1.07866	1.87488	5	2.686667
3000	-335.9689	-387.9735	52.00457	10	0.9670734	0.0883964	0.00139394	0.106456	0.0430486	0.00294816	0.0775611	0.0210954	0.0416559	0.0300706	0.0252944	0.0585524	0.00810532	0.0337479	0.142279	0.0381944	0.00772689	0.0532668	0.0370983	0.00676846	0.155867	0.0233021	0.641865	0.044535	0.0769811	0.248017	0.0503584	0.0220406	0.0796526	0.0248553	0.0163591	0.0209643	0.133537	0.0180549	0.130338	0.466626	0.994322	2.40871	5	2.380048
4000	-317.8505	-381.6441	63.79363	10	2.148785	0.215916	0.0105106	0.101886	0.0540037	0.00352364	0.0687744	0.0298849	0.004706	0.12358	0.0366573	0.0504403	0.108276	0.0407804	0.104242	0.0314324	0.00289947	0.00796403	0.0260109	0.0950901	0.0727512	0.13646	0.215993	0.00195207	0.0680141	0.0674041	0.10767	0.047973	0.0250046	0.0378502	0.0134105	0.218926	0.0551991	0.0689466	0.310411	0.669957	1.0733	1.94633	5	2.254133
5000	-308.1508	-376.1869	68.03614	10	0.9845687	0.114489	0.0124018	0.022038	0.010918	0.00123736	0.0749256	0.0340649	0.00849233	0.0223583	0.0108307	0.019615	0.0103673	0.0353751	0.129042	0.0472405	0.0294612	0.0066638	0.0124688	0.11946	0.00820811	0.0384325	0.0154733	0.0569691	0.00314885	0.00981106	0.00679132	0.0188775	0.0704188	0.0142365	0.0311788	0.213727	0.0163781	0.213348	0.133865	0.472064	0.997395	2.39668	5	1.43845
6000	-322.4635	-380.5705	58.107	10	0.876018	0.173441	0.0885508	0.0279464	0.124161	0.00243323	0.0674987	0.139097	0.0276476	0.0175201	0.00203947	0.00975753	0.0382466	0.0168482	0.0937887	0.0239226	0.0106549	0.0394296	0.00653627	0.110951	0.0994865	0.0685196	0.0670576	0.0574665	0.105699	0.0585406	0.00755181	0.0263862	0.0214125	0.0409601	0.0313826	0.349152	0.0260765	0.0381033	0.111602	0.43603	0.975981	2.47639	5	2.018265
7000	-324.654	-378.1838	53.52972	10	1.068785	0.136239	0.00152176	0.0867612	0.0675105	0.0128096	0.0776797	0.0280594	0.0378828	0.00760308	0.035109	0.0022611	0.0181995	0.142555	0.125497	0.059856	0.00704677	0.0432297	0.0105588	0.0400387	0.10899	0.0131353	0.0113894	0.0153977	0.111144	0.529324	0.0671361	0.0311265	0.0138043	0.0610186	0.0799537	0.0487736	0.0888485	0.0633724	0.150471	0.496493	1.01052	2.34251	5	2.183834
8000	-324.6452	-383.6605	59.01525	10	1.620772	0.178567	0.036041	0.0203431	0.126969	0.0292371	0.185357	0.0454539	0.00362348	0.0286341	0.0242495	0.0238062	0.0473724	0.0119041	0.0738358	0.0221274	0.000548451	0.0443104	0.00703704	0.127529	0.0915021	0.0957979	0.0552553	0.0728372	0.0695288	0.0143117	0.188255	0.144138	0.0697998	0.0346053	0.0341989	0.10107	0.0249471	0.0862742	0.243391	0.607498	1.05679	2.09232	5	2.119467
9000	-327.884	-384.6441	56.76013	10	2.246236	0.0986043	0.0200691	0.0829998	0.0251159	0.0204101	0.136154	0.04409	0.0278361	0.0515159	0.00280443	0.0367359	0.00895254	0.0349703	0.133435	0.0815661	0.0464746	0.037611	0.0234804	0.0185833	0.0682843	0.0793648	0.0351721	0.0172405	0.0490247	0.495612	0.147588	0.103345	0.0132795	0.0723105	0.0169722	0.111601	0.0383493	0.0316594	0.320997	0.67888	1.07509	1.92504	5	2.211213
