Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-84.24739	-95.03316	10.78577	10	0.2622288	0.0129579	0.0104802	0.0532691	0.0852142	0.1069	0.0956428	0.326109	0.123368	0.0252042	0.0809027	0.0392816	0.0818273	0.0157899	0.0768563	0.722703	0.255233	0.0531461	0.0661909	0.153319	0.00273134	0.0756526	0.526575	3.39504	5	2.384395
1000	-40.36532	-57.18554	16.82022	2	0.2319256	0.0227916	0.0717454	0.0168604	0.0810788	0.000552026	0.0964995	0.0154359	0.0315418	0.156176	0.00808645	0.132607	0.0550356	0.0447144	0.298858	0.0211368	0.127492	0.00697164	0.015343	0.283037	0.00137364	0.0539841	0.461789	3.48285	4	1.485962
2000	-40.95568	-55.69419	14.73851	1	0.2886863	0.189929	0.00668154	0.0855478	0.000554532	0.00217801	0.00159952	0.0517019	0.0189109	0.180943	0.0160266	0.0485089	0.0571726	0.108018	0.217977	0.167927	0.256058	0.102853	0.0420753	0.00395255	0.00442253	0.0957278	0.576304	3.32355	3	1.558614
3000	-36.06982	-54.31021	18.24039	10	2.854962	0.00932878	0.0715868	0.0639424	0.0222872	0.0264765	0.00370643	0.0476541	0.00895368	0.164282	0.138012	0.00945945	0.141494	0.0138393	0.106783	0.0484512	0.344017	0.159533	0.0137407	0.0134876	0.377721	0.723168	1.0817	1.81741	5	1.407034
4000	-34.83273	-57.6876	22.85487	1000	0.9908751	0.080356	0.226926	0.109183	0.292403	0.027759	0.0298872	0.0630542	0.0184285	0.0333581	0.00725966	0.0991262	0.0350066	0.11319	0.0765331	0.384263	0.317277	0.0351914	0.185355	0.0531908	0.13513	0.473992	0.998471	2.39241	6	2.187747
5000	-37.33036	-50.68954	13.35918	10	0.6454716	0.124086	0.186318	0.0393794	0.0209487	0.0259195	0.0187477	0.0028095	0.079706	0.0264336	0.00151929	0.0278495	0.444244	0.173654	0.0746863	0.0283891	0.0434579	0.0351525	0.683064	0.0286866	0.0626019	0.336625	0.902855	2.69792	5	2.065052
6000	-42.5191	-54.14315	11.62405	1	0.6959627	0.122053	0.362807	0.00628286	0.0724004	0.0254637	0.0792539	0.0131139	0.0651844	0.125267	0.00557277	0.00337616	0.0790253	0.0247469	0.418669	0.0206948	0.0699834	0.0699646	0.159251	0.106221	0.0733261	0.361619	0.923363	2.64169	3	1.829331
7000	-32.39035	-50.41452	18.02416	2	0.7063452	0.0436965	0.0924982	0.0759124	0.0271526	0.0826038	0.145665	0.0117835	0.0117572	0.0583302	0.00571466	0.0187675	0.217197	0.0695353	0.0246602	0.010677	0.0185498	0.306659	0.0353668	0.0203383	0.0755441	0.366509	0.927197	2.63075	4	1.276865
8000	-45.20762	-59.88504	14.67742	10	0.2296201	0.229819	0.0535564	0.208121	0.0316239	0.0371354	0.0127546	0.0319816	0.0387154	0.0266065	0.037841	0.224396	0.0883098	0.0141475	0.0903623	0.224577	0.0227717	0.265325	0.184901	0.103648	0.00129399	0.0524194	0.456493	3.48979	5	1.926593
9000	-50.73123	-59.19746	8.466227	2	5.277395	0.0311175	0.170151	0.0416301	0.184342	0.177239	0.00247726	0.00171946	0.0349089	0.0397394	0.0315988	0.011582	0.0674274	0.00113973	0.00685798	0.0762459	0.381305	0.360347	0.0906708	0.0769048	0.513206	0.810317	1.08279	1.59369	4	1.787403
