Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1774.518	-1797.381	22.86223	10	2.007417	0.0803722	0.0114526	0.0568479	0.0750334	0.0520695	0.0663399	0.165681	0.0742096	0.043576	0.259261	0.0445643	0.244341	0.0533507	0.207071	0.253089	0.0120855	0.156753	0.222055	0.063227	0.155077	0.0647471	0.0656161	0.0475618	0.0407518	0.000911969	0.106242	0.168705	0.0139667	0.0171482	0.29133	0.0673807	0.285424	0.133389	0.0265371	0.0885432	0.137728	0.202434	0.0622336	0.097714	0.0213821	0.0602392	0.0183615	0.0690457	0.294158	0.6558	1.07017	1.97987	5	4.383845
1000	-850.5486	-873.0834	22.53479	2	4.430737	0.0403404	0.0296006	0.0184427	0.00643232	0.00981924	0.0300503	0.178368	0.0201988	0.00290298	0.0492617	0.0179352	0.00361171	0.00387984	0.026286	0.0371209	0.00957479	0.136848	0.00943934	0.0197829	0.0503134	0.00580729	0.0106396	0.0555453	0.00508493	0.0212588	0.00931602	0.0729685	0.0653078	0.0539765	0.00649421	0.201166	0.0980549	0.0593917	0.184605	0.229685	0.164753	0.000223214	0.0424585	0.147237	0.0283286	0.272356	0.136425	0.281352	0.476566	0.788901	1.08412	1.65041	4	2.852644
2000	-828.2113	-861.5656	33.35428	2	1.08237	0.0201841	0.0375317	0.00307839	0.0085574	0.00802036	0.0474485	0.0931861	0.0131807	0.0623315	0.137172	0.0282313	0.0208444	0.00623223	0.00379889	0.00349722	0.0033568	0.0586798	0.0071569	0.0230109	0.00268261	0.00213121	0.0121682	0.0192801	0.0832629	0.0113323	0.021	0.0213024	0.0475437	0.011127	0.0266352	0.144937	0.0791452	0.0334802	0.106948	0.182763	0.178386	0.0266283	0.0279109	0.108393	0.00997821	0.0124663	0.120376	0.218758	0.15309	0.500183	1.01241	2.33432	4	2.094134
3000	-869.1086	-886.0456	16.93705	2	0.8677176	0.0522502	0.0129464	0.00220623	0.00232955	0.0336342	0.0518684	0.128621	0.0377347	0.0478882	0.0125018	0.0335592	0.0312493	0.0118825	0.00160737	0.156817	0.00341884	0.0618862	0.0287922	0.0112165	0.00825239	0.00114712	0.0266777	0.0342667	0.272451	0.0213593	0.145115	0.0316733	0.0463311	0.0574178	0.0550226	0.171426	0.20989	0.254418	0.0594583	0.57353	0.135049	0.00545709	0.00666565	0.115825	0.0416001	0.029934	0.32669	0.569989	0.109866	0.433033	0.974087	2.48301	4	3.922057
4000	-840.7919	-872.808	32.01612	10	2.040766	0.0241169	0.0615867	0.00381886	0.00312041	0.0114697	0.018327	0.263282	0.0133537	0.0500272	0.0751877	0.0531281	0.00304824	0.00657475	0.0154456	0.0509374	0.00411667	0.0453421	0.0195364	0.00046657	0.0239919	0.0203093	0.0171981	0.0210002	0.0405067	0.00774573	0.0904384	0.000541071	0.0668761	0.0609294	0.0258722	0.0607317	0.0246915	0.55209	0.0367247	0.158871	0.026949	0.14592	0.0172105	0.105486	0.0425892	0.156953	0.109048	0.402782	0.298093	0.65928	1.07098	1.97165	5	2.938342
5000	-840.6728	-864.732	24.05918	2	2.431672	0.103673	0.0276401	0.0116772	0.00548609	0.0128262	0.0361749	0.107353	0.0519384	0.00349014	0.011528	0.03559	0.0548277	0.00514118	0.0040999	0.0272794	0.00209969	0.0160261	0.00692869	0.00479604	0.0215104	0.000932949	0.0158263	0.0119401	0.00323321	0.120587	0.0270645	0.0108129	0.0837201	0.059951	0.0200742	0.025825	0.0399753	0.351745	0.0121396	0.280562	0.188651	0.159761	0.0317821	0.140343	0.00536034	0.32112	0.247402	0.259187	0.339881	0.694256	1.07781	1.88805	4	2.968082
6000	-825.0782	-861.4084	36.33028	10	1.799681	0.0146315	0.0441586	0.0079245	0.00621918	0.000387884	0.00285868	0.140441	0.0122077	0.0103783	0.0377275	0.0343535	0.0119025	0.0059334	0.00482391	0.00751182	0.00888349	0.0590732	0.00357692	0.0267369	0.0457256	0.0210598	0.0114014	0.0437605	0.000685728	0.0194333	0.0072318	0.272333	0.0330041	0.0412398	0.052695	0.0681159	0.0892529	0.244562	0.0454315	0.213135	0.0678741	0.0258142	0.00258166	0.235826	0.000596618	0.268691	0.116573	0.159754	0.268131	0.631869	1.06406	2.03594	5	2.526509
7000	-830.1149	-859.4004	29.28548	2	0.9087714	0.00535792	0.0553992	0.00227918	0.00465776	0.00110931	0.0134348	0.143403	0.0136558	0.0344355	0.104321	0.0153409	0.0130673	0.00850023	0.0144828	0.00149833	0.00914286	0.0719313	0.00386292	0.0132222	0.0325473	0.00185202	0.0176936	0.0221523	0.37012	0.0419635	0.0198912	0.0403338	0.0617386	0.0408972	0.0102324	0.109906	0.0118241	0.0115996	0.037631	0.237156	0.0316369	0.288577	0.0483704	0.0659823	0.0156758	0.265104	0.085118	0.114797	0.118411	0.447502	0.98307	2.45102	4	2.511902
8000	-840.6719	-864.6069	23.93497	2	1.813964	0.0411001	0.0460901	0.00290914	0.0191999	0.00128321	0.00125996	0.213795	0.010563	0.0143885	0.0741705	0.0355156	0.00127565	0.00409682	0.00185263	0.0357625	0.0119771	0.0365791	0.00205771	0.0100322	0.0652722	0.00411881	0.0213182	0.0408961	0.267041	0.215926	0.020768	0.0321654	0.0204525	0.0579292	0.0110802	0.26481	0.0495066	0.0241267	0.0309886	0.207403	0.0556345	0.153287	0.0677406	0.0090549	0.000581666	0.341233	0.217888	0.112704	0.270009	0.633651	1.06455	2.03179	4	2.855835
9000	-840.6309	-868.8509	28.22	2	1.875554	0.026013	0.0571939	0.0059859	0.00568145	0.00381357	0.00126393	0.0328084	0.0194422	0.0508851	0.169446	0.00565103	0.0300804	0.00051045	0.0139544	0.0235756	0.00679226	0.0389741	0.0133931	0.0122267	0.0114596	0.00838494	0.00814289	0.0416355	0.0101065	0.0326655	0.0179828	0.153786	0.142186	0.00256242	0.249458	0.179424	0.000811002	0.0115744	0.0636095	0.162879	0.476088	0.207126	0.0573891	0.00869079	0.0224285	0.0730413	0.209643	0.0178511	0.277953	0.641092	1.06654	2.01442	4	2.686618
