Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1177.34	-1200.956	23.61629	10	2.383803	0.101244	0.0645931	0.301278	0.0285846	0.0477824	0.109746	0.0748751	0.0351322	0.122992	0.156684	0.0321007	0.0262568	0.0435557	0.0782841	0.0392338	0.101983	0.00761052	0.188947	0.0951321	0.0992226	0.289508	0.0970498	0.190689	0.00214504	0.137715	0.0997043	0.0279526	0.0124209	0.163149	0.0598894	0.036832	0.335156	0.690471	1.07718	1.89719	5	2.872293
1000	-636.5132	-664.8031	28.28988	10	3.179503	0.0178412	0.0463584	0.0295186	0.0219706	0.00571557	0.0120948	0.00594331	0.25116	0.00399991	0.00190495	0.00310694	0.0821264	0.0332807	0.0215968	0.000594367	0.0867247	0.0485678	0.082569	0.0340323	0.220631	0.0706406	0.0652782	0.015507	0.000325702	0.438392	0.239073	0.0545182	0.00814271	0.0331771	0.411593	0.104314	0.402689	0.741006	1.08327	1.77304	5	2.450699
2000	-631.7484	-663.8468	32.09837	10	5.99666	0.0151856	0.0538363	0.0237836	0.00714212	0.0128384	0.00690229	0.0207155	0.143928	0.0568817	0.0139293	0.00738327	0.0411772	0.0184145	0.0258833	0.00653001	0.0911398	0.00171897	0.306162	0.0137622	0.207398	0.0480804	0.0375289	0.00628381	0.0048889	0.332238	0.415064	0.00902152	0.0307845	0.0323263	0.0931362	0.0287871	0.538855	0.824503	1.08127	1.55538	5	2.112852
3000	-643.6479	-671.2439	27.59603	10	5.173148	0.00462264	0.0953234	0.0154749	0.00598868	0.0518997	0.00910957	0.0148749	0.18039	0.00952156	0.0487857	0.00328981	0.0618555	0.0210349	0.0086194	0.00267286	0.0173602	0.0398839	0.399396	0.162223	0.249798	0.0155569	0.00825901	0.139701	0.0271315	0.0325207	0.0512973	0.632611	0.0468825	0.0398243	0.116228	0.0258637	0.509114	0.807994	1.08299	1.59991	5	2.538001
4000	-622.9724	-656.3336	33.36126	10	2.693175	0.0017059	0.0704073	0.00208491	0.0103886	0.00208579	0.00145895	0.0132515	0.168015	0.0417513	0.00979146	0.00455619	0.0413179	0.00530041	0.00886038	0.0267618	0.163867	0.0269943	0.376627	0.00015483	0.213161	0.0544677	0.0298733	0.0607943	0.530131	0.0289972	0.00851646	0.0505034	0.0877937	0.0439376	0.328201	0.0110388	0.364038	0.712988	1.08052	1.84246	5	2.422796
5000	-648.4432	-672.5068	24.06353	10	3.336562	0.0684055	0.0247273	0.0107706	0.00264754	0.0337924	0.00584583	0.0264697	0.220071	0.0447208	0.0206586	0.0151437	0.038568	0.0934238	0.0201016	0.0190145	0.163871	0.00568383	0.00342297	0.0632709	0.1693	0.602837	0.0125567	0.127399	0.0787765	0.11386	0.768134	0.00498471	0.00508085	0.0242772	0.338991	0.0706563	0.413732	0.74861	1.08374	1.75392	5	3.197462
6000	-638.5729	-660.9111	22.33829	2	2.66568	0.0406338	0.074931	0.00974651	0.00333995	0.0246082	0.00426664	0.00666683	0.168019	0.00310495	0.00766371	0.00652052	0.0373488	0.0186841	0.0463535	0.0126347	0.157269	0.0741462	0.0157644	0.0101769	0.22002	0.324416	0.0123771	0.121595	0.0166107	0.0182719	0.41498	0.0329281	0.0327574	0.0307724	0.34555	0.0423695	0.361622	0.711159	1.08028	1.84694	4	2.334526
7000	-635.5554	-663.4484	27.89298	10	2.575814	0.0165884	0.0552479	0.000190773	0.00881478	0.0161974	0.00409189	0.0194794	0.142308	0.0280783	0.00685765	0.0101735	0.0592235	0.0293889	0.0791602	0.0241917	0.00924251	0.0347274	0.0477287	0.803512	0.296857	0.313325	0.0997671	0.0466866	0.0881105	0.0276365	0.0205543	0.0594709	0.0330071	0.0277857	0.312029	0.0278994	0.353529	0.704961	1.07944	1.86207	5	2.748332
8000	-630.5374	-662.4016	31.86427	10	1.908066	0.0199944	0.0329608	0.00721172	0.00372912	0.000751155	0.027654	0.00593835	0.150233	0.0219542	0.0709857	0.000960798	0.069218	0.00548193	0.00310201	0.00735719	0.0400237	0.000613902	0.0063093	0.479385	0.284502	0.180857	0.0818917	0.406966	0.0031159	0.00144067	0.0420015	0.0211474	0.0491629	0.172056	0.110732	0.0716922	0.282048	0.644867	1.06751	2.00558	5	2.379429
9000	-635.9298	-670.3254	34.39564	10	2.990606	0.0111831	0.120095	0.000873886	0.014131	0.000489886	0.00287694	0.0108868	0.259528	0.0206692	0.0473436	0.00269498	0.0676038	0.00435675	0.0228528	0.0276827	0.0154271	0.0342771	0.250946	0.3218	0.308504	0.140708	0.0190079	0.0308585	0.123794	0.0317562	0.016726	0.143186	0.0586704	0.0470547	0.107441	0.0310977	0.388534	0.731006	1.08247	1.79799	5	2.294523
