Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-2269.584	-2450.219	180.6342	10	0.7746754	0.00573101	0.179907	0.104279	0.166064	0.0955565	0.00281547	0.0453781	0.0660539	0.115415	0.123242	0.0957077	0.103723	0.0937051	0.0763353	0.327769	0.0677388	0.0619732	0.128395	0.409639	0.0332691	0.0243431	0.0307577	0.0926251	0.192377	0.429465	0.0944733	0.134401	0.0851302	0.0101473	0.154241	0.120038	0.0807359	0.0861531	0.122949	0.134755	0.433955	0.0770183	0.00481953	0.0577147	0.0470112	0.00877092	0.231327	0.198273	0.0901597	0.396735	0.949683	2.56342	5	5.154179
1000	-1455.142	-1635.822	180.6791	10	3.525332	0.397839	0.036825	0.176423	0.148363	0.092459	0.0794829	0.173754	0.00174619	0.214393	0.042642	0.0139176	0.0874406	0.0443963	0.0892175	0.257915	0.049522	0.188415	0.11129	0.132105	0.164527	0.0253325	0.146423	0.313374	0.271211	0.00912179	0.273589	0.0523852	0.082981	0.00517599	0.0245691	0.0997627	0.0704194	0.062359	0.229167	0.0867865	0.00100731	0.088633	0.029971	0.144571	0.119916	0.0612767	0.0130966	0.81819	0.426219	0.75701	1.08411	1.73266	5	5.531991
2000	-1474.022	-1637.049	163.0268	10	3.202552	0.288908	0.0481783	0.251471	0.165973	0.0180779	0.0190782	0.220147	0.00661318	0.157471	0.0209931	0.0575134	0.0363271	0.0738682	0.0834909	0.268329	0.0437171	0.257462	0.212788	0.122177	0.0677739	0.133097	0.348528	0.270958	0.00440255	0.00284634	0.119301	0.0598132	0.0195203	0.286055	0.0912613	0.0861811	0.228968	0.0994342	0.186931	0.0835266	0.112877	0.194575	0.0274861	0.0208506	0.0423368	0.0970813	0.0502423	1.25995	0.404349	0.74216	1.08335	1.77014	5	6.246578
3000	-1478.755	-1645.383	166.6277	10	2.181297	0.177049	0.0554482	0.128415	0.185008	0.070988	0.0158509	0.123659	0.0679216	0.0881392	0.0948365	1.08493e-05	0.069108	0.0508008	0.06185	0.456639	0.0354776	0.128888	0.226373	0.0740742	0.0615321	0.0714975	0.187189	0.020728	0.0454374	0.15607	0.0810762	0.205466	0.173782	0.205228	0.105738	0.291943	0.00811896	0.0500093	0.242423	0.0640052	0.0386292	0.15102	0.014387	0.0876598	0.164508	0.0208155	0.0254573	1.06254	0.313996	0.673004	1.07393	1.93907	5	5.645799
4000	-1487.859	-1642.997	155.1382	10	3.679778	0.246991	0.0479486	0.322309	0.259559	0.141766	0.0272742	0.353226	0.00154431	0.113763	0.0446352	0.000118988	0.0553444	0.0353597	0.0386984	0.382725	0.0557686	0.136957	0.285713	0.111693	0.090049	0.016911	0.237413	0.30748	0.00210582	0.176422	0.0674758	0.129536	0.0234236	0.0909493	0.32789	0.038107	0.313433	0.0004062	0.520946	0.0618813	0.1132	0.144913	0.0484067	0.066246	0.0508386	0.0448273	0.220415	0.797748	0.435856	0.763353	1.0843	1.71649	5	6.552418
5000	-1473.753	-1633.757	160.0041	10	3.808716	0.247484	0.0843559	0.229747	0.207825	0.0566669	0.171668	0.183417	0.0164023	0.188606	0.0587121	0.0464551	0.0760694	0.148241	0.0523502	0.36054	0.0931739	0.171504	0.154247	0.113243	0.0589869	0.00819369	0.158513	0.243727	0.0622723	0.207941	0.0502246	0.0104857	0.12142	0.0184012	0.229349	0.11288	0.0531959	0.0446618	0.28543	0.0482453	0.012045	0.119704	0.0165946	0.0190417	0.119564	0.123732	0.264072	1.34243	0.443535	0.768323	1.08438	1.70376	5	6.391821
6000	-1467.485	-1646.616	179.1308	10	2.845255	0.277869	0.0351819	0.174668	0.100277	0.13273	0.0372083	0.14988	0.0106381	0.124793	0.113618	0.0264774	0.0339107	0.0321711	0.0360397	0.241448	0.0924341	0.0367115	0.15287	0.11973	0.0340145	0.0696383	0.215273	0.201915	0.0573451	0.0560486	0.197917	0.0640091	0.165089	0.209214	0.0232756	0.131627	0.071994	0.0651386	0.248873	0.048194	0.066042	0.0160654	0.041045	0.144004	0.141374	0.0784502	0.0719237	0.843936	0.376925	0.722584	1.08164	1.81885	5	5.191063
7000	-1474.326	-1643.989	169.6638	10	3.955524	0.469376	0.0787032	0.225166	0.134903	0.0977121	0.0658149	0.183934	0.00246114	0.148777	0.0535997	0.0439677	0.0579558	0.0706998	0.0423348	0.463635	0.0703565	0.0903406	0.174231	0.104691	0.0767914	0.0210493	0.123003	0.371032	0.088712	0.00240492	0.193537	0.0519112	0.203386	0.110893	0.146718	0.0383877	0.243504	0.0628924	0.152949	0.0240248	0.0528974	0.163095	0.0318012	0.10087	0.07528	0.0331192	0.32299	0.884911	0.451902	0.773657	1.08441	1.69004	5	6.154817
8000	-1467.808	-1636.886	169.0778	10	3.216762	0.362829	0.00768613	0.336027	0.124739	0.0162222	0.123537	0.142011	0.0130922	0.179527	0.0734616	0.00694257	0.0948663	0.0515538	0.0564548	0.188281	0.0376906	0.122321	0.230329	0.130563	0.159815	0.0622349	0.207856	0.252291	0.0564885	0.0114519	0.0304759	0.12046	0.189792	0.236312	0.0785036	0.00511288	0.147184	0.0815525	0.453646	0.198329	0.175444	0.0854158	0.0174235	0.0280609	0.0441555	0.0401082	0.0437964	1.03794	0.405366	0.742865	1.0834	1.76837	5	6.061987
9000	-1491.012	-1651.594	160.5814	10	3.102357	0.276502	0.0151533	0.200389	0.247125	0.0240406	0.0790442	0.250448	0.0687521	0.154039	0.0369651	0.0438747	0.0127095	0.10691	0.0842886	0.256235	0.077327	0.139213	0.225877	0.178336	0.054909	0.023658	0.136049	0.118632	0.178266	0.130647	0.00569992	0.0888717	0.216011	0.00358888	0.0878295	0.028467	0.194652	0.0420315	0.392874	0.308816	0.184499	0.0181557	0.0866931	0.118862	0.141269	0.0900784	0.0829409	1.06359	0.397029	0.737042	1.08298	1.78295	5	6.274322
