Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	brlens[92]	brlens[93]	brlens[94]	brlens[95]	brlens[96]	brlens[97]	brlens[98]	brlens[99]	brlens[100]	brlens[101]	brlens[102]	brlens[103]	brlens[104]	brlens[105]	brlens[106]	brlens[107]	brlens[108]	brlens[109]	brlens[110]	brlens[111]	brlens[112]	brlens[113]	brlens[114]	brlens[115]	brlens[116]	brlens[117]	brlens[118]	brlens[119]	brlens[120]	brlens[121]	brlens[122]	brlens[123]	brlens[124]	brlens[125]	brlens[126]	brlens[127]	brlens[128]	brlens[129]	brlens[130]	brlens[131]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-4504.915	-4604.283	99.3675	10	3.67383	0.0692255	0.217818	0.0749212	0.112515	0.338064	0.165716	0.00597956	0.0445389	0.0370897	0.218351	0.012915	0.0543524	0.162705	0.0704279	0.0356874	0.0992674	0.221058	0.0725361	0.0067553	0.0216284	0.059095	0.182554	0.198277	0.0356364	0.0784635	0.127389	0.0476222	0.038668	0.0171269	0.0788413	0.0100333	0.373919	0.104032	0.0705027	0.105598	0.140084	0.000178807	0.0497792	0.171391	0.00104311	0.0211252	0.0359317	0.128646	0.00915494	0.0668427	0.148442	0.106551	0.0373943	0.115832	0.123027	0.0116788	0.0149297	0.0576744	0.357978	0.098719	0.086492	0.0577669	0.00632309	0.0757028	0.0650379	0.0518847	0.0272756	0.0233917	0.0926914	0.223636	0.0236038	0.000441257	0.146192	0.00771752	0.0695578	0.203997	0.0654513	0.508756	0.0553372	0.0927413	0.112506	0.0444136	0.00400135	0.0596614	0.0358893	0.0659233	0.223327	0.10281	0.0397463	0.0375536	0.00614614	0.0368339	0.0962742	0.21498	0.0624683	0.0151286	0.0678466	0.0397534	0.0249084	0.0701124	0.00139755	0.0555271	0.23143	0.00950814	0.461828	0.00372716	0.307422	0.0364047	0.0562048	0.0339919	0.0280449	0.00319829	0.0709073	0.129283	0.111726	0.0369606	0.0116947	0.0503134	0.402285	0.264545	0.110641	0.223523	0.0373304	0.107286	0.0970953	0.353343	0.0966808	0.00677325	0.0639737	0.00171073	0.314688	0.153319	0.0173358	0.0622187	0.117621	0.0855029	0.435494	0.763117	1.08429	1.7171	5	12.66543
1000	-2535.963	-2551.811	15.84801	1	0.8447746	0.0321534	0.0691368	0.894693	0.075773	0.369067	0.267582	0.122383	0.312413	0.022429	0.116747	0.0966839	0.152848	0.0493264	0.0457467	0.0837138	0.00949569	0.0281581	0.160527	0.256844	0.0928993	0.121358	0.0437354	0.0505417	0.0324752	0.166021	0.12139	0.262167	0.0545012	0.0341225	0.0448552	0.00824677	0.0674345	0.0513578	0.0415137	0.0407344	0.0137495	0.00159954	0.0706811	0.134164	0.0290442	0.0431185	0.167016	0.190307	0.0182062	0.0920681	0.0900916	0.0217979	0.0153158	0.0495297	0.079532	0.102353	0.285667	0.36946	0.300686	0.110583	0.379405	0.276624	0.00240712	0.120331	0.0839945	0.0773579	0.0709241	0.0812003	0.0575118	0.595647	0.235272	0.00010569	0.0172271	0.0415089	0.0294596	0.0143028	0.085751	0.0165261	0.0222146	0.143232	0.0241668	0.0246762	0.0137718	0.0987692	0.0480993	0.0244958	0.101611	0.144377	0.11521	0.0121972	0.00301819	0.163833	0.00846778	0.0463672	0.00438291	0.0127384	0.017356	0.395879	0.0591565	0.0543791	0.00306522	0.0451461	0.747216	0.0551842	0.686064	0.0112841	0.122803	0.0746908	0.0236259	0.0223029	0.020948	0.0040899	0.0329276	0.132558	0.145587	0.0449133	0.00281714	0.0234286	0.0866968	0.228442	0.0528303	0.239667	0.00484821	0.431935	0.0517986	0.0367329	0.0160529	0.00465319	0.220682	0.000406285	0.0189908	0.0367144	0.0397685	0.0244582	0.0412873	0.0068947	0.105044	0.424555	0.968629	2.50177	3	14.04951
2000	-2498.169	-2524.551	26.38229	1	0.7564171	0.0258306	0.0494609	0.662026	0.0558171	0.353292	0.162696	0.12072	0.277073	0.022429	0.08613	0.077623	0.165921	0.0493264	0.047514	0.100108	0.0121576	0.0281581	0.146399	0.236571	0.0898848	0.121358	0.0181656	0.0239156	0.0324752	0.15271	0.13013	0.159529	0.0406483	0.0341225	0.0448552	0.00904905	0.0674345	0.0391537	0.0579142	0.0407344	0.0113585	0.00263264	0.0706811	0.112322	0.0290442	0.0431185	0.127242	0.190307	0.0113666	0.0920681	0.0900916	0.0217979	0.0190162	0.0358897	0.062693	0.0899398	0.285667	0.36946	0.336302	0.0945235	0.379405	0.276624	0.00240712	0.14654	0.111126	0.103129	0.0898013	0.12197	0.0575118	0.275601	0.235272	0.000129797	0.0099619	0.0383846	0.0361226	0.0143028	0.0409789	0.0165261	0.0211664	0.160066	0.0365232	0.0243299	0.0116952	0.112423	0.071133	0.0293121	0.101611	0.144377	0.119892	0.014026	0.00301819	0.110278	0.00652416	0.0237703	0.00438291	0.0621128	0.017356	0.395879	0.0693964	0.0543791	0.00333013	0.0451461	0.747216	0.0774094	0.806758	0.0103643	0.0960247	0.0218034	0.0264495	0.0223029	0.0208091	0.0040899	0.0444672	0.0842028	0.0964024	0.0439765	0.00281714	0.0188797	0.0866968	0.228442	0.0528303	0.180916	0.00470259	0.431935	0.037872	0.0367329	0.0173772	0.00229064	0.229547	0.000406285	0.00929107	0.0367144	0.0273664	0.0175611	0.0415477	0.00393478	0.0862573	0.388977	0.944106	2.58066	3	13.00492
3000	-2416.876	-2444.766	27.88998	1	0.7887982	0.0287421	0.037954	0.623382	0.078196	0.377704	0.310016	0.112989	0.416467	0.012471	0.0683751	0.0372745	0.165921	0.0593966	0.0305936	0.125598	0.0091832	0.0152892	0.144708	0.272079	0.0955697	0.0920205	0.00750924	0.0320463	0.0271138	0.207008	0.193626	0.160124	0.0901867	0.0350104	0.0179916	0.00556335	0.0646032	0.0365535	0.0412447	0.0634541	0.0157598	0.00312939	0.0956465	0.0719591	0.0290442	0.0475508	0.0563625	0.185515	0.00508304	0.124558	0.0836673	0.0272861	0.0600136	0.00645042	0.0531471	0.0806325	0.32525	0.458796	0.336302	0.0744725	0.243707	0.245043	0.00598267	0.125053	0.102508	0.0986159	0.089419	0.169823	0.0400704	0.190467	0.114225	4.95624e-05	0.00983824	0.0356122	0.0399725	0.0264938	0.0516802	0.0149154	0.0207757	0.197535	0.117586	0.0552548	0.0113136	0.0512862	0.158775	0.0418512	0.148419	0.168916	0.116589	0.0322094	0.00102031	0.11594	0.00640385	0.0172899	0.0214302	0.0700874	0.0263172	0.0531762	0.133434	0.0258826	0.00441262	0.0406903	0.661726	0.0388013	0.712756	0.010538	0.0914244	0.0311171	0.0625639	0.0618686	0.03247	0.00293135	0.0872808	0.0964311	0.105011	0.0195487	0.00421236	0.0311909	0.0755297	0.176351	0.121878	0.0891683	0.00628508	0.323677	0.0634138	0.0277389	0.0299332	0.00784727	0.247504	0.000303823	0.00922025	0.0530882	0.0332014	0.015851	0.0394701	0.00391335	0.0931729	0.402585	0.953802	2.55044	3	12.85091
4000	-2366.029	-2384.043	18.0134	1	0.917724	0.00326995	0.0781996	0.793142	0.059441	0.436101	0.195836	0.0221233	0.140866	0.0125492	0.0830425	0.0139292	0.104707	0.14995	0.0400786	0.0540032	0.0129092	0.0717152	0.0681313	0.23748	0.127983	0.00965196	0.0162697	0.0329253	0.0189423	0.178253	0.311778	0.10063	0.0843864	0.0310856	0.0239557	0.0368744	0.0679518	0.0301528	0.0127817	0.0115568	0.0350798	0.0152709	0.35315	0.00482435	0.142922	0.222974	0.116032	0.0467507	0.00806682	0.0376036	0.0516183	0.0103609	0.0220794	0.00799138	0.335775	0.0564936	0.596169	0.158246	0.26038	0.0480058	0.174107	0.315996	0.019605	0.136098	0.0873032	0.0289421	0.0459304	0.036158	0.193958	0.126533	0.208614	0.000275477	0.0690224	0.0409379	0.0109228	0.132949	0.101109	0.246867	0.0469421	0.0740117	0.0102745	0.0683267	0.0708425	0.0418922	0.0499636	0.0777325	0.0613998	0.0887708	0.215442	0.268285	0.00068747	0.0559358	0.023831	0.0797498	0.082781	0.124035	0.20046	0.104277	0.067669	0.0269604	0.0231323	0.0338135	0.799133	0.0287068	0.653263	0.0329991	0.102903	0.228919	0.062684	0.0367699	0.00628822	0.0216523	0.133987	0.0244253	0.0729956	0.0197269	0.0193263	0.110985	0.0808577	0.123149	0.276415	0.0181354	0.00682787	0.274727	0.0485135	0.0411058	0.0515405	0.0244176	0.303067	0.0016637	0.0139112	0.0116215	0.00617251	0.0323218	0.0594003	0.022075	0.120259	0.450544	0.984907	2.44429	3	13.82567
5000	-2365.895	-2393.378	27.4826	1	1.160723	0.00160309	0.10326	0.887889	0.102284	0.565585	0.337901	0.0246612	0.19896	0.00883394	0.0432428	0.0473997	0.14	0.0541545	0.0651567	0.161029	0.0483107	0.0602108	0.127748	0.155457	0.0951182	0.0063487	0.0110579	0.0488802	0.0313005	0.0469176	0.213823	0.0689865	0.0149727	0.0359943	0.0761228	0.0345384	0.0589584	0.0389767	0.00640366	0.0223535	0.0105391	0.0146819	0.194417	0.103781	0.0838012	0.300769	0.0724231	0.0468629	0.0678238	0.132892	0.0167696	0.00255128	0.024167	0.0047381	0.158128	0.0767176	0.238267	0.125705	0.055432	0.0307914	0.137632	0.140417	0.042896	0.0906625	0.0867493	0.0164594	0.0905247	0.116298	0.11723	0.0611996	0.144829	0.000132708	0.0568165	0.123684	0.0497802	0.0471248	0.0694226	0.287039	0.0258352	0.0680213	0.0100778	0.113307	0.0645907	0.00350687	0.0239082	0.0211027	0.0490041	0.0735531	0.121121	0.592793	9.78296e-05	0.0553218	0.0765443	0.21751	0.0344141	0.0973023	0.115937	0.0646239	0.105809	0.0764848	0.11901	0.0901777	0.655372	0.0779807	0.505654	0.01214	0.0545367	0.165502	0.0410475	0.0276196	0.00992214	0.228257	0.153606	0.0844454	0.0211111	0.0139502	0.0266618	0.173891	0.0719184	0.0818112	0.0352304	0.00365602	0.00140388	0.282449	0.003263	0.107194	0.0292312	0.045972	0.0511825	0.00159947	0.00637078	0.0499491	0.0134437	0.10582	0.0557375	0.051878	0.167863	0.52025	1.02225	2.28964	3	12.85445
6000	-2335.133	-2368.666	33.53282	1	1.174101	0.0244633	0.0726459	0.705815	0.0620966	0.273005	0.0955022	0.0112138	0.10694	0.00623673	0.158932	0.0315652	0.0249132	0.000900893	0.0396247	0.116794	0.0231861	0.0413032	0.146162	0.207121	0.120222	0.03899	0.00642012	0.0119181	0.0424921	0.103556	0.131613	0.0729865	0.081429	0.0531295	0.0458885	0.0551717	0.0230189	0.00618598	0.0876491	0.0772161	0.0166742	0.136956	0.135914	0.0331554	0.0595141	0.238728	0.124373	0.113625	0.0173945	0.0139871	0.0266898	0.0693575	0.0324224	0.00463794	0.100839	0.104552	0.2787	0.190191	0.0279284	0.00411855	0.133494	0.146365	0.0282034	0.173492	0.0320452	0.0234972	0.121886	0.0905368	0.0604829	0.167957	0.129715	0.194335	0.0862584	0.082666	0.228158	0.0393176	0.0330711	0.0319032	0.000243656	0.0405588	0.00851125	0.115084	0.039514	0.00133817	0.133506	0.0974577	0.0624811	0.237097	0.238891	0.222529	7.87605e-05	0.0821976	0.0216553	0.0490388	0.0307402	0.0414848	0.0253098	0.124977	0.0107419	0.0338155	0.141358	0.090017	0.460226	0.0798025	0.53475	0.031791	0.0755318	0.0298131	0.0098312	0.122049	0.0314732	0.0906609	0.0612616	0.15316	0.0613882	0.0198868	0.0745479	0.022493	0.058634	0.115935	0.266122	0.0741251	0.110933	0.216054	0.0258004	0.0494039	0.0242339	0.0335518	0.204494	0.0386202	0.215188	0.0417898	0.0561124	0.186671	0.105853	0.0778299	0.170328	0.523483	1.02377	2.28242	3	12.24809
7000	-2350.399	-2377.44	27.04037	1	0.5451236	0.0297977	0.151287	0.592185	0.0514669	0.377502	0.476205	0.0177081	0.0831822	0.00831877	0.142776	0.0925676	0.00540688	0.00529342	0.023849	0.0653223	0.0317484	0.134732	0.158986	0.131378	0.0751035	0.0145135	0.00278123	0.0303076	0.048724	0.17081	0.0796501	0.0851756	0.0418162	0.0299274	0.0501623	0.00653667	0.0635999	0.00771536	0.0299157	0.120544	0.0416758	0.126816	0.223883	0.0252116	0.1143	0.0770127	0.080234	0.17761	0.0134655	0.0854496	0.0753001	0.00412357	0.0178992	0.0392642	0.1988	0.0587673	0.24146	0.0464565	0.0119231	0.0619483	0.344416	0.151385	0.0526665	0.11355	0.0762837	0.0601661	0.073092	0.0943731	0.275971	0.0981289	0.194653	0.0861791	0.0559136	0.0271101	0.0532192	0.0319052	0.00352552	0.00842814	0.0121833	0.0207972	0.0622313	0.0479521	0.081775	0.0942302	0.0716633	0.0574899	0.0574939	0.21228	1.1267	0.241336	0.000899119	0.0312753	0.00205843	0.0243397	0.00570465	0.0258684	0.0642117	0.0465385	0.00557521	0.00439605	0.0387861	0.0892956	0.23864	0.109764	0.380004	0.138004	0.108381	0.05317	0.0893887	0.211276	0.102793	0.304693	0.0263485	0.0977372	0.111713	0.0545472	0.016754	0.00979415	0.0237617	0.0728253	0.234665	0.0455412	0.0255299	0.182297	0.00566573	0.120151	0.040736	0.135659	0.298159	0.00209164	0.00227214	0.0753412	0.0633161	0.104851	0.06942	0.020305	0.0420259	0.280357	0.850515	2.8271	3	12.96024
8000	-2337.836	-2355.605	17.76939	1	0.6508049	0.0151867	0.053037	1.06567	0.0586818	0.24772	0.235204	0.0121267	0.191718	0.00367378	0.0502258	0.043086	0.000538527	0.0187123	0.00646224	0.0876462	0.0682048	0.042594	0.038591	0.240296	0.111295	0.114257	0.00920405	0.0749647	0.0273576	0.217555	0.0339546	0.246014	0.0802542	0.0662549	0.0131339	0.0109045	0.0245851	0.0124137	0.0462692	0.065856	0.0317978	0.0754563	0.205663	0.183021	0.260092	0.0376608	0.0466385	0.149196	0.0263855	0.108593	0.0572104	0.0148121	0.019724	0.00727679	0.152536	0.145637	0.282094	0.0532817	0.102654	0.00413518	0.18027	0.0393177	0.0477813	0.0971891	0.0548281	0.0467546	0.184377	0.0689508	0.0817995	0.163681	0.14413	0.235844	0.0116128	0.0107093	0.0545554	0.0341892	0.00475961	0.0050972	0.117999	0.0354443	0.0551279	0.0307326	0.0426209	0.206158	0.0393824	0.0401133	0.0693332	0.201349	1.06091	0.282269	0.0100706	0.0277933	0.00295103	0.0302702	0.111559	0.0188913	0.0502272	0.124179	0.0145832	0.0131189	0.028734	0.0760118	0.0961241	0.139732	0.867883	0.0588171	0.149981	0.0116836	0.00343398	0.247571	0.104629	0.121542	0.0220544	0.143903	0.0726324	0.0445774	0.0445251	0.0981571	0.0602494	0.0424397	0.119655	0.0177579	0.0888222	0.209267	0.00804166	0.0727683	0.0161012	0.0247215	0.636785	0.115454	0.00558788	0.0815052	0.0906377	0.0455904	0.0530672	0.207879	0.0637277	0.339364	0.905179	2.69173	3	13.87677
9000	-2337.604	-2350.166	12.56141	1	1.136995	0.0271165	0.0820034	0.713597	0.0583345	0.47147	0.168446	0.012667	0.220442	0.00292662	0.0437763	0.0434477	0.0395562	0.124986	0.0761127	0.0913074	0.0724411	0.145497	0.188052	0.310097	0.127967	0.0669824	0.0378368	0.0325468	0.0246013	0.182799	0.00521488	0.103526	0.0375999	0.0334178	0.0291957	0.00237394	0.0260959	0.0134115	0.0248171	0.0540208	0.117366	0.209452	0.220354	0.0526861	0.178943	0.0740314	0.0548468	0.0685505	0.00357326	0.0818315	0.0690768	0.0460387	0.0317164	0.0115092	0.278303	0.133634	0.345167	0.021021	0.048365	0.0186134	0.19755	0.072717	0.074706	0.0664226	0.253709	0.127146	0.0762743	0.100437	0.271606	0.173239	0.224084	0.0855516	0.100378	0.00974268	0.0515813	0.0248919	0.00838968	0.00229478	0.0385642	0.0165404	0.0203831	0.0574455	0.074034	0.262983	0.346208	0.200207	0.0570173	0.300385	0.566323	0.362983	0.00442441	0.0739131	0.0229282	0.0250198	0.165639	0.0539039	0.0709211	0.117234	0.0831244	0.0675796	0.114754	0.0341182	0.0296693	0.0918568	0.585842	0.0594765	0.0865936	0.00240026	0.0095493	0.101764	0.113173	0.19972	0.00967213	0.153769	0.0730085	0.0159214	0.182887	0.0285499	0.00904342	0.119051	0.139173	0.0317393	0.124672	0.19327	0.0887618	0.0915759	0.0303443	0.033795	0.510586	0.0541129	0.0639324	0.0129777	0.0617892	0.155191	0.0553484	0.0126173	0.16345	0.514382	1.01945	2.30272	3	14.34895
