Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-534.0475	-565.435	31.38753	10	0.1921619	0.0783571	0.293439	0.383368	0.0876654	0.0374156	0.363824	0.0585644	0.209337	0.04067	0.23213	0.388551	0.175494	0.376848	0.0661864	0.0200128	0.0438014	0.127111	0.0542467	0.149451	0.0146104	0.0295785	0.163902	0.00928467	0.0254072	0.595685	0.0370202	0.0752793	0.0964883	0.0346428	0.201118	0.110037	0.115652	0.224713	0.117727	0.102988	0.028165	0.0362145	0.000400803	0.0293796	0.362893	3.60733	5	5.204987
1000	-359.7211	-379.4886	19.76751	2	0.8891504	0.0555085	0.0656499	0.115451	0.067834	0.133721	0.00879186	0.0900721	0.0813182	0.0484348	0.127935	0.172664	0.170465	0.0114966	0.0276601	0.351028	0.0306298	0.0571825	0.0586547	0.0145386	0.0828273	0.0365481	0.264677	0.121011	0.0609473	0.0911109	0.0516639	0.0384107	0.0192079	0.0204639	0.295322	0.111366	0.0706953	0.283245	0.743955	0.0636712	0.156876	0.104189	0.114341	0.440696	0.978896	2.46607	4	4.305222
2000	-326.1282	-376.8868	50.7586	10	0.3490019	0.0131363	0.0753556	0.0375572	0.0176221	0.0129295	0.0665842	0.14662	0.0134872	0.0226045	0.0933052	0.128973	0.0556714	0.00276857	0.0372205	0.218633	0.040071	0.0204241	0.0163828	0.000224722	0.0590887	0.0407269	0.124861	0.0100637	0.0619017	0.0132784	0.146502	0.0625984	0.131093	0.0335378	0.264442	0.139611	0.389251	0.0270132	0.246005	0.0180361	0.0636838	0.0277359	0.0100961	0.142779	0.669627	3.1775	5	2.879002
3000	-336.7885	-381.8653	45.0768	10	2.662361	0.0768051	0.311382	0.0416263	0.0217063	0.0600294	0.0267824	0.095278	0.0349044	0.0801228	0.00595727	0.110389	0.170583	0.0602781	0.0736191	0.269809	0.0718043	0.0770682	0.0329594	0.0529662	0.0270548	0.00514103	0.0698594	0.0987572	0.144113	0.636459	0.0020417	0.031685	0.215916	0.0845039	0.102732	0.0351711	0.177813	0.00671105	0.395684	0.139741	0.211073	0.0570532	0.361329	0.710936	1.08025	1.84748	5	4.115579
4000	-324.0338	-384.7253	60.69157	10	0.8306007	0.012114	0.04222	0.0741523	0.0202988	0.0813325	0.00217221	0.178664	0.0438076	0.00686964	0.0700593	0.00805147	0.0659927	0.00318419	0.00545798	0.131307	0.0521858	0.0638251	0.00118373	0.0085349	0.105126	0.127864	0.169534	0.0818041	0.0504173	0.255128	0.0578314	0.00380882	0.00309714	0.183833	0.133072	0.0819891	0.0361762	0.0403579	0.27185	0.00981292	0.0764689	0.0334155	0.102052	0.419168	0.965086	2.51369	5	2.593001
5000	-340.1528	-387.3672	47.21441	10	1.840152	0.0616215	0.0828293	0.0449477	0.0407309	0.117324	0.0602873	0.247512	0.00793857	0.0736406	0.0564891	0.123523	0.186124	0.0157159	0.0834672	0.155992	0.0371961	0.0023105	0.0143236	0.0106221	0.0579383	0.0355097	0.19266	0.0327127	0.00966753	0.134292	0.228559	0.0638486	0.12732	0.0741235	0.197001	0.0372975	0.197074	0.049488	0.270732	0.00979326	0.201102	0.105701	0.273417	0.636863	1.06542	2.0243	5	3.447414
6000	-335.8503	-386.9307	51.08041	10	2.203228	0.063027	0.0468605	0.0226348	0.011522	0.0248829	0.081229	0.0842471	0.0423346	0.0160227	0.0829518	0.163245	0.128857	0.0143206	0.0620551	0.27382	0.0189655	0.0446968	0.0220918	0.00712651	0.197512	0.0157692	0.0476736	0.0161693	0.237952	0.0431984	0.0440893	0.18453	0.295559	0.0339607	0.261062	0.047218	0.0788398	0.0640114	0.25496	0.182886	0.0245541	0.0250404	0.316384	0.67502	1.07433	1.93426	5	3.265877
7000	-327.1316	-380.7194	53.58782	10	1.079332	0.0440903	0.0187205	0.0255539	0.0139676	0.0386127	0.137124	0.287164	0.0601542	0.0386343	0.103314	0.147679	0.0359979	0.00224156	0.0286919	0.208151	0.0465619	0.00156104	0.0256849	0.00953877	0.00235446	0.0841721	0.110643	0.0936921	0.156058	0.0373275	0.0487461	0.0392162	0.0484474	0.0917683	0.15548	0.0710779	0.237253	0.0748969	0.316375	0.370856	0.088738	0.0133909	0.152506	0.499364	1.01199	2.33614	5	3.313936
8000	-338.6935	-369.891	31.1975	2	1.064568	0.0806915	0.0909654	0.087301	0.0417172	0.04244	0.000963235	0.219239	0.0325035	0.019431	0.0928869	0.044949	0.094332	0.0127938	0.084332	0.279779	0.138266	0.0317995	0.0307027	0.0169112	0.0730386	0.125643	0.0419968	0.0524921	0.0794852	0.307779	0.0172562	0.094805	0.030481	0.0464208	0.0604379	0.00559447	0.0421243	0.115558	0.605123	0.165953	0.0215428	0.0234322	0.149654	0.495335	1.00993	2.34509	4	3.351165
9000	-349.1382	-378.8163	29.67809	2	2.558963	0.023952	0.0830722	0.00135062	0.0049934	0.083589	0.142708	0.175964	0.0643531	0.0397184	0.0547185	0.116599	0.116626	0.000967905	0.0287612	0.530763	0.197174	0.032626	0.000169891	0.0327399	0.0174215	0.0401191	0.0979776	0.0677596	0.0697927	0.177482	0.00828572	0.0428495	0.0296935	0.039047	0.114847	0.049876	0.137666	0.032086	0.554119	0.230928	0.0385999	0.0615284	0.351976	0.70376	1.07927	1.865	4	3.540926
