Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-438.6693	-480.2216	41.55238	10	0.351555	0.31064	0.0413314	0.0967571	0.0266987	0.0233792	0.0876425	0.0155396	0.0219962	0.0396657	0.225314	0.0263067	0.134068	0.00486089	0.159581	0.182536	0.0151211	0.22758	0.0254539	0.0239935	0.418328	0.182751	0.165998	0.0666261	0.219016	0.0910049	0.18383	0.18196	0.0484513	0.152515	0.0946734	0.0233017	0.187311	0.0137911	0.174599	0.247311	0.0250799	0.177877	0.123221	0.500422	0.056953	0.0855745	0.0103901	0.144764	0.673049	3.1718	5	5.109061
1000	-269.6772	-314.7791	45.10186	10	1.759554	0.162335	0.0436553	0.0254111	0.0686063	0.111148	0.0477661	0.0958637	0.124142	0.0953227	0.0419534	0.0488073	0.322523	0.232594	0.149858	0.14681	0.0844174	0.240053	0.00962216	0.0332333	0.0228873	0.0521747	0.0385307	0.055978	0.0467897	0.121408	0.00985569	0.0471431	0.292841	0.0150193	0.0195002	0.107787	0.644975	0.153439	0.202113	0.0796716	0.0959766	0.0533898	0.116388	0.079572	0.0282986	0.0393367	0.26278	0.62674	1.06262	2.04786	5	4.407196
2000	-272.4217	-322.7105	50.28883	10	2.317397	0.153674	0.0101186	0.0867625	0.101581	0.0367896	0.0571632	0.0664441	0.0987956	0.0185083	0.0351273	0.000369799	0.188634	0.17108	0.101102	0.0704337	0.130531	0.177601	0.178144	0.00227933	0.00322037	0.0130841	0.00520612	0.0366059	0.0250085	0.0044445	0.0131221	0.0167684	0.150135	0.250459	0.082213	0.336851	0.189271	0.171948	0.18579	0.0965076	0.0235432	0.111311	0.0316141	0.240239	0.0898349	0.0440879	0.328431	0.685014	1.07623	1.91033	5	3.806403
3000	-277.684	-319.2703	41.58626	10	0.5915942	0.17724	0.00460223	0.0636488	0.000583599	0.200684	0.00670829	0.0608778	0.0100417	0.0575859	0.100957	0.115766	0.0532125	0.0998751	0.161147	0.044673	0.106656	0.153538	0.0161596	0.0163158	0.0378897	0.0471419	0.0754513	0.0710819	0.0647598	0.153515	0.114449	0.0144952	0.0954086	0.0599627	0.0632174	0.111152	0.518764	0.115187	0.112674	0.0434259	0.211619	0.176852	0.731559	0.0893125	0.005601	0.0426864	0.0513791	0.307567	0.876969	2.76408	5	4.406475
4000	-268.6357	-315.0585	46.4228	10	1.274842	0.244346	0.00139219	0.0526388	0.00260832	0.305046	0.0254869	0.00254948	0.126616	0.00132336	0.0695671	0.0719566	0.0816781	0.0474381	0.0201069	0.0570997	0.0488868	0.115372	0.0743265	0.0154007	0.0560145	0.0226837	0.0569668	0.260648	0.0660188	0.309116	0.0653781	0.0362177	0.053779	0.0469466	0.20793	0.320674	0.0987207	0.0577342	0.118115	0.128486	0.0244964	0.0572377	0.250493	0.448029	0.0634873	0.0176423	0.188354	0.546217	1.03392	2.23151	5	4.130652
5000	-252.1565	-306.2482	54.09171	10	1.90598	0.147863	0.053001	0.0336312	0.0946419	0.180317	0.119013	0.0192979	0.0217073	0.000976838	0.105513	0.0543987	0.0228245	0.0353977	0.000380486	0.150615	0.0891392	0.0484686	0.0155391	0.0399006	0.0566376	0.0119627	0.0798444	0.154992	0.0407166	0.0896198	0.111606	0.0150713	0.0269515	0.146652	0.0359967	0.26461	0.134423	0.0393478	0.255901	0.0561677	0.0362775	0.0939777	0.292965	0.489934	0.000906461	0.176469	0.281787	0.644628	1.06745	2.00614	5	3.843653
6000	-263.4877	-311.0435	47.55581	10	2.878374	0.182382	0.0378207	0.013218	0.0024382	0.0631354	0.0955519	0.0612743	0.0816503	0.0109317	0.0773624	0.020861	0.0633186	0.0754458	0.0110664	0.0966959	0.111786	0.0988722	0.00192076	0.000294044	0.09532	0.0677959	0.0352527	0.0508233	0.0236827	0.100143	0.250298	0.0041456	0.188933	0.0684549	0.167819	0.0585259	0.123142	0.0379419	0.0596757	0.223625	0.145006	0.101354	0.214885	0.0770523	0.0283404	0.0984298	0.379628	0.724564	1.08185	1.81396	5	3.326673
7000	-275.6599	-314.3632	38.70326	10	2.008438	0.140176	0.0434956	0.00856538	0.0511411	0.0716618	0.175041	0.00618703	0.0502828	0.0180918	0.0451084	0.0550261	0.11126	0.0120327	0.0899786	0.0264838	0.233888	0.00323509	0.0202794	0.0348634	0.0793202	0.00742828	0.0227348	0.171897	0.0920045	0.380857	0.0136203	0.177934	0.317548	0.0721485	0.118849	0.0462072	0.0985226	0.0255225	0.196544	0.223012	0.0990764	0.0337314	0.124543	0.49726	0.0156969	0.162095	0.29428	0.655908	1.0702	1.97961	5	4.173353
8000	-282.7972	-323.6936	40.89641	10	2.97805	0.0718321	0.00879209	0.161376	0.0206204	0.0388092	0.0641652	0.288988	0.0268357	0.0691949	0.0170516	0.14667	0.222827	0.100682	0.00663251	0.00432676	0.258045	0.365319	0.0554357	0.00775054	0.12513	0.00806089	0.00804668	0.124328	0.00759701	0.114701	0.108142	0.215223	0.118233	0.00377454	0.0659022	0.0203615	0.0100475	0.0398819	0.10305	0.145941	0.097974	0.231823	0.0182427	0.14755	0.463951	0.17167	0.387557	0.730305	1.08241	1.79973	5	4.284984
9000	-262.9089	-309.7358	46.82688	10	3.078371	0.0589781	0.0461069	0.0715049	0.0269453	0.0594854	0.0528251	0.0581918	0.0317281	0.0143447	0.0441948	0.1268	0.055791	0.0216978	0.0165952	0.0637609	0.686394	0.109324	0.0359587	0.0218528	0.110514	0.0350079	0.0136653	0.0634536	0.102425	0.0121716	0.0394587	0.0889098	0.059908	0.043589	0.00125269	0.570919	0.0163534	0.0169483	0.112063	0.0119666	0.0248607	0.134077	0.00022206	0.180135	0.496005	0.353443	0.395235	0.735777	1.08288	1.78611	5	4.089827
