Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-766.123	-792.9655	26.84253	10	0.3440609	0.0246324	0.0137365	0.146323	0.0205784	0.0834918	0.0756481	0.163057	0.144139	0.0322361	0.00198818	0.00883728	0.0531242	0.197023	0.338411	0.0522383	0.115043	0.0614817	0.105071	0.240496	0.117005	0.041582	0.131386	0.251501	0.0181841	0.0328039	0.331015	0.0320078	0.00953909	0.138931	0.662895	3.18863	5	2.833041
1000	-459.0492	-495.3204	36.27119	10	0.7609636	0.00855517	0.0861824	0.00800157	0.00652616	0.137571	0.0184219	0.0162695	0.00631032	0.0777871	0.0738747	0.0362775	0.103256	0.0535436	0.0309789	0.0599139	0.0879361	0.0331454	0.0629928	0.13359	0.293789	0.0100288	0.256931	0.0443248	0.109619	0.225056	0.0545505	0.179571	0.0872296	0.39093	0.945522	2.57632	5	2.215003
2000	-464.2794	-494.738	30.45859	10	2.740559	0.0166929	0.147352	0.0133414	0.00951174	0.104102	0.170725	0.0553277	0.0144808	0.073367	0.0565562	0.0576983	0.000717012	0.0924619	0.0100976	0.0240397	0.0409006	0.189534	0.0924508	0.0973708	0.0179362	0.0424178	0.287846	0.0275162	0.0298479	0.0117135	0.0982146	0.196635	0.368139	0.71607	1.0809	1.83489	5	1.978854
3000	-462.9383	-495.0441	32.10583	10	3.075126	0.00517048	0.0944941	0.0131315	0.0324056	0.214369	0.108607	0.00745157	0.0557069	0.0404355	0.0132087	0.0790081	0.0108712	0.025584	0.0103125	0.047248	0.0644978	0.0798672	0.0252844	0.0873462	0.238088	0.191581	0.318973	0.101891	0.0576755	0.178799	0.140902	0.0358811	0.394992	0.735604	1.08286	1.78654	5	2.278791
4000	-460.6243	-496.3102	35.68591	10	1.181429	0.00175668	0.167824	0.0477586	0.0019186	0.186079	0.0134784	0.0036967	0.0694041	0.0416672	0.03126	0.0197663	0.019052	0.0501066	0.0262026	0.0642252	0.122808	0.0847475	0.149002	0.244314	0.111229	0.00981113	0.224785	0.0660331	0.0969377	0.0461996	0.0354799	0.0696742	0.171672	0.525232	1.02458	2.27851	5	2.005217
5000	-464.9191	-500.2301	35.311	10	1.022621	0.0153693	0.185956	0.00306914	0.0128109	0.241946	0.0487486	0.0537848	0.0155205	0.0548827	0.0161774	0.0225778	0.0107747	0.048237	0.018423	0.122599	0.0486438	0.174277	0.0352592	0.140463	0.0800651	0.126379	0.360162	0.035276	0.0615577	0.00622073	0.017344	0.0865474	0.141445	0.483447	1.00365	2.37146	5	2.043071
6000	-479.709	-496.9012	17.19216	2	0.9655143	0.00448584	0.13988	0.00244419	0.0034041	0.359634	0.0469401	0.00279433	0.0636122	0.0962293	0.0767148	0.108088	0.029223	0.058826	0.0950698	0.0284042	0.0548641	0.180821	0.0971523	0.152746	0.0801432	0.183183	0.454852	0.0329838	0.0514512	0.12772	0.281887	0.0516919	0.130023	0.466135	0.994042	2.4098	4	2.865245
7000	-465.9559	-497.41	31.45405	10	1.79959	0.0123848	0.141981	0.00234437	0.0850016	0.212809	0.104983	0.00652882	0.0367824	0.0522246	0.0335326	0.0182757	0.0440345	0.0199789	0.0325216	0.0945841	0.0544348	0.0826827	0.00373668	0.0936353	0.0454723	0.0310622	0.468913	0.0673602	0.183625	0.0347745	0.0446416	0.10619	0.268119	0.631857	1.06406	2.03597	5	2.114496
8000	-475.0365	-498.8171	23.78058	10	1.88715	0.000425529	0.268502	0.0229575	0.109206	0.37803	0.123045	0.0560298	0.0467843	0.0143047	0.0473983	0.0298788	0.00566218	0.0602423	0.0614882	0.0161452	0.0654005	0.158834	0.385391	0.121815	0.0787176	0.144748	0.163683	0.0813228	0.144982	0.0217227	0.0142377	0.208353	0.279421	0.642451	1.06689	2.01124	5	2.829308
9000	-481.379	-504.8305	23.4515	2	0.8223553	0.0236192	0.0885703	0.00158767	0.00728643	0.140201	0.114994	0.00904395	0.000267114	0.0434901	0.0695826	0.0154528	0.0135001	0.00413685	0.0776931	0.0162492	0.00771677	0.189576	0.0828471	0.146078	0.106116	0.274639	0.233348	0.105072	0.0316673	0.0587143	0.0370448	0.327946	0.100306	0.415981	0.962962	2.52075	4	2.226441
