Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-248.572	-283.6198	35.04784	10	0.4832234	0.0892418	0.00406316	0.31868	0.062586	0.00558001	0.223815	0.0295289	0.054642	0.0248014	0.0445463	0.0298405	0.0314231	0.0122919	0.030322	0.240823	0.807667	2.92119	5	0.9310401
1000	-116.8978	-144.2803	27.3825	10	4.060245	0.231587	0.0536081	0.00184132	0.00480492	0.0100843	0.026229	0.174729	0.00201622	0.157675	0.409583	0.0458173	0.0305219	0.0763853	0.457641	0.777267	1.08439	1.6807	5	1.224882
2000	-118.4209	-147.4611	29.04019	10	0.8810042	0.141843	0.0147876	0.0337058	0.0626149	0.0442198	0.0283325	0.027013	0.0204781	0.228364	0.219417	0.165101	0.180963	0.103118	0.112643	0.437812	0.977099	2.47244	5	1.269957
3000	-119.681	-154.2595	34.57854	10	1.416593	0.0649816	0.0836915	0.102437	0.0024369	0.0301384	0.0186362	0.0355044	0.0557442	0.136862	0.244596	0.00829189	0.0807627	0.0240092	0.212146	0.574058	1.04512	2.16867	5	0.8880908
4000	-112.4174	-142.77	30.35259	10	2.082084	0.1669	0.0298973	0.0193475	0.00355506	0.00675523	0.0182466	0.036266	0.00683425	0.00855113	0.52905	0.108023	0.0352518	0.230236	0.30288	0.663468	1.07191	1.96174	5	1.198914
5000	-118.9718	-146.4296	27.45772	10	0.532873	0.0692128	0.0616548	0.0321301	0.00495863	0.0123255	0.0142483	0.0468273	0.00349117	0.00328611	0.526824	0.288213	0.176199	0.124943	0.0396306	0.272835	0.842788	2.84475	5	1.364314
6000	-123.718	-142.778	19.06003	2	2.710793	0.144555	0.00500665	0.00759299	0.0565194	0.0142958	0.00756764	0.029839	0.0120476	0.0101698	0.501055	0.153296	0.0213635	0.153686	0.365572	0.714144	1.08066	1.83962	4	1.116994
7000	-108.6648	-142.153	33.48816	10	2.392653	0.245657	0.00270589	0.0276277	0.0478533	0.00138965	0.0249079	0.0250267	0.0302997	0.00203931	0.269796	0.0432023	0.00141443	0.130551	0.336037	0.69118	1.0773	1.89548	5	0.8524707
8000	-107.1697	-139.6649	32.49515	10	1.876949	0.231878	0.00862356	0.015646	0.00831308	0.00335582	0.00114671	0.0572635	0.0115221	0.0109906	0.394284	0.0278883	0.0582703	0.164196	0.27813	0.641257	1.06658	2.01403	5	0.9933779
9000	-110.6021	-147.6747	37.07264	10	2.072917	0.0886012	0.0389138	0.0124963	0.042506	0.0315003	0.0121911	0.0865297	0.00149088	0.147774	0.286559	0.0185911	0.0596158	0.0205235	0.301826	0.66255	1.07171	1.96391	5	0.8472924
10000	-112.9925	-150.0215	37.02897	10	0.9316276	0.168445	0.0090012	0.0828546	0.0257214	0.0122263	0.0303908	0.00322019	0.0458016	0.109459	0.218418	0.0232573	0.00580539	0.0337775	0.123118	0.45519	0.987678	2.43401	5	0.7683778
11000	-105.7034	-140.3612	34.65782	10	1.166037	0.172163	0.0064336	0.0139799	0.0502534	0.00090387	0.0228807	0.0377934	0.00219522	0.127703	0.30832	0.0289167	0.124571	0.0973185	0.168844	0.521541	1.02286	2.28676	5	0.9934319
12000	-110.4363	-142.4805	32.04421	10	0.594674	0.196185	0.0154365	0.0368113	0.0206461	0.0102493	0.0207607	0.0113061	0.0382584	0.172409	0.502693	9.39634e-05	0.0775503	0.00311557	0.0520115	0.309299	0.878577	2.76011	5	1.105515
13000	-130.6145	-157.422	26.80749	10	0.5488995	0.347925	0.0253405	0.0691825	0.0198164	0.0116996	0.0491405	0.0407745	0.102092	0.0623408	0.369276	0.0376193	0.159333	0.277992	0.0427708	0.282645	0.852829	2.82176	5	1.572532
14000	-106.7135	-140.9661	34.25256	10	0.7389308	0.135151	0.00505501	0.000360829	0.000398365	0.000448276	0.0304521	0.0424824	0.0182346	0.130965	0.339933	0.10178	0.0286164	0.189102	0.0825158	0.381334	0.938483	2.59767	5	1.022978
15000	-112.1603	-144.5379	32.37761	10	3.331383	0.28686	0.0162706	0.0141308	0.000955299	0.0162411	0.0221963	0.0455192	0.0684769	0.11196	0.240231	0.0440784	0.118169	0.00283675	0.413378	0.748369	1.08373	1.75453	5	0.9879252
16000	-111.6461	-141.9731	30.32708	10	1.127452	0.199524	0.0325574	0.0250443	0.0537095	0.0168418	0.024678	0.0275097	0.0368756	0.274612	0.376391	0.108865	0.00164432	0.00789073	0.16166	0.511973	1.01828	2.30809	5	1.186143
17000	-107.5149	-141.8198	34.30491	10	1.302699	0.236624	0.00792846	0.00825568	0.00607016	0.014696	0.0181486	0.0103702	0.0409669	0.0132975	0.234719	0.110574	0.0829558	0.109807	0.193173	0.552043	1.03638	2.21841	5	0.8944119
18000	-126.2156	-145.7694	19.55384	2	3.265527	0.225646	0.00268247	0.0446944	0.000556571	0.0096993	0.0839209	0.00146574	0.107038	0.213521	0.281474	0.0929888	0.218072	0.0270595	0.408815	0.745245	1.08355	1.76239	4	1.308819
19000	-109.8051	-140.63	30.82488	10	1.672266	0.129434	0.0053751	0.0153048	0.0126359	0.00240995	0.0356989	0.00349829	0.0603274	0.107475	0.228883	0.0305002	0.13784	0.0843453	0.25075	0.614926	1.05912	2.07521	5	0.8537274
20000	-105.6121	-138.54	32.92788	10	2.382531	0.143589	0.00215535	0.0187386	0.000824556	0.0139708	0.0161629	0.00123679	0.0402491	0.160929	0.182616	0.0595743	0.0337624	0.0444162	0.335029	0.690369	1.07716	1.89744	5	0.7182256
21000	-113.9384	-142.9931	29.0547	10	1.696463	0.123299	0.008773	0.00232721	0.00435235	0.035379	0.0551915	0.0286222	0.00893512	0.155642	0.426845	0.120952	0.0383395	0.117039	0.25414	0.618296	1.06014	2.06742	5	1.125698
22000	-110.488	-143.114	32.626	10	1.712271	0.145232	0.0119086	0.0379967	0.0191219	0.0104056	0.0287486	0.0454275	0.00536085	0.106939	0.245002	0.0117593	0.0567062	0.0766412	0.256331	0.620457	1.06079	2.06242	5	0.8012489
23000	-112.8547	-141.7627	28.90807	10	4.21731	0.188061	0.0121817	0.00749391	0.00749873	0.00256972	0.0293997	0.0611045	0.0274264	0.197497	0.228186	0.0548548	0.229264	0.03339	0.465916	0.782404	1.08431	1.66737	5	1.078927
24000	-118.02	-146.959	28.93897	10	0.559739	0.233712	0.0397035	0.00479649	0.0120099	0.00150316	0.00530786	0.0345071	0.0147446	0.0986656	0.316089	0.00130331	0.219263	0.120798	0.0449254	0.289138	0.859302	2.80664	5	1.102403
