Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-613.3381	-644.2237	30.88563	10	0.3116525	0.00969298	0.0873049	0.0902282	0.442316	0.00665471	0.0637908	0.00227444	0.17922	0.0419065	0.000983241	0.0731113	0.0889648	0.0632013	0.155043	0.146973	0.0649527	0.052864	0.137869	0.0508859	0.0770292	0.0441425	0.153188	0.134978	0.0626961	0.122408	0.113924	0.0444801	0.00628805	0.113585	0.614863	3.26526	5	2.511084
1000	-202.1548	-236.2684	34.1136	10	1.515477	0.153457	0.0261249	0.0130817	0.0054847	0.0116047	0.0395925	0.00590868	0.00964932	0.0113672	0.00277155	0.0139922	0.0045191	0.00243841	0.00454749	0.00775935	0.00647388	0.272491	0.0133764	0.011235	0.0246305	0.482041	0.0158271	0.00155084	0.0709871	0.0285591	0.0459309	0.051501	0.227703	0.591112	1.05132	2.12987	5	1.336903
2000	-203.5959	-236.1338	32.53793	10	1.037844	0.195577	0.0217643	0.0247074	0.0121358	0.000560998	0.021479	0.0175129	0.0247836	0.000662831	0.00567638	0.0052696	0.000171616	0.00248835	0.0145132	0.0216313	0.00244508	0.0333845	0.0158509	0.0308637	0.1057	0.335153	0.819826	0.0372193	0.087785	0.00552443	0.00560627	0.000375928	0.144442	0.487838	1.006	2.36172	5	1.848667
3000	-197.5863	-231.6488	34.06252	10	3.045467	0.206503	0.0124523	0.00806861	0.0186928	0.0255151	0.000382812	0.0149913	0.00418758	0.00999086	0.00892638	0.00455726	0.00193077	0.00754942	0.00801751	0.00261405	0.0178887	0.0356961	0.0215674	0.00488762	0.0216434	0.041803	0.943944	0.295312	0.0619146	0.0207874	0.00669956	0.0772413	0.392749	0.734015	1.08273	1.7905	5	1.883765
4000	-194.2809	-232.4353	38.15441	10	1.703223	0.436953	0.140491	0.0065341	0.0105664	0.0182684	0.0345969	0.00952016	0.00163611	0.0160913	0.030471	0.0303244	0.00860339	0.00453193	0.00609834	0.0168719	0.00817697	0.555353	0.0575986	0.00945293	0.0209283	0.0119479	0.0245697	0.237724	0.00814159	0.104175	0.0108591	0.0155092	0.255079	0.619224	1.06042	2.06528	5	1.835995
5000	-191.6861	-234.1934	42.50728	10	1.431983	0.414072	0.256708	0.00290106	0.00590601	0.0347122	0.00276544	0.00324984	0.00587797	0.0069524	0.0108542	0.0210522	0.00337483	0.00426836	0.0108672	0.0235308	0.00702399	0.00153819	0.0531745	0.00344647	0.00330312	0.000792181	0.064537	0.0236099	0.0140714	0.02016	0.191228	0.141909	0.214621	0.576829	1.04616	2.16239	5	1.331886
6000	-201.8155	-243.2961	41.48054	10	1.695927	0.158705	0.0441214	0.0138442	0.0328553	0.0309617	0.0141035	0.0182772	0.00681233	0.00764548	0.0702352	0.00429146	0.0174084	0.000454377	0.00389808	0.0120821	0.0209687	0.0932522	0.0564837	0.273582	0.010302	0.0112444	0.056845	0.469425	0.0156737	0.0211879	0.0369469	0.215354	0.254065	0.618222	1.06012	2.06759	5	1.716961
7000	-204.9242	-240.8892	35.96507	10	0.8710816	0.608965	0.050029	0.022909	0.00819817	0.0267501	0.0685908	0.0161091	0.00713322	0.00476763	0.00321872	0.00998335	0.00811866	0.00376856	0.0061652	0.0142579	0.0146477	0.0137322	0.20526	0.0555554	0.0186982	0.0331087	0.00710998	0.0159005	0.0186839	0.101597	0.0136635	0.418319	0.11057	0.434252	0.974859	2.48032	5	1.77524
8000	-199.8302	-238.0762	38.24593	10	1.579621	0.414673	0.011206	0.0217038	0.011281	0.000178405	0.0239841	0.00687358	0.00114206	0.0204306	0.00194879	0.00786464	0.0170596	0.000164169	0.00403804	0.00409182	0.0523328	0.0468831	0.0325349	0.025351	0.0869632	0.000251325	0.0278689	0.30777	0.00229299	0.0198361	0.0487424	0.347475	0.237364	0.601294	1.05477	2.10657	5	1.544941
9000	-190.7549	-227.8392	37.08433	10	3.728367	0.123424	0.0952315	0.00772381	0.00372175	0.0175264	0.0513565	0.00500755	0.00914692	0.0146263	5.88818e-05	0.0138951	0.00162838	0.00670826	0.00279124	0.0100872	0.0149238	0.00578892	0.00375965	0.0116118	0.00200905	0.151552	0.0016207	0.0716419	0.0706314	0.0194727	0.0215315	0.700695	0.438788	0.765259	1.08434	1.71162	5	1.438172
10000	-190.4599	-231.3031	40.84327	10	1.926993	0.470462	0.030142	0.0153084	0.0012627	0.000595242	0.0356415	0.0113253	0.0107702	0.00912993	0.00264221	0.0200041	0.0172588	0.000754483	0.00124989	0.00800538	0.00517934	0.0104715	0.0616565	0.0165793	0.0688401	0.0400136	0.0300909	0.0166928	0.0454985	0.0291937	0.112839	0.300596	0.284401	0.647019	1.06805	2.00053	5	1.372203
11000	-196.7789	-232.5533	35.77446	10	3.899009	0.211229	0.0906979	0.00984799	0.0235322	0.0086028	0.0565481	0.00544154	0.0141771	0.00436059	0.00169694	0.0274872	0.0105348	0.0053334	9.36637e-05	0.0105726	0.0163048	0.0164849	0.0115619	0.0136897	0.0266492	0.0154493	0.193112	0.178509	0.0246753	0.0287545	0.0239752	0.427438	0.448727	0.771643	1.0844	1.69523	5	1.456759
12000	-193.6422	-233.4566	39.81442	10	3.029213	0.270592	0.0490422	0.000134713	0.000711191	0.0669862	0.0372941	0.0145721	0.00126722	0.00698409	0.00370784	0.0182163	0.00163954	0.00166065	0.0212716	0.0194514	0.0305265	0.0636955	0.0164467	0.0162828	0.248584	0.00320315	0.00837029	0.0040796	0.016753	0.606169	0.0022816	0.00257146	0.391509	0.733133	1.08266	1.7927	5	1.532495
13000	-185.1221	-226.6111	41.48902	10	0.5668763	0.495235	0.0373137	0.00348571	0.00616982	0.00699289	0.0659631	0.0163689	0.00244992	5.86409e-05	0.00209966	0.00778276	0.00268054	0.00703866	0.00392609	0.00231969	0.00193028	0.0061336	0.000739076	0.0100583	0.459542	0.00396877	0.0285153	0.0412039	0.017406	0.180789	0.00871271	0.068662	0.0463564	0.293351	0.863431	2.79686	5	1.487546
