Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-613.0754	-617.6772	4.601795	10	1.273683	0.0468805	0.132855	0.116997	0.0317084	0.110747	0.00597307	0.173701	0.0648141	0.0638932	0.229228	0.14	0.0465811	0.068484	0.203352	0.103033	0.0968635	0.0989987	0.161287	0.397791	0.476166	0.0273536	0.202429	0.123822	0.0383407	0.034801	0.0123182	0.0236227	0.022711	0.0161847	0.0170269	0.219273	0.111412	0.117617	0.0947228	0.186663	0.117137	0.0125627	0.188152	0.545971	1.03382	2.23206	5	4.147355
1000	-425.0089	-429.8683	4.8594	1	2.932222	0.0444484	0.0587777	0.0105934	0.00490774	0.117232	0.0472175	0.150339	0.102	0.0299542	0.103119	0.0260929	0.0504573	0.0507205	0.159096	0.0199352	0.0451896	0.039947	0.116017	0.0619547	0.251728	0.0218578	0.0191072	0.414012	0.132172	0.0446496	0.167978	0.0163807	0.182625	0.0488049	0.0820163	0.424037	0.0283446	0.0718924	0.0830634	0.169642	0.119382	0.0341165	0.38395	0.727705	1.08216	1.80619	3	3.549807
2000	-402.9452	-422.7596	19.81444	10	1.478442	0.0373321	0.0589839	0.013858	0.0117574	0.0365587	0.0573659	0.102036	0.00470892	0.142548	0.00209733	0.0464535	0.0248355	0.0273497	0.181185	0.0584612	0.0155013	0.0297953	0.042078	0.0561208	0.00696562	0.0131686	0.141338	0.520871	0.0340947	0.178796	0.0018922	0.0553516	0.0501899	0.0151943	0.0232631	0.0185631	0.0480202	0.0704398	0.122119	0.0993516	0.153819	0.180593	0.221973	0.584928	1.04913	2.14397	5	2.683058
3000	-423.8602	-438.004	14.14381	2	1.14285	0.0843078	0.00653676	0.0224143	0.00376717	0.0504022	0.050719	0.117466	0.0153555	0.211642	0.038511	0.0555324	0.077427	0.164107	0.024316	0.0205485	0.0252546	0.198398	0.123248	0.0689462	0.0467121	0.0264395	0.198242	0.389669	0.133962	0.0874923	0.0382941	0.0478793	0.0365364	0.0136934	0.0976875	0.00666052	0.124234	0.0909047	0.0429164	0.0168821	0.0380242	0.127085	0.164544	0.515847	1.02015	2.29946	4	2.922213
4000	-409.9927	-426.5073	16.51459	10	2.475429	0.0590452	0.0169112	0.0126223	0.0331772	0.0767905	0.0704318	0.188938	0.0363026	0.0987785	0.0439892	0.0770142	0.0699269	0.0500441	0.105165	0.0511751	0.0280271	0.163521	0.017328	0.0691814	0.00499953	0.13747	0.0624129	0.0453262	0.126397	0.0573652	0.029357	0.027427	0.0313647	0.0116827	0.209186	0.110368	0.0102698	0.0491152	0.297263	0.0636454	0.130538	0.115216	0.344115	0.697612	1.07834	1.87993	5	2.787775
5000	-421.3059	-424.1961	2.890204	2	1.282095	0.0087783	0.125644	0.0651751	0.011176	0.00638153	0.0390338	0.22256	0.00940531	0.0564173	0.0744628	0.119209	0.0752534	0.129223	0.0996843	0.0161579	0.0375672	0.105959	0.105192	0.0715569	0.0110488	0.0131449	0.161325	0.12011	0.0599825	0.186198	0.129269	0.0622715	0.0109367	0.00322468	0.0763806	0.545136	0.013427	0.151732	0.649116	0.16891	0.0532398	0.22627	0.189616	0.547752	1.03458	2.22806	4	4.02056
6000	-419.2507	-430.0565	10.80576	10	1.057479	0.0398889	0.0695603	0.0116964	0.0257721	0.100701	0.031896	0.215108	0.0714264	0.104806	0.000168867	0.109878	0.0376421	0.0231261	0.145943	0.0334892	0.0264566	0.167214	0.0141357	0.139254	0.0366148	0.214924	0.167922	0.336873	0.182557	0.00573094	0.124662	0.0415907	0.0968673	0.0551462	0.084369	0.244694	0.109085	0.269417	0.0594091	0.0908145	0.0769633	0.0390281	0.148278	0.493372	1.00891	2.34944	5	3.60483
7000	-412.4052	-425.532	13.12679	1	2.385661	0.0382465	0.0435625	0.000269419	0.0185515	0.11168	0.00386741	0.0831284	0.0233818	0.192516	0.00908892	0.0209494	0.136769	0.00572242	0.07917	0.0474173	0.00613203	0.00407659	0.0775242	0.0364834	0.0737825	0.229042	0.00630767	0.27062	0.0439275	0.089619	0.120663	0.0495516	0.102017	0.0271199	0.0169885	0.120047	0.0376877	0.137735	0.184682	0.0801143	0.196554	0.0527289	0.335341	0.69062	1.0772	1.89683	3	2.777724
8000	-416.3133	-429.6506	13.33732	10	2.420256	0.128154	0.0303503	0.0202832	0.00416842	0.124772	0.0136355	0.0850848	0.0218312	0.231187	0.0113559	0.064423	0.0564291	0.0962061	0.0303807	0.0648774	0.00621795	0.0732303	0.0283358	0.0922612	0.0537009	0.0129879	0.175341	0.0472607	0.188853	0.052973	0.0650668	0.0766527	0.0449321	0.303255	0.0124828	0.0269354	0.0789373	0.158939	0.432798	0.0291321	0.188534	0.0626933	0.338763	0.693364	1.07766	1.89021	5	3.194659
9000	-419.9492	-422.8208	2.871574	2	2.806021	0.0113984	0.0239788	0.0368597	0.00440281	0.0909057	0.0191358	0.0886949	0.098318	0.0282511	0.0234003	0.0814058	0.0266878	0.0782736	0.0818641	0.103837	0.0184311	0.0329798	0.0691904	0.0979277	0.0518458	0.100878	0.125003	0.219654	0.183835	0.30115	0.0236454	0.238952	0.210077	0.0160744	0.0026013	0.0969274	0.0269782	0.110138	0.533492	0.186934	0.304034	0.117387	0.373676	0.720189	1.08137	1.82476	4	3.86555
10000	-417.8879	-429.7477	11.85983	10	2.1305	0.000800342	0.0378103	0.0564093	0.0175585	0.121586	0.000390483	0.116635	0.0381209	0.215626	0.0291587	0.0820742	0.0771593	0.0762851	0.157835	0.0540515	0.0349016	0.0897768	0.0179091	0.139825	0.0466969	0.184084	0.147932	0.0327171	0.0198915	0.194006	0.0252223	0.0611393	0.107748	0.0250728	0.0764764	0.107979	0.0288191	0.0738609	0.570807	0.0113976	0.287593	0.0430996	0.30837	0.66821	1.07294	1.95048	5	3.408456
11000	-409.7559	-422.6873	12.93141	2	1.428257	0.0117251	0.0738472	0.0125721	0.00299936	0.0638178	0.00425214	0.221084	0.0149782	0.0355537	0.0408059	0.0738383	0.0421698	0.104296	0.0934085	0.0175545	0.0219974	0.0197952	0.0529203	0.0395379	0.0107515	0.111245	0.233539	0.163715	0.0076913	0.0817651	0.128665	0.211922	0.1253	0.00776013	0.00894392	0.0744302	0.0484472	0.0588495	0.315397	0.241912	0.0620365	0.124263	0.214024	0.576162	1.04592	2.1639	4	2.963787
12000	-418.6614	-424.4413	5.779922	2	2.153971	0.059591	0.114862	0.0259736	0.00505164	0.0489423	0.0832334	0.119489	0.00855533	0.339906	0.0355665	0.135636	0.0622699	0.0815505	0.150813	0.0370404	0.040514	0.126916	0.0588036	0.0734522	0.0146623	0.0395193	0.225947	0.0266875	0.0669906	0.0889328	0.0293607	0.143413	0.0484201	0.0817913	0.0654296	0.211426	0.161688	0.0388998	0.505135	0.129012	0.0927634	0.0636937	0.310987	0.670448	1.0734	1.94516	4	3.641939
13000	-406.6109	-424.0055	17.39454	1	1.423826	0.00165907	0.0528369	0.031556	0.0328212	0.060124	0.00384878	0.100176	0.00528823	0.133518	0.0115	0.00668613	0.0560116	0.0594689	0.0671156	0.066211	0.00369871	0.00144355	0.0570648	0.0753554	0.000244454	0.0140741	0.0681149	0.324841	0.0207063	0.123551	0.0663061	0.0245268	0.0327372	0.126493	0.0888373	0.180783	0.0151626	0.0196394	0.110548	0.115681	0.10438	0.184124	0.213312	0.575366	1.04562	2.16571	3	2.447133
14000	-430.1786	-437.4078	7.22918	2	3.302432	0.00968738	0.336073	0.0106885	0.00790501	0.0444534	0.0390082	0.070057	0.00476055	0.176849	0.129074	0.0738158	0.000535812	0.0674905	0.0610127	0.0041024	0.0639797	0.286374	0.0842272	0.0740084	0.157537	0.196076	0.0630765	0.315971	0.0476082	0.00863586	0.0406387	0.238833	0.201871	0.088655	0.0307352	0.0380411	0.0468266	0.0801396	0.0099065	0.108498	0.00661782	0.0614317	0.411385	0.747008	1.08365	1.75796	4	3.2852
15000	-421.3334	-435.2261	13.89273	10	0.4730079	0.0949683	0.0765626	0.0183157	0.0079534	0.109062	0.0347095	0.0979303	0.0235775	0.0283605	0.0859435	0.00767069	0.0518951	0.0607144	0.0460084	0.0796863	0.0168712	0.0839386	0.0487802	0.141118	0.0523071	0.153271	0.219894	0.242698	0.0422096	0.0382275	0.0177372	0.212631	0.0150491	0.00930656	0.055001	0.0312669	0.0538247	0.356347	0.441461	0.138015	0.0372507	0.0743953	0.0285007	0.23393	0.799589	2.93798	5	3.304958
16000	-408.2242	-425.9814	17.75723	10	1.077986	0.0153126	0.0346103	0.0173152	0.0117936	0.0126844	0.0389495	0.0887955	0.0248943	0.0379943	0.000672148	0.110387	0.0055327	0.0289077	0.130818	0.0642641	0.00312097	0.0613375	0.078852	0.130017	0.0556043	0.00347892	0.00123942	0.0996657	0.123751	0.115548	0.0327591	0.0924869	0.0698226	0.101996	0.0129159	0.248283	0.191948	0.0158837	0.475356	0.0862577	0.254137	0.0166433	0.152246	0.499	1.01181	2.33695	5	2.894035
17000	-421.5116	-433.1669	11.65524	10	2.15154	0.0856006	0.00318505	0.00836798	0.0188087	0.0417482	0.0350823	0.245601	0.0390161	0.136554	0.0916455	0.0315247	0.0196168	0.00986227	0.0183016	0.0446087	0.0305073	0.292668	0.0541913	0.14895	0.00514017	0.191997	0.0166742	0.104441	0.101053	0.0451859	0.00338697	0.164876	0.0416801	0.0688375	0.291078	0.0286906	0.0924982	0.115634	0.54061	0.116507	0.0837881	0.104702	0.310717	0.670218	1.07336	1.94571	5	3.472621
