Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-701.2081	-788.6168	87.40869	10	0.1812507	0.0429081	0.126957	0.00936658	0.0650445	0.0238222	0.106912	0.0395965	0.00313996	0.0295369	0.0766808	0.0290071	0.039082	0.0300881	0.102755	0.126002	0.221007	0.0689181	0.0793838	0.00398954	0.0338396	0.390817	0.0372329	0.0326723	0.399186	0.148553	0.199537	0.0268577	0.0129987	0.32476	0.00608628	0.102875	0.0190042	0.297427	0.000260003	0.0237072	0.332988	3.64305	5	3.256044
1000	-505.9038	-581.7655	75.86173	10	6.500945	0.236487	0.0446192	0.117143	0.02613	0.0996914	0.012953	0.127743	0.043305	0.21333	0.067637	0.0643694	0.0600551	0.0253867	0.0855607	0.0360645	0.0452379	0.25063	0.0789587	0.180987	0.151097	0.206854	0.219007	0.0852922	0.254203	0.0384099	0.0712544	0.00702635	0.0171719	0.199847	0.0715485	0.0294091	0.0394314	0.0218937	0.554555	0.832882	1.08012	1.53245	5	3.228733
2000	-508.1999	-582.0866	73.88662	10	3.547449	0.225693	0.0104944	0.19612	0.055075	0.107095	0.106041	0.0551253	0.21827	0.0800552	0.101209	0.019101	0.0323894	0.00257885	0.0030949	0.0140278	0.0152317	0.185127	0.131517	0.129657	0.0455746	0.0946432	0.0561918	0.309107	0.448452	0.0160509	0.315497	0.124483	0.063544	0.0197142	0.084431	0.146112	0.0236844	0.0161228	0.42763	0.757946	1.08415	1.73028	5	3.451511
3000	-478.238	-570.2345	91.99657	10	1.272523	0.240929	0.0291601	0.0843737	0.0198756	0.0759324	0.00191393	0.113636	0.0969839	0.0910365	0.096962	0.0497456	0.0417031	0.000268136	0.00242878	0.11505	0.0799569	0.121574	0.0286763	0.0404884	0.140964	0.0798976	0.0101285	0.206845	0.40202	0.0838528	0.0202921	0.0595599	0.126918	0.168324	0.00383949	0.153133	0.0367977	0.0689576	0.18795	0.545724	1.03371	2.23261	5	2.892225
4000	-497.6088	-578.6304	81.02165	10	2.900979	0.122093	0.0758798	0.109628	0.00892835	0.117123	0.0075453	0.21568	0.397141	0.0164846	0.0790386	0.0137221	0.0416236	0.019123	0.00910479	0.0453989	0.0245426	0.08064	0.0352294	0.0676266	0.202582	0.105652	0.0376602	0.178058	0.322727	0.0841302	0.0339916	0.200252	0.2649	0.0555896	0.0198964	0.125182	0.00112185	0.441068	0.381453	0.725894	1.08198	1.81067	5	3.559362
5000	-497.9313	-580.5095	82.57822	10	1.504953	0.143961	0.0204638	0.0943574	0.0910454	0.157358	0.0682948	0.116658	0.1219	0.143604	0.229116	0.0514452	0.00487618	0.0307362	0.0128943	0.0186068	0.0525896	0.0703981	0.149161	0.130927	0.0399964	0.142017	0.111831	0.0536909	0.199851	0.0702294	0.00144759	0.0400826	0.153238	0.0378698	0.00800967	0.0960939	0.0297859	0.0185159	0.226087	0.589379	1.05071	2.13382	5	2.711052
6000	-507.8713	-578.1685	70.29719	10	4.334793	0.321454	0.0449144	0.110408	0.0310038	0.200973	0.020856	0.0782335	0.0307815	0.262906	0.00066655	0.0317744	0.0439391	0.0537496	0.0124438	0.125797	0.137917	0.0116238	0.127279	0.175559	0.236476	0.0484603	0.2966	0.0254144	0.470645	0.337464	0.0536207	0.0251594	0.125522	0.126716	0.0415745	0.124359	0.0120888	0.0541309	0.471859	0.786045	1.08422	1.65788	5	3.800511
7000	-507.7138	-586.2822	78.56835	10	1.944538	0.251267	0.0346012	0.104943	0.144356	0.0927587	0.000564398	0.0526487	0.203463	0.0530682	0.201224	0.0453815	0.0200786	0.0176083	0.0108722	0.0287759	0.0270691	0.143602	0.330571	0.0832631	0.377146	0.116166	0.00322013	0.0270704	0.0521779	0.0504899	0.0826592	0.0677215	0.289741	0.248818	0.00845542	0.0222023	0.335243	0.0203483	0.286563	0.648983	1.06854	1.99592	5	3.547576
8000	-506.6637	-583.8617	77.19806	10	1.127158	0.353655	0.0268182	0.101451	0.0951323	0.00180147	0.0329431	0.13427	0.052562	0.0727802	0.185665	0.0292739	0.0252441	0.00726326	0.00165544	0.00559574	0.141015	0.105559	0.0859587	0.00482658	0.213367	0.0606002	0.0537064	0.0292851	0.217947	0.198915	0.115667	0.282745	0.162364	0.160549	0.00253856	0.260462	0.371903	0.0567392	0.161605	0.511898	1.01824	2.30825	5	3.650259
9000	-496.8461	-579.8001	82.954	10	2.100429	0.145292	0.0433844	0.0936759	0.112377	0.00802774	0.0253285	0.16242	0.34812	0.118095	0.117686	0.0559722	0.011113	0.0152318	0.0185701	0.0934008	0.0217237	0.121888	0.0406048	0.0180828	0.214833	0.078899	0.032643	0.0911923	0.191341	0.0812317	0.180712	0.000179602	0.0421704	0.0532608	0.098457	0.207797	0.582489	0.0792265	0.304975	0.665285	1.07231	1.95743	5	3.505425
