Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-324.1877	-446.5501	122.3624	0.2	4.25407	0.0363208	0.046245	0.12739	0.000939783	0.00361198	0.0709394	0.00984153	0.0589913	0.0197456	0.0631915	0.0518542	0.208112	0.0892158	0.0973544	0.0974085	0.0283449	0.207195	0.0714516	0.106099	0.211411	0.149218	0.0783215	0.00904984	0.201192	0.000742433	0.0039831	0.153102	0.383521	0.0509979	0.130169	0.0649862	0.00806682	0.0513464	0.0794758	0.2291	0.467797	0.783561	1.08428	1.66436	2	3.198935
1000	-104.9453	-196.3707	91.42545	0.2	1.397401	0.0883601	0.107152	0.0845698	0.114675	0.0476992	0.174928	0.0299019	0.0243049	0.241416	0.0139612	0.00617725	0.0521018	0.00172624	0.0138947	0.0420386	0.0457512	0.00812977	0.0419688	0.0448596	0.153798	0.00227178	0.0853643	0.494676	0.000654603	0.0989133	0.0446402	0.00137765	0.0288341	0.274327	0.112233	0.18184	0.114159	0.0670262	0.0524382	0.155244	0.209029	0.570538	1.04378	2.17665	2	3.051414
2000	-123.9107	-187.2125	63.30178	0.2	0.6634825	0.0441496	0.0451011	0.0135068	0.0688563	0.0124161	0.176215	0.101846	0.00922151	0.00740329	0.00381773	0.00366862	0.00950427	0.00805721	0.0246767	0.0173556	0.0170236	0.0483619	0.0126472	0.0150255	0.45401	0.186979	0.0133738	0.0171733	0.123852	0.33688	0.268472	0.0169627	0.13561	0.128334	0.263481	0.258674	0.0269201	0.183891	0.126554	0.402802	0.0664118	0.345778	0.910546	2.67726	2	3.582822
3000	-113.0154	-194.2351	81.21971	0.2	1.039466	0.160538	0.0873441	0.0714238	0.0628574	0.0169506	0.0886854	0.117693	0.0321466	0.00966203	0.0182185	0.0226189	0.0402344	0.111449	0.0290067	0.0137303	0.0353248	0.0124033	0.0157073	0.0086743	0.0400474	0.0808494	0.246908	0.087824	0.236141	0.0418924	0.0439363	0.00785949	0.140179	0.104895	0.322252	0.190569	0.25933	0.0572509	0.139731	0.00692846	0.144761	0.488301	1.00624	2.3607	2	2.961261
4000	-151.1604	-197.3709	46.21056	0.2	2.11643	0.267431	0.208861	0.233034	0.0282334	0.138119	0.111958	0.222382	0.0384392	0.02682	0.00527364	0.00445133	0.0303705	0.027241	0.057108	0.00706325	0.107509	0.0757901	0.0292883	0.0253075	0.0051144	0.129246	0.246801	0.414961	0.576699	0.0854993	0.0517253	0.135401	0.16796	0.156905	0.0689679	0.599913	0.249609	0.0960434	0.390552	0.0209826	0.306788	0.66685	1.07265	1.95371	2	5.041061
5000	-152.4524	-187.8447	35.39226	0.2	2.186057	0.453773	0.287712	0.147942	0.0431436	0.00727267	0.0540168	0.152715	0.0162927	0.0019015	0.0410139	0.00691813	0.0149249	0.0827915	0.00193151	0.0512689	0.0500043	0.0359533	0.0014061	0.0109963	0.0168851	0.0994421	0.16149	0.192118	0.129783	0.0180624	0.0975558	0.133959	0.243938	0.331539	0.296418	0.0503318	0.200473	0.323099	0.0516395	0.0537393	0.314517	0.673445	1.07402	1.93802	2	3.862451
6000	-120.3755	-190.1634	69.7879	0.2	0.9716543	0.209874	0.00463233	0.139204	0.0387956	0.011757	0.0773139	0.0225552	0.0194265	0.0187389	0.00142621	0.0125582	0.0303591	0.452226	0.00395538	0.0274227	0.00735184	0.00720289	0.00602549	0.0085658	0.10178	0.35691	0.239681	0.040679	0.0159255	0.0225794	0.115353	0.16778	0.205541	0.151606	0.18872	0.0152175	0.206123	0.0251477	0.160188	0.258877	0.131264	0.468063	0.99514	2.40553	2	3.3715
7000	-122.4382	-189.1425	66.7043	0.2	0.5456353	0.0454458	0.125327	0.483411	0.0780499	0.0274377	0.0144295	0.238762	0.0123021	0.0607067	0.0526119	0.00270005	0.0917882	0.0152923	0.0206346	0.0373484	0.0678071	0.0162437	0.00603356	0.000653454	0.312909	0.16633	0.0337512	0.320924	0.0762882	0.430235	0.0711685	0.044827	0.11766	0.215088	0.0790188	0.363427	0.11869	0.00233962	0.176337	0.0003061	0.0421266	0.280668	0.85083	2.82638	2	3.926285
8000	-112.3886	-192.6494	80.26076	0.2	1.823481	0.0902854	0.234084	0.0481356	0.0472297	0.019888	2.78219e-05	0.0317558	0.0184655	0.00354858	0.0384288	0.0128494	0.0283689	0.11543	8.09134e-05	0.078052	0.000555805	0.0419343	0.0355614	0.00241984	0.209042	0.262726	0.335811	0.0535581	0.0801649	0.0924118	0.0243833	0.0782659	0.132229	0.0583307	0.130061	0.00662622	0.149796	0.00194806	0.0477641	0.0856158	0.271253	0.634827	1.06487	2.02905	2	2.595836
9000	-98.419	-199.3496	100.9306	0.2	1.715313	0.278313	0.165338	0.0762588	0.029134	0.0198303	0.0382311	0.0524536	0.0147686	0.0105888	0.0314182	0.0102413	0.180431	0.0345583	0.0190578	0.000910251	0.0336038	0.0421529	0.000803435	0.00774877	0.649275	0.0609347	0.0158384	0.106121	0.229831	0.0607456	0.016324	0.106848	0.206952	0.326044	0.153229	0.132711	0.0412762	0.0807917	0.107873	0.163025	0.256751	0.620869	1.06091	2.06147	2	3.503662
