Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	brlens[92]	brlens[93]	brlens[94]	brlens[95]	brlens[96]	brlens[97]	brlens[98]	brlens[99]	brlens[100]	brlens[101]	brlens[102]	brlens[103]	brlens[104]	brlens[105]	brlens[106]	brlens[107]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-4423.083	-4393.688	-29.39501	10	0.199518	0.142919	0.0384667	0.03307	0.1109	0.0249691	0.257119	0.155606	0.0484614	0.0411148	0.154651	0.163756	0.0264333	0.0935451	0.0368379	0.0816534	0.0904122	0.12575	0.290438	0.0137775	0.00140548	0.239907	0.0737253	0.261385	0.0337063	0.0132623	0.266829	0.0146064	0.0433347	0.1701	0.142021	0.321729	0.013043	0.0390165	0.0609406	0.0463854	0.506791	0.150003	0.0868938	0.183295	0.00731728	0.0399906	0.00788953	0.0296016	0.0307646	0.0288581	0.286656	0.208072	0.118525	0.0671256	0.142267	0.006992	0.0717492	0.010342	0.051367	0.208153	0.0281472	0.172512	0.0106465	0.00382729	0.0458361	0.0521426	0.238984	0.274359	0.274108	0.055884	0.0784106	0.227509	0.154292	0.0536646	0.0273954	0.0636101	0.0690113	0.334553	0.00316578	0.0477446	0.229694	0.0136204	0.054777	0.0762539	0.0233027	0.18094	0.172827	0.130139	0.019099	0.233058	0.0136495	0.00521504	0.0513437	0.0503169	0.0520204	0.0596832	0.0457152	0.152507	0.0122168	0.0518622	0.104842	0.0405453	0.0204084	0.0888312	0.0552165	0.117782	0.0864362	0.024053	0.0897609	0.0498674	0.0200036	0.00907847	0.000522411	0.0334979	0.382399	3.58358	5	10.4648
1000	-2780.432	-2767.706	-12.72586	2	1.464854	0.0231345	0.00336952	0.0594573	0.0991404	0.204844	0.0066094	0.0166661	0.0794999	0.0795485	0.029592	0.225206	0.0837994	0.0146234	0.0726082	0.141259	0.147563	0.0927241	0.393931	0.0376016	0.0175319	0.0823668	0.0838857	0.0111412	0.0543236	0.0755572	0.00250127	0.0212114	0.00962437	0.0199441	0.031927	0.0119422	0.0969603	0.029662	0.0540183	0.0389667	0.107249	0.00463817	0.0175556	0.0243265	0.115146	0.0138316	0.0181375	0.0203362	0.123268	0.00236687	0.00818968	0.089979	0.0474885	0.0464396	0.295119	0.0753431	0.19565	0.42469	0.17544	0.0900281	0.00813178	0.0922397	0.0645706	0.0930901	0.0496702	0.0226426	0.070995	0.0337366	0.0203049	0.0297397	0.0969905	0.106117	0.00089418	0.0482262	0.0122568	0.0340136	0.0742291	0.101685	0.0188017	0.110843	0.0175789	0.0273539	0.0225182	0.285977	0.148873	0.00582208	0.0195936	0.149502	0.0674768	0.0207187	0.0844196	0.152875	0.264661	0.0227099	0.0172837	0.0756648	0.027377	0.0185659	0.113965	0.0334915	0.0500833	0.0607305	0.00227056	0.0275744	0.03856	0.131406	0.00143538	0.0042969	0.295456	0.0265596	0.121176	0.00631827	0.219842	0.5826	1.04829	2.14927	4	7.779439
2000	-2775.517	-2758.344	-17.17377	2	1.338043	0.0117113	0.0115428	0.073243	0.120379	0.311154	0.0864509	0.0738664	0.0878507	0.123016	0.00889694	0.272672	0.0546295	0.0558128	0.0263582	0.0658676	0.0710503	0.00190402	0.237674	0.0173431	0.0368562	0.0266598	0.0913665	0.0241928	0.0122208	0.0875978	0.00915223	0.076799	0.0154029	0.051259	0.0589515	0.0500298	0.151139	0.0226613	0.0485102	0.0946182	0.0159536	0.00608743	0.00162546	0.103941	0.119937	0.0110909	0.0180848	0.0229654	0.109259	0.00455226	0.0205346	0.107484	0.0588385	0.0217895	0.0608456	0.0710501	0.152269	0.288824	0.297546	0.0371999	0.00880601	0.033781	0.158698	0.0867858	0.0770678	0.039502	0.16719	0.0942857	0.0386368	0.0536373	0.0177563	0.126048	0.00277235	0.0994623	0.158407	0.0413247	0.0247154	0.0199147	0.0211761	0.155495	0.0757304	0.0426614	0.019322	0.269524	0.0724127	0.120323	0.0491383	0.286185	0.0668911	0.0339708	0.0868238	0.00851148	0.0510372	0.0344871	0.0872659	0.197981	0.0288757	0.0890161	0.0217777	0.0207242	0.0101474	0.0506889	9.63437e-06	0.0285083	0.0123335	0.0616727	0.0198633	0.0920612	0.278936	0.0972938	0.144694	0.0372086	0.199185	0.559174	1.0393	2.20234	4	8.020256
3000	-2785.254	-2761.555	-23.69884	2	1.469179	0.00848143	0.0146672	0.0586454	0.163559	0.0426418	0.305333	0.0339706	0.151146	0.0632118	0.164532	0.284899	0.096814	0.00505273	0.0469885	0.0924254	0.337008	0.0502845	0.188507	0.0313241	0.0498844	0.104881	0.0669399	0.0588213	0.0108126	0.0251247	0.0743485	0.00805093	0.0271935	0.0196415	0.0790551	0.0494042	0.0637626	0.0901953	0.0108736	0.162189	0.0764775	0.00990549	0.00149137	0.00769279	0.146922	0.0165762	0.0365116	0.0145742	0.143095	0.000943314	0.0197468	0.130288	0.089942	0.0519722	0.0343661	0.173804	0.0920433	0.210119	0.170482	0.0680081	0.0272042	0.0885169	0.0267437	0.127042	0.125314	0.0496693	0.174764	0.0287215	0.0261207	0.0381776	0.0528432	0.0907722	0.0720663	0.0342837	0.0454263	0.00594477	0.0350635	0.120408	0.0587033	0.00614873	0.00735089	0.0198452	0.109251	0.0987069	0.0261708	0.123157	0.0720383	0.381535	0.134392	0.00888664	0.182196	0.0301125	0.0738908	0.164096	0.0237049	0.526944	0.257732	0.0684917	0.0337115	0.0349694	0.0296692	0.0242261	0.014971	0.00892163	0.103318	0.0151575	0.00591365	0.110475	0.238125	0.0682113	0.011302	0.0166993	0.220522	0.583345	1.04856	2.14757	4	8.793737
4000	-2788.112	-2771.478	-16.6334	2	1.874878	0.0221732	0.00292092	0.0402797	0.259448	0.226167	0.114815	0.0401808	0.014437	0.117288	0.0152817	0.321732	0.00197996	0.0411615	0.0105162	0.180564	0.294553	0.0728522	0.275119	0.0941139	0.0914192	0.0513937	0.0107556	0.0802198	0.00605835	0.101161	0.038347	0.017947	0.0123386	0.0328303	0.038346	0.0212549	0.0196791	0.0308576	0.0109269	0.0240229	0.0117548	0.0205673	0.0531788	0.0166879	0.151465	0.0238207	0.0343149	0.00275593	0.0184744	0.0208559	0.00414939	0.142896	0.1185	0.0298201	0.126344	0.0127775	0.0911354	0.184391	0.190284	0.0504287	0.0955177	0.0930818	0.0447156	0.0372072	0.0330303	0.047468	0.0922062	0.095825	0.0621896	0.0111549	0.111854	0.0977794	0.0306202	0.0390144	0.0420433	0.0373796	0.0963507	0.0681186	0.10529	0.0245872	0.0294203	0.00924944	0.0202467	0.0405902	0.046624	0.0745098	0.0695619	0.302936	0.00580737	0.0246749	0.00339022	0.0792646	0.0352737	0.0390018	0.0233572	0.208864	0.0468288	0.190042	0.407069	0.0750595	0.0419878	0.05738	0.0269174	0.0445871	0.177428	0.0771345	0.0976951	0.106908	0.280384	0.073146	0.0595218	0.016187	0.277867	0.641013	1.06652	2.0146	4	8.094226
5000	-2788.418	-2771.233	-17.18469	2	1.874878	0.0221732	0.00292092	0.0402797	0.259448	0.226167	0.114815	0.0401808	0.014437	0.117288	0.0152817	0.321732	0.00197996	0.0411615	0.0105162	0.180564	0.294553	0.0728522	0.275119	0.0941139	0.0914192	0.0513937	0.0107556	0.0802198	0.00605835	0.101161	0.038347	0.017947	0.0123386	0.0328303	0.038346	0.0212549	0.0196791	0.0308576	0.0109269	0.0240229	0.0117548	0.0205673	0.0531788	0.0166879	0.151465	0.0238207	0.0343149	0.00275593	0.0184744	0.0208559	0.00414939	0.142896	0.1185	0.0298201	0.126344	0.0127775	0.0911354	0.184391	0.190284	0.0504287	0.0955177	0.0930818	0.0447156	0.0372072	0.0330303	0.047468	0.0922062	0.095825	0.0621896	0.0111549	0.111854	0.0977794	0.0306202	0.0390144	0.0420433	0.0373796	0.0963507	0.0681186	0.10529	0.0245872	0.0294203	0.00924944	0.0202467	0.0405902	0.046624	0.0745098	0.0695619	0.302936	0.00580737	0.0246749	0.00339022	0.0792646	0.0352737	0.0390018	0.0233572	0.208864	0.0468288	0.190042	0.407069	0.0750595	0.0419878	0.05738	0.0269174	0.0445871	0.177428	0.0771345	0.0976951	0.106908	0.280384	0.073146	0.0595218	0.016187	0.277867	0.641013	1.06652	2.0146	4	8.094226
6000	-2785.691	-2767.966	-17.72487	1	1.233191	0.0094244	0.00776975	0.0681647	0.111755	0.134444	0.151486	0.0705068	0.112171	0.0414855	0.0682442	0.27427	0.0567813	0.0042675	0.0483593	0.111113	0.274595	0.0786721	0.273203	0.0275829	0.0334176	0.0631871	0.037038	0.0337667	0.0274442	0.110885	0.00246345	0.0338882	0.0214155	0.00968641	0.0344278	0.105463	0.0221381	0.000765768	0.169093	0.0674129	0.0250574	0.00859035	0.00688243	0.00599067	0.177818	0.026071	0.0203297	0.00840167	0.0686767	0.0131858	0.00341225	0.161918	0.0514	0.0532943	0.135339	0.221234	0.174223	0.156962	0.104896	0.0264469	0.0165356	0.113975	0.0030006	0.0364026	0.0473105	0.120256	0.208717	0.0323395	0.0238073	0.0445817	0.0739463	0.130313	0.0194987	0.0160524	0.00653553	0.00868346	0.0934484	0.0453895	0.138882	0.109024	0.0532807	0.0091341	0.060589	0.00937897	0.00596898	0.492998	0.034649	0.0145741	0.0209938	0.0526943	0.0558017	0.00251863	0.0186004	0.153296	0.00281678	0.274584	0.0817543	0.100246	0.0773185	0.131068	0.0287566	0.0328344	0.0317692	0.00225814	0.0288621	0.160077	0.00997379	0.0356627	0.029554	0.0831935	0.464617	0.108986	0.181016	0.537148	1.02998	2.25186	3	8.104427
7000	-2774.011	-2763.705	-10.30576	2	1.941787	0.0807808	0.00339587	0.0466381	0.0033196	0.0022285	0.137905	0.0946609	0.0428704	0.0224997	0.00187113	0.394189	0.0441377	0.000141302	0.0205877	0.0729951	0.244707	0.13254	0.198311	0.023579	0.0492918	0.0109281	0.106832	0.0677124	0.00563263	0.0655166	0.045807	0.0294776	0.0149492	0.0502942	0.0436766	0.0782464	0.00301447	0.0207649	0.021112	0.0501575	0.020255	0.0293854	0.00275192	0.0643025	0.258402	0.00522891	0.0140701	0.0124121	0.0855057	0.0312909	0.0105449	0.0714277	0.0349445	0.0193393	0.103834	0.0140733	0.135402	0.568816	0.0736212	0.105659	0.03649	0.0635686	0.0365838	0.110988	0.0448936	0.0548567	0.09238	0.289411	0.0016837	0.0298254	0.0893466	0.416916	0.0526432	0.00653727	0.102316	0.0408225	0.0143693	0.121378	0.191199	0.0920201	0.0642109	0.0552243	0.0352874	0.0636153	0.044593	0.0819153	0.0685078	0.0228526	0.000912757	0.00385639	0.019362	0.024552	0.0921332	0.0130556	9.1139e-06	0.0228909	0.165009	0.133255	0.0284055	0.0133964	0.00690385	0.0164869	0.00921858	0.0805065	0.0552669	0.0632192	0.0224276	0.0136621	0.0466013	0.0577596	0.347595	0.177003	0.286225	0.648677	1.06846	1.99664	4	7.629963
8000	-2794.47	-2772.743	-21.72684	2	1.767116	0.0127724	0.00306756	0.0854822	0.0330475	0.0641817	0.287505	0.0206375	0.113538	0.0862058	0.0148642	0.301651	0.145409	0.00144598	0.0823679	0.0971367	0.359119	0.0344235	0.267776	0.0736577	0.18278	0.0476109	0.0402768	0.0383468	0.0465504	0.117871	0.0709047	0.0199274	0.0214428	0.0239346	0.0503478	0.0618195	0.0499802	0.212481	0.0577957	0.0166489	0.0326015	0.0143693	0.00653838	0.0329445	0.102303	0.028457	0.00191182	0.0171357	0.056402	0.017773	0.00642183	0.157438	0.0502957	0.0930644	0.0159933	0.0642037	0.0278116	0.466556	0.332328	0.11932	0.0853156	0.012524	0.0389985	0.0882854	0.00641339	0.0225451	0.0535889	0.346455	0.098228	0.0753464	0.0372067	0.539618	0.088707	0.00644298	0.0719181	0.0267964	0.0816705	0.202988	0.141207	0.0018998	0.0589713	0.0494668	0.0111184	0.0371619	0.019408	0.0287048	0.0692888	0.0974487	0.00360738	0.0202346	0.0220661	0.0357635	0.0951503	0.0545349	0.000274231	0.0441653	0.148887	0.0851601	0.109846	0.0241558	0.0239796	0.022322	0.0581802	0.00261941	0.0945002	0.023563	0.0298719	0.0708973	0.0340114	0.163527	0.0312146	0.212495	0.263797	0.62772	1.0629	2.04558	4	8.595626
9000	-2790.37	-2771.878	-18.49241	2	2.003667	0.022378	0.0158312	0.0468681	0.0985393	0.368068	0.111367	0.0164252	0.040274	0.065328	0.0186749	0.14325	0.13197	0.0435454	0.0217009	0.0530045	0.291642	0.0759111	0.169526	0.0281679	0.267971	0.0459185	0.0121586	0.0404835	0.0600919	0.113928	0.0766013	0.00505249	0.0187146	0.00714948	0.0890401	0.039626	0.074805	0.021082	0.0464316	0.00370666	0.0531481	0.00163688	0.00625206	0.0418094	0.163872	0.0276644	0.0269188	0.00759667	0.102388	0.0211138	0.00276592	0.18024	0.0133081	0.0722268	0.0140684	0.00692055	0.180297	0.25746	0.0536407	0.0163124	0.022442	0.0250184	0.0725692	0.107447	0.00968271	0.00288478	0.0429372	0.106661	0.0233735	0.339872	0.059637	0.349897	0.164479	0.0419533	0.072951	0.0624757	0.103789	0.0136287	0.0731894	0.137699	0.19922	0.0410179	0.00381509	0.0571379	0.0165925	0.0388182	0.0450703	0.0880175	0.0112833	0.218656	0.0726943	0.00823496	0.0361347	0.0230734	0.00654789	0.0643883	0.133326	0.00533832	0.108492	0.0518549	0.0382663	0.0319903	0.0575493	0.0485272	0.0237793	0.063326	0.194574	0.0633418	0.00850034	0.0160522	0.582309	0.15829	0.293712	0.655403	1.07008	1.9808	4	8.283678
