Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-395.5013	-424.9406	29.43924	10	0.7525656	0.00111817	0.0582837	0.038113	0.0564628	0.102327	0.0125447	0.0556768	0.279576	0.0179004	0.280581	0.10907	0.00761457	0.108257	0.134215	0.0526532	0.135082	0.00574248	0.0320293	0.0308343	0.0688589	0.0542024	0.0632301	0.333499	0.000902455	0.100926	0.12949	0.0116536	0.208523	0.0305192	0.0381225	0.381204	0.162785	0.0806889	0.0854334	0.387312	0.942892	2.58436	5	3.182687
1000	-217.1774	-252.3161	35.13866	10	0.8985446	0.064079	0.0439199	0.0272795	0.0433449	0.0224936	0.061099	0.0362587	0.0393034	0.186728	0.101743	0.0116299	0.0330394	0.0253466	0.0568938	0.000246395	0.0532007	0.0849853	0.0268155	0.0518172	0.0201169	0.190056	0.0985232	0.157708	0.0422406	0.125688	0.0182763	0.510557	0.127615	0.0342488	0.0253135	0.0638309	0.064413	0.175882	0.116293	0.443979	0.980921	2.45881	5	2.624693
2000	-230.2443	-263.6971	33.45283	10	2.154767	0.0575984	0.157014	0.0115272	0.0349834	0.101285	0.00243783	0.0328137	0.144131	0.00266977	0.208988	0.00800506	0.0247374	0.0609634	0.0987711	0.0254549	0.00174852	0.0327845	0.0459906	0.0469526	0.121248	0.234688	0.0595586	0.257658	0.0878722	0.00857426	0.0273132	0.266584	0.00302256	0.0375217	0.258867	0.0232949	0.0567838	0.0353827	0.311075	0.670523	1.07342	1.94498	5	2.577226
3000	-236.8229	-268.118	31.29509	10	1.568992	0.094413	0.0253233	0.455849	0.0240771	0.00380997	0.0675141	0.025411	0.00026169	0.191166	0.0658191	0.00608761	0.0405165	0.0964505	0.0042074	0.0774576	0.00134672	0.0260437	0.00982792	0.087941	0.037718	0.214076	0.0312347	0.07445	0.0360374	0.0872283	0.029978	0.198229	0.0634894	0.2151	0.0948486	0.192637	0.123527	0.00259859	0.235786	0.599651	1.05423	2.11033	5	2.704675
4000	-218.1902	-254.5277	36.33748	10	1.488789	0.0587481	0.0813947	0.0193185	0.124396	0.013404	0.0820114	0.0199179	0.0450854	0.0188745	0.0182645	0.023318	0.0779877	0.0711882	0.0708866	0.0484599	0.102009	0.0490962	0.0617165	0.0988253	0.0165119	0.13517	0.0458542	0.116939	0.000349457	0.0223315	0.0264335	0.131843	0.413726	0.236827	0.0655367	0.0339182	0.00332961	0.177465	0.223585	0.58668	1.04976	2.13998	5	2.511136
5000	-221.5824	-254.1582	32.57588	10	3.386831	0.0564869	0.0103119	0.0500918	0.0471589	0.00851303	0.0236217	0.00611672	0.148821	0.0281752	0.0225826	0.0254844	0.14037	0.00206691	0.0430306	0.0327808	0.0323249	0.00352257	0.00565196	0.0793028	0.0122101	0.183009	0.020911	0.0170442	0.216857	0.0129513	0.0381168	0.177559	0.0575177	0.123926	0.454085	0.193922	0.00119759	0.0282102	0.417138	0.750922	1.08386	1.74808	5	2.303931
6000	-221.6252	-257.0963	35.47114	10	0.9309716	0.0574894	0.0238547	0.0142578	0.0808663	0.104434	0.0614819	0.0238695	0.0013349	0.0221289	0.158448	0.124607	0.143544	0.0129922	0.00931359	0.0658364	0.0275126	0.180707	0.0357594	0.0580935	0.0801022	0.0109969	0.0214168	0.47404	0.0509908	0.0132128	0.0624658	0.0490256	0.15791	0.170763	0.0893045	0.0105567	0.0474948	0.106292	0.122983	0.454973	0.987549	2.43449	5	2.551104
7000	-236.9386	-255.841	18.90245	2	3.096014	0.0611571	0.0176219	0.000396051	0.0575318	0.0520049	0.0812216	0.00122013	0.344197	0.15438	0.020602	0.0131096	0.120316	0.0705241	0.0117218	0.0668876	0.0328805	0.00842688	0.0869334	0.0774052	0.0198639	0.0775849	0.125667	0.211202	0.0415454	0.0554349	0.367291	0.0407994	0.0410906	0.00977818	0.0480244	0.0312154	0.449514	0.132094	0.396556	0.736709	1.08295	1.78378	4	2.929643
8000	-217.5961	-253.7939	36.19788	10	2.812714	0.0801312	0.0587221	0.0119164	0.117215	0.0525498	0.0715049	0.0105726	0.107952	0.0042003	0.0640773	0.0759448	0.11355	0.0620006	0.0120768	0.0424803	0.042914	0.0645833	0.0988266	0.0813791	0.000757245	0.041633	0.0890474	0.0565318	0.120432	0.375037	0.106691	0.147265	0.139436	0.077759	0.020031	0.0617739	0.0959372	0.0172252	0.374233	0.720601	1.08142	1.82374	5	2.522154
9000	-239.067	-255.8925	16.82552	1	2.015071	0.0155664	0.0454944	0.00995965	0.0904767	0.0289982	0.124143	0.025251	0.00794368	0.245341	0.118637	0.103484	0.123499	0.0049417	0.0106758	0.0892024	0.00342233	0.107278	0.00323274	0.015442	0.034937	0.0315984	0.105268	0.0216009	0.0170197	0.0274101	0.155757	0.314441	0.180813	0.095976	0.564023	0.0183575	0.0923637	0.0487504	0.295067	0.656607	1.07036	1.97796	3	2.881305
