Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-129.2124	-189.424	60.21154	0.2	1.029922	0.00991971	0.0156622	0.226442	0.107103	0.0143797	0.0519457	0.148291	0.0859309	0.0303621	0.0819012	0.200108	0.0122929	0.115555	0.207024	0.0183578	0.12954	0.145911	0.0942573	0.0392727	0.276198	0.134178	0.0213465	0.0070395	0.142885	0.485564	1.00479	2.36676	2	2.173017
1000	-59.68634	-91.4126	31.72626	0.2	1.19619	0.000830136	0.399244	0.0627139	0.128051	0.0407653	0.015202	0.0742806	0.0252706	0.0414077	0.208735	0.00503019	0.00661161	0.034168	0.252371	0.561984	0.0341324	0.113461	0.100956	0.0363535	0.0200643	0.0875186	0.0719826	0.136684	0.174362	0.528706	1.02618	2.27075	2	2.457817
2000	-41.88593	-94.91324	53.02731	0.2	0.1427641	0.0147788	0.113819	0.104807	0.0208527	0.0228466	0.0221424	0.0553078	0.0458511	0.0464167	0.00543034	0.0476634	0.010421	0.0945563	0.258571	0.00390338	0.0373294	0.154902	0.075271	0.0182598	0.113744	0.0530654	0.0713024	0.145336	3.32627e-05	0.00852836	0.219906	3.77153	2	1.536577
3000	-61.73004	-89.31616	27.58612	0.2	0.1693737	0.0252627	0.0925603	0.00547283	0.0833338	0.217182	0.0342284	0.0592932	0.0128718	0.0386127	0.15557	0.00898031	0.01211	0.00735924	0.117455	0.00838113	0.187148	0.0561973	0.180586	0.0620467	0.200635	0.713011	0.13253	0.340064	0.000152331	0.018181	0.299202	3.68246	2	2.750892
4000	-61.86787	-91.20128	29.33341	10	0.2113623	0.00689103	0.00385903	0.000246608	0.223387	0.23546	0.0228913	0.00681717	0.124108	0.0130607	0.268743	0.0668967	0.000554679	0.40726	0.01306	0.0172278	0.423607	0.0680522	0.0124005	0.0660145	0.0705991	0.0744305	0.0711979	0.179067	0.000769897	0.0405768	0.412656	3.546	5	2.375831
5000	-84.92229	-103.2321	18.30979	2	0.164331	0.0329641	0.152705	0.0513616	0.0572609	0.0645482	0.0493521	0.178593	0.104555	0.0500368	0.0107237	0.0492568	0.0468827	0.364319	0.0245862	0.12071	0.0031332	0.100363	0.0308423	0.11851	0.243556	0.104401	0.042597	0.307573	0.000118585	0.0160538	0.284507	3.69932	4	2.30883
6000	-53.78355	-93.53199	39.74844	10	0.08048464	0.0100167	0.0141217	0.0395644	0.373244	0.083688	0.0326605	0.0401838	1.91799e-05	0.0118432	0.00422919	0.0605234	0.00990147	0.0233081	0.0372833	0.0380688	0.0770424	0.0190685	0.152213	0.00967745	0.0511528	0.10974	0.00866619	0.0525758	1.83208e-08	0.000201454	0.0467559	3.95304	5	1.258792
7000	-51.39388	-84.46176	33.06787	10	0.2135503	0.0106615	1.98018e-06	0.074242	0.171209	0.24432	0.0236326	0.084579	0.018039	0.00283272	0.0717991	0.0288044	0.00574733	0.0744196	0.104241	0.0727661	0.138976	0.215604	0.0472571	0.0232636	0.00765445	0.0884715	0.312096	0.102719	0.00082318	0.0419401	0.418089	3.53915	5	1.923337
8000	-69.04966	-93.78469	24.73503	2	0.06628492	0.120818	0.00912616	0.196708	0.19849	0.0495878	0.0314073	0.0108341	0.0747733	0.0220052	0.0635371	0.0355921	0.00457465	0.105626	0.118906	0.175969	0.233253	0.0207897	0.107332	0.0372694	0.0381965	0.0594579	0.056402	0.0649696	4.58647e-10	3.19125e-05	0.0217585	3.97821	4	1.835626
9000	-73.71826	-100.0855	26.36719	2	0.2095423	0.0765087	0.0790489	0.12621	0.168525	0.0174823	0.0298511	0.121626	0.00641243	0.00838128	0.090147	0.0774598	0.160442	0.0264174	0.00263498	0.0443574	0.369354	0.0343425	0.0312404	0.0259243	0.110852	0.0490661	0.0164791	0.0187206	0.000727435	0.0394554	0.4081	3.55172	4	1.691482
10000	-50.1967	-91.18724	40.99054	10	0.3568779	0.00183398	0.0196707	0.00385727	0.116703	0.0691279	0.00395393	0.0680703	0.00376818	0.074428	0.0843407	0.160916	0.00390808	0.0694564	0.00613698	0.0394236	0.0111775	0.0413146	0.026834	0.421335	0.100408	0.0765204	0.00693187	0.0419144	0.0110162	0.148894	0.68006	3.16003	5	1.452032
11000	-78.41038	-92.78584	14.37547	1	0.1308189	0.0638109	0.0302081	0.0985032	0.0587478	0.0661935	0.007326	0.0193186	0.151332	0.00321402	0.0475598	0.101314	0.0823687	0.0939743	0.133136	0.303922	0.0442717	0.434976	0.169736	0.0698709	0.444845	0.124434	0.0290397	0.0402491	1.37303e-05	0.00548749	0.183546	3.81095	3	2.618352
12000	-69.27958	-90.5002	21.22062	2	0.07656104	0.0645946	0.0833987	0.0760851	0.00332906	0.0198751	0.000656713	0.0374407	0.0598652	0.0408968	0.0510429	0.0566814	0.00880469	0.00408488	0.0655851	0.168797	0.15246	0.0538133	0.164505	0.0420835	0.0411138	0.0677478	0.0120134	0.882665	7.58343e-09	0.000129652	0.038939	3.96093	4	2.157539
