Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-799.1099	-815.3722	16.26231	1	0.3824055	0.00951057	0.0853759	0.0112334	0.0464531	0.0719213	0.0949343	0.0485985	0.0130928	0.0161547	0.0968294	0.165033	0.00622093	0.038291	0.062805	0.544483	0.873573	0.19608	0.0116935	0.353054	0.0610452	0.0507961	0.0129831	0.313262	0.0362183	0.0709	0.099911	0.0376767	0.1812	0.0862441	0.0884975	0.0209179	0.00394363	0.0174389	0.0897036	0.299101	0.0206528	0.171141	0.0484156	0.0278621	0.0766119	0.0668113	0.0327479	0.181712	0.0142601	0.168495	0.711517	3.10573	3	4.84113
1000	-477.3856	-524.7042	47.3186	10	1.489972	0.132537	0.111524	0.00904162	0.0908778	0.0283741	0.0285292	0.0522911	0.13719	0.185091	0.107663	0.124667	0.04109	0.0146005	0.0872177	0.0575046	0.00838743	0.0625657	0.0724765	0.146946	0.131269	0.000314242	0.102124	0.0358554	0.0202959	0.0348243	0.0647872	0.148209	0.0420622	0.192656	0.304885	0.215983	0.000835445	0.0737231	0.0969053	0.113637	0.0334108	0.0745506	0.0175199	0.0347105	0.562369	0.179206	0.0386317	0.0339489	0.223769	0.586879	1.04983	2.13952	5	4.051287
2000	-461.3042	-523.2228	61.91858	10	0.7279571	0.232188	0.0457107	0.0860998	0.0523739	0.00879415	0.221104	0.00936494	0.0265425	0.107905	0.0308982	0.0408014	0.00299721	0.0491412	0.103149	0.0157392	0.126517	0.0753204	0.0461713	0.21433	0.0803562	0.0871895	0.0194377	0.00818577	0.0471736	0.0443742	0.0324369	0.0617384	0.0399341	0.0478169	0.198839	0.154253	0.108116	0.112102	0.0378718	0.0300156	0.00141438	0.0932656	0.0124286	0.114951	0.0147646	0.10351	0.0715988	0.431324	0.0801671	0.376428	0.934804	2.6086	5	3.448246
3000	-452.9357	-516.0257	63.09002	10	1.020293	0.15199	0.0129724	0.0336629	0.0585996	0.0214422	0.107137	0.00617603	0.0280126	0.0474689	0.0232745	0.05832	0.00444998	0.0214648	0.0143388	0.0119233	0.0829745	0.01884	0.0874883	0.206274	0.0251706	0.00412275	0.168324	0.0201659	0.0226854	0.0930998	0.0625021	0.319603	0.0382648	0.0622716	0.0142415	0.0987211	0.0610778	0.0531215	0.297765	0.0196312	0.188585	0.122639	0.0226011	0.0290735	0.0558253	0.151939	0.0130079	0.0891006	0.140985	0.482768	1.00328	2.37296	5	3.030348
4000	-458.031	-519.4299	61.39887	10	0.9992338	0.177651	0.00295902	0.238778	0.0656834	0.102461	0.0878685	0.0199167	0.0949264	0.0489893	0.0678726	0.0432609	0.00147351	0.0083976	0.0688162	0.0565006	0.038809	0.00041822	0.0984064	0.0664371	0.0451689	0.00664686	0.0698598	0.0242701	0.0123818	0.137034	0.0717229	0.0636585	0.0554628	0.0639343	0.0821489	0.00656546	0.00121714	0.110491	0.114951	0.300949	0.00828324	0.0275763	0.00398531	0.0913194	0.184339	0.0955301	0.0556544	0.101389	0.136801	0.476521	0.999873	2.3868	5	3.024164
5000	-477.3116	-521.9234	44.61189	10	1.307385	0.121135	0.0461951	0.111623	0.00781176	0.165019	0.116428	0.0512697	0.0022871	0.0553489	0.0362973	0.00216439	0.00434486	0.00570111	0.11905	0.0431391	0.118967	0.0542256	0.159275	0.0384105	0.0419713	0.00359209	0.098972	0.037578	0.52063	0.0634849	0.255852	0.0473994	0.0893063	0.00543368	0.031321	0.00916542	0.0585796	0.179577	0.0854621	0.0331988	0.0533562	0.235667	0.0737572	0.0403134	0.473655	0.112265	0.128522	0.115142	0.193977	0.553005	1.03678	2.21624	5	4.052894
6000	-467.5665	-518.5667	51.00016	10	1.325948	0.262413	0.00648046	0.202512	0.320723	0.0429726	0.0800621	0.0672686	0.000613094	0.133923	0.0253045	0.0611597	0.00254457	0.0428734	0.022748	0.0378362	0.059203	0.0266914	0.0625042	0.356693	0.0943319	0.0208928	0.0353342	0.00349057	0.0707365	0.0256743	0.148374	0.456068	0.0116836	0.245173	0.0429153	0.0121694	0.12189	0.115243	0.00244069	0.0706708	0.0580751	0.0370286	0.100934	0.0471602	0.0361241	0.248587	0.0653728	0.0301359	0.19714	0.556766	1.03833	2.20777	5	3.91503
7000	-468.6351	-526.0719	57.43682	10	1.295373	0.372772	0.0245361	0.0266873	0.127516	0.0453248	0.175212	0.0239854	0.0381442	0.0463883	0.027857	0.0254885	0.0126958	0.022357	0.0252658	0.050145	0.0779446	0.0509394	0.105258	0.0992191	0.014267	0.0185159	0.03139	0.0109777	0.195348	0.0186793	0.00763247	0.0104349	0.281809	0.0288357	0.0105902	0.0902129	0.0091731	0.0502204	0.026764	0.0923178	0.134817	0.359113	0.103993	0.0150184	0.0414366	0.010924	0.189091	0.105285	0.191913	0.550529	1.03575	2.22181	5	3.23458
8000	-456.817	-515.5145	58.69747	10	1.902014	0.157709	0.00890939	0.00889935	0.0348615	0.0180252	0.159084	0.0453694	0.0420768	0.0488126	0.0639909	0.0228948	0.037243	0.00202814	0.00842358	0.0306577	0.193444	0.00100744	0.0890329	0.0858539	0.0695379	0.0326412	0.197216	0.0636356	0.0273774	0.099168	0.0269761	0.0263535	0.00294825	0.0183742	0.114873	0.0125403	0.00373069	0.147211	0.0282349	0.0549686	0.117845	0.109988	0.106077	0.363211	0.0606758	0.0965315	0.332722	0.0635887	0.281291	0.644172	1.06733	2.0072	5	3.234749
9000	-462.3051	-519.9695	57.6644	10	0.9553714	0.186541	0.00206721	0.0305341	0.0988595	0.0940762	0.0641682	0.0397038	0.0281012	0.0195208	0.0199865	0.0626704	0.0755397	0.00134961	0.0347013	0.104401	0.0109442	0.0384746	0.0441563	0.115401	0.0229745	0.00573992	0.0339516	0.0799536	0.0247979	0.0045482	0.0786451	0.244848	0.161051	0.00430359	0.403214	0.0490176	0.233046	0.0506705	0.0789578	0.0608144	0.246262	0.0492504	0.102521	0.0754631	0.199873	0.0648163	0.0236704	0.0561811	0.127965	0.462914	0.992193	2.41693	5	3.425768
