Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-221.9858	-262.2124	40.22665	10	0.236078	0.0660146	0.146398	0.0964908	0.0213808	0.0659251	0.0330197	0.128775	0.0979699	0.00954634	0.187137	0.003256	0.0143879	0.118958	0.00408482	0.00631535	0.104298	0.0450064	0.0120612	0.0274361	0.0522019	0.0611656	0.00152517	0.0568365	0.471192	3.47045	5	1.301829
1000	-146.407	-184.8461	38.43913	10	2.637317	0.286012	0.08215	0.00671957	0.00218661	0.0127152	0.0100446	0.00637103	0.123884	0.0298539	0.0250752	0.0456594	0.0974962	0.00991558	0.148357	0.0100516	0.0455975	0.0332382	0.0746358	0.00803061	0.0989143	0.159544	0.359101	0.70924	1.08003	1.85163	5	1.316453
2000	-152.3334	-187.6915	35.35811	10	0.5439598	0.234605	0.0643659	0.0197584	0.00494555	0.0259742	0.0212083	0.0130712	0.00818974	0.0626162	0.0158605	0.0168538	0.0942838	0.00690737	0.0412835	0.00403028	0.010877	0.014363	0.0328434	0.130213	0.235464	0.00219221	0.0417969	0.279649	0.849795	2.82876	5	1.059907
3000	-141.8953	-182.7864	40.89111	10	1.274198	0.439026	0.0241016	0.0969423	9.79163e-06	0.0255621	0.00576223	0.0118266	0.0123865	0.0290414	0.0447441	0.00791867	0.0805425	0.0170476	7.24608e-05	0.0302981	0.0645831	0.0721692	0.0179629	0.11722	0.0323221	0.15231	0.188242	0.54608	1.03386	2.23181	5	1.28185
4000	-177.6342	-195.5852	17.95093	1	1.039187	0.594139	0.0452979	0.181071	0.000241865	0.0746423	0.0484675	0.0269467	0.121061	0.015911	0.070101	0.0547255	0.00403344	0.219586	0.0796743	0.106166	0.095769	0.142651	0.0898004	0.0140218	0.0188966	0.000692302	0.144706	0.488221	1.0062	2.36087	3	2.003896
5000	-158.7217	-186.9348	28.21305	10	1.442371	0.880556	0.0271971	0.0458002	0.0255783	0.0112886	0.0545129	0.037697	0.0636642	0.0106666	0.0301123	0.0481207	0.0456049	0.0342019	0.0489454	0.0267977	0.0835394	0.113797	0.119647	0.362746	0.0285237	0.109537	0.216281	0.578674	1.04685	2.15819	5	2.208535
6000	-175.7309	-194.8424	19.11144	2	0.8667075	0.521782	0.0750541	0.140106	0.110288	0.0368737	0.0351839	0.00517351	0.00660221	0.201721	0.0388909	0.0106747	0.0372705	0.0091106	0.010602	0.0186426	0.390401	0.0711199	0.00884255	0.182807	0.0408616	0.0667912	0.109654	0.432666	0.973853	2.48383	4	2.018799
7000	-153.0774	-190.2791	37.20169	10	2.069394	0.366836	0.126397	0.194146	0.00358899	0.0757588	0.0130987	0.00530318	0.00139468	0.0368276	0.0917481	0.0395594	0.000561169	0.0690425	0.0505119	0.0426209	0.0568629	0.0226302	0.0586009	0.0343801	0.00856814	0.0227188	0.30142	0.662196	1.07163	1.96475	5	1.321157
8000	-167.301	-188.0499	20.74889	2	4.186583	0.658232	0.0288846	0.230192	0.07482	0.041549	0.057945	0.02122	0.0570922	0.0419247	0.0373885	0.032973	0.056947	0.00877357	0.0224016	0.0274536	0.00825506	0.279602	0.0314626	0.00104297	0.0289883	0.00361663	0.464327	0.781424	1.08433	1.66992	4	1.750765
9000	-164.2204	-193.9715	29.75106	10	0.5446635	0.507588	0.169381	0.11552	0.0231427	0.00199195	0.0436673	0.0488671	0.0115158	0.0431917	0.112259	0.02479	0.171081	0.186047	0.227612	0.104651	0.0221924	0.0547455	0.184722	0.0700924	0.0317293	0.0385586	0.0419353	0.280077	0.850231	2.82776	5	2.193347
