Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-464.0977	-487.9006	23.80288	10	2.192542	0.0476728	0.040048	0.130067	0.0241034	0.224499	0.0326059	0.0947596	0.182959	0.259739	0.13986	0.0343848	0.18566	0.144853	0.0394082	0.0251432	0.0761746	0.432564	0.0437617	0.030831	0.0904007	0.0941116	0.315224	0.674042	1.07414	1.9366	5	2.373607
1000	-237.6239	-268.7112	31.08723	10	1.313215	0.0224715	0.0147086	0.004788	0.04301	0.0214022	0.0541807	0.0242958	0.0140491	0.0125707	0.0325245	0.0608369	0.02106	0.169608	0.159456	0.364596	0.152138	0.00857625	0.495815	0.00475821	0.0312319	0.173861	0.194974	0.554194	1.03727	2.21356	5	1.885938
2000	-244.8106	-270.6498	25.83914	2	2.266264	0.0174033	0.0203444	0.0232539	0.0262874	0.0496953	0.063597	0.00151968	0.0212791	0.00880987	0.0103102	0.00412516	0.00561021	0.153829	0.3559	0.194863	0.175073	0.0679879	0.240953	0.0353588	0.0461951	0.0176458	0.323114	0.680637	1.07542	1.92083	4	1.540041
3000	-240.3003	-271.1461	30.84583	10	4.44185	0.00633162	0.000807289	0.0425764	0.0635293	0.081813	0.00448445	0.00659078	0.000635945	0.0439307	0.0711466	0.00242714	0.0425323	0.135463	0.127204	0.150281	0.0751613	0.173813	0.303792	0.10377	0.107173	0.179033	0.477102	0.789225	1.08411	1.64956	5	1.722496
4000	-226.8954	-263.4102	36.51484	10	2.168198	0.0117533	0.00494174	0.0161543	0.0264039	0.0238533	0.0140339	0.0218561	0.000919569	0.0205403	0.0398384	0.0031906	0.0146309	0.106982	0.13001	0.190278	0.143097	0.150557	0.213722	0.0216853	0.0649054	0.126239	0.312558	0.671785	1.07368	1.94198	5	1.345592
5000	-229.3236	-263.0574	33.73377	10	3.693946	0.00332339	0.00975474	0.015408	0.00818448	0.00803042	0.0864395	0.00816895	0.0235683	0.0127318	0.0371996	0.00993002	0.0239117	0.246487	0.00425722	0.0785019	0.079748	0.138727	0.357356	0.0253974	0.192248	0.088659	0.436716	0.763913	1.08431	1.71506	5	1.458033
6000	-248.0991	-272.9675	24.86849	2	3.404166	0.0177681	0.00349925	0.0328283	0.0106172	0.0411943	0.101874	0.0232894	0.0615067	0.00647119	0.0144465	0.0113127	0.00482891	0.0269699	0.0464491	0.4232	0.0700278	0.223451	0.15962	0.174446	0.00797549	0.0592428	0.418298	0.751706	1.0839	1.7461	4	1.52102
7000	-225.2374	-262.915	37.67757	10	1.804535	0.00438597	0.0146641	0.00094842	0.0210023	0.0570869	0.0211197	0.00183672	0.0266475	0.0371865	0.0109724	0.00777622	0.0226172	0.232306	0.166626	0.172182	0.0670922	0.0642598	0.291112	0.0639511	0.00137014	0.0697926	0.26877	0.632477	1.06423	2.03452	5	1.354936
8000	-229.4546	-264.837	35.38244	10	2.876012	0.00279292	0.0183127	0.0117625	0.0436786	0.0337175	0.0467591	0.00184938	0.00399244	0.00340075	0.0862221	0.024775	0.0079411	0.145209	0.165616	0.00692608	0.13402	0.237584	0.194977	0.152741	0.0453667	0.0983003	0.379437	0.724424	1.08183	1.81431	5	1.465946
9000	-233.5733	-268.5777	35.00444	10	0.7663677	0.0137076	0.0282118	0.000117674	0.0422412	0.00612585	0.0324321	0.0206229	0.0214348	0.00887154	0.0154771	0.0132802	0.0180503	0.199237	0.00101033	0.0787902	0.0883798	0.229694	0.245376	0.13145	0.136139	0.081218	0.0883848	0.393232	0.947182	2.5712	5	1.411867
