Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-743.3624	-755.6227	12.26031	10	0.4026556	0.0550604	0.0245117	0.0874999	0.0187871	0.257768	0.186991	0.172749	0.0244199	0.0354678	0.0170873	0.0114188	0.0708522	0.076913	0.00919585	0.0855295	0.128992	0.128045	0.155021	0.0940275	0.371917	0.196301	0.0198326	0.00190676	0.0728569	0.00090757	0.00095382	0.0383341	0.0373827	0.0255916	0.0559307	0.0595123	0.0991697	0.0659911	0.0170994	0.183737	0.734138	3.06503	5	2.686925
1000	-283.3767	-308.7355	25.35883	2	4.03711	0.00136896	0.00339628	0.00647683	0.00130808	0.0234619	0.0147285	0.0113393	0.0418965	0.00117187	0.0558919	0.0362521	0.0538726	0.0272332	0.169687	0.00808415	0.00220935	0.0304647	0.00380933	0.160236	0.0523373	0.0038165	0.0130645	0.0173427	0.00426747	0.00876454	0.0307715	0.0128773	0.0135556	0.0505251	0.270438	0.130062	0.0134253	0.00190679	0.456389	0.776483	1.08439	1.68273	4	1.276044
2000	-273.7357	-315.715	41.97929	1000	1.368318	0.00729506	0.00438713	0.017833	0.00217332	0.00556405	0.0186657	0.0017721	0.0413306	0.00228384	0.0798098	0.0488816	0.0274319	0.0581172	0.162525	0.00433118	0.0140062	0.0083147	0.036958	0.161383	0.0878751	0.0314039	0.032367	0.0106301	0.0376618	0.00903324	0.000761975	0.150407	0.00689658	0.0251748	0.225974	0.0210545	0.0348143	0.0278627	0.204245	0.565062	1.04165	2.18904	6	1.404982
3000	-287.0152	-314.9396	27.92443	10	5.751092	0.0142039	0.00502569	0.00427965	0.00131787	0.00737659	0.00474878	0.0152002	0.0474662	0.0926143	0.0128646	0.0295426	0.058835	0.021467	0.0411778	0.0291324	0.00156326	0.00441844	0.042198	0.0289758	0.133932	0.00464014	0.00419816	0.0424174	0.0019498	0.0513658	0.112702	0.0771643	0.00690744	0.0476585	0.276854	0.0552965	0.0269381	0.034332	0.530569	0.819989	1.08181	1.56764	5	1.338764
4000	-278.2359	-313.8419	35.60604	1000	3.654411	0.0111896	0.00552852	0.00482	0.0008735	0.00976351	0.0073818	0.0214362	0.0692415	0.0332167	0.0301456	0.0130366	0.0385407	0.0840785	0.296541	0.0321902	0.046423	0.0351277	0.0969682	0.00777948	0.0834781	0.000280616	0.0969378	0.013042	0.00821529	0.0220064	0.0438648	0.00494707	0.0731632	0.131128	0.215809	0.0235655	0.000193971	0.154753	0.434307	0.762341	1.08427	1.71908	6	1.715666
5000	-255.8862	-301.4896	45.60335	1000	2.566388	0.00683862	0.00285693	0.00218022	0.00375277	0.00365471	0.00662291	0.00746994	0.0483172	0.0182981	0.00883046	0.000623323	0.0552699	0.0034111	0.0413106	0.0246272	0.000651019	0.0100827	0.0214739	0.000294655	0.100081	0.0215629	0.0192147	0.141998	0.0897005	0.00533396	0.0229341	0.00726492	0.0342047	0.00630997	0.120034	0.0143639	0.0280602	0.0317028	0.352662	0.704291	1.07934	1.8637	6	0.9093318
6000	-273.4462	-307.5659	34.11971	10	1.53301	0.0149199	0.0110305	0.00588034	0.00676711	0.00566626	0.0028949	0.0013841	0.0513945	0.0112241	0.0197316	0.0216696	0.0087463	0.00678204	0.0949694	0.0316103	0.00260084	0.0413896	0.00211776	0.0172633	0.0539671	0.0227091	0.0178895	0.0222096	0.085298	0.00959351	0.087838	0.0310409	0.00018561	0.0281346	0.151339	0.148038	0.00755598	0.0125879	0.230377	0.59396	1.0523	2.12336	5	1.03643
7000	-271.501	-304.5955	33.09448	10	3.619	0.0117216	0.00194747	0.00831761	0.00177561	0.00929885	0.00413323	0.0131954	0.0261538	0.00395864	0.0191608	0.0371487	0.0120443	0.0149527	0.0282488	0.0124437	0.012805	0.00448719	0.00603539	0.0004566	0.0392861	0.0377055	0.00789118	0.0242403	0.0370188	0.0155189	0.00795483	0.027948	0.000909957	0.0148549	0.161339	0.120514	0.0049428	0.17408	0.432123	0.76091	1.08424	1.72273	5	0.9024892
8000	-281.2683	-312.8659	31.59753	1000	2.458707	0.0186836	0.0129648	0.00873051	0.016065	0.0209701	0.00544694	2.7546e-05	0.0517024	0.00493609	0.0134083	0.107821	0.0576579	0.0271128	0.122921	0.00789809	0.0371824	0.0278907	0.00351237	0.15605	0.124569	0.0479256	0.0135977	0.119127	0.00619572	0.0510315	0.0670413	0.00638728	0.0542395	0.0280097	0.306082	0.0732219	0.0133156	0.00451669	0.342506	0.696341	1.07814	1.88301	6	1.616241
9000	-276.1276	-310.561	34.4334	1000	6.31285	0.00232539	0.0125684	9.65424e-06	0.000222542	0.0172861	0.0329495	0.013781	0.0719036	0.0310546	0.0315401	0.0434556	0.0465425	0.0232349	0.0126167	0.00742809	0.0932667	0.0163808	0.0259445	0.0060152	0.0650802	0.00277254	0.017429	0.00699111	0.0108698	0.0137105	0.198193	0.105785	0.0104546	0.0224851	0.166305	0.199207	0.047525	0.00938289	0.548892	0.829886	1.08055	1.54067	6	1.364717
10000	-274.6905	-312.79	38.09951	1000	5.919103	0.00109133	0.0114514	0.0222257	0.01732	0.0098375	0.00201099	0.00695541	0.0152894	0.00817739	0.00374842	0.0104002	0.0620027	0.087501	0.232472	0.0342739	0.0432156	0.0414948	0.024648	0.0541457	0.0366795	0.012743	0.00306346	0.038756	0.000852602	0.00328305	0.0106561	0.00224079	0.0145383	0.108652	0.139255	0.107829	0.000140926	0.0103479	0.536286	0.823111	1.08144	1.55916	6	1.177299
11000	-271.1981	-306.5677	35.36956	1000	2.665423	0.00251201	0.00680773	0.019632	0.00367021	0.00191818	0.00423404	0.000740966	0.0593596	0.0155396	0.00213208	0.0126927	0.039158	0.0430367	0.0675257	0.022936	0.0081358	0.0588476	0.0190929	0.00390543	0.0658971	0.104029	0.0281331	0.00962812	0.096287	0.013723	0.00610061	0.0102227	0.0163784	0.00887589	0.11244	0.125381	0.0131592	0.0392308	0.361599	0.711142	1.08028	1.84698	6	1.041363
12000	-276.0346	-315.0214	38.98682	1000	2.162427	2.17786e-05	0.00710749	0.0228426	0.00708471	0.00109972	0.0243463	0.00534548	0.0599509	0.0376088	0.133716	0.0159994	0.0181225	0.0103914	0.0613558	0.0165019	0.00433419	0.171688	0.0122441	0.0233932	0.0665944	0.00552879	0.0352787	0.0835187	0.00697273	0.151607	0.0779125	0.0398446	0.00230722	0.0370799	0.260224	0.00216965	0.00139003	0.0042245	0.311922	0.671244	1.07357	1.94326	6	1.407806
13000	-290.839	-315.4746	24.63559	2	5.298845	0.00255121	0.0101276	0.00300455	0.00566362	0.00428888	0.00378035	0.00948136	0.00736177	0.0111959	0.0143997	0.0320254	0.0146478	0.0277229	0.022923	0.0103682	0.0363071	0.00140134	0.0670766	0.0694107	0.117718	0.237886	0.0822886	0.017591	0.0244342	0.0113027	0.00904997	0.0302017	0.00112372	0.0517898	0.192505	0.000154426	0.034656	0.113598	0.514035	0.810785	1.08275	1.59243	4	1.278038
14000	-282.7119	-311.9333	29.22141	10	1.799082	0.000665423	0.0055806	0.0287682	0.00280426	0.00857342	0.00259804	0.0154753	0.0800726	0.0107641	0.0898084	0.028082	0.00500661	0.00659765	0.325201	0.0170378	0.0240934	0.0501444	0.016057	0.00204492	0.044974	0.0125947	0.0216929	0.00872094	0.00476761	0.176723	0.0757595	0.0203829	0.00194878	0.00123243	0.193319	0.0123611	0.00797193	0.136601	0.268052	0.631793	1.06404	2.03611	5	1.438425
15000	-274.47	-315.2807	40.81068	1000	4.434853	0.0023278	0.0460465	0.0158321	0.0101323	0.0119316	0.00851296	0.01989	0.0355024	0.000121852	0.00460479	0.051013	0.0242026	0.0422481	0.0420011	0.00191925	0.0350201	0.0291108	0.00426666	0.00438235	0.066051	0.0505286	0.0459616	0.00721464	0.0150025	0.0370583	0.00129294	0.00153501	0.117323	0.0855342	0.179087	0.0228481	0.0296979	0.0980813	0.476765	0.789021	1.08412	1.6501	6	1.146283
16000	-268.2698	-310.7652	42.49532	1000	3.026296	0.021198	0.00318633	0.00656668	0.00607202	0.00890325	0.0179191	0.014398	0.0158222	0.0005606	0.164351	0.0276768	0.00579203	0.0146459	0.0763319	0.00436379	0.0222136	0.0054667	0.00129734	0.0198216	0.0632728	0.00779223	0.0309792	0.0153638	0.0303791	0.023642	0.0061151	0.000344515	0.0886204	0.111881	0.321273	0.00520291	0.0092349	0.0113185	0.391286	0.732974	1.08264	1.7931	6	1.162006
17000	-280.1111	-317.8504	37.73933	1000	3.396093	1.74816e-05	0.0152995	0.028459	0.00987896	0.0182985	0.0120372	0.00220352	0.0401929	0.0223289	0.309244	0.0157914	0.0470544	0.0225248	0.0416605	0.0100888	0.0280512	0.0291631	0.0256079	0.221758	0.0589128	0.0266192	0.020361	0.0906516	0.0319654	0.00119923	0.0156275	0.0684357	0.131465	0.0208452	0.284755	0.0172115	0.0307015	0.0289888	0.417759	0.751341	1.08388	1.74702	6	1.7274
18000	-294.7168	-322.6014	27.88454	10	3.445797	0.0231241	0.00829952	0.00787748	0.00816641	0.00814909	0.013286	0.0138033	0.0301048	0.0488825	0.00912888	0.059989	0.0384997	0.00805839	0.25015	0.0191757	0.0861213	0.022725	0.0159213	0.0290342	0.0682389	0.132408	0.0374772	0.00048036	0.0557529	0.0133308	0.00097071	0.02775	0.189498	0.0103679	0.173703	0.00486133	0.00350474	0.0389187	0.421057	0.753562	1.08398	1.7414	5	1.457759
