Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-2549.386	-2561.191	11.80488	10	0.5087566	0.0153333	0.0175194	0.142678	0.0180863	0.162853	0.0273488	0.153434	0.00566881	0.149213	0.068348	0.127934	0.128778	0.0196443	0.103175	0.00866147	0.012477	0.196599	0.12463	0.278006	0.0562168	0.10557	0.0169363	0.199138	0.231977	0.0426939	0.219264	0.0882541	0.121637	0.0710545	0.194524	0.0683991	0.237574	0.0278997	0.0157108	0.0179998	0.0227129	0.212097	0.359046	0.120901	0.0390321	0.123618	0.465474	0.185844	0.084619	0.067399	0.0550784	0.125363	0.294117	0.100236	0.0172403	0.0225109	0.0758704	0.0573216	0.174947	0.0352409	0.271469	0.121625	0.278223	0.0922174	0.00743323	0.00652532	0.141645	0.0180505	0.03255	0.0429937	0.0653447	0.34305	0.090951	0.120246	0.00958842	0.0706544	0.0176614	0.200877	0.0729999	0.109826	0.074952	0.195439	0.035022	0.257594	0.826537	2.88085	5	8.498226
1000	-1727.679	-1727.743	0.06406234	2	6.311247	0.00594761	0.162901	0.0326168	0.0609134	0.251511	0.088339	0.0352461	0.155511	0.0748845	0.152182	0.0302206	0.0661068	0.0810831	0.146733	0.0109527	0.0564567	0.00579885	0.0904759	0.115157	0.0720755	0.0276407	0.0069787	0.0622833	0.339762	0.0997052	0.100454	0.145632	0.0619648	0.0575918	0.2439	0.0439266	0.0601514	0.0739507	0.0169502	0.0490002	0.297783	0.0607358	0.323133	0.052576	0.0252884	0.0172389	0.0534706	0.284891	0.0328375	0.118336	0.087528	0.036249	0.0979078	0.455993	0.0847661	0.0988499	0.143566	0.0950431	0.170245	0.107013	0.0610087	0.136957	0.0309385	0.0412811	0.0214059	0.0849947	0.0182838	0.0593369	0.0508119	0.0692364	0.0723338	0.103335	0.0881064	0.133593	0.0035021	0.0619576	0.00518308	0.0112542	0.00124628	0.26771	0.0272616	0.0247876	0.548843	0.82986	1.08055	1.54075	4	7.10298
2000	-1725.503	-1717.263	-8.239718	2	4.95321	0.0397554	0.228924	0.0186418	0.146293	0.0543134	0.177643	0.0480219	0.0956966	0.0935842	0.0467274	0.0143693	0.0848968	0.103644	0.121353	0.0119954	0.166683	0.0373992	0.0441743	0.143252	0.13183	0.0418615	0.00269258	0.0625899	0.285805	0.204383	0.087108	0.260975	0.0503156	0.0338449	0.0644767	0.0257687	0.232807	0.0616578	0.0131838	0.0379102	0.226818	0.117135	0.20918	0.140032	0.0324057	0.04316	0.321398	4.08012e-05	0.00200942	0.103456	0.188352	0.0315589	0.116458	0.258103	0.0445159	0.0249193	0.327171	0.00169599	0.386758	0.0178785	0.383352	0.00759964	0.084414	0.0320849	0.172109	0.171299	0.00447499	0.152766	0.0299453	0.0543841	0.175178	0.274019	0.0167287	0.0364308	0.101249	0.0876051	0.133962	0.0551384	4.22956e-05	0.191659	0.0964021	0.0339097	0.500123	0.802831	1.08338	1.61366	4	8.162379
3000	-1724.748	-1723.947	-0.8014643	2	5.677801	0.0133873	0.180549	0.0234802	0.087192	0.179197	0.0929326	0.0691746	0.225097	0.0439381	0.102348	0.0113535	0.0317308	0.110464	0.219674	0.0336195	0.19295	0.0431138	0.0997867	0.128674	0.0779356	0.0101626	0.00278297	0.0284788	0.340504	0.149733	0.162411	0.103101	0.00221841	0.250369	0.0226967	0.0789772	0.0775021	0.0659197	0.0185936	0.110592	0.258122	0.0515474	0.274303	0.0521024	0.00391369	0.0360024	0.0740878	0.100739	0.0678801	0.0482944	0.0785731	0.256021	0.152213	0.175524	0.206745	0.0737932	0.163586	0.00106747	0.0304326	0.00823122	0.0344671	0.0810029	0.0509926	0.243268	0.290402	0.0942485	0.0716431	0.0284836	0.00209851	0.0253243	0.0718368	0.132258	0.0102202	0.197923	0.0782458	0.176419	0.0881083	0.148801	0.0360887	0.110434	0.0110546	0.00544379	0.528006	0.81858	1.08197	1.57145	4	7.492579
4000	-1707.486	-1709.587	2.10109	2	5.046025	0.00524878	0.186506	0.045934	0.0741631	0.283762	0.0822533	0.0671666	0.0641609	0.113204	0.00971832	0.00423821	0.0999136	0.0799086	0.140643	0.000716331	0.160482	0.00327985	0.11969	0.143169	0.0611372	0.0627958	0.0277662	0.0100633	0.281183	0.159796	0.0643474	0.0706443	0.0328057	0.10595	0.0867203	0.0638802	0.268173	0.0865071	0.0154493	0.0614726	0.221963	0.0476623	0.192907	0.0378375	0.00210562	0.127236	0.158456	0.401622	0.016194	0.00695126	0.0763092	0.00453814	0.0160912	0.238294	0.0402024	0.170093	0.0570829	0.0322084	0.0511697	0.138793	0.0420569	0.125894	0.0887705	0.150663	0.0519607	0.0777334	0.117844	0.146498	0.0696492	0.0217128	0.0756386	0.0968382	0.0223468	0.221171	0.020964	0.194256	0.127258	0.0523089	0.090723	0.237646	0.121395	0.0148067	0.503978	0.805055	1.08322	1.60775	4	7.348697
5000	-1723.641	-1718.131	-5.510017	2	5.029293	0.0232352	0.549157	0.191022	0.0871235	0.206655	0.0662491	0.0423912	0.128976	0.192912	0.0131335	0.00327568	0.121182	0.101671	0.186974	0.00260912	0.141651	0.0257007	0.0522523	0.281063	0.0524063	0.00628141	0.00509727	0.0302123	0.127046	0.37535	0.142003	0.16518	0.0100738	0.124224	0.174905	0.00931873	0.10382	0.0536582	0.0488712	0.0242129	0.174941	0.0238108	0.326615	0.213012	0.0361162	0.0435886	0.0205118	0.0566851	0.0825467	0.0275789	0.0771152	0.234687	0.265778	0.263046	0.0228023	0.14706	0.0523585	0.0201492	0.157529	0.120428	0.0873127	0.0583236	0.0439877	0.0823424	0.0428173	0.0052309	0.0507531	0.016784	0.0204217	0.043986	0.0495145	0.245654	0.0863683	0.00800874	0.0117165	0.161522	0.0235341	0.232593	0.0592861	0.12279	0.0857033	0.0923597	0.50329	0.804659	1.08325	1.6088	4	7.867263
6000	-1715.046	-1713.861	-1.185049	2	4.687958	0.0239639	0.35569	0.0118482	0.212137	0.251336	0.0837929	0.0287761	0.200101	0.208387	0.248942	0.00443641	0.00836514	0.106448	0.24908	0.00501685	0.130169	0.0346133	0.0310192	0.142073	0.127475	0.0679113	0.0250317	0.0267694	0.326866	0.372205	0.0866285	0.139637	0.0551557	0.125557	0.0395891	0.0193993	0.248395	0.0567913	0.00604121	0.0521421	0.173036	0.0141793	0.293016	0.122899	0.00103883	0.0159506	0.0313501	0.254304	0.148933	0.00308113	0.102279	0.256144	0.0310859	0.173381	0.0250229	0.00456709	0.0935577	0.0287695	0.0918505	0.0419094	0.0604041	0.120531	0.103788	0.0599017	0.0550979	0.0319038	0.091507	0.188581	0.0179413	0.0405907	0.0217967	0.0719277	0.0295718	0.127547	0.0703547	0.175083	0.033697	0.026751	0.14675	0.0047431	0.136907	0.0911847	0.488578	0.796078	1.0838	1.63154	4	7.724703
7000	-1719.382	-1720.65	1.268425	2	4.180605	0.0954469	0.417294	0.12344	0.027378	0.196589	0.0774063	0.0197185	0.0272701	0.0762767	0.177105	0.00947027	0.0103514	0.0738312	0.0425737	0.0506319	0.141684	0.0441198	0.00621731	0.290667	0.123345	0.0227878	0.00134906	0.00718689	0.359018	0.0669393	0.248526	0.119396	0.0740809	0.0570958	0.0580111	0.034513	0.106943	0.066972	0.00346113	0.0362664	0.0426106	0.00888958	0.210154	0.130284	0.00577331	0.0967945	0.116549	0.186835	0.0852894	0.0289668	0.0413389	0.352247	0.0216942	0.22089	0.0146798	0.260355	0.0338449	0.079579	0.0665014	0.0656083	0.15248	0.103519	0.0347961	0.078459	0.123671	0.0385785	0.066804	0.281861	0.159882	0.0141375	0.137647	0.0682851	0.0483803	0.0906773	0.0465088	0.165887	0.0627461	0.0788573	0.052142	0.010513	0.00891581	0.0737107	0.464017	0.781232	1.08433	1.67042	4	7.260706
8000	-1731.206	-1723.331	-7.874639	1	4.358547	0.0121159	0.297406	0.155453	0.039614	0.162169	0.0779068	0.0906385	0.118839	0.102549	0.34195	0.00160639	0.050561	0.0869844	0.1187	0.0301756	0.215495	0.0288322	0.033889	0.251779	0.0745361	0.02355	0.00099539	0.0208172	0.349881	0.339058	0.0852379	0.135106	0.122077	0.0373471	0.06008	0.0179027	0.179663	0.0270197	0.0175884	0.029357	0.0842465	0.116961	0.389241	0.151363	0.0242543	0.0469779	0.145361	0.222338	0.0305201	0.0133016	0.026598	0.377126	0.0328912	0.0542355	0.00508355	0.000484104	0.0283625	0.0356457	0.285407	0.0858006	0.0459014	0.0602899	0.0258181	0.126309	0.112672	0.0939308	0.135113	0.0476417	0.244257	0.129643	0.122298	0.291747	0.0167854	0.0675925	0.0418994	0.0447443	0.0466972	0.0273627	0.0468635	0.181969	0.0171709	0.0188397	0.473036	0.786762	1.08419	1.65601	3	7.838622
9000	-1715.275	-1721.279	6.003628	2	4.036496	0.0284961	0.243073	0.0724393	0.0662455	0.322939	0.09324	0.0213538	0.123614	0.0136189	0.108592	0.00463302	0.00773922	0.0804344	0.077836	0.013472	0.313687	0.0159629	0.0430756	0.118139	0.0803881	0.052217	0.0458316	0.0183377	0.170223	0.162154	0.122903	0.140417	0.040878	0.124366	0.0563106	0.00518767	0.163541	0.0154954	0.00831149	0.0464242	0.204108	0.0764354	0.350466	0.165406	0.0581934	0.119903	0.107044	0.0949688	0.0258099	0.100212	0.168271	0.42555	0.200893	0.072636	0.0755533	0.0800751	0.127393	0.0410453	0.0205733	0.0132547	0.022719	0.143825	0.14617	0.0999789	0.0340104	0.127957	0.037023	0.057035	0.0250775	0.0837994	0.0705141	0.06434	0.00189042	0.0692856	0.0310475	0.0259206	0.0984884	0.00409084	0.0492861	0.0248442	0.0910209	0.0141076	0.456356	0.776462	1.08439	1.68279	4	6.871796
10000	-1724.395	-1720.176	-4.218934	2	5.855347	0.04771	0.273863	0.0962122	0.0567405	0.397392	0.0252536	0.140059	0.0885347	0.06987	0.0990958	0.000915991	0.0343053	0.0800823	0.148339	0.00744033	0.204361	0.0259784	0.0615366	0.201309	0.125447	0.0382627	0.00583667	0.0499107	0.301148	0.124295	0.184129	0.184178	0.0446274	0.0935212	0.0593067	0.00611547	0.100857	0.0474639	0.00415949	0.0188401	0.0816886	0.0552013	0.136082	0.108376	0.012021	0.318985	0.0626969	0.210812	0.146016	0.149979	0.156452	0.0491027	0.131235	0.0140487	0.0322672	0.0440876	0.134556	0.122271	0.126001	0.131784	0.0750997	0.0775493	0.210801	0.306504	0.0903061	0.0328888	0.0301126	0.00986697	0.0369411	0.00590204	0.0116916	0.264448	0.0502657	0.0247192	0.0978787	0.267691	0.104174	0.121095	0.0646252	0.00324998	0.0573655	0.0508923	0.534142	0.821944	1.08158	1.56234	4	7.664829
11000	-1719.203	-1715.673	-3.530072	2	6.468923	0.0520765	0.1819	0.166365	0.0407604	0.392523	0.107204	0.0722821	0.016771	0.158429	0.15689	0.00105965	0.0256811	0.107183	0.0864985	0.0114604	0.203636	0.00986567	0.00160728	0.118528	0.0797992	0.0689371	0.00495295	0.000550863	0.286306	0.000943207	0.404829	0.147178	0.0411108	0.13962	0.0721998	0.0645091	0.0557404	0.0137846	0.00103229	0.0361407	0.133654	0.0706347	0.250487	0.197109	0.0541025	0.334314	0.00902971	0.336977	0.00299458	0.0985455	0.1349	0.00618546	0.106355	0.0834888	0.0698592	0.0605211	0.153158	0.0150366	0.119998	0.01763	0.0412787	0.0330695	0.0616571	0.0525504	0.031125	0.140336	0.0302222	0.04906	0.190731	0.000154885	0.0476626	0.320891	0.184984	0.141926	0.0463485	0.217278	0.0131396	0.0497206	0.042629	0.0597306	0.131422	0.0614529	0.553606	0.832382	1.08019	1.53382	4	7.530704
12000	-1714.421	-1717.841	3.420259	2	3.577338	0.0172697	0.31604	0.0740727	0.0588145	0.223349	0.204858	0.0596873	0.0234984	0.0266793	0.0409004	0.0193393	0.0797724	0.0960163	0.0862911	0.0272346	0.196251	0.0076251	0.0275838	0.202816	0.0382288	0.0369085	0.000503397	0.00546707	0.378048	0.149718	0.108018	0.11109	0.0407168	0.210237	0.141583	0.08553	0.207811	0.0297145	0.00440601	0.03564	0.260747	0.0606584	0.239489	0.0709265	0.0715775	0.278349	0.168601	0.196595	0.27589	0.268976	0.0329491	0.0181672	0.0197351	0.0155748	0.0404786	0.190444	0.00779622	0.179412	0.142881	0.0249153	0.0255681	5.93975e-05	0.0760364	0.423569	0.024263	0.0767939	0.030568	0.0106614	0.038536	0.0581238	0.00799947	0.0575438	0.0209078	0.136915	0.169191	0.0440899	0.0148822	0.0305542	0.0940536	0.0303525	0.0224144	0.0898593	0.42952	0.759196	1.08419	1.7271	4	7.418825
13000	-1716.377	-1715.388	-0.9893521	2	5.68522	0.000901272	0.256931	0.054025	0.0729359	0.12753	0.0115858	0.0798028	0.27078	0.156835	0.113242	0.00306587	0.0179741	0.168497	0.141184	0.0170975	0.279122	0.00732164	0.0654797	0.0982644	0.051369	0.102924	0.00149619	0.0184811	0.438962	0.10481	0.180778	0.1607	0.100335	0.14768	0.0776068	0.000857207	0.126297	0.0278388	0.012006	0.0293427	0.156931	0.0216548	0.167316	0.168649	0.0270266	0.0607755	0.0965675	0.0906077	0.00577188	0.0872993	0.0877921	0.100208	0.15915	0.0447907	0.127305	0.000996569	0.135773	0.0987739	0.231839	0.0760253	0.0464249	0.104482	0.00981074	0.0264553	0.0370002	0.331387	0.177299	0.0439862	0.0794821	0.123994	0.0213118	0.0399602	0.0322167	0.0629878	0.265968	0.137648	0.150259	0.00169	0.0369813	0.0272824	0.0385099	0.0795421	0.528267	0.818724	1.08195	1.57106	4	7.343992
14000	-1727.211	-1719.247	-7.964133	1	4.665155	0.0555401	0.241406	0.04456	0.0353809	0.114648	0.0495898	0.0519307	0.093229	0.119226	0.115395	0.0371725	0.0958311	0.142724	0.245618	0.00137327	0.23739	0.0102815	0.0361622	0.0989629	0.0586681	0.0508531	0.00752999	0.000144075	0.332251	0.137338	0.122896	0.0699829	0.0969633	0.0710904	0.0813935	0.0146573	0.146497	0.0316806	0.0333287	0.0391962	0.218233	0.0251863	0.51587	0.150601	0.0490539	0.23739	0.126115	0.420408	0.0598078	0.16559	0.269216	0.0716294	0.049177	0.022211	0.0573442	0.0235375	0.200247	0.201121	0.0278094	0.186914	0.105123	0.0114997	0.0225718	0.110018	0.0684211	0.102904	0.0343345	0.0869518	0.0705429	0.00489768	0.141567	0.255117	0.0110481	0.0226741	0.10084	0.0548059	0.121272	0.0154511	0.0459635	0.0269663	0.199835	0.00575331	0.487547	0.795468	1.08383	1.63315	3	7.816911
15000	-1710.65	-1708.579	-2.071298	2	9.23035	0.0769873	0.311701	0.0964345	0.0318273	0.0960429	0.058032	0.0181879	0.0412629	0.0736572	0.0470311	0.0498676	0.0475983	0.166754	0.109771	0.0564787	0.278084	0.036646	0.0230828	0.127551	0.04212	0.0297697	0.00381169	0.00482436	0.327002	0.19861	0.0600931	0.136808	0.0910126	0.0809111	0.0968921	0.00211638	0.230742	0.0951161	0.00102451	0.103943	0.305664	0.000654014	0.221138	0.134519	0.015273	0.186831	0.175357	0.399631	0.00821755	0.100102	0.0236048	0.0875745	0.0845463	0.131756	0.0362217	0.0630611	0.213153	0.138698	0.110168	0.173322	0.0126616	0.0953526	0.130569	0.0114345	0.0030704	0.0408615	0.092136	0.0332283	0.228192	0.0623802	0.00196957	0.132981	0.0442968	0.0459213	0.0421879	0.0948521	0.187399	0.0706166	0.136721	0.0116281	0.000257789	0.0526462	0.618039	0.864593	1.07393	1.44344	4	7.392653
16000	-1730.254	-1720.212	-10.04184	2	10.74582	0.0477347	0.304864	0.0515428	0.0631058	0.130817	0.0470444	0.0770163	0.110556	0.04439	0.202577	0.0100009	0.0382914	0.0380971	0.183612	0.009692	0.315033	0.046922	0.0478839	0.108094	0.0257965	0.0587651	0.00201841	0.0311372	0.415669	0.368422	0.162351	0.105678	0.0530956	0.244773	0.0782633	0.00976255	0.0745413	0.0623831	0.0152573	0.0640935	0.201233	0.00352549	0.284701	0.16148	0.0818931	0.410918	0.274228	0.248227	0.0595769	0.186851	0.00693341	0.252353	0.0108142	0.05138	0.0583231	0.0103725	0.164658	0.00509437	0.115819	0.139293	0.145624	0.0133653	0.0468968	0.0211118	0.143401	0.0129033	0.137766	0.000706046	0.220515	0.057797	0.0494679	0.0845256	0.0441939	0.0250356	0.0542828	0.0242246	0.151694	0.0775269	0.0280671	0.0103421	0.167191	0.064064	0.643201	0.876273	1.07087	1.40966	4	7.957657
17000	-1726.192	-1721.088	-5.103578	1	3.157354	0.0207821	0.139052	0.0653348	0.0776019	0.119784	0.165422	0.0190935	0.0817918	0.0706544	0.0033626	0.0433247	0.0447721	0.088907	0.0993335	0.0217964	0.147468	0.0276235	0.103394	0.187589	0.120956	0.00825842	0.00972877	0.00725516	0.279504	0.197724	0.0753423	0.105659	0.040254	0.115863	0.0897728	0.0574619	0.155315	0.0762243	0.00174862	0.0936062	0.0579652	0.0142672	0.260646	0.147806	0.00599078	0.257461	0.101939	0.18076	0.011996	0.221101	0.425659	0.114405	0.112341	0.0781838	0.235166	0.0217699	0.0812033	0.243121	0.0781067	0.00237479	0.0010581	0.00546611	0.0834455	0.230821	0.0659139	0.0989834	0.121842	0.0531418	0.0693613	0.100652	0.203741	0.0421629	0.0120305	0.162575	0.237109	0.249458	0.0749926	0.120743	0.0388195	0.0591567	0.00108679	0.0350548	0.40108	0.739884	1.08319	1.77585	3	7.681636
