Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-320.9337	-333.7774	12.84368	10	4.204404	0.111916	0.0046121	0.0289872	0.104411	0.157738	0.292073	0.056664	0.0286178	0.000864337	0.0541217	0.154908	0.0641697	0.108911	0.46525	0.781994	1.08432	1.66844	5	1.167995
1000	-171.2088	-186.8014	15.59255	2	0.8487039	0.012152	0.00643444	0.101162	0.0176514	0.000744772	0.00397163	0.0106062	0.0921525	0.150868	0.23641	0.180113	0.0401497	0.00215113	0.105872	0.426028	0.969587	2.49851	4	0.8545661
2000	-158.9383	-187.5965	28.65823	1000	3.163955	0.000592825	0.00362101	0.0371572	0.0352475	0.0161184	0.0323183	0.122188	0.0416796	0.0573988	0.116753	0.193042	0.0781836	0.079999	0.401561	0.74022	1.08321	1.77501	6	0.8142994
3000	-155.0622	-185.9812	30.91902	1000	1.474739	0.00461399	0.000567108	0.0151958	0.0189869	0.00907225	0.00321645	0.0513567	0.0548301	0.0428724	0.102498	0.226937	0.0984949	0.0232191	0.221394	0.584297	1.0489	2.14541	6	0.6518604
4000	-153.5024	-187.6545	34.15215	1000	1.586573	0.00242758	0.00471747	0.00733821	0.0117011	0.00514589	0.012983	0.0512199	0.0926916	0.0610067	0.00650325	0.0846303	0.161378	0.00677176	0.238392	0.60236	1.05513	2.10412	6	0.5085146
5000	-153.1911	-185.9977	32.80663	1000	1.330462	0.00076956	0.00536422	0.0205146	0.0285592	0.0153372	0.0121282	0.0664507	0.0294443	0.0624377	0.0441194	0.17426	0.150406	0.0126375	0.197905	0.557668	1.03869	2.20573	6	0.6224287
6000	-176.8603	-190.3263	13.466	10	2.006328	0.000665771	0.0100566	0.0535	0.0698248	0.00104582	0.00842846	0.0157267	0.276724	0.0899097	0.0400569	0.365046	0.277701	0.0136401	0.294029	0.655685	1.07015	1.98014	5	1.222326
7000	-179.3095	-193.1464	13.83686	1	2.22343	0.0183709	0.00917893	0.0507118	0.0622937	0.0180858	0.00880024	0.00945237	0.0678691	0.106076	0.0422894	0.254284	0.153076	0.0403542	0.318562	0.676848	1.07469	1.9299	3	0.8408424
8000	-156.7937	-189.6933	32.89964	1000	0.6463799	0.0026318	0.00399134	0.0271528	0.0314541	0.0333131	0.0270541	0.0450069	0.050436	0.048726	0.00697885	0.187104	0.147247	0.0382699	0.0627935	0.337093	0.903254	2.69686	6	0.6493655
9000	-168.4465	-189.1694	20.72282	0.2	0.6570868	0.00325821	0.00726975	0.0109812	0.0335531	0.0390747	0.00198141	0.0669078	0.0303751	0.0392353	0.196933	0.183361	0.0347269	0.079725	0.0650564	0.342559	0.907865	2.68452	2	0.727383
