Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-826.6169	-883.707	57.09004	10	0.6801007	0.0114281	0.0143057	0.00295465	0.0294295	0.00664853	0.0581159	0.184212	0.0417812	0.0110887	0.220605	0.0508778	0.0529223	0.0185798	0.0431056	0.152635	0.0214164	0.0966573	0.0551683	0.0918814	0.0973115	0.199583	0.163704	0.00838023	0.0645929	0.025241	0.0116598	0.00234225	0.0231599	0.0419406	0.161785	0.0750577	0.0724961	0.595312	0.138561	0.00740734	0.0263575	0.0115608	0.125746	0.117564	0.0272215	0.0384271	0.0699438	0.353988	0.917265	2.6588	5	3.199224
1000	-462.1903	-515.4444	53.25414	10	2.236176	0.0977594	0.0166534	0.116255	0.0596802	0.00236379	0.0965329	0.00324612	0.0106168	0.188817	0.058457	0.0592205	0.00922282	0.021353	0.0189685	0.00953893	0.196043	0.0432147	0.131651	0.133538	0.0115913	0.0547744	0.0281883	0.0641477	0.264129	0.143061	0.051136	0.126462	0.00927115	0.0405109	0.0993871	0.15846	0.0915811	0.0406586	0.100845	0.136451	0.0164792	0.0215513	0.213489	0.0636161	0.0388404	0.02214	0.319926	0.677987	1.07491	1.92717	5	3.069903
2000	-474.7208	-523.2808	48.56	10	0.987913	0.134217	0.00905479	0.0955134	0.190894	0.0153631	0.0360274	0.0234415	0.169142	0.176409	0.0366065	0.0371038	0.0351576	0.0883767	0.00968344	0.0292663	0.174324	0.00443701	0.241234	0.0576728	0.0248539	0.0608931	0.00847406	0.479793	0.212392	0.0424502	0.00043658	0.0550965	0.0431247	0.00916405	0.0446983	0.253906	0.187045	0.0394054	0.123527	0.124945	0.00482429	0.097647	0.0360794	0.0707402	0.211919	0.0751397	0.134536	0.473088	0.997968	2.39441	5	3.770477
3000	-455.7029	-511.509	55.80607	10	1.134678	0.157099	0.00437494	0.0212372	0.0679635	0.0325726	0.0986579	0.0138593	0.0260085	0.020498	0.0190854	0.0193258	0.00130175	0.0106689	0.0290002	0.0312714	0.122687	0.0758319	0.138945	0.0786866	0.027492	0.0449614	0.0215538	0.0459201	0.374281	0.00553926	0.0555488	0.251179	0.187766	0.0421284	0.124224	0.20442	0.0716422	0.12029	0.237486	0.0323747	0.0198448	0.0665618	0.0699282	0.113683	0.00195092	0.0817822	0.163016	0.5138	1.01917	2.30402	5	3.169632
4000	-466.8489	-526.4278	59.57884	10	2.264805	0.158379	0.0353008	0.107318	0.108614	0.0303882	0.199696	0.033629	0.00243879	0.0882616	0.0149107	0.0477257	0.00957311	0.0451212	0.0593434	0.0720062	0.0285205	0.0786344	0.102719	0.0635829	0.0014595	0.0510769	0.0133738	0.0328745	0.312584	0.0323932	0.0631733	0.0402046	0.0781401	0.0749704	0.011748	0.0719132	0.047042	0.00547672	0.221124	0.00086534	0.201794	0.016158	0.17404	0.0328454	0.125972	0.0502964	0.32296	0.68051	1.0754	1.92113	5	2.945688
5000	-480.7318	-522.8352	42.1034	10	1.544227	0.326136	0.066553	0.0108004	0.0583822	0.00770149	0.0701802	0.0235967	0.0208302	0.33679	0.0560736	0.0645958	0.0735898	0.00693605	0.00868983	0.0226182	0.0932899	0.0581995	0.209971	0.168843	0.0101601	0.0248746	0.0117714	0.078058	0.259999	0.0799227	0.240304	0.287446	0.203784	0.0355461	0.0738623	0.0862687	0.00819302	0.251369	0.160255	0.0329441	0.641082	0.0474054	0.010698	0.0564577	0.0339798	0.0267685	0.232075	0.595756	1.05292	2.11925	5	4.344926
6000	-463.9355	-519.5628	55.62724	10	0.5499154	0.116209	0.0467798	0.200904	0.141839	0.0217844	0.0331316	0.00657868	0.018198	0.120152	0.0814096	0.0307681	0.0133133	0.00482446	0.0131286	0.027597	0.0393647	0.00692518	0.198779	0.0552517	0.00732721	0.062048	0.002459	0.079739	0.166729	0.0606674	0.116183	0.0342236	0.019223	0.0609998	0.023292	0.0524362	0.240929	0.395983	0.0220908	0.0639126	0.24886	0.0773142	0.0351123	0.120629	0.0790571	0.0362022	0.0429717	0.283259	0.853446	2.82032	5	3.182356
7000	-463.7237	-518.5021	54.77836	10	0.8362474	0.205663	0.0188505	0.148636	0.0919144	0.00330544	0.108988	0.0911559	0.0170337	0.108905	0.0182094	0.0455587	0.0406239	0.0235672	0.00696437	0.00702898	0.173319	0.0285474	0.205662	0.0592154	0.0287748	0.0111869	0.0022446	0.0650483	0.117224	0.0558192	0.0524531	0.0256927	0.103429	0.0397219	0.191511	0.0136341	0.141178	0.268614	0.0987813	0.0967928	0.0358123	0.125723	0.0832651	0.124187	0.0346172	0.113114	0.103245	0.421328	0.966514	2.50891	5	3.231974
8000	-481.9832	-521.8379	39.85468	2	2.654729	0.12453	0.0307646	0.0135567	0.220363	0.00919247	0.120871	0.00202569	0.00949265	0.231026	0.0313096	0.0394714	0.0123377	0.0387804	0.0115384	0.0246877	0.0475433	0.0154991	0.107287	0.0863025	0.0354272	0.0550505	0.00700493	0.01586	0.226732	0.223015	0.0620383	0.0577075	0.157774	0.0693419	0.0550957	0.0520737	0.0393843	0.120197	0.0267454	0.0784043	0.0271383	0.0983022	0.119948	0.0109581	0.0630707	0.00307443	0.360652	0.710422	1.08019	1.84874	4	2.780924
9000	-455.5429	-516.8454	61.30253	10	0.5680137	0.125771	0.00791201	0.0648859	0.224752	0.0384307	0.000237787	0.0146422	0.00881797	0.131226	0.0559417	0.0701996	0.0710793	0.0135334	0.00418253	0.00673118	0.0640671	0.00149192	0.0941985	0.034814	0.00565588	0.0315238	0.0679448	0.124013	0.0143623	0.0602262	0.0414484	0.112973	0.0664311	0.094714	0.0146312	0.00672067	0.0513649	0.140969	0.0608916	0.0617683	0.0162349	0.155488	0.153638	0.00386456	0.0244205	0.0533769	0.0465853	0.294018	0.86408	2.79532	5	2.395576
10000	-456.2361	-513.1155	56.87938	10	1.189143	0.124964	0.036004	0.057993	0.0686375	0.00906333	0.222594	0.0210453	0.0124572	0.141451	0.115622	0.0725819	0.01205	0.0241554	0.0268911	0.0165017	0.0429791	0.0475891	0.228857	0.0778086	0.00771569	0.0117234	0.00709082	0.49247	0.184841	0.126339	0.0756246	0.015109	0.0373514	0.0159727	0.0459837	0.0431253	0.0565318	0.0278688	0.0769282	0.0136306	0.145643	0.0413661	0.106127	0.0287073	0.026753	0.0662289	0.17308	0.527055	1.02542	2.27444	5	3.012378
11000	-475.7005	-522.8071	47.10665	10	3.775476	0.140073	0.0338941	0.00511896	0.0282013	0.0140707	0.0831911	0.00349559	0.0312558	0.26009	0.032088	0.00633896	0.00146504	0.025888	0.0158179	0.0498774	0.315599	0.0761838	0.11156	0.0772996	0.0120036	0.0368632	0.066596	0.18496	0.0714233	0.126137	0.0706696	0.0256497	0.0679904	0.245641	0.0866816	0.277739	0.0158624	0.0190716	0.0685633	0.00907758	0.0341935	0.0969486	0.27315	0.23781	0.0438874	0.126796	0.441586	0.767069	1.08436	1.70698	5	3.509221
12000	-462.4687	-516.3774	53.90875	10	1.327504	0.135736	0.00354523	0.0234976	0.151936	0.0253227	0.0864486	0.037579	0.00127129	0.0733193	0.0831261	0.0203918	0.0820576	0.0101929	0.0265634	0.030407	0.0437576	0.0418192	0.210133	0.0226152	0.00866293	0.118212	0.000691885	0.0340923	0.235951	0.0790271	0.0851328	0.0617984	0.0752263	0.0474095	0.108396	0.0980326	0.177204	0.27237	0.122971	0.176788	0.0305005	0.00212148	0.239465	0.192543	0.0737182	0.0978367	0.197404	0.557077	1.03845	2.20707	5	3.447871
13000	-483.2268	-522.8857	39.65893	10	3.118982	0.13885	0.166179	0.0869825	0.0117578	0.00456651	0.0823566	0.00769289	0.057388	0.203434	0.0632844	0.149893	0.0364801	0.0498772	0.00251165	0.0668501	0.0429007	0.142131	0.210956	0.00759858	0.0361221	0.0898695	0.00969696	0.0113319	0.431955	0.153331	0.139242	0.116118	0.105103	0.0540362	0.39366	0.00829684	0.101631	0.0308729	0.0158123	0.0290092	0.0330155	0.318338	0.249701	0.0324511	0.0802142	0.129233	0.398262	0.73791	1.08304	1.78078	5	4.100731
