Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-188.3581	-211.3968	23.03871	10	0.248967	0.0167379	0.157718	0.338321	0.141262	0.153	0.00521631	0.0251761	0.0739119	0.00824485	0.425733	0.1205	0.313944	0.0511619	0.192316	0.0589488	0.00687422	0.0226411	0.0898218	0.0488708	0.0491387	0.324194	0.00206396	0.065945	0.499302	3.43269	5	2.623732
1000	-111.9762	-129.6741	17.69795	2	3.613485	0.035076	0.000139529	0.043366	0.10025	0.10891	0.0062199	0.128682	0.0382983	0.0110976	0.0393265	0.0772712	0.0228112	0.181566	0.00598142	0.139252	0.238838	0.0186921	0.0384116	0.326724	0.0145241	0.194745	0.431781	0.760685	1.08423	1.7233	4	1.770182
2000	-96.05635	-129.0126	32.95628	10	0.9583706	0.0404762	0.034453	0.00668051	0.0778086	0.132967	0.0268212	0.00103564	0.0420158	0.039821	0.0581209	0.0751333	0.0874472	0.0703077	0.0881484	0.0306972	0.0472358	0.141019	0.136684	0.277427	0.14365	0.0202401	0.128575	0.463871	0.992744	2.41481	5	1.57819
3000	-91.7029	-127.2363	35.53344	10	2.071702	0.0506184	0.0444145	0.0414031	0.0447715	0.094573	0.0516324	0.000955007	0.00295297	0.063197	0.000901661	0.0784305	0.101066	0.0296702	0.204438	0.0231644	0.011507	0.13404	0.154796	0.00403156	0.0876419	0.207584	0.301686	0.662428	1.07168	1.9642	5	1.431789
4000	-87.12323	-124.3757	37.25248	10	2.484698	0.0408994	0.00756253	0.000135951	0.0444212	0.108423	0.0267237	0.0390893	0.0209942	0.0304983	0.00892746	0.0312379	0.0196061	0.127686	0.0542617	0.0808978	0.151322	0.0285866	0.109396	0.0197145	0.0349263	0.03979	0.345001	0.69831	1.07845	1.87824	5	1.025099
5000	-102.091	-128.7382	26.64728	10	1.219423	0.0198145	0.0668687	0.123679	0.131846	0.000386608	0.0451991	0.0328311	0.0362594	0.0935788	0.00881745	0.0510838	0.0687056	0.0415995	0.123643	0.168122	0.232818	0.167942	0.0427022	0.247782	0.117087	0.248801	0.178555	0.53405	1.0286	2.25879	5	2.069566
6000	-92.26604	-124.9317	32.66563	10	1.612208	0.0327022	0.048086	0.0224662	0.0302881	0.00123393	0.0627542	0.0116942	0.0150438	0.152722	0.0151609	0.104116	0.0910632	0.388266	0.0347385	0.330076	0.0615681	0.0746639	0.12543	0.026301	0.1303	0.0722647	0.242147	0.606227	1.05638	2.09524	5	1.830939
7000	-88.75965	-125.1488	36.38912	10	1.641551	0.0158615	0.00327876	0.00872706	0.0303551	0.0122331	0.132907	0.115714	0.0499619	0.00763446	0.0327336	0.0587886	0.0198214	0.154103	0.272449	0.202308	0.13444	0.0659105	0.0840819	0.035636	0.0418989	0.0505305	0.246384	0.610539	1.05776	2.08532	5	1.529374
8000	-100.6017	-124.7425	24.14085	2	1.640432	0.0034404	0.0186321	0.0661561	0.00706452	0.0196861	0.131749	0.0106022	0.103469	0.04012	0.0112067	0.0300599	0.0288655	0.0016178	0.24446	0.0692086	0.15091	0.230945	0.0313442	0.0306957	0.248349	0.0572323	0.246224	0.610377	1.0577	2.08569	4	1.535816
9000	-97.65459	-129.7823	32.12768	10	1.640008	0.0720058	0.0739429	0.063522	0.0802156	0.0811272	0.0870734	0.0266813	0.0127132	0.0875389	0.0179171	0.121389	0.0349201	0.00264897	0.22458	0.345921	0.0795035	0.168475	0.121994	0.0277308	0.0454692	0.0465611	0.246163	0.610315	1.05769	2.08584	5	1.821931
10000	-114.811	-128.7298	13.9188	2	5.207688	0.0327082	0.0446524	0.0495174	0.0275024	0.00146186	0.176912	0.102673	0.0768972	0.0237499	0.0457523	0.145308	0.0490066	0.59217	0.0449748	0.0600909	0.0444317	0.0898575	0.468274	0.00947993	0.0117019	0.0584952	0.510481	0.808772	1.08292	1.59782	4	2.155616
11000	-95.76968	-128.5587	32.78898	10	1.817779	0.00641709	0.0125841	0.0775989	0.0187147	0.190867	0.0549994	0.0392265	0.00746473	0.0547476	0.0160336	0.0728171	0.125954	0.166868	0.0353123	0.140239	0.0209567	0.0558228	0.0653909	0.167763	0.128478	0.0131842	0.270508	0.634123	1.06468	2.03069	5	1.471439
12000	-94.56217	-127.0477	32.48551	10	1.453432	0.0416551	0.0488736	0.00898916	0.0232186	0.0883136	0.227451	0.0140451	0.0573957	0.0399196	0.00857042	0.0388439	0.0789304	0.153385	0.0129944	0.059572	0.00186734	0.336835	0.199746	0.148686	0.0142429	0.146031	0.218038	0.580617	1.04757	2.15378	5	1.749564
13000	-97.47038	-128.2409	30.77054	10	4.887604	0.00543828	0.0265724	0.0674708	0.0582582	0.0345311	0.0273061	0.0460362	0.0688724	0.00742316	0.0513203	0.0713092	0.0159537	0.137207	0.0486554	0.205831	0.0162581	0.244569	0.225946	0.247002	0.0688426	0.122664	0.497341	0.801217	1.08349	1.61795	5	1.797468
14000	-95.41931	-126.5598	31.1405	10	2.706169	0.0359855	0.0737666	0.0106398	0.00270417	0.0387541	0.104168	0.00719645	0.0964833	0.0766	0.00350236	0.0249509	0.163479	0.0635488	0.0199788	0.121918	0.105541	0.573324	0.0120512	0.172679	0.00222623	0.112429	0.365171	0.713842	1.08062	1.84036	5	1.821926
15000	-97.42813	-130.2138	32.78566	10	0.3013249	0.000981649	0.100022	0.0237424	0.151746	0.0827185	0.0122885	0.23188	0.112492	0.0903954	0.00680433	0.00221043	0.0781279	0.194103	0.388928	0.0465538	0.0930547	0.0272264	0.190317	0.0149611	0.0718584	0.0987498	0.0054034	0.105526	0.598021	3.29105	5	2.019161
16000	-89.08169	-121.2391	32.15743	10	1.36511	0.0265054	0.0622865	0.000983386	0.00627868	0.0378868	0.0346841	0.0366858	0.0205671	0.0554185	0.00280942	0.0622347	0.05914	0.296919	0.111739	0.133012	0.147243	0.0345154	0.0638334	0.242689	0.0552496	0.0575104	0.203713	0.564448	1.04141	2.19043	5	1.54819
17000	-93.38302	-128.1724	34.78941	10	0.9666915	0.0364141	0.0346814	0.0186992	0.0233233	0.0228069	0.143711	0.0983567	0.0949964	0.105796	2.67181e-05	0.0243046	0.113056	0.0288316	0.342882	0.068395	0.011127	0.0642543	0.308336	0.0416922	0.0473906	0.0778576	0.130261	0.466506	0.994254	2.40898	5	1.706939
18000	-99.46041	-128.2067	28.74628	10	1.076438	0.0200849	0.0950251	0.00812376	0.0911422	0.0167899	0.032567	0.0709865	0.0527295	0.0482065	0.00227191	0.126867	0.059546	0.0836063	0.407973	0.0109892	0.133413	0.106851	0.0096527	0.121765	0.124287	0.259604	0.151948	0.49858	1.01159	2.33788	5	1.882481
19000	-93.13198	-124.9854	31.85347	10	1.282721	0.0102764	0.0104469	0.00132357	0.00883363	0.0027472	0.0773895	0.0812778	0.0154261	0.18392	0.0171469	0.0152217	0.00946691	0.0194503	0.363293	0.0614144	0.036879	0.191597	0.174197	0.120127	0.0759433	0.186762	0.189725	0.547884	1.03463	2.22776	5	1.66314
20000	-93.45398	-127.2659	33.81188	10	1.630378	0.00200456	0.0296498	0.0344873	0.115753	0.0268274	0.100004	0.0592192	0.00205231	0.0435586	0.0273022	0.0794925	0.121431	0.0433789	0.132525	0.00993471	0.000808132	0.216989	0.136759	0.0485209	0.0231967	0.363212	0.244779	0.608911	1.05724	2.08907	5	1.617106
21000	-90.47136	-126.5236	36.0522	10	0.3626927	0.0292755	0.0265925	0.000626139	0.00520103	0.00176414	0.101845	0.0719467	0.192519	0.000510763	0.00446929	0.00890274	0.0349136	0.212527	0.029366	0.167335	0.102482	0.0609009	0.127716	0.234884	0.0331698	0.034331	0.0117205	0.153391	0.687535	3.14735	5	1.481279
22000	-108.5506	-129.6329	21.08232	2	0.6309324	0.0190088	0.0145513	0.00641406	0.00433663	0.0301839	0.190464	0.0675081	0.014558	0.0363508	0.017624	0.0523849	0.0231631	0.0567536	0.422081	0.126098	0.0931326	0.0224842	0.0351833	0.198157	0.159818	0.0799548	0.0595441	0.329035	0.896315	2.71511	4	1.67021
23000	-90.37226	-125.037	34.66474	10	1.359104	0.0635205	0.00901612	0.0270301	0.0426805	0.0354184	0.0455037	0.0356609	0.00423374	0.0302956	0.00361456	0.0158846	0.0239518	0.0454257	0.103678	0.00699527	0.0653514	0.261325	0.126243	0.188633	0.23583	0.133286	0.202714	0.563291	1.04095	2.19304	5	1.503576
24000	-96.3484	-130.6541	34.3057	10	3.460086	0.0661483	0.106086	0.0237313	0.0225169	0.000823279	0.0282294	0.0484849	0.0295824	0.0455236	0.0281529	0.0261714	0.0812306	0.023341	0.47952	0.0878351	0.0360165	0.00870361	0.0574358	0.0441475	0.029115	0.287308	0.421995	0.754191	1.08401	1.73981	5	1.560104
25000	-105.3697	-128.9008	23.53109	10	1.161175	0.00459033	0.0643138	0.0210199	0.0539507	0.0645699	0.178692	0.0127721	0.0229347	0.00636329	0.00537455	0.311178	0.0449837	0.474395	0.0441652	0.286175	0.114456	0.0362199	0.0625079	0.0356332	0.252623	0.0859933	0.167947	0.520361	1.0223	2.28939	5	2.182911
26000	-95.24226	-121.5747	26.33239	2	3.026668	0.013885	0.0200671	0.00146699	0.0835298	0.0497115	0.0043521	0.0309998	0.00811816	0.0544665	0.0137418	0.0353335	0.0408053	0.00407536	0.0166924	0.0843542	0.25738	0.0977277	0.0253795	0.108068	0.0442886	0.226677	0.391314	0.732994	1.08264	1.79305	4	1.22112
27000	-107.5903	-126.6678	19.07759	1	3.492866	0.0520144	0.0534969	0.027694	0.0849797	0.135725	0.0632631	0.0380359	0.0111402	0.0687716	0.0339203	0.0197254	0.105536	0.152108	0.00602694	0.00926847	0.160437	0.215063	0.175689	0.0720089	0.15868	0.00227805	0.424129	0.755618	1.08406	1.73619	3	1.645862
28000	-101.9121	-128.3494	26.43729	10	1.950634	0.0353641	0.125495	0.000147707	0.00544977	0.161807	0.103788	9.37612e-05	0.148913	0.0152212	0.0349283	0.0158775	0.0509541	0.118555	0.330002	0.190599	0.0321334	0.110075	0.00670577	0.429962	0.0344756	0.00948927	0.28731	0.649659	1.0687	1.99433	5	1.960036
