Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-61.7503	-86.14473	24.39443	10	0.8037101	0.207555	0.0883696	0.0189191	0.147537	0.030983	0.0516894	0.0402655	0.115909	0.122098	0.0231722	0.0822988	0.0672185	0.240041	0.0044188	0.162888	0.185716	0.0153762	0.000904487	0.0827518	0.096348	0.408623	0.957978	2.53705	5	1.688111
1000	-34.06107	-64.47627	30.4152	10	2.530819	0.191675	0.254591	0.0131466	0.0755705	0.165728	0.0209678	0.0202549	0.147593	0.0550562	0.034968	0.0839435	0.053838	0.234188	0.282129	0.0652247	0.0298482	0.167746	0.0646509	0.038655	0.349359	0.701725	1.07897	1.86995	5	1.999775
2000	-31.82344	-55.23108	23.40764	10	2.835263	0.104063	0.00514149	0.0488537	0.0328004	0.0484002	0.182968	0.142356	0.157696	0.0804484	0.0191504	0.0401501	0.0672463	0.115013	0.028647	0.315779	0.10022	0.225239	0.825643	0.06982	0.376102	0.721979	1.08157	1.82035	5	2.609635
3000	-44.95778	-62.5467	17.58891	1	5.011387	0.0759449	0.0211012	0.0178002	0.0689088	0.170225	0.0806915	0.0287335	0.0300447	0.0673683	0.00397147	0.0917585	0.0415479	0.0516232	0.357122	0.016961	0.0991645	0.129229	0.0219617	0.0915251	0.50255	0.804233	1.08328	1.60994	3	1.465682
4000	-33.50928	-60.2182	26.70892	2	0.3051352	0.024482	0.0825612	0.00450496	0.0109184	0.07878	0.0267516	0.215664	0.0626272	0.185699	0.014742	0.0614958	0.0804965	0.00950777	0.156027	0.128621	0.0159162	0.229069	0.0715204	0.00738024	0.00572111	0.108496	0.604327	3.28146	4	1.466764
5000	-33.83192	-58.74067	24.90875	10	0.3634901	0.0691706	0.00357394	0.196214	0.199564	0.151965	0.0523439	0.103902	0.122759	0.0731302	0.0145506	0.0414252	0.240555	0.0544802	0.598514	0.0866126	0.22566	0.056448	0.0810891	0.012377	0.0118187	0.154006	0.688545	3.14563	5	2.384334
6000	-25.48082	-60.40247	34.92166	10	1.50198	0.145861	0.110051	0.0877067	0.0186273	0.01883	0.124031	0.0141714	0.0132835	0.00480865	0.00930775	0.263802	0.0229514	0.0272154	0.227552	0.0981881	0.042229	0.110631	0.00458096	0.0591051	0.225628	0.588886	1.05054	2.13495	5	1.402933
7000	-41.62378	-56.76369	15.13991	1	1.07137	0.0729036	0.0239778	0.149568	0.118903	0.0959569	0.0630054	0.0001321	0.0219616	0.0393725	0.0473916	0.179068	0.432745	0.0049884	0.0667778	0.0437037	0.0699923	0.0892221	0.17931	0.405604	0.15097	0.4972	1.01089	2.34094	3	2.104584
8000	-38.08257	-56.66636	18.58379	1	1.393045	0.0291267	0.0162984	0.0513608	0.00218623	0.0400365	0.00804746	0.0297318	0.0323473	0.081414	0.0210668	0.00484931	0.00689382	0.00143254	0.061954	0.140009	0.114515	0.072864	0.0716185	0.942277	0.208317	0.569728	1.04347	2.17848	3	1.728029
9000	-34.7009	-56.13041	21.42952	10	1.014113	0.43032	0.00647348	0.0727167	0.220116	0.0215699	0.333178	0.00818182	0.00704132	0.199824	0.014105	0.0244572	0.0444212	0.30865	0.0465155	0.4659	0.226718	0.0318851	0.00585879	0.00845094	0.139761	0.480953	1.0023	2.37699	5	2.476383
10000	-22.75549	-58.86908	36.11358	10	0.3362678	0.143963	0.0263008	0.0272738	0.0362614	0.0355619	0.0835948	0.024653	0.0306498	0.143895	0.000818807	0.0840406	0.299373	0.0322265	0.0874132	0.0181178	0.127917	0.0862518	0.0113042	0.0360688	0.00869291	0.132847	0.651973	3.20649	5	1.335684
11000	-31.67254	-53.06841	21.39587	10	1.50301	0.286208	0.0184919	0.0128211	0.0239631	0.0980572	0.0141982	0.0787551	0.0833356	0.145143	0.00472559	0.0386088	0.0610589	0.824852	0.147666	0.0271525	0.125544	0.0310661	0.254114	0.0542367	0.225787	0.589057	1.0506	2.13456	5	2.329998
12000	-25.35876	-54.7438	29.38504	10	1.674395	0.0662016	0.152488	0.0677328	0.0281177	0.0537138	0.11991	0.0876889	0.0158847	0.0282365	0.0296845	0.0102352	0.120461	0.116876	0.0638544	0.0311884	0.012441	0.551833	0.183755	0.0442621	0.25105	0.615226	1.05921	2.07451	5	1.784564
13000	-34.9384	-59.32017	24.38177	10	2.025022	0.0272367	0.326007	0.111901	0.0562454	0.0413811	0.0429458	0.0384554	0.0319693	0.160742	0.0192795	0.0313766	0.045461	0.070798	0.160814	0.0489398	0.356455	0.122792	0.247837	0.0033549	0.296243	0.657648	1.0706	1.9755	5	1.94399
14000	-31.15185	-62.03991	30.88806	10	0.8321977	0.420558	0.0191042	0.0418247	0.0072105	0.223999	0.099738	0.0664255	0.0207545	0.0845599	0.116789	0.0663866	0.0353593	0.00823338	0.0355099	0.0658687	0.0344803	0.0168562	0.301979	0.00577111	0.102389	0.419781	0.965492	2.51234	5	1.671407
15000	-26.36655	-56.78119	30.41464	10	0.7380611	0.187895	0.0558673	0.0714447	0.0288437	0.236265	1.09279e-05	0.0040665	0.045257	0.0182027	0.0253371	0.17806	0.151667	0.174964	0.0153471	0.214068	0.056891	0.0224702	0.257796	0.0699007	0.0823296	0.380948	0.938195	2.59853	5	1.814354
16000	-38.45568	-55.16994	16.71427	1	0.4107832	0.0330382	0.0158748	0.108347	0.0121302	0.0715055	0.0930851	0.0244178	0.0715367	0.0292419	0.0218079	0.0428626	0.0290978	0.0399925	0.183453	0.0281817	0.286224	0.0132601	0.134354	0.774796	0.0183003	0.189764	0.74269	3.04925	3	2.013207
17000	-26.52275	-58.34974	31.827	10	0.6136245	0.125483	0.0642348	0.0693255	0.0493508	0.0727151	0.0191064	0.0322869	0.0142454	0.161442	0.117283	0.058172	0.0168674	0.0317223	0.116284	0.344745	0.0981054	0.0389618	0.0110761	0.315099	0.0559297	0.319761	0.888114	2.7362	5	1.756506
