Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-150.3026	-191.767	41.46439	10	1.853842	0.10484	0.0749598	0.029967	0.0366291	0.0720981	0.0702818	0.0580683	0.530184	0.0865706	0.168737	0.139708	0.110306	0.0540858	0.0225165	0.119903	0.184838	0.361108	0.138967	0.0845241	0.0628124	0.086731	0.390636	0.262449	0.0500286	0.0490976	0.275181	0.638514	1.06586	2.02044	5	3.350046
1000	-91.11537	-116.1618	25.04644	2	3.00531	0.00262489	0.106632	0.0199989	0.00553071	0.0192919	0.0325419	0.216077	0.0859398	0.442518	0.0711623	0.0299969	0.241175	0.0506584	0.00206861	0.187283	0.0370398	0.0766707	0.0777789	0.0759873	0.157594	0.458422	0.290018	0.218163	0.0894512	0.0185173	0.389672	0.731822	1.08254	1.79596	4	3.01314
2000	-52.25722	-99.5178	47.26058	10	2.957554	0.237385	0.00734015	0.0708539	0.0484656	0.038777	0.0120282	0.306861	0.0323578	0.0860189	0.129249	0.0383117	0.00537858	0.0150762	0.0104468	0.292119	2.71419e-05	0.00992649	0.00107132	0.175797	0.0987046	0.227609	0.081544	0.16281	0.0705032	0.911868	0.385951	0.72915	1.0823	1.8026	5	3.07053
3000	-47.88849	-110.9214	63.03293	10	1.40971	0.0238004	0.0115404	0.0396107	0.218593	0.212788	0.0123051	0.0835855	0.0419823	0.0848888	0.00291904	0.0223376	0.0960771	0.0158786	0.0270365	0.0164294	0.0732231	0.125913	0.0687443	0.0394046	0.0359076	0.258336	0.28182	0.0325165	0.0603759	0.0557792	0.211031	0.572803	1.04465	2.17152	5	1.941792
4000	-53.05077	-107.0398	53.98906	10	2.515494	0.0283165	0.00942413	0.0168241	0.0673097	0.0461845	0.0240705	0.129052	2.61447e-05	0.0968908	0.0139038	0.0146355	0.00124989	0.150561	0.0324378	0.164371	0.0158225	0.0183014	0.125435	0.0814697	0.311599	0.320563	0.148107	0.0318097	0.0431851	0.0220638	0.347921	0.700602	1.0788	1.87268	5	1.913614
5000	-47.1709	-106.7955	59.6246	10	0.03920061	0.0109907	0.0242269	0.00778857	0.0309299	0.025364	0.0150386	0.129343	0.123641	0.014196	0.00460424	0.048241	0.0181935	0.00268462	0.0417538	0.118861	0.097527	0.0156842	0.00148557	0.049624	0.219023	0.0642472	0.0172694	0.133798	0.145149	0.0238029	2.44302e-16	2.33439e-08	0.0010874	3.99891	5	1.383467
6000	-57.04246	-110.6134	53.5709	10	1.486392	0.0421823	0.0893453	0.00634229	0.128471	0.0923122	0.100883	0.037707	0.108549	0.15636	0.0268505	0.00968023	0.0851827	0.0907236	0.00611573	0.0166806	0.164718	0.473103	0.387674	0.0578558	0.00514775	0.105776	0.278588	0.18865	0.0291194	0.0065508	0.223213	0.586276	1.04961	2.1409	5	2.694568
7000	-38.58052	-105.2063	66.62574	10	1.26468	0.0511972	0.0313668	0.0221121	0.0640389	0.140177	0.0121652	0.00827134	0.000574636	0.0759895	0.00364505	0.0102629	0.0201485	0.0389555	0.0302981	0.464559	0.139197	0.0250473	0.0506329	0.0724473	0.271302	0.0817432	0.0322273	0.0853026	0.0116451	0.0684843	0.186579	0.544045	1.03299	2.23638	5	1.81179
8000	-47.60126	-101.965	54.3637	10	1.389796	0.00450588	0.00382712	0.0127794	0.0518433	0.00375369	0.0482431	0.211927	0.0170839	0.0533881	0.000158496	0.00232882	0.0105872	0.030404	0.00152331	0.0251936	0.215608	0.396842	0.244541	0.014276	0.12365	0.171304	0.0314257	0.170977	0.0471618	0.567099	0.207785	0.569122	1.04324	2.17986	5	2.460432
9000	-56.62346	-114.1579	57.53448	10	0.3333793	0.192582	0.0161694	0.0239426	0.0626602	0.0605376	0.039237	0.0709363	0.0142711	0.0364405	0.0371314	0.0296869	0.0256321	0.0195531	0.0207431	0.00262871	0.140898	0.0774966	0.350977	0.137339	0.00644384	0.0244245	0.014	0.049035	0.321442	0.0113337	0.00838948	0.130589	0.647827	3.21319	5	1.785542
