Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-900.2438	-961.011	60.76717	10	0.8284132	0.0296361	0.0677546	0.0217377	0.039505	0.118956	0.0950992	0.00146706	0.0229473	0.101834	0.0426869	0.0499869	0.223499	0.0117801	0.0143473	0.055644	0.040485	0.116449	0.0318963	0.0768837	0.176398	0.261005	0.0222356	0.251819	0.0865144	0.00823208	0.0437354	0.0483629	0.110976	0.05124	0.101573	0.119129	0.0177776	0.185815	0.0800225	0.365655	0.0999519	0.0690843	0.11956	0.0653777	0.127861	0.101654	0.145658	0.127164	0.0760204	0.086406	0.0374993	0.327879	0.237996	0.111431	0.210732	0.028225	0.0150465	0.0331546	0.29691	0.103019	0.0401771	0.00916481	0.194853	0.0243992	0.0504211	0.137527	0.246356	0.0514004	0.215538	0.323432	0.000344158	0.0417555	0.101589	0.418327	0.964527	2.51556	5	6.849083
1000	-526.246	-605.4273	79.18132	10	2.602915	0.131783	0.0549517	0.116553	0.0164227	0.143719	0.00764794	0.182472	0.0424783	0.0494117	0.0436949	0.031822	0.0769337	0.321714	0.0419967	0.0715039	0.0764013	0.0447497	0.0105648	0.114109	0.116007	0.175431	0.128034	0.0640038	0.0626327	0.00286815	0.0920279	0.012657	0.0344706	0.0805379	0.0798142	0.00223093	0.117402	0.0082899	0.149737	0.0537037	0.00970691	0.140346	0.0905724	0.0914779	0.0166303	0.0255238	0.121331	0.00914436	0.0627658	0.0351517	0.0410802	0.0294694	0.0696291	0.110795	0.00800698	0.0189554	0.0728341	0.158061	0.079217	0.139986	0.0347512	0.0723052	0.177911	0.147508	0.0145822	0.043981	0.0246317	0.00180731	0.29271	0.0265512	0.102611	0.0768522	0.356002	0.706867	1.07971	1.85743	5	5.105663
2000	-549.0777	-618.9549	69.87724	10	1.746248	0.0760928	0.0874833	0.0473191	0.0348973	0.0246425	0.0132056	0.0943932	0.0596967	0.0847247	0.0512676	0.0455692	0.18243	0.454214	0.0628112	0.0356886	0.0495179	0.0747525	0.0981912	0.157411	0.0846307	0.0675132	0.0872672	0.0526254	0.222636	0.14773	0.0840202	0.0699475	0.0458232	0.0868355	0.117497	0.0636037	0.134126	0.00523875	0.0126386	0.0697139	0.0766539	0.028498	0.19423	0.138759	0.0445715	0.0127714	0.248997	0.0660017	0.0581214	0.249762	0.107992	0.0371719	0.114451	0.0865448	0.0179027	0.0572717	0.209308	0.0605949	0.0323098	0.000878854	0.122867	0.11475	0.0449546	0.0333259	0.0344338	0.0285308	0.0648048	0.146474	0.073797	0.0820167	0.0514841	0.0143478	0.260981	0.624999	1.06212	2.0519	5	5.740734
3000	-586.8321	-606.9853	20.15321	1	3.260704	0.0929207	0.295309	0.115774	0.0873511	0.115787	0.00516892	0.124738	0.0728535	0.135462	0.0657107	0.0821716	0.0935831	0.115822	0.0760356	0.0249271	0.0528288	0.0823463	0.0185046	0.113858	0.110891	0.107039	0.144694	0.232008	0.0458691	0.188564	0.0483279	0.0038989	0.0750808	0.013083	0.18472	0.0921513	0.0666826	0.0129202	0.301388	0.0389086	0.0507925	0.0496982	0.0482126	0.0403623	0.156114	0.222269	0.181608	0.0421481	0.0898331	0.0657596	0.135478	0.0877258	0.00342226	0.103272	0.0978072	0.0171601	0.570967	0.0507472	0.0870027	0.0904544	0.141566	0.0113604	0.0370366	0.175676	0.0335233	0.00152154	0.124906	0.145551	0.136738	0.000627092	0.418401	0.0113814	0.408476	0.745012	1.08353	1.76298	3	6.866502
4000	-596.991	-620.3526	23.36167	2	2.455543	0.117722	0.163024	0.0504713	0.0292536	0.131293	0.0221666	0.203572	0.0994941	0.283015	0.116008	0.14714	0.353817	0.519487	0.222879	0.0144562	0.148704	0.00672961	0.00764144	0.153489	0.0200311	0.198107	0.041724	0.00741928	0.0429718	0.118626	0.13268	0.01723	0.0099495	0.203291	0.0864706	0.0242338	0.324313	0.0239575	0.126243	0.0029573	0.0435881	0.115994	0.0992075	0.121357	0.183274	0.0671148	0.0733563	0.0434115	0.140223	0.0717532	0.19715	0.0196892	0.039111	0.210918	0.0701778	0.113336	0.114629	0.0350706	0.0448647	0.0961164	0.106096	0.0972454	0.0416158	0.0865265	0.125552	0.121912	0.193125	0.205539	0.0473282	0.0783866	0.00062338	0.0936263	0.342201	0.696098	1.0781	1.8836	4	7.268484
5000	-573.9224	-606.5424	32.62	2	0.9462424	0.0730013	0.249588	0.190272	0.102031	0.00680481	0.0124808	0.0899468	0.00933996	0.0782373	0.183631	0.0508384	0.296546	0.0760571	0.0232306	0.0750083	0.0217311	0.0455877	0.0278008	0.103456	0.031895	0.0690323	0.266383	0.0370163	0.395698	0.0770594	0.368491	0.0754187	0.0579983	0.0395604	0.0339705	0.0844042	0.261171	0.052472	0.362423	0.0742158	0.0814597	0.115101	0.0621208	0.0142167	0.0535033	0.119299	0.0569383	0.0828654	0.12762	0.0822911	0.0364771	0.0132229	0.000340482	0.049819	0.12759	0.263575	0.0168354	0.0406782	0.166317	0.0726792	0.0916652	0.0463067	0.0425273	0.101813	0.0821586	0.0207033	0.0648868	0.0421349	0.408065	0.217424	0.0126675	0.0611676	0.126107	0.459975	0.990488	2.42343	4	6.777266
6000	-589.3361	-607.5124	18.17624	2	3.027069	0.00547053	0.18684	0.0862778	0.199205	0.108762	0.0274462	0.1744	0.0555083	0.189902	0.226664	0.00294871	0.339027	0.0902155	0.271887	0.0947816	0.0157402	0.366408	0.0477592	0.306127	0.0542611	0.0178885	0.0934852	0.0167653	0.13454	0.0242954	0.222736	0.0156558	0.0479758	0.167576	0.02199	0.0233142	0.12629	0.114788	0.0647872	0.345289	0.146866	0.00916053	0.06037	0.0316725	0.0892301	0.0529376	0.0869288	0.0148392	0.262911	0.138517	0.0759023	0.0795981	0.210936	0.0822914	0.0371759	0.206819	0.00753355	0.00202714	0.173372	0.0355597	0.180794	0.0943262	0.145383	0.196424	0.304006	0.0178723	0.153859	0.0526067	0.155107	0.00841168	0.181906	0.0229931	0.391345	0.733016	1.08265	1.79299	4	7.605344
7000	-575.2502	-611.443	36.19283	2	1.530976	0.301507	0.0122604	0.0868107	0.0840398	0.0870345	0.00952002	0.0498119	0.056893	0.225598	0.0371018	0.0881101	0.168838	0.0551907	0.175236	0.0436939	0.0219231	0.0466755	0.00270329	0.0506243	0.0642407	0.147052	0.142868	0.0775054	0.154384	0.0373851	0.054069	0.0322967	0.0141733	0.0210501	0.0146964	0.0658416	0.0382408	0.0470283	0.265511	0.012659	0.212241	0.0580253	0.0686416	0.132761	0.00265838	0.00197903	0.0662249	0.203907	0.175032	0.25887	0.178295	0.149459	0.181495	0.0730341	0.0346225	0.113873	0.136537	0.0184855	0.145728	0.0236166	0.0260269	0.0212285	0.0438634	0.0210698	0.0692911	0.0543884	0.0262908	0.376172	0.0924155	0.174885	0.120723	0.0193597	0.230068	0.593633	1.05219	2.12411	4	6.073774
8000	-556.7208	-589.8429	33.12213	1	0.6581633	0.0232246	0.195593	0.36943	0.00552062	0.0591165	0.017819	0.0443823	0.074633	0.117443	0.0931795	0.0301786	0.122404	0.0354094	0.108618	0.0428555	0.0866143	0.0607675	0.0330086	0.0808066	0.0526334	0.199693	0.168087	0.108288	0.184952	0.211341	0.165061	0.0495994	0.030385	0.019631	0.042491	0.0291788	0.0535814	0.0432279	0.0932079	0.022341	0.000798615	0.0772219	0.179375	0.183055	0.0151156	0.0893312	0.0465225	0.0221959	0.0829381	0.0674971	0.243698	0.0703076	0.176879	0.257872	0.0163013	0.00283768	0.0396633	0.203733	0.0553864	0.0341736	0.0421553	0.00602811	0.129322	0.0614868	0.1776	0.0351238	0.146978	0.0545897	0.0878916	0.0271351	0.0617473	0.0602027	0.0652844	0.343103	0.908321	2.68329	3	5.829864
9000	-577.1032	-605.6176	28.51438	2	2.128703	0.128797	0.17399	0.0787844	0.00928753	0.257481	0.0264039	0.0986449	0.0671727	0.17814	0.126445	0.0337866	0.316809	0.232387	0.0878811	0.0962781	0.0464199	0.0186701	0.0782362	0.223227	0.0249495	0.165569	0.0228187	0.185955	0.0960312	0.0556271	0.223882	0.0508274	0.00762531	0.0802346	0.145081	0.0259321	0.00737132	0.16653	0.46728	0.153104	0.163886	0.216949	0.0425641	0.0399276	0.0437425	0.0754709	0.0528625	0.100724	0.092427	0.00221951	0.0324807	0.0653849	0.202772	0.349341	0.131739	0.0107423	0.146887	0.0036335	0.0147197	0.010052	0.143607	0.00136753	0.0588209	0.00342031	0.148331	0.170353	0.0905027	0.0526292	0.0119099	0.0886799	0.0271651	0.172482	0.308169	0.668037	1.0729	1.95089	4	6.925456
