Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-492.9386	-590.2134	97.27478	10	0.4676163	0.0167681	0.119447	0.336851	0.0813329	0.0508426	0.0135348	0.0410259	0.0253229	0.00142579	0.0433259	0.0133859	0.0230114	0.0815831	0.100361	0.0124075	0.0603219	0.0639088	0.109147	0.0210179	0.118365	0.0148765	0.0525344	0.0262384	0.0643875	0.14633	0.199815	0.118876	0.0196171	0.0919486	0.0275543	0.23025	0.795196	2.947	5	2.068007
1000	-347.3363	-419.3821	72.0458	10	1.613711	0.00805672	0.0299752	0.148603	0.0903553	0.396416	0.0985398	0.0542499	0.00244469	0.0579593	0.0385826	0.101603	0.0451023	0.32191	0.208517	0.090604	0.0501026	0.0173091	0.00890589	0.36674	0.015583	0.110688	0.0276953	0.191818	0.643733	0.356388	0.0425161	0.0208491	0.341622	0.322164	0.242366	0.606451	1.05646	2.09473	5	4.209033
2000	-328.3588	-409.2087	80.84998	10	1.581975	0.00897541	0.0082377	0.263906	0.335799	0.165514	0.00616232	0.0400761	0.00096186	0.127992	0.0409634	0.00374955	0.00581837	0.286103	0.0665937	0.154476	0.071539	0.203678	0.176387	0.101034	0.184461	0.0685142	0.0291774	0.0359612	0.252233	0.228967	0.0767403	0.122684	0.160417	0.266072	0.237713	0.601656	1.05489	2.10574	5	3.493194
3000	-333.5648	-411.478	77.91319	10	2.062652	0.0311193	0.0546195	0.0655782	0.0899242	0.103068	0.0220947	0.0255093	0.0109071	0.0619601	0.118649	0.00301363	0.095405	0.24555	0.0146182	0.385726	0.0304222	0.0720781	0.216878	0.10887	0.206065	0.0140397	0.531485	0.00766972	0.0578463	0.082602	0.0598901	0.122143	0.410801	0.065121	0.300641	0.661515	1.07148	1.96636	5	3.313652
4000	-325.6035	-416.5097	90.90615	10	0.645885	0.00284862	0.0154913	0.0873038	0.155545	0.0851007	0.0199428	0.0199734	0.09265	0.0060381	0.0969579	0.0838497	0.0155276	0.0698098	0.0395989	0.110055	0.0411255	0.216862	0.0381744	0.0142055	0.343292	0.0632521	0.195984	0.0451262	0.462186	0.0634375	0.00492301	0.044242	0.145116	0.162928	0.0626891	0.336838	0.903037	2.69744	5	2.741546
5000	-353.718	-412.2898	58.57176	10	3.681736	0.00859882	0.0332768	0.548788	0.460773	0.259566	0.193052	0.0572262	0.0568484	0.134751	0.049961	0.242569	0.13536	0.222241	0.051592	0.0695659	0.0170095	0.450248	0.373096	0.0128601	0.143347	0.352612	0.195255	0.0915848	0.344982	0.183157	0.0428464	0.0480968	0.0586558	0.097832	0.435975	0.76343	1.0843	1.71629	5	4.93575
6000	-332.8826	-419.0259	86.14337	10	0.8223354	0.00672512	0.0103724	0.139645	0.178783	0.0581407	0.00260538	0.0583101	0.0658509	0.0960003	0.0180822	0.0469985	0.0987946	0.182328	0.251981	0.0921014	0.0919952	0.0844608	0.0668945	0.0345069	0.187953	0.0898705	0.125705	0.0658355	0.0639101	0.0529708	0.0189699	0.150508	0.279397	0.0466658	0.100302	0.415973	0.962957	2.52077	5	2.666361
7000	-334.5214	-414.1558	79.63433	10	1.079721	0.00661764	0.00528495	0.0875811	0.17314	0.234571	0.0170701	0.0299236	0.0305115	0.165549	0.0281098	0.290013	0.0149334	0.262699	0.0840402	0.169787	0.0101055	0.321094	0.0237449	0.0545523	0.152593	0.00950072	0.188136	0.0417556	0.034193	0.0863763	0.390259	0.193109	0.456847	0.102628	0.15258	0.499469	1.01205	2.3359	5	3.664727
8000	-327.8537	-402.0327	74.179	10	1.388256	0.0147551	0.00281546	0.13553	0.18873	0.0266581	0.0267385	0.126679	0.00639409	0.146952	0.106223	0.0579343	0.0483932	0.26018	0.285879	0.14683	0.037518	0.226295	0.25381	0.295687	0.0523877	0.0994991	0.10293	0.0119124	0.0781986	0.120212	0.043556	0.185284	0.551889	0.0595857	0.207533	0.568834	1.04312	2.18051	5	3.699458
9000	-357.4124	-416.4203	59.00786	2	0.1129574	0.000272716	0.00023124	0.112342	0.198174	0.277616	0.00703173	0.00977336	0.07056	0.0391122	0.0121193	0.0147346	0.0198854	0.134704	0.22666	0.0990651	0.0248221	0.0232153	0.0942633	0.0849085	0.131814	0.0254958	0.143982	0.103514	0.0410286	0.00847637	0.023998	0.249704	0.192829	0.0198129	2.57721e-06	0.00238215	0.130144	3.86747	4	2.390145
