Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	brlens[92]	brlens[93]	brlens[94]	brlens[95]	brlens[96]	brlens[97]	brlens[98]	brlens[99]	brlens[100]	brlens[101]	brlens[102]	brlens[103]	brlens[104]	brlens[105]	brlens[106]	brlens[107]	brlens[108]	brlens[109]	brlens[110]	brlens[111]	brlens[112]	brlens[113]	brlens[114]	brlens[115]	brlens[116]	brlens[117]	brlens[118]	brlens[119]	brlens[120]	brlens[121]	brlens[122]	brlens[123]	brlens[124]	brlens[125]	brlens[126]	brlens[127]	brlens[128]	brlens[129]	brlens[130]	brlens[131]	brlens[132]	brlens[133]	brlens[134]	brlens[135]	brlens[136]	brlens[137]	brlens[138]	brlens[139]	brlens[140]	brlens[141]	brlens[142]	brlens[143]	brlens[144]	brlens[145]	brlens[146]	brlens[147]	brlens[148]	brlens[149]	brlens[150]	brlens[151]	brlens[152]	brlens[153]	brlens[154]	brlens[155]	brlens[156]	brlens[157]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-13254.97	-13285.98	31.01525	10	1.622195	0.00597623	0.249782	0.0137227	0.111271	0.0478083	0.247975	0.000936147	0.149446	0.173496	0.080611	0.0627715	0.0524702	0.187764	0.254679	0.0168981	0.205207	0.0203049	0.17477	0.0269966	0.0503091	0.0101167	0.349284	0.0513338	0.0315996	0.0954238	0.165721	0.302615	0.100413	0.155876	0.173731	0.00919371	0.0196918	0.0362078	0.0799567	0.221522	0.0863289	0.0121873	0.157462	0.108616	0.0149704	0.0075891	0.0147554	0.0111211	0.021788	0.00361713	0.00997741	0.107123	0.0508019	0.000421934	0.056924	0.0547841	0.150952	0.0359346	0.0742787	0.111304	0.0462241	0.0633159	0.395684	0.118845	0.414137	0.385415	0.164809	0.0268753	0.0264872	0.00731054	0.116501	0.177783	0.0309545	0.052328	0.0465026	0.144768	0.017164	0.0523408	0.0158816	0.113883	0.0255856	0.0306961	0.0433173	0.0882941	0.379874	0.0284154	0.0663873	0.0455983	0.114702	0.0901965	0.138095	0.192096	0.110231	0.18188	0.0794867	0.0105372	0.00631572	0.0538659	0.0194218	0.219446	0.0531872	0.018543	0.0538871	0.393529	0.0974429	0.0667154	0.00511348	0.0172684	0.072213	0.116338	0.0221246	0.0488238	0.000637596	0.0377886	0.0520942	0.157681	0.0943694	0.117514	0.0656474	0.148603	0.0754417	0.0154913	0.0326897	0.100108	0.056381	0.199969	0.0265756	0.000370194	0.0532269	0.129083	0.018602	0.0246288	0.35111	0.104144	0.00701628	0.0782186	0.0242076	0.310512	0.183416	0.0154895	0.0134264	0.106911	0.0136016	0.0473044	0.103037	0.417034	0.00145549	0.00963035	0.00409083	0.0552606	0.106267	0.0495664	0.0357328	0.0111292	0.0185286	0.0635597	0.0101449	0.0747553	0.255674	0.0680567	0.201557	0.0694313	0.243597	0.607708	1.05686	2.09184	5	14.55083
1000	-6454.745	-6496.48	41.73443	10	2.350997	0.0504068	0.110786	0.0202616	0.0221671	0.0751974	0.0432802	0.0115607	0.688957	0.70441	0.00511795	0.00762839	0.00567912	0.0141654	0.010468	0.000360654	0.072467	0.0599898	0.0136726	0.104927	0.0396034	0.0562427	0.0212125	0.104686	0.0202452	0.0669313	0.025558	0.0290654	0.0484983	0.0451332	0.122903	0.00243601	0.0485315	0.00287921	0.0110602	0.00641245	0.0245556	0.0239437	0.0246694	0.0455517	0.188739	0.0779329	0.017888	0.119472	0.301316	0.0171572	0.103627	0.00428377	0.0143846	0.0149169	0.131511	0.0737949	0.194409	0.0324275	0.0702679	0.0177735	0.0296032	0.0271313	0.033559	0.0212301	0.000864206	0.00390115	0.0812479	0.161983	0.0559563	0.0428613	0.0269659	0.00929055	0.0134882	0.0463321	0.0240984	0.0683096	0.134199	0.0398041	0.0623653	0.126726	0.0853775	0.0300751	0.072249	0.121922	0.00977857	0.011587	0.14797	0.0200952	0.0068771	0.174516	0.0169063	0.219736	0.0915519	0.0720104	0.00574717	0.0119667	0.055345	0.0161928	0.0348665	0.276274	0.0219743	0.0962232	0.375206	0.156018	0.041443	0.0621095	0.0394866	0.0819084	0.0874021	0.0702197	0.0553317	0.0479268	0.00226101	0.0181924	0.969426	0.0988781	0.237026	0.0414173	0.138431	0.0139383	0.122299	0.0516734	0.0915811	0.029713	0.0428496	0.181308	0.0962375	0.0206925	0.165145	0.104168	0.00963968	0.0697781	0.0998321	0.00235881	0.0602412	0.017741	0.0327721	0.0175034	0.0420325	0.0267111	0.0240465	0.34127	0.00419378	0.0269595	0.069734	0.332227	0.176273	0.00798629	0.00486953	0.242354	0.015852	0.0624208	0.118805	0.14328	0.0170231	0.0581943	0.0268293	0.702411	0.0997663	0.178484	0.0686853	0.0315245	0.331859	0.687806	1.07672	1.90361	5	13.35477
2000	-6427.648	-6475.446	47.79704	10	3.570272	0.0647811	0.125539	0.0050665	0.0116637	0.0317874	0.0052292	0.01373	0.692941	0.58175	0.0214442	0.00796844	0.0282991	0.0154268	0.00314672	0.0173972	0.0790451	0.0709718	0.013166	0.080254	0.0181085	0.0639922	0.0453752	0.0785455	0.0662753	0.0981305	0.0261826	0.00911439	0.109743	0.0447168	0.0832977	0.00261798	0.0345752	0.0073366	0.00518387	0.00190613	0.0311915	0.0119296	0.0148329	0.0281807	0.114604	0.0887446	0.0477213	0.0168948	0.0323106	0.0593799	0.119275	0.00668393	0.0336404	0.0178051	0.0708649	0.0779562	0.252202	0.0473272	0.0443124	0.0404511	0.03269	0.0274141	0.00971279	0.0166015	0.00195204	0.00594355	0.0694233	0.106553	0.0621258	0.0302019	0.016077	0.0102393	0.0310996	0.0340916	0.00358246	0.0218135	0.0081823	0.00736138	0.136256	0.128943	0.0757166	0.0199101	0.0501526	0.156122	0.000184756	0.00597389	0.0361792	0.0124319	0.0168358	0.137247	0.0148038	0.16298	0.0394915	0.0180861	0.111681	0.0417007	0.0425018	0.00405376	0.111877	0.294221	0.0570752	0.0478361	0.00732361	0.0706878	0.0262818	0.0980484	0.0166578	0.0655686	0.0532552	0.0129836	0.0546585	0.199046	0.0727762	0.0176865	0.127796	0.0897569	0.120123	0.0750603	0.0437236	0.00476978	0.175434	0.111516	0.105623	0.0849082	8.45344e-05	0.110583	0.393112	0.0694179	0.227909	0.754093	0.00607179	0.114986	0.0609973	0.00600268	0.0314774	0.0298451	0.0070004	0.00724071	0.138198	0.02476	0.158898	0.0758829	0.0598493	0.285315	0.0351298	0.377653	0.324211	0.054023	0.0317512	0.139326	0.0819789	0.135318	0.0418657	0.107539	0.0268205	0.244933	0.0201936	0.295118	0.0610218	0.105796	0.124226	0.0271143	0.429075	0.758902	1.08418	1.72784	5	12.36777
3000	-6376.262	-6439.31	63.04785	10	2.784229	0.0285434	0.10385	0.0252823	0.0156616	0.0509196	0.0120355	0.0431218	0.216419	0.416483	0.0191483	0.0184282	0.00430018	0.00636327	0.0148519	0.00837	0.0509137	0.0277778	0.0079883	0.196115	0.00919768	0.132639	0.0621501	0.0873073	0.040943	0.111777	0.0598198	0.0200512	0.0305058	0.00573638	0.117695	0.00939349	0.0620389	0.0100586	0.00741425	0.00756597	0.0220668	0.0225972	0.0470455	0.0158029	0.150889	0.0882391	0.0668533	0.00944633	0.0675699	0.163198	0.226252	0.00867431	0.0223338	0.0152605	0.111654	0.0356972	0.222421	0.0295191	0.0576732	0.0167682	0.0142387	0.0254989	0.0177442	0.016183	0.000291898	0.000630768	0.0821603	0.150637	0.0447823	0.0464486	0.00923448	0.0179943	0.0379657	0.0664134	0.0112657	0.0117308	0.148527	0.0877092	0.105417	0.125128	0.125302	0.00279341	0.0303706	0.139212	0.0146435	0.0188781	0.0870021	0.0242376	0.00833761	0.0877458	0.000185583	0.104627	0.120942	0.00517766	0.128517	0.0466453	0.118496	0.00488461	0.0610941	0.509247	0.171107	0.0495988	0.0121279	0.147583	0.208183	0.129584	0.0294948	0.0617063	0.0424642	0.0751016	0.032084	0.18728	0.0735203	0.021383	0.326867	0.218009	0.00546695	0.043385	0.0322298	0.00797141	0.205539	0.0418663	0.0509352	0.0209374	0.0233638	0.018584	0.0303791	0.012841	0.153791	0.637348	0.0370898	0.110747	0.0166907	0.0141972	0.0405592	0.0205158	0.100851	0.0418698	0.098249	0.0219859	0.350212	0.00632691	0.036936	0.0613516	0.0694908	0.395399	0.0112161	0.0630151	0.017216	0.265098	0.0123739	0.0925832	0.0457268	0.0367681	0.106114	0.0139791	0.0486181	0.359355	0.068635	0.132892	0.204967	0.015498	0.371849	0.718835	1.08122	1.8281	5	12.08643
4000	-6378.795	-6438.998	60.20351	10	2.870742	0.0141205	0.127806	0.013913	0.0231261	0.0696013	0.0239107	0.0384925	0.159025	0.187368	0.013462	0.0083577	0.00821641	0.00480736	0.0163553	0.00479168	0.023256	0.0560969	0.0011548	0.180917	0.011966	0.0910403	0.0447807	0.0593886	0.127057	0.0505903	0.00782966	0.0169045	0.0452364	0.127587	0.109877	0.0209491	0.00730893	0.0115052	0.00414085	0.0090961	0.0183307	0.00129867	0.0518068	0.0531964	0.139914	0.121226	0.0312381	0.00583424	0.0534345	0.052056	0.205401	0.0255608	0.036039	0.0536369	0.0423347	0.0223776	0.136455	0.0728117	0.0600796	0.0211882	0.0202622	0.0328525	0.0195299	0.00774568	0.00137873	0.0068604	0.143756	0.211505	0.0893478	0.016035	0.0380355	0.042036	0.0136744	0.0727105	0.0457324	0.0678843	0.0453211	0.103766	0.0314837	0.190391	0.154604	0.0216253	0.0252467	0.0910986	0.00267603	0.0700308	0.0675903	0.0109299	0.0160541	0.180671	0.00866758	0.0931511	0.126474	0.0292955	0.0221442	0.00368109	0.0706305	0.132929	0.0333695	0.553206	0.0503577	0.0261894	0.0521339	0.410888	0.223623	0.0220184	0.043086	0.073843	0.104798	0.115226	0.00121438	0.0254086	0.0646436	0.000850489	0.647547	0.301104	0.0145468	0.00176907	0.0608914	0.0280882	0.220555	0.0270408	0.120256	0.0137289	0.0353887	0.10622	0.00445453	0.219514	0.261349	0.660372	0.0108835	0.0654123	0.0868813	0.00321366	0.0335369	0.00442603	0.120919	0.0280834	0.198289	0.0768856	0.0301849	0.0714956	0.0229992	0.0116655	0.13614	0.21124	0.039283	0.0649881	0.0914788	0.0715806	0.096894	0.0742868	0.0147281	0.026111	0.0159337	0.104511	0.0181748	0.110016	0.0589037	0.13871	0.121133	0.0603581	0.379008	0.724111	1.0818	1.81508	5	11.99509
5000	-6359.229	-6425.281	66.05258	10	1.89539	0.0636433	0.130284	0.0341538	0.0197096	0.0287679	0.00249627	0.0247445	0.294482	0.326695	0.00554442	0.0197019	0.0238136	0.0121453	0.0259327	0.0122424	0.0454066	0.05946	0.023332	0.0635431	0.02594	0.0486147	0.0951765	0.0858126	0.0244899	0.0771406	0.0211549	0.0207856	0.0169917	0.027462	0.0614666	4.24456e-05	0.0430865	0.00248622	0.000751925	0.0147267	0.0216187	0.0124518	0.024754	0.00627709	0.151319	0.0620548	0.0130857	0.0264827	0.0223992	0.191827	0.14318	0.0144396	0.0280819	0.0130206	0.0744004	0.032129	0.249947	0.00292112	0.0776096	0.0199396	0.0161007	0.0255985	0.0165501	0.0162851	0.00340716	0.000951035	0.0709294	0.190872	0.0544542	0.018615	0.0341478	0.0209722	0.0205708	0.0332438	0.0211492	0.0827517	0.00825441	0.0982186	0.185024	0.0653112	0.0945159	0.0391307	0.0249885	0.0680854	0.00923957	0.00835502	0.0234228	0.0770446	0.00382021	0.181959	0.0279189	0.13191	0.111523	0.137983	0.11861	0.0349945	0.0561835	0.0186425	0.0129658	0.428857	0.0841563	0.0229743	0.0294973	0.0964612	0.291614	0.00578929	0.0405428	0.0462735	0.0761975	0.0723635	0.00280971	0.0111868	0.0598519	0.00587628	0.545303	0.0641253	0.0140846	0.0546579	0.0701843	0.0177565	0.1774	0.0421948	0.0420735	0.0170985	0.0483137	0.094814	0.0284221	0.00985455	0.365295	0.787637	0.0261084	0.0829524	0.080724	0.0135772	0.0803465	0.019043	0.0883901	0.082619	0.124455	0.0244873	0.0824507	0.0178348	0.00544691	0.0603267	0.00262681	0.274979	0.00888736	5.02387e-05	0.100684	0.0358886	0.172141	0.151723	0.0298654	0.420676	0.0241508	0.19253	0.00882425	0.164693	0.0979786	0.0848182	0.236968	0.0261217	0.280459	0.643408	1.06714	2.009	5	11.6109
6000	-6386.306	-6450.959	64.65295	10	3.234957	0.0395631	0.1588	0.023074	0.0326259	0.0361505	0.0201137	0.000478846	0.276819	0.267621	0.0103081	0.000909102	0.0281931	0.00498252	0.00133059	0.0111248	0.0325831	0.0655403	0.0344343	0.110363	0.00357714	0.160552	0.129561	0.0982013	0.0443706	0.171175	0.0430972	0.0158269	0.0486932	0.00364768	0.104116	0.0297225	0.012293	0.0284494	0.00795253	0.00739221	0.0315233	0.00826628	0.0232344	0.0386466	0.099233	0.100281	0.0393251	0.0238012	0.09393	0.0925668	0.172509	0.00918011	0.0187734	0.0150558	0.069056	0.034473	0.284524	0.0315552	0.0512879	0.0378612	0.0173261	0.0253356	0.0264967	0.0100012	0.00202189	0.000422605	0.0849715	0.336386	0.0676179	0.0179998	0.0298132	0.0146941	0.00909625	0.0278571	0.000794255	0.0875975	0.0902391	0.119131	0.128332	0.0675754	0.113385	0.0107681	0.0741538	0.0846045	0.000903014	0.008219	0.0715018	0.0258498	0.0205383	0.168329	0.172984	0.0538423	0.0571891	0.250867	0.0387003	0.00144408	0.063906	0.0272347	0.124474	0.413892	0.0868968	0.0808837	0.00661951	0.130405	0.150387	0.0511552	0.0066461	0.0978565	0.00583317	0.0789281	0.021082	0.0585896	0.0507302	0.0094848	0.541504	0.097787	0.00934689	0.00296492	0.134378	0.00321766	0.219356	0.0358288	0.118548	0.0904699	0.0506853	0.198487	0.031086	0.01842	0.3088	0.643063	0.0381176	0.00964633	0.120823	0.0729574	0.046491	0.0116004	0.0896802	0.0231591	0.101081	0.0740673	0.0600963	0.0358093	0.0152301	0.0676446	0.119	0.254633	0.00262223	0.000553146	0.191582	0.0786272	0.441712	0.0772717	0.157457	0.124275	0.0321569	0.116792	0.0147725	0.0318799	0.0750052	0.128491	0.0739211	0.0184762	0.40666	0.74376	1.08345	1.76613	5	12.33029
7000	-6348.026	-6419.015	70.98941	10	2.044578	0.0636829	0.100846	0.0128336	0.0167159	0.0254541	0.0245817	0.0163855	0.25531	0.272571	0.00493219	0.00543469	0.01262	0.0228817	0.0179098	0.00967954	0.0556932	0.0311237	0.009513	0.108718	0.0102664	0.0932389	0.15346	0.0347374	0.0337657	0.0891292	0.0171521	0.0306042	0.00841201	0.0176563	0.0590213	0.0229226	0.00670474	0.00651333	0.00728801	0.00547483	0.0146785	0.0017692	0.0815575	0.0242487	0.131104	0.0802771	0.0386693	0.00721502	0.00900152	0.0366938	0.231733	0.00919324	0.0189654	0.0138422	0.0851299	0.0174171	0.167661	0.0360786	0.0521719	0.0369553	0.0238771	0.0298972	0.0150327	0.033273	0.000226403	0.000672179	0.0688253	0.300215	0.0238967	0.00200464	0.00854843	0.0474122	0.0143335	0.0554532	0.00204441	0.0712597	0.0153535	0.0640391	0.125626	0.112255	0.13175	0.0114279	0.00771341	0.13361	0.0195568	0.100521	0.218986	0.0104059	0.00675243	0.0883793	0.0862677	0.199706	0.0105586	0.182908	0.0188545	0.0031936	0.108981	0.029445	0.158339	0.335511	0.143428	0.0136506	0.038534	0.0450271	0.309175	0.0335185	0.0625565	0.0723558	0.134603	0.0594403	0.0019692	0.0152537	0.0714846	0.0286634	0.436818	0.0581265	0.0199656	0.0139837	0.0230779	0.0146178	0.151483	0.0252965	0.066536	0.123513	0.0371718	0.0357641	0.0518785	0.0550179	0.110955	0.607768	0.0318163	0.125434	0.00403788	0.0628243	0.0810712	0.00458079	0.0481239	0.0181216	0.0817475	0.055074	0.180237	0.0014411	0.0503162	0.122375	0.0894958	0.422376	0.100998	0.0334909	0.058712	0.0924986	0.343912	0.18685	0.304743	0.155841	0.0170733	0.0703381	0.0154106	0.160289	0.0598227	0.114543	0.134664	0.0433412	0.298539	0.659672	1.07107	1.97072	5	11.76794
8000	-6343.216	-6405.322	62.10578	10	2.233558	0.0666589	0.141314	0.0181571	0.0185239	0.0280484	0.0113353	0.000897592	0.237746	0.204998	0.00145659	0.00965763	0.0257903	0.0158013	0.019764	0.0069133	0.0195875	0.0449108	0.00208643	0.0249621	0.0640849	0.0303715	0.130167	0.102087	0.0686063	0.158325	0.0290159	0.0316795	0.0411081	0.0046229	0.131624	0.00606656	0.0587188	0.0125603	0.00044632	0.00689398	0.0213879	0.00155232	0.0266141	0.0453229	0.082077	0.0295461	0.0355375	0.0463722	0.0329564	0.130308	0.140897	0.0050478	0.0164055	0.0238146	0.108113	0.0235411	0.0609157	0.0569171	0.0919259	0.0250886	0.0104573	0.0297438	0.0317919	0.0173274	0.00195911	0.00481385	0.108618	0.223909	0.0495144	0.0299653	0.00744001	0.0642535	0.0260382	0.0461531	0.0162149	0.0346281	0.0241988	0.104134	0.0402268	0.103374	0.0635142	0.0101408	0.0315423	0.0533908	0.00602516	0.0204077	0.103523	0.0107031	0.00993714	0.0858819	0.159064	0.0967621	0.174083	0.185362	0.0593054	0.0157016	0.00497502	0.0124521	0.0606427	0.334334	0.0949055	0.0649814	0.0258973	0.00934885	0.131513	0.0374421	0.0580572	0.0268281	0.213202	0.0153944	0.0183654	0.0040629	0.0596568	0.00758802	0.464097	0.0388059	0.0074494	0.0574473	0.153841	0.00566049	0.342116	0.0296287	0.080906	0.14024	0.020574	0.110869	0.0568567	0.0800796	0.132507	1.02376	0.0164552	0.131934	0.0016758	0.145218	0.0629154	0.0135845	0.0469354	0.00335231	0.00765006	0.0935188	0.263392	0.0135083	0.0292244	0.240304	0.100014	0.312117	0.373998	0.0290539	0.161036	0.0600987	0.387404	0.20839	0.137212	0.0770565	0.0145206	0.194779	3.55073e-05	0.0572305	0.0533196	0.0541106	0.136932	0.00320987	0.319647	0.677754	1.07487	1.92773	5	12.1941
9000	-6350.2	-6417.476	67.27572	10	2.55781	0.048442	0.105101	0.00811523	0.00523738	0.0602539	0.0260645	0.00453938	0.307532	0.345766	0.00495425	0.00867214	0.0134808	0.0118429	0.00760149	0.00351427	0.0102027	0.0211657	0.0205366	0.139038	0.0163286	0.0259136	0.0403476	0.0815499	0.0373053	0.037614	0.0335419	0.0138425	0.00255656	0.0241503	0.0693436	0.00280455	0.016861	0.00972304	0.0027827	0.00909289	0.0393261	0.0170057	0.0380172	0.00997389	0.132904	0.0850994	0.0170643	0.00967886	0.122472	0.093265	0.181655	0.00521068	0.0301966	0.00939989	0.111161	0.0139241	0.0895909	0.050236	0.0720642	0.0196282	0.0202097	0.020838	0.0242738	0.0106241	2.31583e-05	0.00056955	0.178976	0.132929	0.103789	0.0175317	0.00519312	0.0420144	0.0208407	0.0250062	0.0631446	0.048892	0.0354791	0.135595	0.0813474	0.0692632	0.0964673	0.0479915	0.0348135	0.0792465	0.0137317	0.0335926	0.2964	0.000807702	0.00930183	0.0890108	0.189748	0.119227	0.0605495	0.124998	0.0841098	0.0127922	0.104598	0.0152967	0.146109	0.309132	0.102471	0.00454213	0.028948	0.0342448	0.103746	0.0258732	0.0398148	0.00956653	0.0906905	0.020447	0.00295828	0.0391912	0.0758899	0.0298663	0.434018	0.168453	0.00570319	0.0130126	0.126251	0.0124794	0.190762	0.174878	0.0986827	0.158881	0.0536473	0.189193	0.00702969	0.0959421	0.0498981	0.817192	0.0159314	0.0363475	0.0118115	0.00447778	0.0874329	0.0223692	0.0744132	0.00815748	0.0913369	0.0364287	0.212121	0.0640093	0.0302601	0.0716979	0.0107063	0.355375	0.296261	0.068433	0.00646666	0.102843	0.361198	0.187655	0.16572	0.053312	0.0379541	0.103686	0.0132264	0.0349554	0.068743	0.0310402	0.0448194	0.0430593	0.35187	0.703678	1.07926	1.8652	5	11.58468
