Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-729.5796	-740.6594	11.07984	10	3.036187	0.0515238	0.252523	0.299783	0.200352	0.0304708	0.0628253	0.0511547	0.0469482	0.019179	0.0902028	0.000563261	0.0430261	0.035207	0.00907481	0.182533	0.0478493	0.407917	0.0380024	0.0537512	0.0503865	0.0465475	0.0197033	0.00420736	0.0833159	0.102391	0.00683009	0.0889767	0.162618	0.0114867	0.0340357	0.0597475	0.203043	0.0790874	0.00629807	0.0344527	0.00668482	0.163648	0.0443721	0.18203	0.123982	0.0400278	0.392042	0.733512	1.08269	1.79176	5	3.476759
1000	-455.0154	-462.9641	7.948788	10	0.7907551	0.00763112	0.0300314	0.0411717	0.0702261	0.0129165	0.130572	0.0112712	0.145807	0.0312513	0.0889009	0.0568456	0.0198534	0.0971387	0.0412625	0.00963963	0.106399	0.34768	0.0366306	0.00669854	0.0698349	0.115704	0.0967291	0.116101	0.124558	0.0183859	0.0829947	0.0305696	0.0134991	0.781189	0.0244151	0.614273	0.0885564	0.0791706	0.175938	0.00984141	0.0468612	0.0396166	0.0507889	0.180087	0.0302565	0.033196	0.09359	0.403385	0.95436	2.54866	5	4.114494
2000	-430.9045	-458.8857	27.98123	1000	0.4585063	0.0515061	0.00519889	0.0513596	0.0431851	0.0166962	0.0506162	0.00946603	0.0176877	0.0563042	0.0680647	0.0284879	0.01899	0.273051	0.0876915	0.00639826	0.0104611	0.109548	0.0215124	0.0749116	0.0384303	0.0108664	0.172162	0.00771487	0.657524	0.0438951	0.0409314	0.119413	0.245483	0.0615983	0.00366538	0.0661541	0.168022	0.00128533	0.00971735	0.0769718	0.0745162	0.304871	0.168566	0.0556773	0.0301714	0.0865488	0.0259797	0.223967	0.787559	2.96249	6	3.445321
3000	-444.6393	-455.944	11.3047	10	1.303318	0.0333548	0.0247702	0.045763	0.0841999	0.019116	0.112749	0.0935962	0.150413	0.0043494	0.206986	0.0180936	0.0309967	0.115902	0.0069095	0.0122806	0.0213532	0.192503	0.0306237	0.0331883	0.00631316	0.000826893	0.11966	0.0546908	0.0200418	0.642937	0.0329835	0.112242	0.0390079	0.111953	0.220057	0.0233599	0.514902	0.0807519	0.0665659	0.0105802	0.0558436	0.00823652	0.166079	0.0835682	0.066445	0.15696	0.193279	0.55217	1.03643	2.21812	5	3.831155
4000	-446.6259	-457.0486	10.42275	10	2.14597	0.0330927	0.0223979	0.0523344	0.105974	0.0622437	0.043815	0.140364	0.121333	0.0193525	0.0970901	0.0498335	0.0152497	0.0282162	0.0128528	0.00489608	0.0777413	0.053886	0.0105922	0.128532	0.0133441	0.144936	0.127154	0.499059	0.000232443	0.00870376	0.00504767	0.0152796	0.144684	0.016152	0.146247	0.771784	0.0391936	0.13478	0.0115256	0.0123547	0.206136	0.115536	0.105051	0.000424084	0.0178318	0.165148	0.310098	0.669689	1.07325	1.94697	5	3.780401
5000	-436.0641	-461.3173	25.25314	1000	2.281979	0.0341019	0.0182763	0.00271626	0.121124	0.0452553	0.124847	0.0468321	0.033077	0.020034	0.170987	0.0328762	0.00708646	0.0128062	0.181802	0.023499	0.0631541	0.0358553	0.00832582	0.00362124	0.0664505	0.125856	0.0782584	0.139997	0.229605	0.003044	0.0270427	0.23545	0.0446315	0.128394	0.00189527	0.426295	0.163297	0.0453205	0.0106184	0.0608201	0.137393	0.00819195	0.137789	0.0143389	0.12963	0.0968517	0.324761	0.681999	1.07567	1.91757	6	3.297447
6000	-446.933	-456.6409	9.707851	2	4.584318	0.00385841	0.0898924	0.0398042	0.178913	0.0392201	0.0406955	0.134207	0.0302408	0.0116959	0.251597	0.00400059	0.0150146	0.0310693	0.148024	0.0337693	0.054059	0.194264	0.0224818	0.00877533	0.0960404	0.143968	0.105599	0.0122238	0.117481	0.128113	0.00237209	7.98805e-07	0.407395	0.345105	0.0486757	0.0238639	0.0310524	0.108017	0.00773484	0.112432	0.0108435	0.0661429	0.055131	0.0391353	0.0768454	0.030019	0.48384	0.793266	1.08394	1.63895	4	3.299775
7000	-455.9786	-461.8726	5.894019	10	2.227563	0.115777	0.0324008	0.115744	0.104485	0.0395965	0.147228	0.114355	0.0174142	0.0401114	0.0361662	0.11367	0.0133054	0.226485	0.148762	0.0616239	0.00735655	0.111292	0.0720674	0.00915677	0.025866	0.0459329	0.10063	0.00501778	0.0531274	0.121596	0.038039	0.00100904	0.757663	0.135922	0.400635	0.0538027	0.0469562	0.0034511	0.0759501	0.369941	0.120613	0.0140469	0.0122482	0.0212277	0.0819815	0.0801544	0.319005	0.677218	1.07476	1.92901	5	4.092809
8000	-452.3123	-471.1694	18.85715	1000	1.251085	0.0110218	0.0065673	0.0812204	0.0726528	0.0525807	0.0534294	0.145699	0.0657223	0.101376	0.0774207	0.0343468	0.00177248	0.225835	0.0465609	0.0554451	0.0164216	0.0665509	0.0492263	0.080281	0.12445	0.0863207	0.0128476	0.0130415	0.143385	0.108856	0.0535338	0.184419	0.307951	0.160157	0.170931	0.0677758	0.101837	0.0109428	0.0290958	0.390491	0.169806	0.308547	0.0184129	0.069689	0.0308165	0.0571861	0.184189	0.541098	1.03172	2.243	6	3.864624
9000	-440.8875	-452.4414	11.55385	2	3.5623	0.0315503	0.0522523	0.0312713	0.0661142	0.0374984	0.0742834	0.112202	0.0034864	0.00860361	0.00381854	0.0659801	0.00377454	0.0556714	0.434058	0.00274332	0.0345209	0.0461199	0.0125213	0.0266515	0.00676518	0.000424329	0.0986172	0.0199128	0.00847841	0.214881	0.161228	0.0751303	0.240847	0.0172684	0.305296	0.0248994	0.0788026	0.0296095	0.159565	0.0582042	0.00328732	0.0384281	0.0802756	0.118959	0.259516	0.0800749	0.428572	0.758569	1.08417	1.72869	4	3.183592
10000	-446.3892	-465.1074	18.71826	10	3.475749	0.0286811	0.066751	0.0404323	0.10867	0.138761	0.04454	0.0470972	0.0386862	0.114533	0.0843252	0.0533142	0.00541601	0.0612173	0.109656	0.0252979	0.0376239	0.0943288	0.00326278	0.00916914	0.00587616	0.106695	0.0904006	0.0739795	0.0416704	0.125583	0.0249434	0.0543416	0.16536	0.0154939	0.101391	0.00338366	0.0794636	0.151412	0.0998396	0.0534816	0.0239339	0.157509	0.0177497	0.0395346	0.0713896	0.0262062	0.423018	0.754876	1.08403	1.73807	5	2.6414
11000	-444.061	-452.4291	8.368145	1	1.481871	0.0382516	0.0134609	0.0903939	0.00226715	0.0295982	0.123513	0.000730913	0.0302309	0.023226	0.0273701	0.0745008	0.0131621	0.0122496	0.0855683	0.0117084	0.0180616	0.138475	0.023961	0.0347491	0.415754	0.046196	0.135264	0.00821155	0.0108633	0.0180622	0.0431681	0.00680104	0.30774	0.00352217	0.0217201	0.102055	0.797744	0.133195	0.0879945	0.0321366	0.00203988	0.0738538	0.446074	0.0404965	0.00468516	0.0193187	0.222508	0.585511	1.04934	2.14264	3	3.548375
12000	-461.0363	-463.2494	2.213155	10	1.177418	0.0332606	0.092484	0.0119191	0.157817	0.0542244	0.194321	0.0622146	0.0364183	0.0029656	0.0632706	0.00632864	0.00842953	0.0489294	0.171664	0.236849	0.00315322	0.0841275	0.0388758	0.0503083	0.0131523	0.117694	0.107305	0.00369069	0.494275	0.0880212	0.0459614	0.174518	0.461341	0.0134605	0.0678009	0.0204794	0.121012	0.095568	0.165093	0.114995	0.0637531	0.552694	0.208844	0.203678	0.0654983	0.0270079	0.170937	0.524276	1.02414	2.28065	5	4.583403
13000	-441.7821	-454.7677	12.98565	10	2.183768	0.0452942	0.0195277	0.0440711	0.048691	0.0543544	0.0422566	0.0665125	0.0256817	0.0226568	0.0257786	0.0929927	0.00508781	0.10345	0.0135498	0.0615413	0.0884241	0.304344	0.0157671	0.0331848	0.0753344	0.138748	0.0957604	0.0029908	0.0491285	0.0179219	0.583463	0.0521777	0.350496	0.0638939	0.165409	0.0800078	0.00701904	0.16723	0.0574924	0.146584	0.0225106	0.025844	0.0143344	0.0409616	0.0837296	0.00603683	0.314267	0.673233	1.07397	1.93853	5	3.36024
14000	-451.5536	-458.0936	6.539972	10	2.2065	0.0526242	0.0221968	0.0609084	0.213055	0.0573934	0.111394	0.0454503	0.0281538	0.0671223	0.0319291	0.123603	0.00458367	0.244628	0.030506	0.032203	0.00684006	0.0400761	0.0178164	0.0119136	0.129386	0.0920854	0.0155064	0.0321131	0.00314551	0.195676	0.30163	0.0444069	0.350092	0.0565955	0.0878638	0.160435	0.0330815	0.0787184	0.611197	0.00059507	0.210603	0.0254466	0.0638743	0.0376404	0.10178	0.0258223	0.316738	0.675317	1.07439	1.93355	5	3.86009
15000	-439.6866	-461.8274	22.14083	1000	3.236701	0.020011	0.0269495	0.00650178	0.0886265	0.0762178	0.0719512	0.0301807	0.000681161	0.0431713	0.00441271	0.0811953	0.0102905	0.154252	0.0180929	0.0461544	0.12053	0.0509352	0.0226161	0.0111811	0.122403	0.0086182	0.102739	0.00955454	0.0193296	0.0234036	0.0639371	0.113361	0.296029	0.339627	0.0440415	0.182634	0.0420072	0.273318	0.076469	0.0438036	0.011737	0.036651	0.0992502	0.327084	0.0304242	0.101761	0.406783	0.743845	1.08346	1.76591	6	3.252133
16000	-437.3267	-457.9916	20.66482	1000	1.666683	0.0249749	0.0404409	0.0205313	0.100151	0.0178874	0.0834883	0.0475441	0.0337857	0.0142178	0.0269211	0.120924	0.0123509	0.0237	0.10548	0.0226888	0.0154144	0.315631	0.0460149	0.0162532	0.248549	0.0272603	0.265485	0.142137	0.0262409	0.311345	0.000838033	0.100289	0.372504	0.00115917	0.0166764	0.198783	0.329927	0.169089	0.0741532	0.0433514	0.246242	0.0164411	0.0281888	0.0035573	0.0658592	0.0872563	0.249962	0.614138	1.05888	2.07702	6	3.863732
17000	-452.3262	-464.867	12.54075	2	2.773831	0.0377644	0.0105633	0.0451364	0.0300467	0.115849	0.0312944	0.0858454	0.0422982	0.0367919	0.0514329	0.163717	0.0246359	0.0362697	0.111562	0.179565	0.01496	0.00552861	0.115973	3.07513e-05	0.0046795	0.0355412	0.0351894	0.0558019	0.0199098	0.30058	0.0443647	0.0118775	0.415908	0.0133435	0.100116	0.111315	0.0544086	0.0458846	0.0914097	0.0691041	0.0468499	0.120224	0.00255819	0.272521	0.00192672	0.102362	0.370971	0.718183	1.08115	1.8297	4	3.095141
18000	-440.8971	-460.4626	19.56542	10	0.5603178	0.00432222	0.0565827	0.0589934	0.0570394	0.119318	0.012959	0.0436594	0.0468406	0.034458	0.0379802	0.0598996	0.0026471	0.0115531	0.0467184	0.0050987	0.0805809	0.0518745	0.0105467	0.0210311	0.0476266	0.151752	0.0959374	0.0263565	0.287174	0.367751	0.062706	0.0153769	0.365476	0.148119	0.119349	0.0219514	0.0521996	0.0521628	0.0329824	0.0488016	0.00682567	0.117518	0.0539011	0.00928223	0.0726189	0.00107449	0.045041	0.289481	0.85964	2.80584	5	2.919045
19000	-440.635	-450.6907	10.05564	1	3.400739	0.00977657	0.0205269	0.0307931	0.103961	0.262743	0.00171323	0.156496	0.0123891	0.0156958	0.0917194	0.187462	0.000228175	0.0485838	0.0198475	0.061917	0.00329556	0.0614116	0.042411	0.012576	0.00426322	0.0645751	0.0319271	0.134759	0.0928774	0.620021	0.0136918	0.163104	0.438983	0.0142297	0.0418474	0.025399	0.0242338	0.00705412	0.0456643	0.0182762	0.0299506	0.0624176	0.069039	0.046501	0.0107552	0.0846229	0.41807	0.751551	1.08389	1.74649	3	3.187739
20000	-435.6281	-449.5328	13.90467	10	0.936141	0.016768	0.0189725	0.0370431	0.0408967	0.0075709	0.0427575	0.0817432	0.00218797	0.011059	0.0648177	0.0548968	0.00132134	0.0483756	0.0472111	0.0346108	0.0507207	0.176478	0.00182659	0.0141471	0.201432	0.0156781	0.0629442	0.0340713	0.0685239	0.0880947	0.000274221	0.0179221	0.537726	0.119559	0.270626	0.0197554	0.0075334	0.51685	0.0500146	0.174759	0.020879	0.0217581	0.162491	0.0678368	0.0477713	0.139273	0.124043	0.456678	0.988557	2.43072	5	3.399179
21000	-450.2889	-468.6525	18.36354	10	1.295906	0.0996699	0.00593131	0.0501576	0.117903	0.123567	0.0768749	0.120737	0.0158561	0.0734853	0.0390839	0.0781429	0.0238122	0.112574	0.170158	0.074627	0.0457042	0.00406236	0.0218584	0.0334349	0.0174001	0.084991	0.058946	0.0734184	0.0730577	0.257668	0.135333	0.102135	0.0881437	0.0471716	0.0745418	0.0218633	0.0198513	0.0862172	0.124264	0.069559	0.0567007	0.00783927	0.207315	0.0328668	0.0391122	0.0815048	0.192005	0.550639	1.03579	2.22156	5	3.047539
22000	-445.4401	-458.6068	13.16674	2	1.472741	0.0769023	0.0373265	0.144802	0.00679104	0.077455	0.115495	0.0592192	0.0621003	0.0431611	0.0293348	0.04841	0.0132224	0.122996	0.00523325	0.00268473	0.00606586	0.0426811	0.0420329	0.0121986	0.0755637	0.00423873	0.0610603	0.0174662	0.00271417	0.0881713	0.0625967	0.0737191	0.0781273	0.669355	0.0348234	0.0780954	0.00708181	0.0141046	0.170246	0.00255133	0.0555317	0.11922	0.484617	0.0449708	0.0601358	0.0429118	0.221081	0.583955	1.04878	2.14618	4	3.195414
23000	-449.2862	-456.0712	6.784964	1	2.98947	0.0628953	0.0469653	0.0218467	0.140728	0.0318076	0.0771903	0.0538106	0.131843	0.0351076	0.0610699	0.0330412	0.00870825	0.295815	0.0116843	0.0867635	0.02133	0.12136	0.0193534	0.0352346	0.0704906	0.095445	0.182339	0.017872	0.0176299	0.148733	0.139043	0.0162614	0.0336743	0.0940736	0.0140463	0.00254719	0.0806746	0.00234726	0.0549943	0.0428036	0.60005	0.0672277	0.410075	0.0187458	0.0624545	0.087851	0.388446	0.730943	1.08246	1.79815	3	3.555933
24000	-420.3739	-451.2144	30.8405	1000	1.82484	0.00638574	0.0387044	0.0348354	0.0906124	0.0991227	0.108992	0.0933682	0.0362687	0.00354376	0.0143219	0.0308006	0.0138169	0.108948	0.0167659	0.0203138	0.0406902	0.00550244	0.0180045	0.00496308	0.0376094	0.00107359	0.157709	0.146115	0.0921983	0.0294855	0.0609159	0.0748482	0.147996	0.0762462	0.0279228	0.071952	0.190288	0.0831372	0.0057412	0.0395885	0.0551197	0.0031999	0.256374	0.0303747	0.392118	0.0443485	0.27143	0.634994	1.06492	2.02866	6	2.810321
