Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-399.7928	-406.3639	6.571083	10	2.510325	0.0397322	0.0874855	0.338584	0.0285978	0.139076	0.0145856	0.0690549	0.230465	0.181523	0.134252	0.0262951	0.459056	0.00300187	0.0525547	0.175346	0.152954	0.567037	0.0317473	0.0280903	0.0343067	0.592194	0.0720117	0.00622447	0.0976303	0.0579087	0.100012	0.0708739	0.359487	0.121417	0.0123545	0.232505	0.338089	0.339489	0.118965	0.0491735	0.347433	0.70022	1.07874	1.8736	5	5.36208
1000	-185.1542	-204.1122	18.95799	2	5.506109	0.0709067	0.0588254	0.0750605	0.174421	0.0428977	0.106255	0.10474	0.0687081	0.00959906	0.0316967	0.0507608	0.0510676	0.0977019	0.0334025	0.0274532	0.00549075	0.0966604	0.0298918	0.0829895	0.0279278	0.0253637	0.168269	0.16725	0.123229	0.0840731	0.174012	0.103123	0.117353	0.00976532	0.17257	0.0197526	0.0697751	0.0488309	0.0330172	0.00154152	0.52183	0.815158	1.08233	1.58068	4	2.564383
2000	-170.4018	-188.5465	18.14478	10	3.821556	0.0624451	0.0177421	0.165673	0.198107	0.0337979	0.0594073	0.194036	0.00180588	0.00597294	0.00444143	0.0756119	0.0329972	0.0653163	0.0221083	0.0264398	0.0606411	0.091638	0.0496361	0.157926	0.297842	0.026221	0.0610975	0.0322028	0.0434137	0.0377719	0.0950796	0.104073	0.244714	0.0540923	0.0156996	0.51039	0.501824	0.0207994	0.231043	0.025294	0.444283	0.768803	1.08438	1.70253	5	3.6273
3000	-174.8621	-199.8127	24.95064	10	5.073945	0.0517476	0.0650336	0.096533	0.132349	0.0368725	0.115271	0.029489	0.0552494	0.0052977	0.0158005	0.00304653	0.0342389	0.0434742	0.0265106	0.0596703	0.0461803	0.00314434	0.138019	0.0179477	0.124632	0.143829	0.0145635	0.175609	0.0191241	0.184839	0.134066	0.0328699	0.224577	0.133626	0.0193818	0.0658154	0.368748	0.209712	0.0337619	0.0671184	0.50512	0.805711	1.08317	1.606	5	2.928148
4000	-180.2291	-199.7262	19.49713	2	1.384822	0.093193	0.0574023	0.0792396	0.16799	0.00126847	0.00812267	0.020923	0.0904111	0.0179039	0.0685794	0.0713997	0.0074938	0.046783	0.165645	0.0628499	0.0312567	0.0401213	0.105752	0.00669174	0.103609	0.00925755	0.0160548	0.00567424	0.0733607	0.048718	0.330805	0.143894	0.101996	0.269843	0.0862049	0.170629	0.328816	0.0757117	0.0767714	0.073863	0.206969	0.56819	1.04288	2.18197	4	3.058234
5000	-154.9286	-191.6796	36.751	10	1.901838	0.0588841	0.0328941	0.00550428	0.0454648	0.0953621	0.0742833	0.0613151	0.00132317	0.0579809	0.0598859	0.00274335	0.0270203	0.00558038	0.00801237	0.262024	0.0148807	0.0705884	0.0428203	0.105195	0.130633	0.168074	0.0913971	0.0589597	0.0480968	0.0340219	0.0444478	0.0113838	0.237556	0.0222659	0.206113	0.0859649	0.0191933	0.0585051	0.124675	0.00545797	0.281269	0.644152	1.06733	2.00725	5	2.378507
6000	-167.6626	-203.8654	36.20272	10	1.157728	0.196734	0.00486811	0.0192313	0.0903746	0.0215241	0.0855251	0.0420866	0.0626618	0.000382047	0.0469517	0.0166925	0.064544	0.0306632	0.0583512	0.0117085	0.0137294	0.0162152	0.181875	0.0945538	0.0306722	0.0838479	0.157898	0.0953158	0.0386512	0.094959	0.0467783	0.120766	0.00293578	0.0862151	0.0911217	0.0328892	0.0026493	0.197144	0.0247115	0.125994	0.167309	0.519519	1.02191	2.29127	5	2.29122
7000	-152.9335	-185.0331	32.0996	10	2.271413	0.0691394	0.00853012	0.0089303	0.175168	0.139467	0.111516	0.0858657	0.0016748	0.000685969	0.0497861	0.0036383	0.0592974	0.0816407	0.0023741	0.0341152	0.00725276	0.0658318	0.0589303	0.0953262	0.022683	0.087965	0.291591	0.0574768	0.168711	0.0490197	0.116905	0.018398	0.0719013	0.0925602	0.127541	0.269852	0.156247	0.0238339	0.0066376	0.107608	0.323655	0.681085	1.0755	1.91976	5	2.728099
8000	-172.3357	-195.9176	23.58192	10	2.546611	0.0612484	0.0731967	0.0323476	0.0504246	0.0792738	0.0639478	0.125335	0.0288661	0.025373	0.0801257	0.00250913	0.0054574	0.1886	0.0100925	0.0725975	0.174418	0.0550211	0.161951	0.027178	0.0473273	0.1538	0.0209064	0.0731334	0.0647073	0.425964	0.119449	0.0416426	0.105649	0.0163524	0.241077	0.0369896	0.184841	0.0149034	0.100222	0.0270566	0.350832	0.702872	1.07914	1.86716	5	2.991983
9000	-167.6661	-190.9242	23.25801	10	3.880619	0.109703	0.0508256	0.045171	0.149562	0.178763	0.018089	0.0716128	0.127985	0.0294083	0.0298127	0.0559413	0.0339504	0.00275494	0.0295065	0.0226351	0.00984829	0.0370047	0.0905664	0.00929488	0.281121	0.328249	0.05933	0.0958753	0.146089	0.0554305	0.185158	0.206897	0.244041	0.199707	0.0511566	0.0610867	0.137748	0.0324081	0.175213	0.148697	0.447681	0.770977	1.0844	1.69694	5	3.510642
