Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-195.3471	-220.7826	25.43548	10	1.17688	0.0714077	0.014081	0.036234	0.00744562	0.0933542	0.017749	0.087955	0.130294	0.312429	0.0308448	0.138167	0.0993647	0.0960152	0.0645279	0.0200198	0.230564	0.0256853	0.16776	0.106642	0.298867	0.15055	0.0646967	0.0364231	0.170838	0.524148	1.02408	2.28093	5	2.301077
1000	-134.6967	-150.5844	15.8877	2	2.543633	0.0700147	0.0125606	0.00945642	0.174982	0.0433887	0.0609038	0.0456605	0.0247554	0.0454932	0.166635	0.0607786	0.0904254	0.116134	0.183347	0.0974631	0.143225	0.092072	0.0412727	0.132428	0.189751	0.409689	0.0123735	0.0151067	0.350555	0.702656	1.07911	1.86768	4	2.237916
2000	-113.6274	-153.2314	39.60404	10	0.6616111	0.014005	0.0115976	0.0456247	0.0839663	0.0744544	0.0106906	0.00446879	0.0156373	0.0115825	0.0724979	0.0212391	0.0359976	0.132119	0.0439324	0.0472972	0.4982	0.0560746	0.0299862	0.0326189	0.0561702	0.050389	0.123652	0.112169	0.0660149	0.34484	0.909767	2.67938	5	1.584371
3000	-137.7638	-154.4297	16.66584	2	0.92332	0.0423192	0.0477753	0.194477	0.0295052	0.117198	0.0879972	0.0592229	0.0136667	0.0665	0.0652974	0.0464712	0.0333095	0.0874311	0.050847	0.467703	0.0964095	0.0967344	0.102907	0.0567703	0.353211	0.0773938	0.144359	0.180367	0.121412	0.452425	0.986034	2.44013	4	2.517873
4000	-125.0132	-151.4648	26.45159	10	1.466794	0.185648	0.0488814	0.0476529	0.0999055	0.069166	0.0449867	0.0283923	0.0100068	0.055386	0.0380674	0.0293357	0.0787932	0.13064	0.00764981	0.12521	0.74144	0.111496	0.0490837	0.00462652	0.411946	0.1633	0.145577	0.0353499	0.220147	0.582934	1.04841	2.14851	5	2.662542
5000	-122.4973	-149.3722	26.87483	10	2.700067	0.0487196	0.036924	0.0294923	0.180683	0.0645144	0.173652	0.0570682	0.0740294	0.0403362	0.0173461	0.00545877	0.0149943	0.0689216	0.0138249	0.15626	0.0413419	0.453879	0.191387	0.00619628	0.0498102	0.256222	0.275021	0.139274	0.36464	0.713442	1.08057	1.84135	5	2.395356
6000	-128.0341	-157.4286	29.39451	10	2.734963	0.0300501	0.0328008	0.0547506	0.157505	0.132317	0.102435	0.0485599	0.00684866	0.0409729	0.0280723	0.0417995	0.124965	0.0471089	0.108196	0.244599	0.00168329	0.165895	0.209492	0.121076	0.152682	0.00147099	0.217676	0.118148	0.367659	0.715711	1.08085	1.83578	5	2.189102
7000	-124.765	-152.497	27.73207	10	2.825834	0.0799556	0.0100643	0.00897394	0.0978449	0.0554441	0.12679	0.0455135	0.0337325	0.0318887	0.196662	0.0704673	0.0221407	0.0932015	0.0194346	0.100074	0.00189119	0.0264355	0.193097	0.087659	0.179002	0.000783394	0.0906471	0.572625	0.375323	0.721405	1.08151	1.82176	5	2.144327
8000	-113.4622	-151.1747	37.71243	10	0.7057184	0.0820659	0.0845554	0.0180985	0.0631102	0.144702	0.147488	0.0477291	0.00617411	0.00219593	0.0809586	0.00388876	0.0586104	0.0550978	0.1043	0.0249824	0.0159111	0.425006	0.0215166	0.0666443	0.215022	0.00341164	0.0636798	0.0521765	0.0754101	0.366216	0.926969	2.6314	5	1.787325
9000	-122.9167	-148.5455	25.62882	2	1.516526	0.0761018	0.0484685	0.0141098	0.0514705	0.0512508	0.0879425	0.023502	0.0543309	0.0264449	0.0145661	0.0135846	0.00740205	0.0298468	0.0556521	0.0384565	0.136083	0.245327	0.0971044	0.042753	0.0368753	0.110415	0.0793545	0.38546	0.227864	0.591284	1.05138	2.12947	4	1.726502
