Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	brlens[92]	brlens[93]	brlens[94]	brlens[95]	brlens[96]	brlens[97]	brlens[98]	brlens[99]	brlens[100]	brlens[101]	brlens[102]	brlens[103]	brlens[104]	brlens[105]	brlens[106]	brlens[107]	brlens[108]	brlens[109]	brlens[110]	brlens[111]	brlens[112]	brlens[113]	brlens[114]	brlens[115]	brlens[116]	brlens[117]	brlens[118]	brlens[119]	brlens[120]	brlens[121]	brlens[122]	brlens[123]	brlens[124]	brlens[125]	brlens[126]	brlens[127]	brlens[128]	brlens[129]	brlens[130]	brlens[131]	brlens[132]	brlens[133]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-3786.063	-3765.398	-20.66496	10	0.8352918	0.162952	0.0875117	0.0125019	0.221365	0.00740143	0.00985351	0.0616967	0.083089	0.235405	0.0574997	0.0553819	0.305855	0.0399162	0.0601496	0.0978015	0.0402967	0.0506107	0.246557	0.0209685	0.0205748	0.107598	0.000141185	0.345647	0.0629046	0.0253209	0.0931523	0.00909911	0.0396663	0.0285987	0.229857	0.157507	0.00199839	0.0653002	0.0350476	0.258498	0.14043	0.0301798	0.0528646	0.25415	0.293246	0.0761339	0.0200689	0.00458404	0.0691251	0.0161522	0.212089	0.0191907	0.0525433	0.18358	0.0292236	0.00618203	0.175045	0.0180111	0.282115	0.0577216	0.380406	0.0624914	0.0309554	0.0357814	0.0778923	0.0262263	0.00597859	0.00404504	0.199459	0.0565133	0.238199	0.0199785	0.0264428	0.0824617	0.0414493	0.0298575	0.0399514	0.0563614	0.211402	0.00816965	0.0106718	0.0951463	0.0134269	0.0889182	0.171331	0.149267	0.0498408	0.116811	0.0359809	0.062859	0.261173	0.140907	0.0253053	0.0331209	0.0411879	0.0687563	0.0457427	0.000178168	0.0242275	0.138158	0.0123212	0.0994837	0.0997224	0.0435531	0.035836	0.113069	0.132172	0.115054	0.0170472	0.040442	0.0072823	0.0136662	0.228105	0.0138198	0.167793	0.00875509	0.0361474	0.217686	0.0468018	0.316651	0.0448784	0.051429	0.0151582	0.000695826	0.0907515	0.00450804	0.0492397	0.0761951	0.00368035	0.182113	0.0947499	0.0208697	0.166934	0.0870499	0.140096	0.382684	0.0653952	0.302989	0.103043	0.420964	0.966274	2.50972	5	12.08222
1000	-1739.524	-1725.087	-14.4367	2	0.7563985	0.00170907	0.00664588	0.167072	0.000221219	0.0823955	0.0459636	0.179528	0.0241537	0.0398315	0.141716	0.119424	0.0910219	0.00367256	0.086817	0.00973106	0.0137543	0.00256583	0.0259384	0.0689646	0.0104364	0.0207567	0.00557395	0.0178625	0.022087	0.0727798	0.0127194	0.0097622	0.007922	0.0138209	0.00886254	0.0152863	0.0745654	0.0427974	0.0357907	0.0562302	0.00672909	0.0047796	0.170589	0.0316268	0.03901	0.0603866	0.0234242	0.0927627	0.0602407	0.00237667	0.0194208	0.000184851	0.0288895	0.100879	0.0557305	0.0106318	0.011503	0.0139726	0.0806529	0.1014	0.0630238	0.0243205	0.00104944	0.00183158	0.086552	0.00397765	0.0839425	0.151857	0.102604	0.00925195	0.0122695	0.0369169	0.00524954	0.0992882	0.119494	0.0137408	0.0714175	0.248098	0.216569	0.0858146	0.0605314	0.175301	0.00162425	0.0928366	0.000994797	0.133315	0.0649617	0.0813976	0.03634	0.0228554	0.0171474	0.0489232	0.401066	0.057124	0.0619365	0.0194007	0.29399	0.0856116	0.0819202	0.020275	0.141811	0.0511915	0.032617	0.0450056	0.00175089	0.0720226	0.0452216	0.103219	0.0597239	0.0443952	0.100628	0.165707	0.0521064	0.21319	0.0744505	0.0022169	0.0495966	0.0252856	0.141981	0.512046	0.00979069	0.0142859	0.0439203	0.0681227	0.157056	0.0297663	0.0768656	0.0400825	0.280523	0.0304101	0.012251	0.0123731	0.0254092	0.0114876	0.031269	0.262543	0.0491422	0.0713799	0.0862533	0.388969	0.944101	2.58068	4	8.809235
2000	-1722.372	-1720.496	-1.876072	2	0.4315898	0.00653187	0.0132124	0.233419	0.02155	0.00279133	0.0281563	0.25347	0.056498	0.132464	0.118059	0.0260964	0.109355	0.00236315	0.0535491	0.0409839	0.0313524	0.0123883	0.0566338	0.167865	0.0404121	0.00765449	0.0349447	0.000840347	0.0102855	0.102495	0.00452222	0.0299204	0.0012997	0.0157374	0.0259652	0.063032	0.014567	0.0690083	0.0170447	0.0838932	0.00663441	0.0219581	0.149212	0.0579548	0.0236272	0.0274182	0.00784262	0.0374132	0.190244	0.00584147	0.0161006	0.000294143	0.00960838	0.0159525	0.0312731	0.0152839	0.04238	0.0355028	0.0662197	0.00129268	0.133861	0.037763	0.00355612	0.0107413	0.0599343	0.00351089	0.0393087	0.0323651	0.11137	0.0263608	0.0139823	0.00571286	0.0122789	0.113305	0.0484966	0.0130369	0.145957	0.246574	0.0327121	0.0367703	0.0151729	0.241595	0.0125839	0.371512	0.0375435	0.00584873	0.0891687	0.0366043	0.10239	0.0387011	0.00844337	0.205938	0.107552	0.0159631	0.10508	0.0158198	0.0481204	0.0288249	0.0369803	0.0079022	0.0403079	0.179888	0.0330874	0.0373435	0.0186785	0.165848	0.0563525	0.00531663	0.0701909	0.00341756	0.0955707	0.00449957	0.065265	0.240752	0.0211069	0.00554909	0.0491567	0.10564	0.072948	0.207534	0.0323042	0.0228802	0.0662513	0.0830245	0.0362581	0.0758698	0.0273897	0.144934	0.0976298	0.028073	0.0131879	0.201734	0.0412201	0.113905	0.0926473	0.0664725	0.101714	0.0499648	0.021523	0.204935	0.76332	3.01022	4	8.083671
3000	-1705.856	-1698.095	-7.760067	2	0.9094366	0.00656935	0.00895641	0.0722349	0.0269868	0.10144	0.0270722	0.0735294	0.122604	0.0522847	0.248162	0.033367	0.128776	0.0373861	0.0368619	0.0093391	0.00200196	0.0122463	0.00783678	0.0441825	0.127426	0.00890355	0.0268341	0.00659896	0.00357291	0.00258638	0.026198	0.0528815	0.0349338	0.00336023	0.0120846	0.0123252	0.0468902	0.0876552	0.0245912	0.0429182	0.00351251	0.0107697	0.132483	0.0104715	0.00337982	0.0146102	0.00809903	0.0689956	0.0687576	0.0273809	0.0243838	0.00319588	0.0301086	0.0366237	0.0542982	0.0246014	0.0860521	0.0499953	0.0360794	0.0346496	0.0115941	0.00688555	0.00581085	0.000785541	0.0752497	0.00121429	0.047153	0.0688272	0.206106	0.0054522	0.0130384	0.00372415	0.0104763	0.0192707	0.0240226	0.0165211	0.0158166	0.0660914	0.0275123	0.0273291	0.112884	0.146316	0.106915	0.196294	0.027533	0.0104657	0.0580211	0.0270427	0.0470897	0.0317559	0.0584524	0.0598815	0.0503752	0.0548284	0.0102653	0.168884	0.113496	0.049018	0.0249616	0.000450539	0.130985	0.178798	0.124115	0.00945128	0.0167607	0.177042	0.0387396	0.0580653	0.31574	0.277958	0.0446332	0.0905373	0.00467727	0.0577685	0.0998968	0.0419245	0.0125544	0.0138277	0.021433	0.668915	0.0170589	0.015042	0.13765	0.0332323	0.0145884	0.061794	0.147199	0.153967	0.0470559	0.155318	0.0105141	0.196865	0.0344804	0.237747	0.051648	0.0917632	0.0592015	0.00410696	0.118549	0.44773	0.983208	2.45051	4	8.160912
4000	-1710.005	-1707.571	-2.434439	2	0.7598913	0.000984493	0.0113981	0.0123253	0.0175305	0.00920417	0.00289477	0.213913	0.0566834	0.0218199	0.108562	0.00408027	0.0244285	0.0159722	0.0306657	0.0252821	0.00281068	0.00216227	0.00590274	0.087592	0.063921	0.0225067	0.0448491	0.00483631	0.017278	0.00570212	0.0277332	0.0600138	0.0326182	0.0324321	0.0163862	0.0042217	0.0176851	0.0698743	0.00576453	0.0380026	0.0329456	0.0487539	0.147676	0.0375328	0.00265562	0.0133579	0.00459053	0.0600037	0.129303	0.0321197	0.0128712	0.00584746	0.0800422	0.0263243	0.0247247	0.0129782	0.0685423	0.0500555	0.0829086	0.0595739	0.0596591	0.0137273	0.00135139	0.0103705	0.00423582	0.0029722	0.0096443	0.149434	0.417627	0.00226958	0.000521947	0.0286511	0.0266748	0.0146631	0.223585	0.0572335	0.0484799	0.0367847	0.119529	0.0488178	0.0955341	0.00596589	0.00283535	0.327627	0.0765816	0.0159292	0.0372025	0.013469	0.0358007	0.146445	0.163477	0.140446	0.0341061	0.0306478	0.112567	0.0778342	0.0665835	0.00838368	0.0141208	0.151834	0.0607552	0.154854	0.179936	0.15426	0.0797065	0.117554	0.0445236	0.0523335	0.0214596	0.0326348	0.0271027	0.0432627	0.00192191	0.501861	0.0300117	0.000851292	0.0470758	0.0615627	0.0228394	0.358971	0.021026	0.0264546	0.0186962	0.0742512	0.102549	0.0239854	0.266013	0.00837643	0.122922	0.00115084	0.0805054	0.0316661	0.0136403	0.0771361	0.056565	0.106053	0.00803189	0.0665416	0.0870003	0.39047	0.94519	2.57734	4	7.983508
5000	-1724.21	-1717.662	-6.54783	2	0.6026054	0.00206747	0.00610253	0.0928268	0.0669219	0.0240653	0.0101007	0.159539	0.0805638	0.0529304	0.0661008	0.0782382	0.0141896	0.00628346	0.0273409	0.0337017	0.00671448	0.0300864	0.0188198	0.0418983	0.0283013	0.0125003	0.00302267	0.00943808	0.00453469	0.0167598	0.0283133	0.047961	0.01554	0.0338001	0.016817	0.0104757	0.131953	0.143169	0.134776	0.04471	0.0150678	0.124141	0.161593	0.000697354	0.00666074	0.00952502	0.00675069	0.0557812	0.132687	0.0341153	0.0108464	0.0391781	0.0190871	0.0955626	0.0174501	0.00153125	0.0245882	0.0403324	0.0206783	0.108412	0.1565	0.00298045	0.0127817	0.00702474	0.0637354	0.0083981	0.0787123	0.052962	0.21007	0.00844072	0.0147117	0.0183041	0.0669357	0.176975	0.0763926	0.0344523	0.0639012	0.00778914	0.127723	0.0238849	0.043944	0.010493	0.00832645	0.211351	0.194905	0.0466289	0.0200013	0.0846159	0.0943056	0.00653672	0.230109	0.0532648	0.039535	0.111705	0.0246008	0.032666	0.00916196	0.0513674	0.0884206	0.00642053	0.102361	0.101641	0.0289466	0.0507651	0.049519	0.138686	0.0118875	0.0313384	0.0101282	0.0278536	0.0169101	0.455212	0.158483	0.208207	0.0773979	0.0105714	0.0226303	0.0720893	0.00562242	0.354233	0.0380009	0.1859	0.0360571	0.0612611	0.00102071	0.23392	0.153657	0.138892	0.196921	0.0770025	0.0376118	0.116493	0.050273	0.0131581	0.0955461	0.150703	0.0115502	0.0752397	0.0536459	0.313717	0.882642	2.74999	4	8.613973
6000	-1737.214	-1713.469	-23.74473	2	0.6907069	0.000162993	0.00333715	0.0102834	0.0257454	0.101105	0.0090583	0.226553	0.0019428	0.0763409	0.211892	0.000305529	0.0845561	0.00770657	0.0613808	0.0299002	0.00294215	0.0271975	0.0193974	0.118456	0.012684	0.00118734	0.00315698	0.00281112	0.0273208	0.00673322	0.0184252	0.0672419	0.0388276	0.0776945	0.0483279	0.00326561	0.174049	0.136127	0.00368928	0.0525887	0.019605	0.0052274	0.177168	0.0281637	0.0465498	0.0598804	0.00383289	0.076216	0.138039	0.0320834	0.0138655	0.00848807	0.0133053	0.0532892	0.0599192	0.027758	0.0415186	0.0497618	0.187046	0.0544735	0.0317458	0.000329357	0.0227753	0.0269091	0.0166862	0.0328696	0.0074653	0.0773327	0.0112835	0.00333596	0.0366068	0.0804602	0.0372945	0.0198529	0.141948	0.0587607	0.00837484	0.111274	0.152542	0.224873	0.0919034	0.600941	0.032802	0.767357	0.22596	0.0430428	0.054067	0.187608	0.0965615	0.0921032	0.176558	0.00169473	0.0403527	0.0659589	0.0359024	0.0469351	0.00960397	0.149177	0.106942	0.01343	0.0236061	0.071164	0.0276567	0.0636117	0.102462	0.198125	0.160221	0.108888	0.00184681	0.0853826	0.191175	0.148745	0.0162546	0.0246132	0.0304923	0.0390748	0.151225	0.143532	0.00254219	0.285165	0.0348671	0.00109551	0.0308627	0.0421431	0.018526	0.0616552	0.220271	0.156875	0.240356	0.192471	0.022245	0.0517217	0.0484388	0.114564	0.00170489	0.0952692	0.0566274	0.0974408	0.0722045	0.359112	0.921375	2.64731	4	10.09312
7000	-1740.175	-1724.997	-15.17767	1	0.6898398	0.0103629	0.00148665	0.274312	0.0140658	0.00691781	0.0432481	0.0876334	0.0596504	0.219347	0.257726	0.0108709	0.0686436	0.0206563	0.0374129	0.00521699	0.00144853	0.0280559	0.041346	0.0308896	0.0725112	0.0192989	0.0222345	0.0148731	0.0707788	0.00998208	0.0507133	0.0564034	0.00240741	0.0253634	0.0301739	0.0871174	0.141726	0.0718863	0.0360906	0.00715525	0.0294379	0.0273559	0.0838843	0.016848	0.0118418	0.0406995	0.010373	0.0436761	0.185713	0.00820701	0.0104737	0.000529701	0.0257787	0.034964	0.0622041	0.0127301	0.0814352	0.0401987	0.0615087	0.0430601	0.0502947	0.0227793	0.0107866	0.0210351	0.0619872	0.0285406	0.00219927	0.0413492	0.181901	0.0416223	0.0271018	0.0261715	0.0325194	0.0093128	0.37857	0.00353642	0.0480531	0.0473294	0.111941	0.093246	0.0410563	0.355053	0.00196819	0.640055	0.0575385	0.131542	0.100642	0.0297372	0.0198837	0.0405306	0.0619316	0.203227	0.0355747	0.0600076	0.111235	0.0581808	0.0628345	0.00168683	0.0628612	0.00894273	0.0229624	0.0949691	0.0178622	0.0130263	0.12754	0.127253	0.0372618	0.0292723	0.294846	0.0313334	0.11574	0.0413784	0.0488633	0.194582	0.0148525	0.00296798	0.0255738	0.12516	0.021075	0.316894	0.00146339	0.0881538	0.0120989	0.162192	0.0561094	0.00760311	0.0544913	0.0117911	0.112219	0.0507954	0.08895	0.162134	0.0570854	0.0526423	0.00923867	0.0447923	0.0641508	0.0832776	0.0720195	0.358697	0.921044	2.64824	3	8.916291
8000	-1708.557	-1708.191	-0.3656957	1	0.9657769	0.00365409	0.0279447	0.0227517	0.053401	0.0372628	0.012578	0.212788	0.0357304	0.00863554	0.0839922	0.0235854	0.0186953	0.023502	0.0361458	0.0156379	0.00488798	0.012044	0.00387288	0.0063282	0.0333579	0.0273318	0.00836965	0.0406823	0.0153868	0.0454045	0.00503076	0.0361588	0.0277213	0.0205144	0.0433201	0.00938165	0.141923	0.0143902	0.000310013	0.0153579	0.00305724	0.0209475	0.119373	0.00986122	0.0108769	0.00475681	0.0232036	0.0864399	0.145763	0.000583977	0.0397953	0.0297853	0.048995	0.080903	0.0212669	0.00720493	0.0522533	0.0122125	0.00636423	0.0389596	0.0181354	0.00517509	0.00310627	0.0199686	0.0180223	0.00113939	0.104942	0.0935236	0.150643	0.00450621	0.00155237	0.00144689	0.0285258	0.00204887	0.19113	0.00293822	0.0952537	0.00191216	0.182504	0.0698456	0.0228528	0.00629747	0.0720843	0.435023	0.0862844	0.13121	0.00657286	0.0540614	0.0446055	0.0764433	0.170368	0.0418613	0.0505658	0.0662974	0.0760571	0.123752	0.00619843	0.00785241	0.0302061	0.0986819	0.0446116	0.00900015	0.0230971	0.0197508	0.0759613	0.0903795	0.00128921	0.035707	0.151636	0.0125916	0.0562653	0.0788934	0.0268809	0.535351	0.0691489	0.0132873	0.0348071	0.0859396	0.0210687	0.25516	0.0173566	0.0480688	0.0946604	0.0462155	0.0087798	0.0953843	0.0102325	0.00522914	0.219556	0.0170167	0.130217	0.000324491	0.0799875	0.125691	0.0520886	0.193723	0.0474066	0.0804591	0.130076	0.466218	0.99409	2.40962	3	7.4075
9000	-1688.892	-1694.87	5.977479	10	0.8933906	0.00214525	0.00239636	0.0865127	0.021762	0.0113193	0.00336475	0.142509	0.0548098	0.0990092	0.0223379	0.0656994	0.0268385	0.0072275	0.0352649	0.0139158	0.00343571	0.0501797	0.0221736	0.00888759	0.0119985	0.00768871	0.0169324	0.0627409	0.0306746	0.0100167	0.0265472	0.0613836	0.0247839	0.00800268	0.178495	0.0101283	0.0103774	0.131529	0.0137414	0.0437778	0.00408951	0.0161512	0.183059	0.0227288	0.0139953	0.0200068	0.0133147	0.0436881	0.169506	0.103672	0.0196326	0.0169598	0.0110301	0.0476181	0.0505831	0.014331	0.0515806	0.0465853	0.00661817	0.0783485	0.0465602	0.0338268	0.00854917	0.019336	0.0271585	0.00247106	0.0154193	0.0044387	0.260757	0.00150376	0.0194473	0.0111453	0.00485403	0.155735	0.19472	0.0171765	0.060987	0.0543774	0.0948774	0.0166677	0.0892596	0.311736	0.0299561	0.119521	0.0774291	0.262138	0.00386016	0.176903	0.0739395	0.00969757	0.149479	0.0104228	0.111466	0.0363425	0.128899	0.0635088	0.0398933	0.154599	0.00379559	0.0235465	0.10534	0.0531642	0.00837915	0.00324264	0.0704227	0.142744	0.0892723	0.00339496	0.07452	0.0280725	0.0402769	0.0589766	0.03665	0.0777467	0.0597096	0.158402	0.0486935	0.0497064	0.0322477	0.550354	0.428823	0.103601	0.0106961	0.00983114	0.00507393	0.0860542	0.0278122	0.0450232	0.00335308	0.00845518	0.146213	0.0874619	0.0485591	0.137182	0.01294	0.160581	0.00814391	0.045133	0.115223	0.442184	0.979816	2.46278	5	8.254758
