Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-114.4866	-148.9731	34.4865	10	0.5936002	0.1761	0.0354795	0.0182674	0.109316	0.347565	0.0379107	0.00667228	0.0366804	0.0553407	0.0501324	0.130585	0.00490847	0.0173438	0.00368963	0.238138	0.08658	0.0458956	0.120288	0.00588028	0.0194493	0.120449	0.109083	0.0760369	0.226113	0.082647	0.0517908	0.308696	0.878018	2.76149	5	2.160552
1000	-85.38123	-118.8287	33.44747	10	0.1908036	0.116241	0.0691779	0.0974258	0.0463802	0.0259715	0.0115203	0.375442	0.426708	0.0117746	0.0970604	0.0781156	0.147572	0.0982705	0.00358277	0.00383398	0.0440596	0.11618	0.0214415	0.0970115	0.00674368	0.00577199	0.0854459	0.0287619	0.0501718	0.052609	0.00038081	0.0286442	0.359233	3.61174	5	2.117274
2000	-96.03851	-110.3725	14.33402	2	2.865315	0.0915241	0.0412964	0.091103	0.000903072	0.0265285	0.00450491	0.0566385	0.0103825	0.00125495	0.197544	0.0822941	0.0758095	0.0354238	0.157315	0.0751486	0.0261783	0.0708044	0.0721145	0.599981	0.17544	0.249521	0.184048	0.0739668	0.177743	0.100241	0.378566	0.723787	1.08176	1.81588	4	2.67771
3000	-85.30634	-119.6281	34.32176	10	2.193031	0.163615	0.00358709	0.0745879	0.0553682	0.204701	0.019596	0.136256	0.23054	0.0713787	0.028526	0.0727687	0.132623	0.0896675	0.00908649	0.0234052	0.00349035	0.0116494	0.00341141	0.116344	0.0408551	0.0335669	0.152465	0.100349	0.0365483	0.0346915	0.315277	0.674087	1.07415	1.93649	5	1.849078
4000	-82.72464	-105.7887	23.06402	10	0.9145639	0.139886	0.0401459	0.00262969	0.0272362	0.0643914	0.00541274	0.265811	0.289863	0.00862565	0.203185	0.102187	0.139729	0.0334339	0.0466641	0.113807	0.149703	0.3079	0.0603554	0.077565	0.26227	0.00267458	0.00689924	0.00498695	0.292443	0.0485475	0.119608	0.449475	0.984263	2.44665	5	2.696351
5000	-105.6196	-116.7467	11.12713	1	2.567064	0.159251	0.0398976	0.189881	0.060913	0.120265	0.0206879	0.0908977	0.227977	0.101322	0.00585558	0.148937	0.0456719	0.0767482	0.111749	0.232882	0.359775	0.0777322	0.0282607	0.072026	0.186648	0.0670095	0.0236332	0.0844983	0.260085	0.0630219	0.352724	0.704339	1.07935	1.86359	3	2.855627
6000	-99.72134	-121.4223	21.701	1	0.4899811	0.086291	0.0302473	0.144503	0.00208212	0.090499	0.0123592	0.0557122	0.00122666	0.0105293	0.00711699	0.212276	0.096675	0.00915028	0.06299	0.112364	0.0931769	0.0437924	0.0344278	0.222511	0.094073	0.114197	0.0611648	0.0763538	0.0484885	0.283741	0.0315461	0.245325	0.812839	2.91029	3	2.005948
7000	-73.23957	-110.314	37.07439	10	0.235564	0.0370304	0.230508	0.000298694	0.0227338	0.114512	0.0123674	0.0831927	0.0831469	0.0242644	0.319975	0.00781855	0.0195665	0.0118587	0.0654212	0.209156	0.0337904	0.112273	0.0236259	0.0506983	0.0697949	0.00428984	0.0311257	0.035169	0.0964636	0.206562	0.00150584	0.0564811	0.470037	3.47198	5	1.905643
8000	-89.14029	-109.6619	20.52163	10	1.088404	0.233957	0.221545	0.0301185	0.0985974	0.0361126	0.0500608	0.0398342	0.235125	0.0418432	0.143181	0.0129867	0.247225	0.125625	0.130705	0.0993554	0.0893983	0.586614	0.0856532	0.17559	0.236303	0.205122	0.229415	0.0622563	0.0375407	0.0609694	0.154248	0.501801	1.01323	2.33072	5	3.515135
9000	-74.34127	-106.7269	32.38568	10	0.418467	0.018948	0.378499	0.00668244	0.0364038	0.0157455	0.0282981	0.0658253	0.102652	0.146486	0.389445	0.113536	0.14008	0.0281713	0.0264613	0.030262	0.0145364	0.145883	0.119575	0.0892281	0.0681112	0.00425651	0.00527306	0.114094	0.0690366	0.109772	0.0194662	0.195411	0.750515	3.03461	5	2.267259
10000	-80.5748	-104.7359	24.16108	10	2.336422	0.180048	0.0557769	0.00790371	0.0397049	0.0804351	0.0237278	0.106483	0.208121	0.200001	0.244922	0.2224	0.0675481	0.0801368	0.0493308	0.00695297	0.224829	0.00881138	0.00825929	0.0045576	0.0445535	0.0804789	0.297191	0.0461761	0.308901	0.146106	0.330378	0.686603	1.07651	1.90651	5	2.743354
11000	-79.33688	-105.6131	26.27619	10	0.9325102	0.11904	0.0539424	0.00496932	0.0217811	0.157007	0.000596871	0.0711335	0.306175	0.021806	0.21536	0.034797	0.256712	0.012118	0.080541	0.150801	0.0205364	0.101868	0.0840298	0.000243417	0.246822	0.0207091	0.107223	0.0335723	0.120471	0.217524	0.123299	0.455482	0.98785	2.43337	5	2.459778
12000	-85.20147	-110.7033	25.50181	10	1.887466	0.049513	0.0600004	0.00963943	0.0108874	0.00182031	0.021109	0.00157943	0.0420072	0.173883	0.247362	0.00190516	0.196918	0.119355	0.00411675	0.222287	0.125795	0.247977	0.147533	0.108725	0.100508	0.0871625	0.354829	0.137439	0.068253	0.0723902	0.279461	0.642487	1.0669	2.01115	5	2.612995
13000	-113.4917	-129.4962	16.00449	10	0.2274074	0.195417	0.0548866	0.427775	0.0252033	0.0140683	0.062694	0.185594	0.107287	0.0233046	0.21014	0.0868502	0.0612024	0.0223913	0.0685283	0.0048	0.0731815	0.121894	0.109015	0.0400649	0.142117	0.255436	0.309868	0.509062	0.296489	0.237827	0.00122049	0.0509313	0.451361	3.49649	5	3.645097
14000	-78.5594	-112.2539	33.69447	10	0.7308129	0.0864759	0.0823949	0.04662	0.0870937	0.0737547	0.0241124	0.0724968	0.174053	0.0997149	0.114715	0.000492566	0.100824	0.00310203	0.0845756	0.271626	0.203897	0.0369571	0.0254039	0.0386895	0.0395286	0.0718648	0.18419	0.114267	0.134223	0.0173529	0.0807783	0.377713	0.935773	2.60574	5	2.188427
15000	-79.49369	-112.7478	33.25407	10	0.3203537	0.179694	0.0674219	0.00554257	0.0162822	0.00319444	0.00104803	0.0199075	0.594235	0.0321854	0.0735039	0.145166	0.0843246	0.00227551	0.097924	0.111324	0.00618313	0.0569448	0.0382784	0.150947	0.0866108	0.0487379	0.128905	0.106315	0.0115593	0.00463216	0.00709088	0.120393	0.628453	3.24406	5	2.073143
